symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2010-01-04,27.1892499071,27.2515027572,26.9821638955,27.11556286,123432523,214.01,0.0,214.5,212.38,213.43,1.0,17633200
AAPL,2010-01-05,27.2362571613,27.3899835871,27.0926944661,27.2642074205,150476350,214.38,0.0,215.59,213.25,214.6,1.0,21496600
AAPL,2010-01-06,26.8030281431,27.3442467993,26.7750778839,27.2362571613,138040138,210.97,0.0,215.23,210.75,214.38,1.0,19720000
AAPL,2010-01-07,26.7534799563,26.933886175,26.5590986079,26.9021245168,119282919,210.58,0.0,212.0,209.05,211.75,1.0,17040400
AAPL,2010-01-08,26.9313452423,26.933886175,26.5603690743,26.717906899,111902811,211.98,0.0,212.0,209.06,210.3,1.0,15986100
AAPL,2010-01-11,26.6937680388,27.0609328079,26.4828706282,27.0355234813,115557515,210.11,0.0,213.0,208.45,212.8,1.0,16508200
AAPL,2010-01-12,26.3901265862,26.6505721836,26.2249659634,26.5768851365,148615048,207.72,0.0,209.77,206.42,209.19,1.0,21230700
AAPL,2010-01-13,26.7623732206,26.7979462778,25.9302177751,26.4091835811,151473151,210.65,0.0,210.93,204.1,207.87,1.0,21639000
AAPL,2010-01-14,26.6073763284,26.7382343603,26.5552872089,26.6937680388,108223608,209.43,0.0,210.46,209.02,210.11,1.0,15460500
AAPL,2010-01-15,26.1627131133,26.8830675218,26.1550903153,26.7979462778,148517048,205.93,0.0,211.6,205.87,210.93,1.0,21216700
AAPL,2010-01-19,27.320107939,27.3391649339,26.3291442024,26.4676250322,182502082,215.04,0.0,215.19,207.24,208.33,1.0,26071700
AAPL,2010-01-20,26.8989483509,27.3849017218,26.6162695927,27.3035918767,153038353,211.725,0.0,215.55,209.5,214.91,1.0,21862600
AAPL,2010-01-21,26.4348470009,27.1008000413,26.3253328034,26.9440499056,152038752,208.072,0.0,213.3138,207.21,212.08,1.0,21719800
AAPL,2010-01-22,25.1234716561,26.3621763269,25.0485141427,26.2707027512,220442120,197.75,0.0,207.5,197.16,206.78,1.0,31491700
AAPL,2010-01-25,25.7999949763,26.0064457548,25.4334654404,25.7282136288,266425166,203.075,0.0,204.7,200.19,202.51,1.0,38060700
AAPL,2010-01-26,26.1639835796,27.1511359172,25.7371068931,26.1652540459,466777966,205.94,0.0,213.71,202.58,205.95,1.0,66682500
AAPL,2010-01-27,26.410962234,26.7534799563,25.3497417093,26.2795960155,430642530,207.884,0.0,210.58,199.531,206.85,1.0,61520300
AAPL,2010-01-28,25.3191234708,26.1080830611,25.2441659574,26.0356664804,293375893,199.29,0.0,205.5,198.7,204.93,1.0,41910800
AAPL,2010-01-29,24.4009574548,25.6888291726,24.1706219094,25.5465369437,311488411,192.063,0.0,202.2,190.25,201.08,1.0,44498300
AAPL,2010-02-01,24.7397908248,24.9011400486,24.3040208739,24.4399607711,187469287,194.73,0.0,196.0,191.3,192.37,1.0,26781300
AAPL,2010-02-02,24.88335352,24.9417949711,24.5682778704,24.8897058516,174585774,195.86,0.0,196.32,193.38,195.91,1.0,24940800
AAPL,2010-02-03,25.3115006728,25.4347359068,24.7004063686,24.7956913433,153832153,199.23,0.0,200.2,194.42,195.17,1.0,21976000
AAPL,2010-02-04,24.3993058486,25.2022405685,24.3383234648,24.9938840906,189413189,192.05,0.0,198.37,191.57,196.73,1.0,27059000
AAPL,2010-02-05,24.8325348668,24.9011400486,24.2468498891,24.4723576625,212576912,195.46,0.0,196.0,190.85,192.625,1.0,30368100
AAPL,2010-02-08,24.6622923787,25.1399877184,24.6470467828,24.8617555924,119567819,194.12,0.0,197.88,194.0,195.69,1.0,17081100
AAPL,2010-02-09,24.9252789088,25.0917099979,24.7423317574,24.9544996344,158221858,196.19,0.0,197.5,194.75,196.42,1.0,22603100
AAPL,2010-02-10,24.7888308251,24.9773680283,24.6800789073,24.8871649189,92590492,195.116,0.0,196.6,194.26,195.89,1.0,13227200
AAPL,2010-02-11,25.2403545584,25.3775649219,24.6546695807,24.7588478197,137586537,198.67,0.0,199.75,194.06,194.88,1.0,19655200
AAPL,2010-02-12,25.4576043007,25.6176830581,24.8376167321,25.169208444,163867363,200.38,0.0,201.64,195.5,198.11,1.0,23409600
AAPL,2010-02-16,25.841285132,25.8781286556,25.6024374622,25.655797048,135934535,203.4,0.0,203.69,201.52,201.94,1.0,19419200
AAPL,2010-02-17,25.7332954941,25.956897568,25.5185866845,25.941651972,109099309,202.55,0.0,204.31,200.86,204.19,1.0,15585600
AAPL,2010-02-18,25.7813191213,25.9035379822,25.5262094824,25.6164125918,105706405,202.928,0.0,203.89,200.92,201.63,1.0,15100900
AAPL,2010-02-19,25.6214944571,25.8158758055,25.5503483427,25.6456333174,103867503,201.67,0.0,203.2,201.11,201.86,1.0,14838200
AAPL,2010-02-22,25.4621779795,25.7269431624,25.3064188075,25.7066157012,97640997,200.416,0.0,202.5,199.19,202.34,1.0,13948700
AAPL,2010-02-23,25.0356824328,25.5782986019,24.864296525,25.4093265802,143773843,197.059,0.0,201.33,195.71,200.0,1.0,20539100
AAPL,2010-02-24,25.4926691714,25.5922737315,25.1349058531,25.1844540399,115141715,200.656,0.0,201.44,197.84,198.23,1.0,16448800
AAPL,2010-02-25,25.663419846,25.7726799503,25.0142115518,25.076464402,166281666,202.0,0.0,202.86,196.89,197.38,1.0,23754500
AAPL,2010-02-26,25.9962820242,26.0661576723,25.663419846,25.7116975665,126865326,204.62,0.0,205.17,202.0,202.38,1.0,18123600
AAPL,2010-03-01,26.5514758099,26.6162695927,26.1017307295,26.1398447194,137523537,208.99,0.0,209.5,205.45,205.75,1.0,19646200
AAPL,2010-03-02,26.5336892813,26.7852416145,26.3926675188,26.6708996449,141636741,208.85,0.0,210.83,207.74,209.93,1.0,20233800
AAPL,2010-03-03,26.5946716651,26.6632768469,26.4180768454,26.5451234783,93013293,209.33,0.0,209.87,207.94,208.94,1.0,13287600
AAPL,2010-03-04,26.7699960185,26.7966758114,26.5057390221,26.5883193335,91510391,210.71,0.0,210.92,208.63,209.28,1.0,13072900
AAPL,2010-03-05,27.8168602736,27.9121452483,27.2680188195,27.3074032757,224905324,218.95,0.0,219.7,214.63,214.94,1.0,32129300
AAPL,2010-03-08,27.8333763359,27.9616934351,27.7279276306,27.9515297045,107472507,219.08,0.0,220.09,218.25,220.01,1.0,15353200
AAPL,2010-03-09,28.3339400695,28.5854924027,27.6821908428,27.7355504286,230065030,223.02,0.0,225.0,217.89,218.31,1.0,32866400
AAPL,2010-03-10,28.5651649414,28.6464747865,28.3568084635,28.4367843189,149054649,224.84,0.0,225.48,223.2,223.8295,1.0,21293500
AAPL,2010-03-11,28.6490157191,28.6490157191,28.3720540594,28.4470115728,101425201,225.5,0.0,225.5,223.32,223.91,1.0,14489300
AAPL,2010-03-12,28.7887670153,28.9323297105,28.6807773774,28.8865929227,104081004,226.6,0.0,227.73,225.75,227.37,1.0,14868700
AAPL,2010-03-15,28.4381183085,28.6490157191,27.9820208964,28.6337701232,123375823,223.84,0.0,225.5,220.25,225.38,1.0,17625100
AAPL,2010-03-16,28.5156167546,28.58295147,28.2691462868,28.4813141637,111727111,224.45,0.0,224.98,222.51,224.18,1.0,15961000
AAPL,2010-03-17,28.4736913657,28.7697100204,28.3657017278,28.5727877394,112739312,224.12,0.0,226.45,223.27,224.9,1.0,16105600
AAPL,2010-03-18,28.5410260812,28.5854924027,28.2818509501,28.4711504331,85527485,224.65,0.0,225.0,222.61,224.1,1.0,12218200
AAPL,2010-03-19,28.2361014576,28.6159835946,28.1065265967,28.5588126098,139861539,222.2499,0.0,225.24,221.23,224.79,1.0,19980200
AAPL,2010-03-22,28.5537307445,28.7125390356,27.9693162331,28.0099711557,114105014,224.75,0.0,226.0,220.15,220.47,1.0,16300700
AAPL,2010-03-23,29.0123690892,29.0657286751,28.4711504331,28.6668022477,150607950,228.36,0.0,228.78,224.1,225.64,1.0,21515400
AAPL,2010-03-24,29.1406861885,29.2461348938,28.9043794513,28.9208955136,149445249,229.37,0.0,230.2,227.51,227.64,1.0,21349300
AAPL,2010-03-25,28.795119347,29.3439608011,28.7443006938,29.2789129251,135571235,226.65,0.0,230.97,226.25,230.458,1.0,19367300
AAPL,2010-03-26,29.3350675368,29.4684665014,29.0365079495,29.0873266027,160218960,230.9,0.0,231.95,228.55,228.95,1.0,22888400
AAPL,2010-03-29,29.5243670198,29.7123833319,29.4265411125,29.6018654659,135186235,232.39,0.0,233.8699,231.62,233.0,1.0,19312300
AAPL,2010-03-30,29.9633131365,30.1710343813,29.760673757,30.0595763703,131827631,235.845,0.0,237.48,234.25,236.6027,1.0,18832500
AAPL,2010-03-31,29.8559587317,30.0605038107,29.7873535499,29.9182115818,107665007,235.0,0.0,236.61,234.46,235.49,1.0,15380700
AAPL,2010-04-01,29.9791939656,30.3298426724,29.5701038077,30.1723048476,150786450,235.97,0.0,238.73,232.75,237.49,1.0,21540900
AAPL,2010-04-05,30.2993514805,30.3018924132,29.8267380061,29.8527825659,171127071,238.49,0.0,238.51,234.77,234.975,1.0,24446700
AAPL,2010-04-06,30.4327504451,30.5216830881,30.1100519975,30.262507957,111754411,239.54,0.0,240.24,237.0,238.2,1.0,15964900
AAPL,2010-04-07,30.5674198759,30.7351214314,30.3209621128,30.455618839,157125657,240.6,0.0,241.92,238.6601,239.72,1.0,22446500
AAPL,2010-04-08,30.4848395646,30.6868437109,30.2421804957,30.5470924147,143247443,239.95,0.0,241.54,238.04,240.44,1.0,20463900
AAPL,2010-04-09,30.7186053691,30.7313100324,30.5496333473,30.6728685813,83545783,241.79,0.0,241.89,240.46,241.43,1.0,11935100
AAPL,2010-04-12,30.7821286855,30.8812250592,30.7211463018,30.7706944886,83256683,242.29,0.0,243.07,241.81,242.2,1.0,11893800
AAPL,2010-04-13,30.7999152142,30.8469224683,30.6322136587,30.7274986334,76552776,242.43,0.0,242.8,241.11,241.86,1.0,10936100
AAPL,2010-04-14,31.2140872374,31.2293328334,31.0082716921,31.1619981179,101019201,245.69,0.0,245.81,244.07,245.28,1.0,14431300
AAPL,2010-04-15,31.6244478617,31.6384229913,31.1912188435,31.2255214344,94196294,248.92,0.0,249.03,245.51,245.78,1.0,13456600
AAPL,2010-04-16,31.4313369797,31.9064913867,31.0692540759,31.5799815402,187636587,247.4,0.0,251.14,244.55,248.57,1.0,26805200
AAPL,2010-04-19,31.3894115908,31.4935898298,30.7160644364,31.3843297255,141731241,247.07,0.0,247.89,241.77,247.03,1.0,20247300
AAPL,2010-04-20,31.0743359412,31.6663732505,30.8666146964,31.5761701412,184581784,244.59,0.0,249.25,242.955,248.54,1.0,26368800
AAPL,2010-04-21,32.9330281806,33.0638862124,32.4896354317,32.8803038279,245598045,259.22,0.0,260.25,255.73,258.805,1.0,35085400
AAPL,2010-04-22,33.8540527458,33.8896893263,32.5493473492,32.8085224803,198356398,266.4695,0.0,266.75,256.2,258.24,1.0,28336600
AAPL,2010-04-23,34.4080395885,34.579552543,33.9214509845,34.0472271511,199239099,270.83,0.0,272.18,267.0,267.99,1.0,28462700
AAPL,2010-04-26,34.2390675668,34.6151256002,34.0726364777,34.5414385531,119767319,269.5,0.0,272.46,268.19,271.88,1.0,17109600
AAPL,2010-04-27,33.2912996853,34.0281701562,33.0981888033,33.9557535754,177336077,262.04,0.0,267.84,260.52,267.27,1.0,25333700
AAPL,2010-04-28,33.2353991669,33.5403110858,32.5760271421,33.4450261111,189600789,261.6,0.0,264.0,256.41,263.25,1.0,27085800
AAPL,2010-04-29,34.1298074625,34.3025908832,33.2874882864,33.4158053856,139710339,268.64,0.0,270.0,262.01,263.02,1.0,19958600
AAPL,2010-04-30,33.1706053841,34.375007464,33.1591711871,34.2149287065,135616035,261.09,0.0,270.57,261.0,269.31,1.0,19373700
AAPL,2010-05-03,33.8388706731,34.0332520215,33.398018857,33.5199836246,113585613,266.35,0.0,267.88,262.88,263.84,1.0,16226500
AAPL,2010-05-04,32.8644229988,33.4501079765,32.6192229973,33.3992893233,180955080,258.68,0.0,263.29,256.75,262.89,1.0,25850700
AAPL,2010-05-05,32.5220323231,32.795817817,31.6003090014,32.1466095229,220776020,255.985,0.0,258.14,248.73,253.03,1.0,31539400
AAPL,2010-05-06,32.5201266236,32.5201266236,32.5201266236,32.5201266236,321465521,255.97,0.0,255.97,255.97,255.97,1.0,45923600
AAPL,2010-05-07,29.965218836,31.3258882744,28.6121721956,30.9625349043,419005019,235.86,0.0,246.57,225.21,243.71,1.0,59857800
AAPL,2010-05-10,32.2685742905,32.3524250682,31.5748996748,31.7934198834,246076846,253.99,0.0,254.65,248.53,250.25,1.0,35153800
AAPL,2010-05-11,32.5900022717,33.0181494246,31.8251815417,31.9954240298,212226912,256.52,0.0,259.89,250.5,251.84,1.0,30318100
AAPL,2010-05-12,33.297652017,33.4297805152,32.8669639315,32.9362043464,163595063,262.09,0.0,263.13,258.7,259.245,1.0,23370700
AAPL,2010-05-13,32.8237680763,33.6673577187,32.5747566758,33.4412147122,149928249,258.36,0.0,265.0,256.4,263.22,1.0,21418300
AAPL,2010-05-14,32.2469763629,32.5849204064,31.6981349088,32.4178540841,189840889,253.82,0.0,256.48,249.5,255.165,1.0,27120100
AAPL,2010-05-17,32.2977950161,32.5468064165,31.4707214359,32.3587773998,190708890,254.22,0.0,256.18,247.71,254.7,1.0,27244100
AAPL,2010-05-18,32.0614882789,32.8479069365,31.7946903498,32.6484437229,195669795,252.36,0.0,258.55,250.26,256.98,1.0,27952800
AAPL,2010-05-19,31.5507608146,32.1326343933,31.1073680658,31.6981349088,256431956,248.34,0.0,252.92,244.85,249.5,1.0,36633100
AAPL,2010-05-20,30.2066074385,30.9803214329,30.0096851575,30.7300395661,320729120,237.76,0.0,243.85,236.21,241.88,1.0,45818400
AAPL,2010-05-21,30.7859400845,31.0629017443,29.3922385216,29.578997072,305973105,242.32,0.0,244.5,231.35,232.82,1.0,43710400
AAPL,2010-05-24,31.3500271346,31.8760001948,31.2865038182,31.4160913837,188559888,246.76,0.0,250.9,246.26,247.28,1.0,26937100
AAPL,2010-05-25,31.1543753199,31.3500271346,30.1303794588,30.4086115848,262001862,245.22,0.0,246.76,237.16,239.35,1.0,37428800
AAPL,2010-05-26,31.0132265108,32.0322675533,30.9676167696,31.7718219558,212663712,244.109,0.0,252.13,243.75,250.08,1.0,30380500
AAPL,2010-05-27,32.1872644454,32.2558696272,31.6485867219,31.837886205,166570766,253.35,0.0,253.89,249.11,250.6,1.0,23795800
AAPL,2010-05-28,32.6357390596,32.9558965745,32.1872644454,32.9543847196,203903903,256.88,0.0,259.4,253.35,259.3881,1.0,29129100
AAPL,2010-06-01,33.1375732595,33.7867815537,32.899996056,32.992740098,219118419,260.83,0.0,265.94,258.96,259.69,1.0,31302600
AAPL,2010-06-02,33.5339587542,33.6419483921,33.0746851762,33.6089162676,172137172,263.95,0.0,264.8,260.335,264.54,1.0,24591000
AAPL,2010-06-03,33.4285100489,33.7372333668,33.0842136737,33.6902261126,162526862,263.12,0.0,265.55,260.41,265.18,1.0,23218100
AAPL,2010-06-04,32.5194913905,33.2735131567,32.3498841355,32.8047110813,189576289,255.965,0.0,261.9,254.63,258.21,1.0,27082300
AAPL,2010-06-07,31.8810820601,32.9241349163,31.8315338733,32.814874812,221735721,250.94,0.0,259.15,250.55,258.29,1.0,31676500
AAPL,2010-06-08,31.6765369812,32.2444354302,31.2090053721,32.1732893158,250192850,249.33,0.0,253.8,245.65,253.24,1.0,35741800
AAPL,2010-06-09,30.8977411215,32.0030468277,30.8075380121,31.9484167756,213657713,243.2,0.0,251.9,242.49,251.47,1.0,30522500
AAPL,2010-06-10,31.826452008,31.8861639255,30.7706944886,31.1060975994,194089194,250.51,0.0,250.98,242.2,244.84,1.0,27727000
AAPL,2010-06-11,32.2075919067,32.2520582282,31.4275255807,31.5361504518,136439936,253.51,0.0,253.86,247.37,248.225,1.0,19491400
AAPL,2010-06-14,32.305417814,32.9241349163,32.2711152231,32.5188561573,150740250,254.28,0.0,259.15,254.01,255.96,1.0,21534300
AAPL,2010-06-15,32.992740098,33.0130675593,32.4604147062,32.4782012348,146268646,259.69,0.0,259.85,255.5,255.64,1.0,20895500
AAPL,2010-06-16,33.9532126428,34.0167359592,33.1121893423,33.1718758504,195919695,267.25,0.0,267.75,260.6302,261.1,1.0,27988500
AAPL,2010-06-17,34.5401680868,34.6710261186,34.2390675668,34.378818863,218214018,271.87,0.0,272.9,269.5,270.6,1.0,31173400
AAPL,2010-06-18,34.8201788657,34.9378240477,34.4829971019,34.5884458073,196155596,274.074,0.0,275.0,271.42,272.25,1.0,28022200
AAPL,2010-06-21,34.3241888108,35.4472810457,34.1412416594,35.2795794902,194122794,270.17,0.0,279.01,268.73,277.69,1.0,27731800
AAPL,2010-06-22,34.7917204199,35.0610592816,34.4931608326,34.5770116103,179315679,273.85,0.0,275.97,271.5,272.16,1.0,25616500
AAPL,2010-06-23,34.4258261171,34.8946281925,34.0357929541,34.8844644619,192114492,270.97,0.0,274.66,267.9,274.58,1.0,27444900
AAPL,2010-06-24,34.1755442503,34.7085048753,34.0612022807,34.4296375161,178569478,269.0,0.0,273.195,268.1,271.0,1.0,25509900
AAPL,2010-06-25,33.8833369947,34.3368934741,33.7702654914,34.3102136812,137485737,266.7,0.0,270.27,265.81,270.06,1.0,19640800
