symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ACLS,2010-01-04,5.8,5.8,5.64,5.76,128675,1.45,0.0,1.45,1.41,1.44,1.0,514700
ACLS,2010-01-05,5.72,5.92,5.72,5.84,85975,1.43,0.0,1.48,1.43,1.46,1.0,343900
ACLS,2010-01-06,6.04,6.32,5.72,5.72,382900,1.51,0.0,1.58,1.43,1.43,1.0,1531600
ACLS,2010-01-07,6.08,6.36,5.84,6.2,276925,1.52,0.0,1.59,1.46,1.55,1.0,1107700
ACLS,2010-01-08,6.52,6.68,6.12,6.24,279975,1.63,0.0,1.67,1.53,1.56,1.0,1119900
ACLS,2010-01-11,6.56,6.6,6.32,6.56,123300,1.64,0.0,1.65,1.58,1.64,1.0,493200
ACLS,2010-01-12,6.6,6.64,6.4,6.64,142675,1.65,0.0,1.66,1.6,1.66,1.0,570700
ACLS,2010-01-13,6.6,6.6,6.0,6.44,213450,1.65,0.0,1.65,1.5,1.61,1.0,853800
ACLS,2010-01-14,6.6,6.64,6.32,6.6,117050,1.65,0.0,1.66,1.58,1.65,1.0,468200
ACLS,2010-01-15,6.36,6.64,6.28,6.64,134275,1.59,0.0,1.66,1.57,1.66,1.0,537100
ACLS,2010-01-19,6.28,6.4396,6.08,6.28,123850,1.57,0.0,1.6099,1.52,1.57,1.0,495400
ACLS,2010-01-20,7.0,7.28,6.44,6.44,696950,1.75,0.0,1.82,1.61,1.61,1.0,2787800
ACLS,2010-01-21,6.88,7.08,6.52,6.88,244225,1.72,0.0,1.77,1.63,1.72,1.0,976900
ACLS,2010-01-22,6.4,6.8,6.16,6.44,251000,1.6,0.0,1.7,1.54,1.61,1.0,1004000
ACLS,2010-01-25,6.16,6.4404,6.0,6.36,182175,1.54,0.0,1.6101,1.5,1.59,1.0,728700
ACLS,2010-01-26,6.0,6.32,5.96,6.08,148500,1.5,0.0,1.58,1.49,1.52,1.0,594000
ACLS,2010-01-27,6.04,6.12,5.8,6.0,84025,1.51,0.0,1.53,1.45,1.5,1.0,336100
ACLS,2010-01-28,6.12,6.32,5.96,6.2,117625,1.53,0.0,1.58,1.49,1.55,1.0,470500
ACLS,2010-01-29,6.0,6.52,6.0,6.08,113175,1.5,0.0,1.63,1.5,1.52,1.0,452700
ACLS,2010-02-01,6.32,6.4,6.04,6.04,103300,1.58,0.0,1.6,1.51,1.51,1.0,413200
ACLS,2010-02-02,7.04,7.08,6.32,6.48,358950,1.76,0.0,1.77,1.58,1.62,1.0,1435800
ACLS,2010-02-03,7.12,7.44,6.8,7.16,356725,1.78,0.0,1.86,1.7,1.79,1.0,1426900
ACLS,2010-02-04,6.48,7.04,6.32,7.04,210525,1.62,0.0,1.76,1.58,1.76,1.0,842100
ACLS,2010-02-05,6.36,6.56,5.92,6.44,359025,1.59,0.0,1.64,1.48,1.61,1.0,1436100
ACLS,2010-02-08,5.96,6.56,5.96,6.2,201025,1.49,0.0,1.64,1.49,1.55,1.0,804100
ACLS,2010-02-09,6.0,6.28,5.72,6.2,197700,1.5,0.0,1.57,1.43,1.55,1.0,790800
ACLS,2010-02-10,6.2,6.28,5.84,6.24,108450,1.55,0.0,1.57,1.46,1.56,1.0,433800
ACLS,2010-02-11,6.52,6.52,5.92,6.16,131325,1.63,0.0,1.63,1.48,1.54,1.0,525300
ACLS,2010-02-12,6.84,6.84,6.2,6.52,165525,1.71,0.0,1.71,1.55,1.63,1.0,662100
ACLS,2010-02-16,6.88,7.0,6.6,6.84,144475,1.72,0.0,1.75,1.65,1.71,1.0,577900
ACLS,2010-02-17,7.12,7.28,6.92,7.0,270850,1.78,0.0,1.82,1.73,1.75,1.0,1083400
ACLS,2010-02-18,6.72,6.88,6.4,6.76,278375,1.68,0.0,1.72,1.6,1.69,1.0,1113500
ACLS,2010-02-19,6.52,6.68,6.2,6.56,110750,1.63,0.0,1.67,1.55,1.64,1.0,443000
ACLS,2010-02-22,6.96,7.0,6.4804,6.84,198850,1.74,0.0,1.75,1.6201,1.71,1.0,795400
ACLS,2010-02-23,6.72,7.0,6.44,6.96,143550,1.68,0.0,1.75,1.61,1.74,1.0,574200
ACLS,2010-02-24,6.6,6.72,6.52,6.6,75100,1.65,0.0,1.68,1.63,1.65,1.0,300400
ACLS,2010-02-25,6.72,6.72,6.28,6.52,80325,1.68,0.0,1.68,1.57,1.63,1.0,321300
ACLS,2010-02-26,6.6,6.88,6.48,6.68,117475,1.65,0.0,1.72,1.62,1.67,1.0,469900
ACLS,2010-03-01,6.84,6.84,6.64,6.64,114650,1.71,0.0,1.71,1.66,1.66,1.0,458600
ACLS,2010-03-02,7.0,7.0,6.64,6.8,137900,1.75,0.0,1.75,1.66,1.7,1.0,551600
ACLS,2010-03-03,6.88,7.0,6.76,7.0,77750,1.72,0.0,1.75,1.69,1.75,1.0,311000
ACLS,2010-03-04,6.84,6.96,6.64,6.96,79725,1.71,0.0,1.74,1.66,1.74,1.0,318900
ACLS,2010-03-05,6.8,7.0,6.72,7.0,96825,1.7,0.0,1.75,1.68,1.75,1.0,387300
ACLS,2010-03-08,6.8,6.92,6.68,6.92,47475,1.7,0.0,1.73,1.67,1.73,1.0,189900
ACLS,2010-03-09,6.84,6.84,6.72,6.8,104050,1.71,0.0,1.71,1.68,1.7,1.0,416200
ACLS,2010-03-10,6.68,6.82,6.6,6.8,80700,1.67,0.0,1.705,1.65,1.7,1.0,322800
ACLS,2010-03-11,6.72,6.8,6.56,6.6,75175,1.68,0.0,1.7,1.64,1.65,1.0,300700
ACLS,2010-03-12,6.76,6.88,6.6,6.76,97075,1.69,0.0,1.72,1.65,1.69,1.0,388300
ACLS,2010-03-15,6.8,6.84,6.64,6.84,71100,1.7,0.0,1.71,1.66,1.71,1.0,284400
ACLS,2010-03-16,6.92,6.96,6.72,6.84,120050,1.73,0.0,1.74,1.68,1.71,1.0,480200
ACLS,2010-03-17,6.84,6.92,6.68,6.92,189900,1.71,0.0,1.73,1.67,1.73,1.0,759600
ACLS,2010-03-18,6.72,6.92,6.68,6.84,74200,1.68,0.0,1.73,1.67,1.71,1.0,296800
ACLS,2010-03-19,5.92,6.8,5.92,6.68,394175,1.48,0.0,1.7,1.48,1.67,1.0,1576700
ACLS,2010-03-22,6.36,6.6,5.64,5.84,144075,1.59,0.0,1.65,1.41,1.46,1.0,576300
ACLS,2010-03-23,6.56,6.56,6.2,6.36,137750,1.64,0.0,1.64,1.55,1.59,1.0,551000
ACLS,2010-03-24,6.32,6.56,6.28,6.48,76425,1.58,0.0,1.64,1.57,1.62,1.0,305700
ACLS,2010-03-25,6.52,6.6,6.28,6.36,121775,1.63,0.0,1.65,1.57,1.59,1.0,487100
ACLS,2010-03-26,6.56,6.7204,6.44,6.48,125400,1.64,0.0,1.6801,1.61,1.62,1.0,501600
ACLS,2010-03-29,6.56,6.68,6.44,6.44,47275,1.64,0.0,1.67,1.61,1.61,1.0,189100
ACLS,2010-03-30,6.72,6.8,6.48,6.48,151875,1.68,0.0,1.7,1.62,1.62,1.0,607500
ACLS,2010-03-31,6.64,6.8,6.56,6.56,81575,1.66,0.0,1.7,1.64,1.64,1.0,326300
ACLS,2010-04-01,7.36,7.36,6.72,6.72,456900,1.84,0.0,1.84,1.68,1.68,1.0,1827600
ACLS,2010-04-05,7.88,8.36,7.36,7.4,763150,1.97,0.0,2.09,1.84,1.85,1.0,3052600
ACLS,2010-04-06,7.96,8.2,7.68,8.0,178325,1.99,0.0,2.05,1.92,2.0,1.0,713300
ACLS,2010-04-07,7.96,8.08,7.68,8.08,117125,1.99,0.0,2.02,1.92,2.02,1.0,468500
ACLS,2010-04-08,8.36,8.76,7.88,8.0,480825,2.09,0.0,2.19,1.97,2.0,1.0,1923300
ACLS,2010-04-09,8.52,8.88,8.32,8.52,247125,2.13,0.0,2.22,2.08,2.13,1.0,988500
ACLS,2010-04-12,8.84,8.96,8.52,8.84,246050,2.21,0.0,2.24,2.13,2.21,1.0,984200
ACLS,2010-04-13,8.68,8.88,8.2824,8.88,242050,2.17,0.0,2.22,2.0706,2.22,1.0,968200
ACLS,2010-04-14,9.28,9.4,8.68,9.0,352925,2.32,0.0,2.35,2.17,2.25,1.0,1411700
ACLS,2010-04-15,9.24,9.4,8.44,9.16,99275,2.31,0.0,2.35,2.11,2.29,1.0,397102
ACLS,2010-04-16,8.88,9.44,8.68,9.4,56641,2.22,0.0,2.36,2.17,2.35,1.0,226567
ACLS,2010-04-19,9.12,9.12,8.28,8.72,282900,2.28,0.0,2.28,2.07,2.18,1.0,1131600
ACLS,2010-04-20,9.2,9.24,8.8,9.12,197000,2.3,0.0,2.31,2.2,2.28,1.0,788000
ACLS,2010-04-21,9.52,9.72,9.12,9.36,219800,2.38,0.0,2.43,2.28,2.34,1.0,879200
ACLS,2010-04-22,9.44,9.44,9.16,9.44,211925,2.36,0.0,2.36,2.29,2.36,1.0,847700
ACLS,2010-04-23,9.88,10.0,9.36,9.56,493525,2.47,0.0,2.5,2.34,2.39,1.0,1974100
ACLS,2010-04-26,10.0,10.28,9.88,9.88,287850,2.5,0.0,2.57,2.47,2.47,1.0,1151400
ACLS,2010-04-27,10.0,10.2,9.52,10.16,176125,2.5,0.0,2.55,2.38,2.54,1.0,704500
ACLS,2010-04-28,9.4,10.2,8.96,10.2,217675,2.35,0.0,2.55,2.24,2.55,1.0,870700
ACLS,2010-04-29,9.8,9.8,9.2804,9.6,187975,2.45,0.0,2.45,2.3201,2.4,1.0,751900
ACLS,2010-04-30,9.52,10.32,9.36,9.84,159100,2.38,0.0,2.58,2.34,2.46,1.0,636400
ACLS,2010-05-03,9.6,9.84,9.44,9.84,247525,2.4,0.0,2.46,2.36,2.46,1.0,990100
ACLS,2010-05-04,9.4,9.6,9.2,9.6,203825,2.35,0.0,2.4,2.3,2.4,1.0,815300
ACLS,2010-05-05,9.44,9.76,8.32,8.84,376075,2.36,0.0,2.44,2.08,2.21,1.0,1504300
ACLS,2010-05-06,8.72,9.44,7.04,9.44,266750,2.18,0.0,2.36,1.76,2.36,1.0,1067000
ACLS,2010-05-07,8.04,8.92,7.52,8.92,236450,2.01,0.0,2.23,1.88,2.23,1.0,945800
ACLS,2010-05-10,8.96,9.36,8.48,9.16,302725,2.24,0.0,2.34,2.12,2.29,1.0,1210900
ACLS,2010-05-11,8.84,9.32,8.2,8.6,198650,2.21,0.0,2.33,2.05,2.15,1.0,794600
ACLS,2010-05-12,9.2,9.28,8.52,8.6,199950,2.3,0.0,2.32,2.13,2.15,1.0,799800
ACLS,2010-05-13,9.56,9.716,9.0,9.16,144325,2.39,0.0,2.429,2.25,2.29,1.0,577300
ACLS,2010-05-14,8.84,9.56,8.84,9.56,119300,2.21,0.0,2.39,2.21,2.39,1.0,477200
ACLS,2010-05-17,8.8,9.16,8.44,8.84,106950,2.2,0.0,2.29,2.11,2.21,1.0,427800
ACLS,2010-05-18,8.76,9.2,8.6,8.88,148475,2.19,0.0,2.3,2.15,2.22,1.0,593900
ACLS,2010-05-19,8.4,8.84,8.14,8.8,192725,2.1,0.0,2.21,2.035,2.2,1.0,770900
ACLS,2010-05-20,7.72,8.16,7.36,8.12,222900,1.93,0.0,2.04,1.84,2.03,1.0,891600
ACLS,2010-05-21,7.76,8.2,7.24,7.28,330575,1.94,0.0,2.05,1.81,1.82,1.0,1322300
ACLS,2010-05-24,7.24,7.96,7.16,7.84,143650,1.81,0.0,1.99,1.79,1.96,1.0,574600
ACLS,2010-05-25,7.04,7.08,6.6,6.92,231550,1.76,0.0,1.77,1.65,1.73,1.0,926200
ACLS,2010-05-26,7.08,7.6,7.04,7.28,190275,1.77,0.0,1.9,1.76,1.82,1.0,761100
ACLS,2010-05-27,7.96,7.96,7.2768,7.28,182600,1.99,0.0,1.99,1.8192,1.82,1.0,730400
ACLS,2010-05-28,7.92,7.92,7.56,7.88,92500,1.98,0.0,1.98,1.89,1.97,1.0,370000
ACLS,2010-06-01,7.56,7.84,7.56,7.84,62150,1.89,0.0,1.96,1.89,1.96,1.0,248600
