symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AGIO,2013-07-24,31.28,32.0,27.16,29.0,6203200,31.28,0.0,32.0,27.16,29.0,1.0,6203200
AGIO,2013-07-25,27.78,31.47,27.76,31.04,592600,27.78,0.0,31.47,27.76,31.04,1.0,592600
AGIO,2013-07-26,28.53,29.45,27.745,27.75,313700,28.53,0.0,29.45,27.745,27.75,1.0,313700
AGIO,2013-07-29,28.64,30.79,28.02,28.49,149400,28.64,0.0,30.79,28.02,28.49,1.0,149400
AGIO,2013-07-30,29.1,29.86,28.1207,28.55,77300,29.1,0.0,29.86,28.1207,28.55,1.0,77300
AGIO,2013-07-31,29.16,29.36,28.51,29.36,113900,29.16,0.0,29.36,28.51,29.36,1.0,113900
AGIO,2013-08-01,29.15,29.99,28.52,29.99,68200,29.15,0.0,29.99,28.52,29.99,1.0,68200
AGIO,2013-08-02,28.84,29.0,28.24,29.0,121800,28.84,0.0,29.0,28.24,29.0,1.0,121800
AGIO,2013-08-05,28.8,29.04,27.5,29.04,56200,28.8,0.0,29.04,27.5,29.04,1.0,56200
AGIO,2013-08-06,28.96,29.46,28.7,28.75,213400,28.96,0.0,29.46,28.7,28.75,1.0,213400
AGIO,2013-08-07,29.67,30.135,29.14,29.14,101100,29.67,0.0,30.135,29.14,29.14,1.0,101100
AGIO,2013-08-08,29.85,30.39,29.1,29.81,234900,29.85,0.0,30.39,29.1,29.81,1.0,234900
AGIO,2013-08-09,30.0,30.5,29.13,30.38,126800,30.0,0.0,30.5,29.13,30.38,1.0,126800
AGIO,2013-08-12,30.48,30.48,29.662,30.3,214900,30.48,0.0,30.48,29.662,30.3,1.0,214900
AGIO,2013-08-13,31.37,31.8588,29.56,30.0,263500,31.37,0.0,31.8588,29.56,30.0,1.0,263500
AGIO,2013-08-14,32.77,33.4499,30.81,31.0,171600,32.77,0.0,33.4499,30.81,31.0,1.0,171600
AGIO,2013-08-15,32.18,33.14,31.84,33.14,109200,32.18,0.0,33.14,31.84,33.14,1.0,109200
AGIO,2013-08-16,31.91,32.97,31.41,32.48,221300,31.91,0.0,32.97,31.41,32.48,1.0,221300
AGIO,2013-08-19,29.11,32.35,29.04,31.91,163600,29.11,0.0,32.35,29.04,31.91,1.0,163600
AGIO,2013-08-20,26.76,29.195,26.51,28.98,148900,26.76,0.0,29.195,26.51,28.98,1.0,148900
AGIO,2013-08-21,24.79,26.81,24.56,26.81,151800,24.79,0.0,26.81,24.56,26.81,1.0,151800
AGIO,2013-08-22,25.47,26.0,24.545,24.56,50300,25.47,0.0,26.0,24.545,24.56,1.0,50300
AGIO,2013-08-23,25.87,26.35,25.38,25.46,36400,25.87,0.0,26.35,25.38,25.46,1.0,36400
AGIO,2013-08-26,25.6,26.46,25.5035,25.75,115400,25.6,0.0,26.46,25.5035,25.75,1.0,115400
AGIO,2013-08-27,22.65,25.641,22.3375,25.5,189500,22.65,0.0,25.641,22.3375,25.5,1.0,189500
AGIO,2013-08-28,23.1,23.29,22.5,22.86,182500,23.1,0.0,23.29,22.5,22.86,1.0,182500
AGIO,2013-08-29,24.87,25.48,23.42,23.72,124900,24.87,0.0,25.48,23.42,23.72,1.0,124900
AGIO,2013-08-30,23.58,25.86,23.1,25.16,166300,23.58,0.0,25.86,23.1,25.16,1.0,166300
AGIO,2013-09-03,23.58,25.38,23.14,24.09,95000,23.58,0.0,25.38,23.14,24.09,1.0,95000
AGIO,2013-09-04,25.44,25.44,23.5,23.74,87300,25.44,0.0,25.44,23.5,23.74,1.0,87300
AGIO,2013-09-05,27.1,27.75,25.0,26.2999,57100,27.1,0.0,27.75,25.0,26.2999,1.0,57100
AGIO,2013-09-06,27.08,28.18,26.05,27.71,91500,27.08,0.0,28.18,26.05,27.71,1.0,91500
AGIO,2013-09-09,26.79,28.99,26.13,27.1101,81800,26.79,0.0,28.99,26.13,27.1101,1.0,81800
AGIO,2013-09-10,27.72,27.72,26.13,27.09,103600,27.72,0.0,27.72,26.13,27.09,1.0,103600
AGIO,2013-09-11,27.13,27.8,26.56,27.48,86400,27.13,0.0,27.8,26.56,27.48,1.0,86400
AGIO,2013-09-12,26.93,27.674,26.6,27.08,93500,26.93,0.0,27.674,26.6,27.08,1.0,93500
AGIO,2013-09-13,26.55,27.23,26.07,26.94,129200,26.55,0.0,27.23,26.07,26.94,1.0,129200
AGIO,2013-09-16,26.9,28.1195,26.12,27.0,95400,26.9,0.0,28.1195,26.12,27.0,1.0,95400
AGIO,2013-09-17,26.07,27.84,25.87,27.02,85200,26.07,0.0,27.84,25.87,27.02,1.0,85200
AGIO,2013-09-18,27.12,27.2,25.81,25.81,162500,27.12,0.0,27.2,25.81,25.81,1.0,162500
AGIO,2013-09-19,27.66,27.8,26.31,27.04,178200,27.66,0.0,27.8,26.31,27.04,1.0,178200
AGIO,2013-09-20,26.71,27.9,26.05,27.75,400000,26.71,0.0,27.9,26.05,27.75,1.0,400000
AGIO,2013-09-23,26.09,27.17,25.03,27.17,362400,26.09,0.0,27.17,25.03,27.17,1.0,362400
AGIO,2013-09-24,25.78,26.19,25.1301,26.08,321200,25.78,0.0,26.19,25.1301,26.08,1.0,321200
AGIO,2013-09-25,26.95,27.64,25.2,25.76,189600,26.95,0.0,27.64,25.2,25.76,1.0,189600
AGIO,2013-09-26,27.44,29.34,27.25,27.38,255500,27.44,0.0,29.34,27.25,27.38,1.0,255500
AGIO,2013-09-27,27.86,28.96,27.1,27.1,127000,27.86,0.0,28.96,27.1,27.1,1.0,127000
AGIO,2013-09-30,27.96,28.15,26.76,27.49,959300,27.96,0.0,28.15,26.76,27.49,1.0,959300
AGIO,2013-10-01,28.75,29.24,27.134,28.08,117700,28.75,0.0,29.24,27.134,28.08,1.0,117700
AGIO,2013-10-02,30.04,30.05,28.1,28.71,127400,30.04,0.0,30.05,28.1,28.71,1.0,127400
AGIO,2013-10-03,32.25,32.7,29.5,30.05,223200,32.25,0.0,32.7,29.5,30.05,1.0,223200
AGIO,2013-10-04,33.18,33.59,31.86,32.16,104500,33.18,0.0,33.59,31.86,32.16,1.0,104500
AGIO,2013-10-07,30.79,32.92,30.76,32.92,97900,30.79,0.0,32.92,30.76,32.92,1.0,97900
AGIO,2013-10-08,28.97,31.12,28.52,30.79,201800,28.97,0.0,31.12,28.52,30.79,1.0,201800
AGIO,2013-10-09,25.15,29.16,24.43,29.16,421800,25.15,0.0,29.16,24.43,29.16,1.0,421800
AGIO,2013-10-10,25.16,27.41,24.12,25.63,142700,25.16,0.0,27.41,24.12,25.63,1.0,142700
AGIO,2013-10-11,24.76,26.22,24.32,25.19,103000,24.76,0.0,26.22,24.32,25.19,1.0,103000
AGIO,2013-10-14,26.23,26.3875,24.25,24.73,38700,26.23,0.0,26.3875,24.25,24.73,1.0,38700
AGIO,2013-10-15,26.43,27.58,26.1,26.56,60100,26.43,0.0,27.58,26.1,26.56,1.0,60100
AGIO,2013-10-16,27.42,27.51,26.501,26.66,86200,27.42,0.0,27.51,26.501,26.66,1.0,86200
AGIO,2013-10-17,28.4,28.73,27.17,27.17,40300,28.4,0.0,28.73,27.17,27.17,1.0,40300
AGIO,2013-10-18,28.52,29.58,28.06,28.61,86000,28.52,0.0,29.58,28.06,28.61,1.0,86000
AGIO,2013-10-21,28.8,29.35,28.41,28.69,137100,28.8,0.0,29.35,28.41,28.69,1.0,137100
AGIO,2013-10-22,26.708,29.25,26.55,28.77,61700,26.708,0.0,29.25,26.55,28.77,1.0,61700
AGIO,2013-10-23,27.3,27.38,25.51,26.48,26100,27.3,0.0,27.38,25.51,26.48,1.0,26100
AGIO,2013-10-24,27.72,27.99,27.08,27.37,30500,27.72,0.0,27.99,27.08,27.37,1.0,30500
AGIO,2013-10-25,26.52,28.31,26.14,27.82,45300,26.52,0.0,28.31,26.14,27.82,1.0,45300
AGIO,2013-10-28,25.04,26.47,24.9,26.45,74600,25.04,0.0,26.47,24.9,26.45,1.0,74600
AGIO,2013-10-29,25.68,25.905,24.75,25.11,54000,25.68,0.0,25.905,24.75,25.11,1.0,54000
AGIO,2013-10-30,24.53,25.8199,24.48,25.77,58000,24.53,0.0,25.8199,24.48,25.77,1.0,58000
AGIO,2013-10-31,23.16,24.77,23.15,23.94,92500,23.16,0.0,24.77,23.15,23.94,1.0,92500
