symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AMZN,2010-01-04,133.9,136.61,133.14,136.25,7599900,133.9,0.0,136.61,133.14,136.25,1.0,7599900
AMZN,2010-01-05,134.69,135.479,131.81,133.43,8851900,134.69,0.0,135.479,131.81,133.43,1.0,8851900
AMZN,2010-01-06,132.25,134.73,131.65,134.6,7178800,132.25,0.0,134.73,131.65,134.6,1.0,7178800
AMZN,2010-01-07,130.0,132.32,128.8,132.01,11030200,130.0,0.0,132.32,128.8,132.01,1.0,11030200
AMZN,2010-01-08,133.52,133.68,129.03,130.56,9830500,133.52,0.0,133.68,129.03,130.56,1.0,9830500
AMZN,2010-01-11,130.308,132.8,129.21,132.62,8779400,130.308,0.0,132.8,129.21,132.62,1.0,8779400
AMZN,2010-01-12,127.35,129.82,126.55,128.99,9096300,127.35,0.0,129.82,126.55,128.99,1.0,9096300
AMZN,2010-01-13,129.11,129.71,125.75,127.9021,10723200,129.11,0.0,129.71,125.75,127.9021,1.0,10723200
AMZN,2010-01-14,127.35,130.38,126.4,129.14,9774900,127.35,0.0,130.38,126.4,129.14,1.0,9774900
AMZN,2010-01-15,127.14,129.65,127.06,129.18,15376500,127.14,0.0,129.65,127.06,129.18,1.0,15376500
AMZN,2010-01-19,127.61,128.0,124.33,126.2,8892600,127.61,0.0,128.0,124.33,126.2,1.0,8892600
AMZN,2010-01-20,125.78,129.2,125.08,127.13,9074700,125.78,0.0,129.2,125.08,127.13,1.0,9074700
AMZN,2010-01-21,126.62,128.15,125.0,127.26,9970600,126.62,0.0,128.15,125.0,127.26,1.0,9970600
AMZN,2010-01-22,121.43,127.67,120.76,125.6,11568900,121.43,0.0,127.67,120.76,125.6,1.0,11568900
AMZN,2010-01-25,120.31,122.28,118.12,122.1,12023900,120.31,0.0,122.28,118.12,122.1,1.0,12023900
AMZN,2010-01-26,119.48,122.98,119.061,120.56,9559000,119.48,0.0,122.98,119.061,120.56,1.0,9559000
AMZN,2010-01-27,122.75,123.33,118.8,121.03,14765300,122.75,0.0,123.33,118.8,121.03,1.0,14765300
AMZN,2010-01-28,126.03,127.2,122.8,124.43,27293100,126.03,0.0,127.2,122.8,124.43,1.0,27293100
AMZN,2010-01-29,125.41,131.8499,124.14,129.77,29471300,125.41,0.0,131.8499,124.14,129.77,1.0,29471300
AMZN,2010-02-01,118.87,124.86,113.82,123.18,37774400,118.87,0.0,124.86,113.82,123.18,1.0,37774400
AMZN,2010-02-02,118.12,118.98,114.4,118.79,23079700,118.12,0.0,118.98,114.4,118.79,1.0,23079700
AMZN,2010-02-03,119.1,119.61,116.56,117.12,12405900,119.1,0.0,119.61,116.56,117.12,1.0,12405900
AMZN,2010-02-04,115.94,120.33,115.74,118.64,12784000,115.94,0.0,120.33,115.74,118.64,1.0,12784000
AMZN,2010-02-05,117.39,117.65,114.1,115.88,11024800,117.39,0.0,117.65,114.1,115.88,1.0,11024800
AMZN,2010-02-08,116.83,121.0,116.56,119.375,9890200,116.83,0.0,121.0,116.56,119.375,1.0,9890200
AMZN,2010-02-09,118.03,119.09,117.0,118.2,9223000,118.03,0.0,119.09,117.0,118.2,1.0,9223000
AMZN,2010-02-10,117.36,118.61,116.0,118.0,6233200,117.36,0.0,118.61,116.0,118.0,1.0,6233200
AMZN,2010-02-11,120.09,120.4201,116.5,117.21,8343500,120.09,0.0,120.4201,116.5,117.21,1.0,8343500
AMZN,2010-02-12,119.66,119.94,117.5,118.99,8073500,119.66,0.0,119.94,117.5,118.99,1.0,8073500
AMZN,2010-02-16,117.53,120.5,117.18,120.06,8932700,117.53,0.0,120.5,117.18,120.06,1.0,8932700
AMZN,2010-02-17,116.31,117.13,115.55,117.075,8944800,116.31,0.0,117.13,115.55,117.075,1.0,8944800
AMZN,2010-02-18,118.08,118.51,114.82,115.8386,9800100,118.08,0.0,118.51,114.82,115.8386,1.0,9800100
AMZN,2010-02-19,117.52,119.09,117.0,117.91,7115600,117.52,0.0,119.09,117.0,117.91,1.0,7115600
AMZN,2010-02-22,118.01,118.97,116.18,117.37,6807300,118.01,0.0,118.97,116.18,117.37,1.0,6807300
AMZN,2010-02-23,117.24,119.25,116.51,118.01,7068200,117.24,0.0,119.25,116.51,118.01,1.0,7068200
AMZN,2010-02-24,119.72,119.8,117.15,117.96,7389900,119.72,0.0,119.8,117.15,117.96,1.0,7389900
AMZN,2010-02-25,118.2,118.34,115.85,118.17,9533400,118.2,0.0,118.34,115.85,118.17,1.0,9533400
AMZN,2010-02-26,118.4,119.43,117.0,117.88,5721600,118.4,0.0,119.43,117.0,117.88,1.0,5721600
AMZN,2010-03-01,124.54,124.66,117.53,118.85,13296500,124.54,0.0,124.66,117.53,118.85,1.0,13296500
AMZN,2010-03-02,125.53,127.35,124.8,125.01,12097500,125.53,0.0,127.35,124.8,125.01,1.0,12097500
AMZN,2010-03-03,125.89,126.94,124.43,125.4,6440400,125.89,0.0,126.94,124.43,125.4,1.0,6440400
AMZN,2010-03-04,128.53,128.85,125.57,125.96,7509700,128.53,0.0,128.85,125.57,125.96,1.0,7509700
AMZN,2010-03-05,128.91,129.45,127.07,129.13,6769300,128.91,0.0,129.45,127.07,129.13,1.0,6769300
AMZN,2010-03-08,130.11,130.85,127.71,128.3,5605900,130.11,0.0,130.85,127.71,128.3,1.0,5605900
AMZN,2010-03-09,128.82,130.81,127.97,129.59,6070800,128.82,0.0,130.81,127.97,129.59,1.0,6070800
AMZN,2010-03-10,130.51,131.17,128.48,129.11,5625700,130.51,0.0,131.17,128.48,129.11,1.0,5625700
AMZN,2010-03-11,133.58,133.62,130.36,130.45,7240800,133.58,0.0,133.62,130.36,130.45,1.0,7240800
AMZN,2010-03-12,131.82,134.2,131.18,134.2,6150800,131.82,0.0,134.2,131.18,134.2,1.0,6150800
AMZN,2010-03-15,131.13,132.0,128.63,131.7,6329200,131.13,0.0,132.0,128.63,131.7,1.0,6329200
AMZN,2010-03-16,131.79,132.29,130.5,131.24,4132500,131.79,0.0,132.29,130.5,131.24,1.0,4132500
AMZN,2010-03-17,131.34,132.694,131.22,132.41,4358800,131.34,0.0,132.694,131.22,132.41,1.0,4358800
AMZN,2010-03-18,132.76,132.85,130.44,131.02,5021300,132.76,0.0,132.85,130.44,131.02,1.0,5021300
AMZN,2010-03-19,130.35,133.71,129.66,133.71,8905000,130.35,0.0,133.71,129.66,133.71,1.0,8905000
AMZN,2010-03-22,130.47,130.96,128.64,130.2,5383400,130.47,0.0,130.96,128.64,130.2,1.0,5383400
AMZN,2010-03-23,129.26,130.94,128.07,130.89,4213100,129.26,0.0,130.94,128.07,130.89,1.0,4213100
AMZN,2010-03-24,128.04,129.4,127.2,128.64,4696400,128.04,0.0,129.4,127.2,128.64,1.0,4696400
AMZN,2010-03-25,134.73,136.91,128.04,129.6101,16209600,134.73,0.0,136.91,128.04,129.6101,1.0,16209600
AMZN,2010-03-26,135.06,136.99,133.76,134.895,6565700,135.06,0.0,136.99,133.76,134.895,1.0,6565700
AMZN,2010-03-29,135.12,136.63,134.33,135.37,4626900,135.12,0.0,136.63,134.33,135.37,1.0,4626900
AMZN,2010-03-30,136.579,138.19,135.36,135.74,6192700,136.579,0.0,138.19,135.36,135.74,1.0,6192700
AMZN,2010-03-31,135.77,136.8,134.48,136.0,4600600,135.77,0.0,136.8,134.48,136.0,1.0,4600600
AMZN,2010-04-01,131.81,136.51,131.18,135.8,8785800,131.81,0.0,136.51,131.18,135.8,1.0,8785800
AMZN,2010-04-05,131.49,133.74,130.78,132.85,5816500,131.49,0.0,133.74,130.78,132.85,1.0,5816500
AMZN,2010-04-06,135.56,136.0,131.18,131.23,7950300,135.56,0.0,136.0,131.18,131.23,1.0,7950300
AMZN,2010-04-07,134.87,136.08,133.86,135.96,5945400,134.87,0.0,136.08,133.86,135.96,1.0,5945400
AMZN,2010-04-08,140.96,141.25,134.71,134.71,12689100,140.96,0.0,141.25,134.71,134.71,1.0,12689100
AMZN,2010-04-09,140.06,141.33,139.07,140.72,6011100,140.06,0.0,141.33,139.07,140.72,1.0,6011100
AMZN,2010-04-12,141.2,142.915,139.68,140.0,5445300,141.2,0.0,142.915,139.68,140.0,1.0,5445300
AMZN,2010-04-13,140.16,141.98,139.12,141.23,4785500,140.16,0.0,141.98,139.12,141.23,1.0,4785500
AMZN,2010-04-14,144.28,144.5,139.2,140.34,7900300,144.28,0.0,144.5,139.2,140.34,1.0,7900300
AMZN,2010-04-15,145.82,147.09,144.0,144.55,7829600,145.82,0.0,147.09,144.0,144.55,1.0,7829600
AMZN,2010-04-16,142.171,147.17,141.45,144.88,8396800,142.171,0.0,147.17,141.45,144.88,1.0,8396800
AMZN,2010-04-19,142.43,143.67,139.13,142.35,6022000,142.43,0.0,143.67,139.13,142.35,1.0,6022000
AMZN,2010-04-20,144.2,144.64,142.1,143.83,4311700,144.2,0.0,144.64,142.1,143.83,1.0,4311700
AMZN,2010-04-21,146.43,149.0,143.5219,145.17,7374400,146.43,0.0,149.0,143.5219,145.17,1.0,7374400
AMZN,2010-04-22,150.09,151.09,145.88,147.01,15165800,150.09,0.0,151.09,145.88,147.01,1.0,15165800
AMZN,2010-04-23,143.63,149.09,142.42,145.38,18975200,143.63,0.0,149.09,142.42,145.38,1.0,18975200
AMZN,2010-04-26,147.11,147.73,142.9,143.2,9318300,147.11,0.0,147.73,142.9,143.2,1.0,9318300
AMZN,2010-04-27,142.02,146.44,141.11,145.55,8639000,142.02,0.0,146.44,141.11,145.55,1.0,8639000
