symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AOBC,2010-01-04,4.14,4.2,3.99,4.1,1881600,4.14,0.0,4.2,3.99,4.1,1.0,1881600
AOBC,2010-01-05,4.18,4.19,4.04,4.15,1569600,4.18,0.0,4.19,4.04,4.15,1.0,1569600
AOBC,2010-01-06,4.45,4.5,4.13,4.19,3990000,4.45,0.0,4.5,4.13,4.19,1.0,3990000
AOBC,2010-01-07,4.5,4.5699,4.4,4.5,1844700,4.5,0.0,4.5699,4.4,4.5,1.0,1844700
AOBC,2010-01-08,4.46,4.5,4.35,4.5,1400000,4.46,0.0,4.5,4.35,4.5,1.0,1400000
AOBC,2010-01-11,4.42,4.48,4.37,4.45,1000000,4.42,0.0,4.48,4.37,4.45,1.0,1000000
AOBC,2010-01-12,4.3,4.42,4.25,4.38,1578200,4.3,0.0,4.42,4.25,4.38,1.0,1578200
AOBC,2010-01-13,4.31,4.345,4.21,4.29,1532400,4.31,0.0,4.345,4.21,4.29,1.0,1532400
AOBC,2010-01-14,4.3,4.34,4.25,4.28,970700,4.3,0.0,4.34,4.25,4.28,1.0,970700
AOBC,2010-01-15,4.2,4.29,4.16,4.29,1573700,4.2,0.0,4.29,4.16,4.29,1.0,1573700
AOBC,2010-01-19,4.27,4.28,4.14,4.23,1949200,4.27,0.0,4.28,4.14,4.23,1.0,1949200
AOBC,2010-01-20,4.17,4.27,4.13,4.27,949600,4.17,0.0,4.27,4.13,4.27,1.0,949600
AOBC,2010-01-21,4.07,4.19,4.01,4.19,1205000,4.07,0.0,4.19,4.01,4.19,1.0,1205000
AOBC,2010-01-22,4.01,4.1,3.95,4.05,1251600,4.01,0.0,4.1,3.95,4.05,1.0,1251600
AOBC,2010-01-25,4.01,4.05,3.985,4.04,737300,4.01,0.0,4.05,3.985,4.04,1.0,737300
AOBC,2010-01-26,3.95,4.05,3.91,4.0,765200,3.95,0.0,4.05,3.91,4.0,1.0,765200
AOBC,2010-01-27,3.99,4.041,3.89,3.93,911700,3.99,0.0,4.041,3.89,3.93,1.0,911700
AOBC,2010-01-28,4.02,4.05,3.95,4.01,624900,4.02,0.0,4.05,3.95,4.01,1.0,624900
AOBC,2010-01-29,3.96,4.11,3.95,4.05,1032600,3.96,0.0,4.11,3.95,4.05,1.0,1032600
AOBC,2010-02-01,3.98,4.04,3.96,3.99,801600,3.98,0.0,4.04,3.96,3.99,1.0,801600
AOBC,2010-02-02,4.14,4.25,4.04,4.05,1563600,4.14,0.0,4.25,4.04,4.05,1.0,1563600
AOBC,2010-02-03,4.24,4.25,4.13,4.14,906600,4.24,0.0,4.25,4.13,4.14,1.0,906600
