symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AOSL,2010-04-29,17.7,18.44,17.06,18.11,3800200,17.7,0.0,18.44,17.06,18.11,1.0,3800200
AOSL,2010-04-30,17.91,17.94,17.25,17.75,490900,17.91,0.0,17.94,17.25,17.75,1.0,490900
AOSL,2010-05-03,17.9,18.2,17.76,18.0,92100,17.9,0.0,18.2,17.76,18.0,1.0,92100
AOSL,2010-05-04,17.33,17.99,17.07,17.99,126200,17.33,0.0,17.99,17.07,17.99,1.0,126200
AOSL,2010-05-05,16.7,17.5,16.52,17.25,89800,16.7,0.0,17.5,16.52,17.25,1.0,89800
AOSL,2010-05-06,15.25,16.98,14.74,16.93,170200,15.25,0.0,16.98,14.74,16.93,1.0,170200
AOSL,2010-05-07,14.5,15.3,14.03,15.25,141000,14.5,0.0,15.3,14.03,15.25,1.0,141000
AOSL,2010-05-10,14.84,15.97,14.55,15.48,93300,14.84,0.0,15.97,14.55,15.48,1.0,93300
AOSL,2010-05-11,15.0,15.3,14.75,14.84,71400,15.0,0.0,15.3,14.75,14.84,1.0,71400
AOSL,2010-05-12,15.41,15.59,15.0,15.0,49200,15.41,0.0,15.59,15.0,15.0,1.0,49200
AOSL,2010-05-13,15.1,15.63,15.1,15.57,33300,15.1,0.0,15.63,15.1,15.57,1.0,33300
AOSL,2010-05-14,14.7,15.1999,14.7,15.1,69600,14.7,0.0,15.1999,14.7,15.1,1.0,69600
AOSL,2010-05-17,14.11,14.7901,13.8,14.64,151200,14.11,0.0,14.7901,13.8,14.64,1.0,151200
AOSL,2010-05-18,14.45,14.52,13.91,14.11,293800,14.45,0.0,14.52,13.91,14.11,1.0,293800
AOSL,2010-05-19,14.75,14.85,14.13,14.25,242500,14.75,0.0,14.85,14.13,14.25,1.0,242500
AOSL,2010-05-20,14.26,14.89,14.1,14.58,59400,14.26,0.0,14.89,14.1,14.58,1.0,59400
AOSL,2010-05-21,14.78,15.0,14.01,14.06,131100,14.78,0.0,15.0,14.01,14.06,1.0,131100
AOSL,2010-05-24,14.472,14.8,14.47,14.67,34600,14.472,0.0,14.8,14.47,14.67,1.0,34600
AOSL,2010-05-25,13.85,14.5,13.77,14.12,171700,13.85,0.0,14.5,13.77,14.12,1.0,171700
AOSL,2010-05-26,13.9,14.25,13.85,13.9,241800,13.9,0.0,14.25,13.85,13.9,1.0,241800
AOSL,2010-05-27,15.01,15.1,14.155,14.25,68200,15.01,0.0,15.1,14.155,14.25,1.0,68200
AOSL,2010-05-28,14.89,15.0,14.54,15.0,87200,14.89,0.0,15.0,14.54,15.0,1.0,87200
AOSL,2010-06-01,14.95,15.0,14.72,14.72,34800,14.95,0.0,15.0,14.72,14.72,1.0,34800
AOSL,2010-06-02,15.28,15.42,15.0,15.0,23200,15.28,0.0,15.42,15.0,15.0,1.0,23200
AOSL,2010-06-03,15.35,15.5,15.12,15.23,26200,15.35,0.0,15.5,15.12,15.23,1.0,26200
AOSL,2010-06-04,15.01,15.34,14.51,14.98,83600,15.01,0.0,15.34,14.51,14.98,1.0,83600
AOSL,2010-06-07,14.475,15.52,14.35,15.0,48800,14.475,0.0,15.52,14.35,15.0,1.0,48800
AOSL,2010-06-08,14.41,15.0,14.23,14.53,58000,14.41,0.0,15.0,14.23,14.53,1.0,58000
AOSL,2010-06-09,14.0,14.5,13.95,14.42,43000,14.0,0.0,14.5,13.95,14.42,1.0,43000
AOSL,2010-06-10,14.24,14.49,14.06,14.305,49200,14.24,0.0,14.49,14.06,14.305,1.0,49200
AOSL,2010-06-11,14.38,14.52,14.255,14.26,12600,14.38,0.0,14.52,14.255,14.26,1.0,12600
AOSL,2010-06-14,14.5,14.9,14.32,14.32,103000,14.5,0.0,14.9,14.32,14.32,1.0,103000
AOSL,2010-06-15,14.57,14.68,14.36,14.51,39500,14.57,0.0,14.68,14.36,14.51,1.0,39500
AOSL,2010-06-16,14.71,14.8999,14.345,14.5,24600,14.71,0.0,14.8999,14.345,14.5,1.0,24600
AOSL,2010-06-17,14.79,15.05,14.71,14.72,13800,14.79,0.0,15.05,14.71,14.72,1.0,13800
AOSL,2010-06-18,14.75,14.98,14.67,14.87,57700,14.75,0.0,14.98,14.67,14.87,1.0,57700
AOSL,2010-06-21,14.78,15.1,14.56,14.86,41800,14.78,0.0,15.1,14.56,14.86,1.0,41800
AOSL,2010-06-22,14.72,15.0,14.7,14.72,76600,14.72,0.0,15.0,14.7,14.72,1.0,76600
AOSL,2010-06-23,14.73,15.04,14.51,14.66,86000,14.73,0.0,15.04,14.51,14.66,1.0,86000
AOSL,2010-06-24,14.46,15.0,14.3415,14.63,89400,14.46,0.0,15.0,14.3415,14.63,1.0,89400
AOSL,2010-06-25,13.8,14.55,13.75,14.55,781600,13.8,0.0,14.55,13.75,14.55,1.0,781600
AOSL,2010-06-28,14.14,14.2,13.88,13.98,87800,14.14,0.0,14.2,13.88,13.98,1.0,87800
AOSL,2010-06-29,13.91,14.03,13.8,14.03,42000,13.91,0.0,14.03,13.8,14.03,1.0,42000
AOSL,2010-06-30,13.81,14.01,13.78,14.01,49000,13.81,0.0,14.01,13.78,14.01,1.0,49000
AOSL,2010-07-01,13.44,13.845,13.3,13.83,37700,13.44,0.0,13.845,13.3,13.83,1.0,37700
AOSL,2010-07-02,13.56,13.91,13.4201,13.51,111300,13.56,0.0,13.91,13.4201,13.51,1.0,111300
AOSL,2010-07-06,13.43,13.61,13.39,13.51,67600,13.43,0.0,13.61,13.39,13.51,1.0,67600
AOSL,2010-07-07,13.25,13.5575,13.15,13.48,144000,13.25,0.0,13.5575,13.15,13.48,1.0,144000
AOSL,2010-07-08,12.78,13.32,12.75,13.32,110200,12.78,0.0,13.32,12.75,13.32,1.0,110200
AOSL,2010-07-09,12.69,12.83,12.41,12.8,89800,12.69,0.0,12.83,12.41,12.8,1.0,89800
AOSL,2010-07-12,13.13,13.31,12.68,12.68,86400,13.13,0.0,13.31,12.68,12.68,1.0,86400
AOSL,2010-07-13,13.39,13.4,13.13,13.23,51700,13.39,0.0,13.4,13.13,13.23,1.0,51700
AOSL,2010-07-14,13.3,13.71,13.25,13.5,51400,13.3,0.0,13.71,13.25,13.5,1.0,51400
AOSL,2010-07-15,13.17,13.4,13.1,13.4,17400,13.17,0.0,13.4,13.1,13.4,1.0,17400
AOSL,2010-07-16,13.06,13.41,13.0,13.08,36000,13.06,0.0,13.41,13.0,13.08,1.0,36000
AOSL,2010-07-19,13.14,13.29,12.99,13.08,63500,13.14,0.0,13.29,12.99,13.08,1.0,63500
AOSL,2010-07-20,12.99,13.3,12.66,13.15,55700,12.99,0.0,13.3,12.66,13.15,1.0,55700
AOSL,2010-07-21,12.53,13.0,12.5,13.0,30300,12.53,0.0,13.0,12.5,13.0,1.0,30300
AOSL,2010-07-22,12.82,12.85,12.53,12.68,57700,12.82,0.0,12.85,12.53,12.68,1.0,57700
AOSL,2010-07-23,12.81,12.83,12.54,12.74,33300,12.81,0.0,12.83,12.54,12.74,1.0,33300
AOSL,2010-07-26,12.47,12.85,12.4,12.85,81700,12.47,0.0,12.85,12.4,12.85,1.0,81700
AOSL,2010-07-27,12.64,12.64,12.45,12.54,24000,12.64,0.0,12.64,12.45,12.54,1.0,24000
AOSL,2010-07-28,12.42,12.6,12.35,12.6,32200,12.42,0.0,12.6,12.35,12.6,1.0,32200
AOSL,2010-07-29,12.35,12.7,12.3,12.51,27400,12.35,0.0,12.7,12.3,12.51,1.0,27400
AOSL,2010-07-30,12.41,12.5199,12.32,12.32,25300,12.41,0.0,12.5199,12.32,12.32,1.0,25300
AOSL,2010-08-02,12.54,12.7,12.27,12.58,70900,12.54,0.0,12.7,12.27,12.58,1.0,70900
AOSL,2010-08-03,12.75,13.0,12.52,12.52,62900,12.75,0.0,13.0,12.52,12.52,1.0,62900
AOSL,2010-08-04,13.65,13.65,12.85,12.88,176300,13.65,0.0,13.65,12.85,12.88,1.0,176300
AOSL,2010-08-05,13.25,13.725,13.25,13.71,39500,13.25,0.0,13.725,13.25,13.71,1.0,39500
AOSL,2010-08-06,13.03,13.2375,13.0,13.13,27700,13.03,0.0,13.2375,13.0,13.13,1.0,27700
AOSL,2010-08-09,13.36,13.4593,13.15,13.15,90700,13.36,0.0,13.4593,13.15,13.15,1.0,90700
AOSL,2010-08-10,13.15,13.354,13.0701,13.25,66200,13.15,0.0,13.354,13.0701,13.25,1.0,66200
AOSL,2010-08-11,9.94,10.76,9.62,10.52,1249200,9.94,0.0,10.76,9.62,10.52,1.0,1249200
AOSL,2010-08-12,10.22,10.4,9.66,9.85,219500,10.22,0.0,10.4,9.66,9.85,1.0,219500
AOSL,2010-08-13,10.45,10.7,10.195,10.25,123200,10.45,0.0,10.7,10.195,10.25,1.0,123200
AOSL,2010-08-16,10.8,10.91,10.45,10.57,73900,10.8,0.0,10.91,10.45,10.57,1.0,73900
AOSL,2010-08-17,10.84,11.0,10.6803,11.0,77300,10.84,0.0,11.0,10.6803,11.0,1.0,77300
AOSL,2010-08-18,10.92,10.93,10.55,10.9,28900,10.92,0.0,10.93,10.55,10.9,1.0,28900
AOSL,2010-08-19,10.53,11.0,10.25,10.89,89800,10.53,0.0,11.0,10.25,10.89,1.0,89800
AOSL,2010-08-20,10.82,10.98,10.01,10.45,61400,10.82,0.0,10.98,10.01,10.45,1.0,61400
AOSL,2010-08-23,10.69,11.35,10.55,10.67,132500,10.69,0.0,11.35,10.55,10.67,1.0,132500
AOSL,2010-08-24,10.39,10.49,10.06,10.49,48000,10.39,0.0,10.49,10.06,10.49,1.0,48000
AOSL,2010-08-25,10.5,10.5,10.25,10.3,19300,10.5,0.0,10.5,10.25,10.3,1.0,19300
AOSL,2010-08-26,10.58,10.87,10.47,10.64,38100,10.58,0.0,10.87,10.47,10.64,1.0,38100
AOSL,2010-08-27,11.14,11.14,10.6275,10.65,35700,11.14,0.0,11.14,10.6275,10.65,1.0,35700
AOSL,2010-08-30,11.14,11.29,11.0,11.11,40400,11.14,0.0,11.29,11.0,11.11,1.0,40400
AOSL,2010-08-31,11.13,11.3,11.0,11.19,42000,11.13,0.0,11.3,11.0,11.19,1.0,42000
AOSL,2010-09-01,11.4,11.45,11.11,11.25,41800,11.4,0.0,11.45,11.11,11.25,1.0,41800
AOSL,2010-09-02,11.36,11.4,11.2008,11.4,12200,11.36,0.0,11.4,11.2008,11.4,1.0,12200
AOSL,2010-09-03,11.45,11.48,11.35,11.47,23100,11.45,0.0,11.48,11.35,11.47,1.0,23100
AOSL,2010-09-07,11.08,11.42,11.03,11.36,31300,11.08,0.0,11.42,11.03,11.36,1.0,31300
AOSL,2010-09-08,11.28,11.33,11.06,11.12,14300,11.28,0.0,11.33,11.06,11.12,1.0,14300
AOSL,2010-09-09,11.22,11.41,11.145,11.41,11500,11.22,0.0,11.41,11.145,11.41,1.0,11500
AOSL,2010-09-10,11.23,11.3,11.1,11.26,60800,11.23,0.0,11.3,11.1,11.26,1.0,60800
AOSL,2010-09-13,11.93,11.98,11.35,11.44,52500,11.93,0.0,11.98,11.35,11.44,1.0,52500
AOSL,2010-09-14,11.54,12.0,11.36,11.88,26700,11.54,0.0,12.0,11.36,11.88,1.0,26700
AOSL,2010-09-15,11.63,11.91,11.32,11.47,13100,11.63,0.0,11.91,11.32,11.47,1.0,13100
AOSL,2010-09-16,11.4,11.78,11.38,11.55,18400,11.4,0.0,11.78,11.38,11.55,1.0,18400
AOSL,2010-09-17,11.67,11.69,11.33,11.55,24400,11.67,0.0,11.69,11.33,11.55,1.0,24400
AOSL,2010-09-20,11.94,11.94,11.7,11.7,30600,11.94,0.0,11.94,11.7,11.7,1.0,30600
AOSL,2010-09-21,11.42,12.0,11.35,11.93,117200,11.42,0.0,12.0,11.35,11.93,1.0,117200
AOSL,2010-09-22,11.31,11.46,11.0,11.33,37500,11.31,0.0,11.46,11.0,11.33,1.0,37500
AOSL,2010-09-23,11.28,11.4692,11.28,11.33,67300,11.28,0.0,11.4692,11.28,11.33,1.0,67300
AOSL,2010-09-24,11.4,11.75,11.38,11.47,66100,11.4,0.0,11.75,11.38,11.47,1.0,66100
AOSL,2010-09-27,11.6,12.0,11.4001,11.69,77700,11.6,0.0,12.0,11.4001,11.69,1.0,77700
AOSL,2010-09-28,11.66,11.87,11.51,11.66,68900,11.66,0.0,11.87,11.51,11.66,1.0,68900
AOSL,2010-09-29,11.5,12.11,11.46,11.61,47500,11.5,0.0,12.11,11.46,11.61,1.0,47500
AOSL,2010-09-30,11.36,11.61,11.31,11.57,23300,11.36,0.0,11.61,11.31,11.57,1.0,23300
AOSL,2010-10-01,11.5,11.55,11.26,11.48,41400,11.5,0.0,11.55,11.26,11.48,1.0,41400
AOSL,2010-10-04,11.02,11.49,11.01,11.47,47500,11.02,0.0,11.49,11.01,11.47,1.0,47500
AOSL,2010-10-05,11.48,11.83,11.43,11.48,60200,11.48,0.0,11.83,11.43,11.48,1.0,60200
AOSL,2010-10-06,11.45,11.53,11.27,11.48,31900,11.45,0.0,11.53,11.27,11.48,1.0,31900
AOSL,2010-10-07,11.4,11.57,11.35,11.52,32600,11.4,0.0,11.57,11.35,11.52,1.0,32600
AOSL,2010-10-08,11.38,11.51,11.29,11.35,38000,11.38,0.0,11.51,11.29,11.35,1.0,38000
AOSL,2010-10-11,11.37,11.7,11.25,11.4,29000,11.37,0.0,11.7,11.25,11.4,1.0,29000
AOSL,2010-10-12,11.5,11.98,11.19,11.36,75100,11.5,0.0,11.98,11.19,11.36,1.0,75100
AOSL,2010-10-13,11.67,11.77,11.49,11.5,125100,11.67,0.0,11.77,11.49,11.5,1.0,125100
AOSL,2010-10-14,11.81,11.9,11.6,11.7,82900,11.81,0.0,11.9,11.6,11.7,1.0,82900
AOSL,2010-10-15,11.67,11.94,11.47,11.94,42300,11.67,0.0,11.94,11.47,11.94,1.0,42300
AOSL,2010-10-18,11.59,11.78,11.43,11.6,106500,11.59,0.0,11.78,11.43,11.6,1.0,106500
AOSL,2010-10-19,11.41,11.59,11.23,11.59,48500,11.41,0.0,11.59,11.23,11.59,1.0,48500
AOSL,2010-10-20,11.58,11.78,11.4175,11.51,76700,11.58,0.0,11.78,11.4175,11.51,1.0,76700
AOSL,2010-10-21,11.35,11.7,11.33,11.7,18100,11.35,0.0,11.7,11.33,11.7,1.0,18100
AOSL,2010-10-22,11.35,11.606,11.15,11.43,30900,11.35,0.0,11.606,11.15,11.43,1.0,30900
AOSL,2010-10-25,11.29,11.56,11.19,11.48,102800,11.29,0.0,11.56,11.19,11.48,1.0,102800
AOSL,2010-10-26,11.23,11.3399,11.08,11.18,35200,11.23,0.0,11.3399,11.08,11.18,1.0,35200
AOSL,2010-10-27,11.0,11.27,10.8,11.03,95100,11.0,0.0,11.27,10.8,11.03,1.0,95100
AOSL,2010-10-28,11.44,11.52,10.5,10.5,83800,11.44,0.0,11.52,10.5,10.5,1.0,83800
AOSL,2010-10-29,11.21,11.64,10.53,11.33,284300,11.21,0.0,11.64,10.53,11.33,1.0,284300
AOSL,2010-11-01,11.29,11.62,11.08,11.21,140900,11.29,0.0,11.62,11.08,11.21,1.0,140900
AOSL,2010-11-02,11.41,11.5,11.13,11.45,218700,11.41,0.0,11.5,11.13,11.45,1.0,218700
AOSL,2010-11-03,11.41,11.5,11.32,11.44,200200,11.41,0.0,11.5,11.32,11.44,1.0,200200
AOSL,2010-11-04,11.67,11.67,11.42,11.46,95800,11.67,0.0,11.67,11.42,11.46,1.0,95800
AOSL,2010-11-05,11.68,11.68,11.3,11.67,259400,11.68,0.0,11.68,11.3,11.67,1.0,259400
AOSL,2010-11-08,11.95,12.0,11.57,11.66,79800,11.95,0.0,12.0,11.57,11.66,1.0,79800
AOSL,2010-11-09,12.2,12.45,11.96,11.96,94500,12.2,0.0,12.45,11.96,11.96,1.0,94500
AOSL,2010-11-10,12.37,12.39,12.01,12.19,22000,12.37,0.0,12.39,12.01,12.19,1.0,22000
AOSL,2010-11-11,11.91,12.07,11.72,11.99,49900,11.91,0.0,12.07,11.72,11.99,1.0,49900
AOSL,2010-11-12,11.84,11.9,11.7,11.75,49800,11.84,0.0,11.9,11.7,11.75,1.0,49800
AOSL,2010-11-15,12.05,12.27,11.74,11.74,95700,12.05,0.0,12.27,11.74,11.74,1.0,95700
AOSL,2010-11-16,11.79,12.0999,11.6025,11.67,91900,11.79,0.0,12.0999,11.6025,11.67,1.0,91900
AOSL,2010-11-17,12.0,12.01,11.61,11.78,69400,12.0,0.0,12.01,11.61,11.78,1.0,69400
AOSL,2010-11-18,12.06,12.16,11.72,12.0,84600,12.06,0.0,12.16,11.72,12.0,1.0,84600
AOSL,2010-11-19,11.85,12.1,11.63,12.0,111500,11.85,0.0,12.1,11.63,12.0,1.0,111500
AOSL,2010-11-22,11.6,11.8,11.42,11.8,117100,11.6,0.0,11.8,11.42,11.8,1.0,117100
AOSL,2010-11-23,11.54,11.5794,11.38,11.45,27100,11.54,0.0,11.5794,11.38,11.45,1.0,27100
AOSL,2010-11-24,11.6,11.6,11.39,11.49,53600,11.6,0.0,11.6,11.39,11.49,1.0,53600
AOSL,2010-11-26,11.59,11.6,11.42,11.49,30300,11.59,0.0,11.6,11.42,11.49,1.0,30300
AOSL,2010-11-29,11.82,11.93,11.46,11.46,68800,11.82,0.0,11.93,11.46,11.46,1.0,68800
AOSL,2010-11-30,11.76,11.9,11.444,11.67,73800,11.76,0.0,11.9,11.444,11.67,1.0,73800
AOSL,2010-12-01,11.76,11.8,11.5,11.6,91900,11.76,0.0,11.8,11.5,11.6,1.0,91900
AOSL,2010-12-02,13.28,13.35,11.65,11.75,496300,13.28,0.0,13.35,11.65,11.75,1.0,496300
AOSL,2010-12-03,13.06,13.2,12.696,13.0,138600,13.06,0.0,13.2,12.696,13.0,1.0,138600
AOSL,2010-12-06,13.01,13.14,12.5,12.96,70200,13.01,0.0,13.14,12.5,12.96,1.0,70200
AOSL,2010-12-07,13.09,13.35,12.95,13.07,151900,13.09,0.0,13.35,12.95,13.07,1.0,151900
AOSL,2010-12-08,12.66,13.05,12.6,13.05,35300,12.66,0.0,13.05,12.6,13.05,1.0,35300
AOSL,2010-12-09,12.74,13.05,12.34,12.7,190200,12.74,0.0,13.05,12.34,12.7,1.0,190200
AOSL,2010-12-10,13.0,13.0,12.58,12.76,85900,13.0,0.0,13.0,12.58,12.76,1.0,85900
AOSL,2010-12-13,13.03,13.07,12.965,13.0,107900,13.03,0.0,13.07,12.965,13.0,1.0,107900
AOSL,2010-12-14,13.02,13.07,12.78,13.01,83400,13.02,0.0,13.07,12.78,13.01,1.0,83400
AOSL,2010-12-15,13.53,13.53,12.97,12.97,180200,13.53,0.0,13.53,12.97,12.97,1.0,180200
AOSL,2010-12-16,13.56,13.73,13.35,13.55,84000,13.56,0.0,13.73,13.35,13.55,1.0,84000
AOSL,2010-12-17,13.46,13.55,13.09,13.52,63600,13.46,0.0,13.55,13.09,13.52,1.0,63600
AOSL,2010-12-20,13.45,13.54,13.415,13.42,31400,13.45,0.0,13.54,13.415,13.42,1.0,31400
AOSL,2010-12-21,13.25,13.4,13.0701,13.4,88400,13.25,0.0,13.4,13.0701,13.4,1.0,88400
AOSL,2010-12-22,13.02,13.1,12.91,13.1,95400,13.02,0.0,13.1,12.91,13.1,1.0,95400
AOSL,2010-12-23,12.96,13.04,12.93,12.96,37400,12.96,0.0,13.04,12.93,12.96,1.0,37400
AOSL,2010-12-27,12.96,13.05,12.83,12.9,40600,12.96,0.0,13.05,12.83,12.9,1.0,40600
AOSL,2010-12-28,12.99,13.04,12.96,12.97,48900,12.99,0.0,13.04,12.96,12.97,1.0,48900
AOSL,2010-12-29,12.8,12.99,12.785,12.93,34300,12.8,0.0,12.99,12.785,12.93,1.0,34300
AOSL,2010-12-30,12.93,13.05,12.79,12.79,130300,12.93,0.0,13.05,12.79,12.79,1.0,130300
AOSL,2010-12-31,12.83,12.935,12.817,12.84,36800,12.83,0.0,12.935,12.817,12.84,1.0,36800
AOSL,2011-01-03,13.24,13.25,12.94,12.97,203600,13.24,0.0,13.25,12.94,12.97,1.0,203600
AOSL,2011-01-04,13.32,13.37,13.07,13.2,142400,13.32,0.0,13.37,13.07,13.2,1.0,142400
AOSL,2011-01-05,13.68,13.7,13.1,13.3,94000,13.68,0.0,13.7,13.1,13.3,1.0,94000
AOSL,2011-01-06,13.96,13.98,13.42,13.65,84600,13.96,0.0,13.98,13.42,13.65,1.0,84600
