symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
APDN,2010-01-04,4.20084,4.20084,3.60072,4.20084,6800,0.070014,0.0,0.070014,0.060012,0.070014,1.0,408000
APDN,2010-01-05,4.20084,4.20084,4.20084,4.20084,2800,0.070014,0.0,0.070014,0.070014,0.070014,1.0,168000
APDN,2010-01-06,4.80096,4.80096,4.20084,4.20084,2700,0.080016,0.0,0.080016,0.070014,0.070014,1.0,162000
APDN,2010-01-07,5.40108,5.40108,4.80096,4.80096,5600,0.090018,0.0,0.090018,0.080016,0.080016,1.0,336000
APDN,2010-01-08,5.40108,5.40108,4.80096,5.40108,4700,0.090018,0.0,0.090018,0.080016,0.090018,1.0,282000
APDN,2010-01-11,6.0012,6.0012,5.40108,5.40108,14100,0.10002,0.0,0.10002,0.090018,0.090018,1.0,846000
APDN,2010-01-12,6.60132,7.80156,6.0012,6.0012,21800,0.110022,0.0,0.130026,0.10002,0.10002,1.0,1308000
APDN,2010-01-13,6.0012,7.20144,6.0012,7.20144,3500,0.10002,0.0,0.120024,0.10002,0.120024,1.0,210000
APDN,2010-01-14,6.0012,6.60132,5.40108,6.60132,5900,0.10002,0.0,0.110022,0.090018,0.110022,1.0,354000
APDN,2010-01-15,5.40108,6.0012,5.40108,5.40108,4200,0.090018,0.0,0.10002,0.090018,0.090018,1.0,252000
APDN,2010-01-19,5.40108,6.0012,5.40108,5.40108,1600,0.090018,0.0,0.10002,0.090018,0.090018,1.0,96000
APDN,2010-01-20,4.80096,5.40108,4.80096,5.40108,1700,0.080016,0.0,0.090018,0.080016,0.090018,1.0,102000
APDN,2010-01-21,4.80096,5.40108,4.20084,5.40108,4400,0.080016,0.0,0.090018,0.070014,0.090018,1.0,264000
APDN,2010-01-22,4.80096,5.40108,4.80096,4.80096,3200,0.080016,0.0,0.090018,0.080016,0.080016,1.0,192000
APDN,2010-01-25,4.80096,4.80096,4.80096,4.80096,1300,0.080016,0.0,0.080016,0.080016,0.080016,1.0,78000
APDN,2010-01-26,4.80096,5.40108,4.80096,4.80096,2700,0.080016,0.0,0.090018,0.080016,0.080016,1.0,162000
APDN,2010-01-27,4.80096,4.80096,4.80096,4.80096,1400,0.080016,0.0,0.080016,0.080016,0.080016,1.0,84000
APDN,2010-01-28,4.80096,5.40108,4.80096,4.80096,3200,0.080016,0.0,0.090018,0.080016,0.080016,1.0,192000
APDN,2010-01-29,4.80096,5.40108,4.80096,4.80096,5100,0.080016,0.0,0.090018,0.080016,0.080016,1.0,306000
APDN,2010-02-01,4.80096,4.80096,4.80096,4.80096,3300,0.080016,0.0,0.080016,0.080016,0.080016,1.0,198000
APDN,2010-02-02,5.40108,5.40108,4.80096,4.80096,1800,0.090018,0.0,0.090018,0.080016,0.080016,1.0,108000
APDN,2010-02-03,4.80096,5.40108,4.80096,4.80096,3500,0.080016,0.0,0.090018,0.080016,0.080016,1.0,210000
APDN,2010-02-04,5.40108,5.40108,4.80096,4.80096,5600,0.090018,0.0,0.090018,0.080016,0.080016,1.0,336000
APDN,2010-02-05,4.80096,5.40108,4.80096,5.40108,600,0.080016,0.0,0.090018,0.080016,0.090018,1.0,36000
APDN,2010-02-08,5.40108,5.40108,4.80096,4.80096,1400,0.090018,0.0,0.090018,0.080016,0.080016,1.0,84000
APDN,2010-02-09,5.40108,5.40108,5.40108,5.40108,3700,0.090018,0.0,0.090018,0.090018,0.090018,1.0,222000
APDN,2010-02-10,5.40108,5.40108,5.40108,5.40108,2600,0.090018,0.0,0.090018,0.090018,0.090018,1.0,156000
APDN,2010-02-11,5.40108,6.0012,5.40108,5.40108,2200,0.090018,0.0,0.10002,0.090018,0.090018,1.0,132000
APDN,2010-02-12,5.40108,5.40108,5.40108,5.40108,3900,0.090018,0.0,0.090018,0.090018,0.090018,1.0,234000
APDN,2010-02-16,5.40108,6.0012,5.40108,5.40108,1100,0.090018,0.0,0.10002,0.090018,0.090018,1.0,66000
APDN,2010-02-17,5.40108,5.40108,4.80096,4.80096,2400,0.090018,0.0,0.090018,0.080016,0.080016,1.0,144000
APDN,2010-02-18,5.40108,6.0012,5.40108,5.40108,4900,0.090018,0.0,0.10002,0.090018,0.090018,1.0,294000
APDN,2010-02-19,5.40108,6.0012,5.40108,6.0012,5000,0.090018,0.0,0.10002,0.090018,0.10002,1.0,300000
APDN,2010-02-22,5.40108,6.0012,4.80096,5.40108,5400,0.090018,0.0,0.10002,0.080016,0.090018,1.0,324000
APDN,2010-02-23,5.40108,5.40108,5.40108,5.40108,3100,0.090018,0.0,0.090018,0.090018,0.090018,1.0,186000
APDN,2010-02-24,5.40108,5.40108,4.80096,4.80096,3700,0.090018,0.0,0.090018,0.080016,0.080016,1.0,222000
APDN,2010-02-25,5.40108,5.40108,4.80096,5.40108,2500,0.090018,0.0,0.090018,0.080016,0.090018,1.0,150000
APDN,2010-02-26,5.40108,5.40108,4.80096,4.80096,300,0.090018,0.0,0.090018,0.080016,0.080016,1.0,18000
APDN,2010-03-01,4.80096,5.40108,4.80096,5.40108,1300,0.080016,0.0,0.090018,0.080016,0.090018,1.0,78000
APDN,2010-03-02,4.80096,4.80096,4.20084,4.80096,3100,0.080016,0.0,0.080016,0.070014,0.080016,1.0,186000
APDN,2010-03-03,4.20084,4.80096,4.20084,4.80096,1500,0.070014,0.0,0.080016,0.070014,0.080016,1.0,90000
APDN,2010-03-04,4.80096,4.80096,4.20084,4.20084,1300,0.080016,0.0,0.080016,0.070014,0.070014,1.0,78000
APDN,2010-03-05,4.20084,4.80096,4.20084,4.80096,1100,0.070014,0.0,0.080016,0.070014,0.080016,1.0,66000
