symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
APDNW,2014-11-17,0.8,1.03,0.5,0.5,257989,0.8,0.0,1.03,0.5,0.5,1.0,257989
APDNW,2014-11-18,0.87,1.04,0.85,1.04,26364,0.87,0.0,1.04,0.85,1.04,1.0,26364
APDNW,2014-11-19,0.84,0.9374,0.84,0.91,28305,0.84,0.0,0.9374,0.84,0.91,1.0,28305
APDNW,2014-11-20,0.8,0.87,0.8,0.85,7375,0.8,0.0,0.87,0.8,0.85,1.0,7375
APDNW,2014-11-21,0.9265,0.9265,0.797,0.82,19465,0.9265,0.0,0.9265,0.797,0.82,1.0,19465
APDNW,2014-11-24,0.72,0.831,0.67,0.831,15200,0.72,0.0,0.831,0.67,0.831,1.0,15200
APDNW,2014-11-25,0.7,1.21,0.7,1.21,33600,0.7,0.0,1.21,0.7,1.21,1.0,33600
APDNW,2014-11-26,0.78,0.78,0.75,0.75,1100,0.78,0.0,0.78,0.75,0.75,1.0,1100
APDNW,2014-11-28,0.6995,0.85,0.6995,0.85,9300,0.6995,0.0,0.85,0.6995,0.85,1.0,9300
APDNW,2014-12-01,0.65,0.73,0.65,0.73,11150,0.65,0.0,0.73,0.65,0.73,1.0,11150
APDNW,2014-12-02,0.84,0.84,0.689,0.689,32150,0.84,0.0,0.84,0.689,0.689,1.0,32150
APDNW,2014-12-03,0.9,0.9,0.7801,0.8,18864,0.9,0.0,0.9,0.7801,0.8,1.0,18864
APDNW,2014-12-04,0.95,1.15,0.8301,1.04,46650,0.95,0.0,1.15,0.8301,1.04,1.0,46650
APDNW,2014-12-05,1.03,1.1,1.0,1.1,13400,1.03,0.0,1.1,1.0,1.1,1.0,13400
APDNW,2014-12-08,1.0,1.15,1.0,1.1,34521,1.0,0.0,1.15,1.0,1.1,1.0,34521
APDNW,2014-12-09,1.0,1.0649,1.0,1.0649,6290,1.0,0.0,1.0649,1.0,1.0649,1.0,6290
APDNW,2014-12-10,1.05,1.0762,1.0,1.0762,3356,1.05,0.0,1.0762,1.0,1.0762,1.0,3356
APDNW,2014-12-11,1.0109,1.04,1.0,1.03,14900,1.0109,0.0,1.04,1.0,1.03,1.0,14900
