symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ARDM,2010-01-04,6.0,6.0,5.6,5.6,9500,0.15,0.0,0.15,0.14,0.14,1.0,380000
ARDM,2010-01-05,6.0,6.0,5.6,6.0,2300,0.15,0.0,0.15,0.14,0.15,1.0,92000
ARDM,2010-01-06,7.2,7.2,5.6,5.6,16200,0.18,0.0,0.18,0.14,0.14,1.0,648000
ARDM,2010-01-07,6.8,7.2,6.4,7.2,3900,0.17,0.0,0.18,0.16,0.18,1.0,156000
ARDM,2010-01-08,6.8,7.2,6.4,6.4,1600,0.17,0.0,0.18,0.16,0.16,1.0,64000
ARDM,2010-01-11,6.8,7.2,6.8,7.2,5400,0.17,0.0,0.18,0.17,0.18,1.0,216000
ARDM,2010-01-12,6.4,6.8,6.4,6.8,4300,0.16,0.0,0.17,0.16,0.17,1.0,172000
ARDM,2010-01-13,6.4,6.8,6.0,6.4,11600,0.16,0.0,0.17,0.15,0.16,1.0,464000
ARDM,2010-01-14,6.4,6.8,6.0,6.0,10100,0.16,0.0,0.17,0.15,0.15,1.0,404000
ARDM,2010-01-15,6.4,6.8,6.4,6.4,4100,0.16,0.0,0.17,0.16,0.16,1.0,164000
ARDM,2010-01-19,6.8,6.8,6.0,6.4,5500,0.17,0.0,0.17,0.15,0.16,1.0,220000
ARDM,2010-01-20,6.4,6.8,6.4,6.8,4300,0.16,0.0,0.17,0.16,0.17,1.0,172000
ARDM,2010-01-21,6.4,6.4,6.0,6.4,1800,0.16,0.0,0.16,0.15,0.16,1.0,72000
ARDM,2010-01-22,6.0,6.4,6.0,6.4,4400,0.15,0.0,0.16,0.15,0.16,1.0,176000
ARDM,2010-01-25,6.0,6.0,5.6,6.0,3100,0.15,0.0,0.15,0.14,0.15,1.0,124000
ARDM,2010-01-26,5.6,6.0,5.6,5.6,5300,0.14,0.0,0.15,0.14,0.14,1.0,212000
ARDM,2010-01-27,5.6,5.6,5.6,5.6,4300,0.14,0.0,0.14,0.14,0.14,1.0,172000
ARDM,2010-01-28,6.0,6.0,5.6,5.6,4400,0.15,0.0,0.15,0.14,0.14,1.0,176000
ARDM,2010-01-29,5.6,5.6,5.6,5.6,1200,0.14,0.0,0.14,0.14,0.14,1.0,48000
ARDM,2010-02-01,5.6,6.0,5.6,5.6,1500,0.14,0.0,0.15,0.14,0.14,1.0,60000
ARDM,2010-02-02,5.6,5.6,5.6,5.6,1900,0.14,0.0,0.14,0.14,0.14,1.0,76000
ARDM,2010-02-03,5.6,5.6,5.6,5.6,1200,0.14,0.0,0.14,0.14,0.14,1.0,48000
ARDM,2010-02-04,6.0,6.4,5.6,5.6,32100,0.15,0.0,0.16,0.14,0.14,1.0,1284000
ARDM,2010-02-05,5.6,6.0,5.6,6.0,9700,0.14,0.0,0.15,0.14,0.15,1.0,388000
ARDM,2010-02-08,5.6,5.6,5.6,5.6,2600,0.14,0.0,0.14,0.14,0.14,1.0,104000
ARDM,2010-02-09,5.6,5.6,5.2,5.6,1200,0.14,0.0,0.14,0.13,0.14,1.0,48000
ARDM,2010-02-10,5.6,5.6,5.2,5.6,1700,0.14,0.0,0.14,0.13,0.14,1.0,68000
ARDM,2010-02-11,5.6,5.6,5.2,5.2,1800,0.14,0.0,0.14,0.13,0.13,1.0,72000
ARDM,2010-02-12,5.6,5.6,5.6,5.6,6400,0.14,0.0,0.14,0.14,0.14,1.0,256000
ARDM,2010-02-16,5.6,5.6,5.6,5.6,3500,0.14,0.0,0.14,0.14,0.14,1.0,140000
ARDM,2010-02-17,5.6,5.6,5.2,5.2,3900,0.14,0.0,0.14,0.13,0.13,1.0,156000
ARDM,2010-02-18,5.6,5.6,5.2,5.6,6000,0.14,0.0,0.14,0.13,0.14,1.0,240000
ARDM,2010-02-19,5.6,5.6,5.6,5.6,1400,0.14,0.0,0.14,0.14,0.14,1.0,56000
ARDM,2010-02-22,5.2,5.6,5.2,5.6,5000,0.13,0.0,0.14,0.13,0.14,1.0,200000
ARDM,2010-02-23,5.6,6.0,5.2,5.2,4500,0.14,0.0,0.15,0.13,0.13,1.0,180000
ARDM,2010-02-24,6.0,6.0,5.6,5.6,1700,0.15,0.0,0.15,0.14,0.14,1.0,68000
ARDM,2010-02-25,5.6,6.0,5.6,6.0,700,0.14,0.0,0.15,0.14,0.15,1.0,28000
ARDM,2010-02-26,5.6,5.6,5.6,5.6,2700,0.14,0.0,0.14,0.14,0.14,1.0,108000
ARDM,2010-03-01,5.6,5.6,5.6,5.6,2900,0.14,0.0,0.14,0.14,0.14,1.0,116000
ARDM,2010-03-02,5.6,5.6,5.6,5.6,2600,0.14,0.0,0.14,0.14,0.14,1.0,104000
ARDM,2010-03-03,5.6,5.6,5.6,5.6,700,0.14,0.0,0.14,0.14,0.14,1.0,28000
ARDM,2010-03-04,5.6,5.6,5.6,5.6,2000,0.14,0.0,0.14,0.14,0.14,1.0,80000
ARDM,2010-03-05,5.6,5.6,5.6,5.6,2500,0.14,0.0,0.14,0.14,0.14,1.0,100000
ARDM,2010-03-08,6.0,6.0,5.6,5.6,1400,0.15,0.0,0.15,0.14,0.14,1.0,56000
ARDM,2010-03-09,5.6,6.0,5.6,6.0,3300,0.14,0.0,0.15,0.14,0.15,1.0,132000
ARDM,2010-03-10,5.6,5.6,5.6,5.6,2800,0.14,0.0,0.14,0.14,0.14,1.0,112000
ARDM,2010-03-11,5.6,5.6,5.6,5.6,2600,0.14,0.0,0.14,0.14,0.14,1.0,104000
ARDM,2010-03-12,6.0,6.0,5.6,5.6,6400,0.15,0.0,0.15,0.14,0.14,1.0,256000
ARDM,2010-03-15,6.8,6.8,5.6,6.0,18300,0.17,0.0,0.17,0.14,0.15,1.0,732000
ARDM,2010-03-16,6.4,7.2,6.0,6.8,8200,0.16,0.0,0.18,0.15,0.17,1.0,328000
ARDM,2010-03-17,6.8,6.8,6.4,6.8,4500,0.17,0.0,0.17,0.16,0.17,1.0,180000
ARDM,2010-03-18,6.4,6.4,6.4,6.4,2300,0.16,0.0,0.16,0.16,0.16,1.0,92000
ARDM,2010-03-19,6.4,6.4,6.4,6.4,6700,0.16,0.0,0.16,0.16,0.16,1.0,268000
ARDM,2010-03-22,6.0,6.8,6.0,6.4,11400,0.15,0.0,0.17,0.15,0.16,1.0,456000
ARDM,2010-03-23,6.4,6.4,6.0,6.0,8500,0.16,0.0,0.16,0.15,0.15,1.0,340000
ARDM,2010-03-24,6.4,6.4,6.0,6.4,3100,0.16,0.0,0.16,0.15,0.16,1.0,124000
ARDM,2010-03-25,6.4,6.4,6.0,6.4,6100,0.16,0.0,0.16,0.15,0.16,1.0,244000
ARDM,2010-03-26,6.0,6.4,6.0,6.4,300,0.15,0.0,0.16,0.15,0.16,1.0,12000
ARDM,2010-03-29,6.0,6.0,5.6,6.0,3300,0.15,0.0,0.15,0.14,0.15,1.0,132000
ARDM,2010-03-30,6.0,6.0,6.0,6.0,3500,0.15,0.0,0.15,0.15,0.15,1.0,140000
ARDM,2010-03-31,6.0,6.4,6.0,6.4,1400,0.15,0.0,0.16,0.15,0.16,1.0,56000
ARDM,2010-04-01,6.0,6.4,6.0,6.0,4200,0.15,0.0,0.16,0.15,0.15,1.0,168000
ARDM,2010-04-05,6.0,6.0,6.0,6.0,1700,0.15,0.0,0.15,0.15,0.15,1.0,68000
ARDM,2010-04-06,5.6,6.0,5.6,6.0,6100,0.14,0.0,0.15,0.14,0.15,1.0,244000
ARDM,2010-04-07,5.6,6.0,5.6,5.6,3400,0.14,0.0,0.15,0.14,0.14,1.0,136000
ARDM,2010-04-08,5.6,6.0,5.2,5.6,8700,0.14,0.0,0.15,0.13,0.14,1.0,348000
ARDM,2010-04-09,5.6,5.6,5.2,5.6,4500,0.14,0.0,0.14,0.13,0.14,1.0,180000
ARDM,2010-04-12,5.6,6.0,5.2,6.0,7200,0.14,0.0,0.15,0.13,0.15,1.0,288000
ARDM,2010-04-13,5.6,6.0,5.6,5.6,3200,0.14,0.0,0.15,0.14,0.14,1.0,128000
ARDM,2010-04-14,5.2,5.6,5.2,5.2,6600,0.13,0.0,0.14,0.13,0.13,1.0,264000
ARDM,2010-04-15,5.6,5.6,5.2,5.2,1700,0.14,0.0,0.14,0.13,0.13,1.0,68000
ARDM,2010-04-16,5.6,5.6,5.2,5.6,1900,0.14,0.0,0.14,0.13,0.14,1.0,76000
ARDM,2010-04-19,5.6,6.0,5.2,6.0,1800,0.14,0.0,0.15,0.13,0.15,1.0,72000
ARDM,2010-04-20,5.2,5.6,5.2,5.6,3200,0.13,0.0,0.14,0.13,0.14,1.0,128000
ARDM,2010-04-21,5.2,5.2,4.8,5.2,12400,0.13,0.0,0.13,0.12,0.13,1.0,496000
ARDM,2010-04-22,5.6,5.6,5.2,5.2,4800,0.14,0.0,0.14,0.13,0.13,1.0,192000
ARDM,2010-04-23,5.6,5.6,5.2,5.2,5900,0.14,0.0,0.14,0.13,0.13,1.0,236000
ARDM,2010-04-26,5.2,5.6,5.2,5.6,1100,0.13,0.0,0.14,0.13,0.14,1.0,44000
