symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ARIS,2010-01-04,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-05,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-06,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-07,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-08,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-11,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-12,0.8,0.8,0.8,0.8,600,0.8,0.0,0.8,0.8,0.8,1.0,600
ARIS,2010-01-13,0.9,0.9,0.8,0.8,800,0.9,0.0,0.9,0.8,0.8,1.0,800
ARIS,2010-01-14,0.9,0.9,0.9,0.9,100,0.9,0.0,0.9,0.9,0.9,1.0,100
ARIS,2010-01-15,0.9,0.9,0.75,0.8,16000,0.9,0.0,0.9,0.75,0.8,1.0,16000
ARIS,2010-01-19,0.9,0.9,0.9,0.9,100,0.9,0.0,0.9,0.9,0.9,1.0,100
ARIS,2010-01-20,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-21,0.9,0.9,0.7,0.7,7028,0.9,0.0,0.9,0.7,0.7,1.0,7028
ARIS,2010-01-22,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-25,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-01-26,0.8,0.8,0.8,0.8,15300,0.8,0.0,0.8,0.8,0.8,1.0,15300
ARIS,2010-01-27,0.9,0.9,0.75,0.75,2625,0.9,0.0,0.9,0.75,0.75,1.0,2625
ARIS,2010-01-28,0.88,0.88,0.81,0.81,300,0.88,0.0,0.88,0.81,0.81,1.0,300
ARIS,2010-01-29,0.88,0.88,0.88,0.88,0,0.88,0.0,0.88,0.88,0.88,1.0,0
ARIS,2010-02-01,0.88,0.88,0.88,0.88,0,0.88,0.0,0.88,0.88,0.88,1.0,0
ARIS,2010-02-02,0.9,0.9,0.9,0.9,13753,0.9,0.0,0.9,0.9,0.9,1.0,13753
ARIS,2010-02-03,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-04,0.88,0.89,0.88,0.89,10000,0.88,0.0,0.89,0.88,0.89,1.0,10000
ARIS,2010-02-05,0.89,0.89,0.89,0.89,5000,0.89,0.0,0.89,0.89,0.89,1.0,5000
ARIS,2010-02-08,0.7,0.9,0.7,0.7,600,0.7,0.0,0.9,0.7,0.7,1.0,600
ARIS,2010-02-09,0.7,0.7,0.7,0.7,0,0.7,0.0,0.7,0.7,0.7,1.0,0
ARIS,2010-02-10,0.9,0.9,0.9,0.9,100,0.9,0.0,0.9,0.9,0.9,1.0,100
ARIS,2010-02-11,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-12,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-16,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-17,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-18,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-19,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-22,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-23,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-02-24,0.85,0.85,0.85,0.85,200,0.85,0.0,0.85,0.85,0.85,1.0,200
ARIS,2010-02-25,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-02-26,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-03-01,1.0,1.0,0.75,0.75,4900,1.0,0.0,1.0,0.75,0.75,1.0,4900
ARIS,2010-03-02,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0
ARIS,2010-03-03,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0
ARIS,2010-03-04,0.8,0.8,0.8,0.8,100,0.8,0.0,0.8,0.8,0.8,1.0,100
ARIS,2010-03-05,0.95,0.95,0.95,0.95,100,0.95,0.0,0.95,0.95,0.95,1.0,100
ARIS,2010-03-08,0.9,0.9,0.8,0.8,5848,0.9,0.0,0.9,0.8,0.8,1.0,5848
ARIS,2010-03-09,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-03-10,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-03-11,0.76,0.76,0.76,0.76,990,0.76,0.0,0.76,0.76,0.76,1.0,990
ARIS,2010-03-12,0.9,0.9,0.9,0.9,100,0.9,0.0,0.9,0.9,0.9,1.0,100
ARIS,2010-03-15,0.9,0.9,0.9,0.9,0,0.9,0.0,0.9,0.9,0.9,1.0,0
ARIS,2010-03-16,0.9,0.9,0.8,0.8,15841,0.9,0.0,0.9,0.8,0.8,1.0,15841
ARIS,2010-03-17,0.9,0.9,0.9,0.9,595,0.9,0.0,0.9,0.9,0.9,1.0,595
ARIS,2010-03-18,0.85,0.85,0.85,0.85,11500,0.85,0.0,0.85,0.85,0.85,1.0,11500
ARIS,2010-03-19,0.85,0.85,0.85,0.85,13900,0.85,0.0,0.85,0.85,0.85,1.0,13900
ARIS,2010-03-22,0.8,0.85,0.8,0.8,7100,0.8,0.0,0.85,0.8,0.8,1.0,7100
ARIS,2010-03-23,0.75,0.8,0.75,0.8,30000,0.75,0.0,0.8,0.75,0.8,1.0,30000
ARIS,2010-03-24,0.75,0.75,0.75,0.75,0,0.75,0.0,0.75,0.75,0.75,1.0,0
ARIS,2010-03-25,0.75,0.75,0.75,0.75,0,0.75,0.0,0.75,0.75,0.75,1.0,0
ARIS,2010-03-26,0.75,0.75,0.75,0.75,0,0.75,0.0,0.75,0.75,0.75,1.0,0
ARIS,2010-03-29,0.75,0.75,0.75,0.75,0,0.75,0.0,0.75,0.75,0.75,1.0,0
ARIS,2010-03-30,0.85,0.85,0.85,0.85,100,0.85,0.0,0.85,0.85,0.85,1.0,100
ARIS,2010-03-31,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-01,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-05,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-06,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-07,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-08,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-09,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-12,0.72,0.8,0.72,0.8,11114,0.72,0.0,0.8,0.72,0.8,1.0,11114
ARIS,2010-04-13,0.8,0.8,0.8,0.8,11000,0.8,0.0,0.8,0.8,0.8,1.0,11000
ARIS,2010-04-14,0.8,0.8,0.8,0.8,0,0.8,0.0,0.8,0.8,0.8,1.0,0
ARIS,2010-04-15,0.8,0.8,0.8,0.8,0,0.8,0.0,0.8,0.8,0.8,1.0,0
ARIS,2010-04-16,0.8,0.8,0.8,0.8,0,0.8,0.0,0.8,0.8,0.8,1.0,0
ARIS,2010-04-19,0.8,0.8,0.8,0.8,6483,0.8,0.0,0.8,0.8,0.8,1.0,6483
ARIS,2010-04-20,0.8,0.8,0.8,0.8,0,0.8,0.0,0.8,0.8,0.8,1.0,0
ARIS,2010-04-21,0.8,0.8,0.8,0.8,0,0.8,0.0,0.8,0.8,0.8,1.0,0
ARIS,2010-04-22,0.85,0.85,0.7,0.7,11211,0.85,0.0,0.85,0.7,0.7,1.0,11211
ARIS,2010-04-23,0.85,0.85,0.85,0.85,220,0.85,0.0,0.85,0.85,0.85,1.0,220
ARIS,2010-04-26,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-27,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-28,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-29,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-04-30,0.85,0.85,0.85,0.85,0,0.85,0.0,0.85,0.85,0.85,1.0,0
ARIS,2010-05-03,0.75,0.75,0.75,0.75,4950,0.75,0.0,0.75,0.75,0.75,1.0,4950
ARIS,2010-05-04,0.67,0.67,0.67,0.67,2000,0.67,0.0,0.67,0.67,0.67,1.0,2000
ARIS,2010-05-05,0.67,0.67,0.67,0.67,0,0.67,0.0,0.67,0.67,0.67,1.0,0
ARIS,2010-05-06,0.67,0.67,0.67,0.67,0,0.67,0.0,0.67,0.67,0.67,1.0,0
ARIS,2010-05-07,0.67,0.67,0.67,0.67,0,0.67,0.0,0.67,0.67,0.67,1.0,0
