symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ARRS,2010-01-04,11.42,11.73,11.25,11.58,3631600,11.42,0.0,11.73,11.25,11.58,1.0,3631600
ARRS,2010-01-05,11.27,11.52,11.23,11.37,2437600,11.27,0.0,11.52,11.23,11.37,1.0,2437600
ARRS,2010-01-06,11.0,11.28,10.91,11.24,1992400,11.0,0.0,11.28,10.91,11.24,1.0,1992400
ARRS,2010-01-07,10.79,11.11,10.69,11.02,1731100,10.79,0.0,11.11,10.69,11.02,1.0,1731100
ARRS,2010-01-08,10.7,10.83,10.67,10.72,1212000,10.7,0.0,10.83,10.67,10.72,1.0,1212000
ARRS,2010-01-11,10.85,10.92,10.73,10.78,1510500,10.85,0.0,10.92,10.73,10.78,1.0,1510500
ARRS,2010-01-12,10.8,10.84,10.68,10.79,1269900,10.8,0.0,10.84,10.68,10.79,1.0,1269900
ARRS,2010-01-13,11.44,11.73,11.31,11.7,3190100,11.44,0.0,11.73,11.31,11.7,1.0,3190100
ARRS,2010-01-14,11.53,11.58,11.46,11.46,1777300,11.53,0.0,11.58,11.46,11.46,1.0,1777300
ARRS,2010-01-15,11.19,11.78,11.105,11.61,1966800,11.19,0.0,11.78,11.105,11.61,1.0,1966800
ARRS,2010-01-19,11.41,11.46,11.19,11.19,1276700,11.41,0.0,11.46,11.19,11.19,1.0,1276700
ARRS,2010-01-20,11.19,11.36,11.07,11.3,1621900,11.19,0.0,11.36,11.07,11.3,1.0,1621900
ARRS,2010-01-21,11.21,11.39,11.1,11.18,1768900,11.21,0.0,11.39,11.1,11.18,1.0,1768900
ARRS,2010-01-22,10.82,11.27,10.7598,11.2,1510400,10.82,0.0,11.27,10.7598,11.2,1.0,1510400
ARRS,2010-01-25,10.81,10.99,10.65,10.88,916700,10.81,0.0,10.99,10.65,10.88,1.0,916700
ARRS,2010-01-26,10.42,10.79,10.4,10.75,1215000,10.42,0.0,10.79,10.4,10.75,1.0,1215000
ARRS,2010-01-27,10.49,10.5,10.25,10.37,1194900,10.49,0.0,10.5,10.25,10.37,1.0,1194900
ARRS,2010-01-28,10.2,10.49,9.94,10.49,1489600,10.2,0.0,10.49,9.94,10.49,1.0,1489600
ARRS,2010-01-29,10.04,10.4,10.0,10.23,1098200,10.04,0.0,10.4,10.0,10.23,1.0,1098200
ARRS,2010-02-01,10.29,10.31,10.01,10.05,1188000,10.29,0.0,10.31,10.01,10.05,1.0,1188000
ARRS,2010-02-02,10.21,10.39,10.14,10.27,999600,10.21,0.0,10.39,10.14,10.27,1.0,999600
ARRS,2010-02-03,10.16,10.26,10.0,10.14,1152700,10.16,0.0,10.26,10.0,10.14,1.0,1152700
ARRS,2010-02-04,9.57,10.11,9.48,10.05,2058000,9.57,0.0,10.11,9.48,10.05,1.0,2058000
ARRS,2010-02-05,9.55,9.74,9.39,9.62,2168100,9.55,0.0,9.74,9.39,9.62,1.0,2168100
ARRS,2010-02-08,9.61,9.72,9.47,9.57,1501000,9.61,0.0,9.72,9.47,9.57,1.0,1501000
ARRS,2010-02-09,9.7,9.86,9.65,9.7,1882300,9.7,0.0,9.86,9.65,9.7,1.0,1882300
ARRS,2010-02-10,9.69,9.7425,9.47,9.74,2157500,9.69,0.0,9.7425,9.47,9.74,1.0,2157500
ARRS,2010-02-11,10.13,10.23,9.5,9.59,4893200,10.13,0.0,10.23,9.5,9.59,1.0,4893200
ARRS,2010-02-12,10.31,10.31,9.94,10.0,2600400,10.31,0.0,10.31,9.94,10.0,1.0,2600400
ARRS,2010-02-16,10.28,10.4,10.19,10.32,1479300,10.28,0.0,10.4,10.19,10.32,1.0,1479300
ARRS,2010-02-17,10.26,10.35,10.19,10.34,1093500,10.26,0.0,10.35,10.19,10.34,1.0,1093500
ARRS,2010-02-18,10.33,10.35,10.13,10.23,955500,10.33,0.0,10.35,10.13,10.23,1.0,955500
ARRS,2010-02-19,10.32,10.41,10.2,10.24,1176800,10.32,0.0,10.41,10.2,10.24,1.0,1176800
ARRS,2010-02-22,10.42,10.42,10.197,10.32,924200,10.42,0.0,10.42,10.197,10.32,1.0,924200
ARRS,2010-02-23,10.22,10.41,10.18,10.37,1181000,10.22,0.0,10.41,10.18,10.37,1.0,1181000
ARRS,2010-02-24,10.28,10.44,10.2,10.28,1001000,10.28,0.0,10.44,10.2,10.28,1.0,1001000
ARRS,2010-02-25,10.16,10.17,10.0,10.14,1053400,10.16,0.0,10.17,10.0,10.14,1.0,1053400
ARRS,2010-02-26,10.32,10.37,10.02,10.14,1075200,10.32,0.0,10.37,10.02,10.14,1.0,1075200
ARRS,2010-03-01,10.51,10.6,10.35,10.41,1475900,10.51,0.0,10.6,10.35,10.41,1.0,1475900
ARRS,2010-03-02,10.89,11.02,10.43,10.49,2424400,10.89,0.0,11.02,10.43,10.49,1.0,2424400
ARRS,2010-03-03,11.11,11.23,10.9,10.96,1941700,11.11,0.0,11.23,10.9,10.96,1.0,1941700
ARRS,2010-03-04,11.35,11.38,10.94,11.1,2740500,11.35,0.0,11.38,10.94,11.1,1.0,2740500
ARRS,2010-03-05,11.43,11.59,11.325,11.41,2017500,11.43,0.0,11.59,11.325,11.41,1.0,2017500
ARRS,2010-03-08,11.42,11.63,11.4,11.48,1376700,11.42,0.0,11.63,11.4,11.48,1.0,1376700
ARRS,2010-03-09,12.05,12.6939,11.96,12.03,5395200,12.05,0.0,12.6939,11.96,12.03,1.0,5395200
ARRS,2010-03-10,12.17,12.25,11.99,12.11,1797000,12.17,0.0,12.25,11.99,12.11,1.0,1797000
ARRS,2010-03-11,12.4,12.42,12.04,12.11,1605600,12.4,0.0,12.42,12.04,12.11,1.0,1605600
ARRS,2010-03-12,12.25,12.603,12.17,12.51,2455700,12.25,0.0,12.603,12.17,12.51,1.0,2455700
ARRS,2010-03-15,12.15,12.34,12.02,12.29,1359300,12.15,0.0,12.34,12.02,12.29,1.0,1359300
ARRS,2010-03-16,12.24,12.2604,12.065,12.16,1117300,12.24,0.0,12.2604,12.065,12.16,1.0,1117300
ARRS,2010-03-17,12.27,12.32,12.11,12.11,1044100,12.27,0.0,12.32,12.11,12.11,1.0,1044100
ARRS,2010-03-18,12.26,12.33,12.15,12.27,1140400,12.26,0.0,12.33,12.15,12.27,1.0,1140400
ARRS,2010-03-19,12.02,12.33,11.98,12.33,1730800,12.02,0.0,12.33,11.98,12.33,1.0,1730800
