symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ATEC,2010-01-04,63.36,64.08,62.4,63.6,10274,5.28,0.0,5.34,5.2,5.3,1.0,123300
ATEC,2010-01-05,61.56,63.6,60.36,63.36,7508,5.13,0.0,5.3,5.03,5.28,1.0,90100
ATEC,2010-01-06,57.36,61.44,57.12,61.32,7949,4.78,0.0,5.12,4.76,5.11,1.0,95400
ATEC,2010-01-07,59.88,60.48,58.2,58.8,15274,4.99,0.0,5.04,4.85,4.9,1.0,183300
ATEC,2010-01-08,59.88,60.96,57.96,60.0,11391,4.99,0.0,5.08,4.83,5.0,1.0,136700
ATEC,2010-01-11,63.48,63.72,59.4,60.0,11149,5.29,0.0,5.31,4.95,5.0,1.0,133800
ATEC,2010-01-12,60.48,63.54,60.0,62.4,3983,5.04,0.0,5.295,5.0,5.2,1.0,47800
ATEC,2010-01-13,66.72,66.96,60.24,60.96,12599,5.56,0.0,5.58,5.02,5.08,1.0,151200
ATEC,2010-01-14,65.28,66.36,63.6,66.36,3108,5.44,0.0,5.53,5.3,5.53,1.0,37300
ATEC,2010-01-15,62.88,66.72,60.72,65.64,7699,5.24,0.0,5.56,5.06,5.47,1.0,92400
ATEC,2010-01-19,65.64,65.64,61.44,63.0,4241,5.47,0.0,5.47,5.12,5.25,1.0,50900
ATEC,2010-01-20,61.2,64.8,60.0,64.8,7741,5.1,0.0,5.4,5.0,5.4,1.0,92900
ATEC,2010-01-21,59.88,61.68,59.88,61.56,7624,4.99,0.0,5.14,4.99,5.13,1.0,91500
ATEC,2010-01-22,58.44,62.16,58.2,59.76,9491,4.87,0.0,5.18,4.85,4.98,1.0,113900
ATEC,2010-01-25,57.72,60.12,56.28,59.28,7174,4.81,0.0,5.01,4.69,4.94,1.0,86100
ATEC,2010-01-26,55.2,57.96,55.2,57.24,5224,4.6,0.0,4.83,4.6,4.77,1.0,62700
ATEC,2010-01-27,56.28,58.8,54.84,54.84,3408,4.69,0.0,4.9,4.57,4.57,1.0,40900
ATEC,2010-01-28,54.12,56.64,53.76,56.64,6341,4.51,0.0,4.72,4.48,4.72,1.0,76100
ATEC,2010-01-29,53.04,55.92,52.8,54.48,5891,4.42,0.0,4.66,4.4,4.54,1.0,70700
ATEC,2010-02-01,52.8,54.72,51.96,53.4,2983,4.4,0.0,4.56,4.33,4.45,1.0,35800
ATEC,2010-02-02,54.12,58.92,54.0,55.08,10249,4.51,0.0,4.91,4.5,4.59,1.0,123000
ATEC,2010-02-03,53.28,56.76,53.28,54.0,5424,4.44,0.0,4.73,4.44,4.5,1.0,65100
ATEC,2010-02-04,49.2,54.48,49.2,54.24,7666,4.1,0.0,4.54,4.1,4.52,1.0,92000
ATEC,2010-02-05,51.48,52.68,49.2,49.56,7141,4.29,0.0,4.39,4.1,4.13,1.0,85700
ATEC,2010-02-08,52.44,56.6412,49.608,51.6,8716,4.37,0.0,4.7201,4.134,4.3,1.0,104600
ATEC,2010-02-09,52.92,54.216,51.24,53.52,4508,4.41,0.0,4.518,4.27,4.46,1.0,54100
ATEC,2010-02-10,52.8,54.0,51.36,52.44,3424,4.4,0.0,4.5,4.28,4.37,1.0,41100
ATEC,2010-02-11,54.84,54.96,52.08,52.2,3816,4.57,0.0,4.58,4.34,4.35,1.0,45800
ATEC,2010-02-12,56.4,56.52,54.0,54.0,4958,4.7,0.0,4.71,4.5,4.5,1.0,59500
