symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ATHN,2010-01-04,46.63,46.76,45.06,45.06,488400,46.63,0.0,46.76,45.06,45.06,1.0,488400
ATHN,2010-01-05,46.9,47.19,46.09,46.39,323300,46.9,0.0,47.19,46.09,46.39,1.0,323300
ATHN,2010-01-06,47.41,47.57,46.76,47.0,352500,47.41,0.0,47.57,46.76,47.0,1.0,352500
ATHN,2010-01-07,47.36,47.82,46.77,47.15,445500,47.36,0.0,47.82,46.77,47.15,1.0,445500
ATHN,2010-01-08,47.19,47.69,46.99,47.38,199500,47.19,0.0,47.69,46.99,47.38,1.0,199500
ATHN,2010-01-11,45.89,47.48,45.83,47.48,360600,45.89,0.0,47.48,45.83,47.48,1.0,360600
ATHN,2010-01-12,43.92,45.69,43.77,45.62,744700,43.92,0.0,45.69,43.77,45.62,1.0,744700
ATHN,2010-01-13,45.73,45.9,43.82,43.82,436900,45.73,0.0,45.9,43.82,43.82,1.0,436900
ATHN,2010-01-14,45.63,45.79,44.92,45.76,553000,45.63,0.0,45.79,44.92,45.76,1.0,553000
ATHN,2010-01-15,45.19,45.98,44.9,45.92,825600,45.19,0.0,45.98,44.9,45.92,1.0,825600
ATHN,2010-01-19,46.35,46.47,44.8,45.01,382800,46.35,0.0,46.47,44.8,45.01,1.0,382800
ATHN,2010-01-20,44.49,46.35,44.32,46.0,492300,44.49,0.0,46.35,44.32,46.0,1.0,492300
ATHN,2010-01-21,42.16,44.6,41.95,44.4,778100,42.16,0.0,44.6,41.95,44.4,1.0,778100
ATHN,2010-01-22,41.77,42.625,41.36,42.13,637000,41.77,0.0,42.625,41.36,42.13,1.0,637000
ATHN,2010-01-25,41.17,43.06,41.13,42.47,389500,41.17,0.0,43.06,41.13,42.47,1.0,389500
ATHN,2010-01-26,41.49,42.03,40.75,41.09,760300,41.49,0.0,42.03,40.75,41.09,1.0,760300
ATHN,2010-01-27,41.15,41.59,40.59,41.1,357800,41.15,0.0,41.59,40.59,41.1,1.0,357800
ATHN,2010-01-28,40.27,41.72,39.78,41.24,506600,40.27,0.0,41.72,39.78,41.24,1.0,506600
ATHN,2010-01-29,39.34,40.71,39.07,40.16,591200,39.34,0.0,40.71,39.07,40.16,1.0,591200
ATHN,2010-02-01,40.9,41.954,39.66,39.96,973100,40.9,0.0,41.954,39.66,39.96,1.0,973100
ATHN,2010-02-02,40.28,41.24,39.93,41.04,435900,40.28,0.0,41.24,39.93,41.04,1.0,435900
ATHN,2010-02-03,40.09,40.52,39.58,40.28,432500,40.09,0.0,40.52,39.58,40.28,1.0,432500
