symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ATLO,2010-01-04,16.5500412221,16.7693508076,16.0957570807,16.4873813405,8000,21.13,0.0,21.41,20.55,21.05,1.0,8000
ATLO,2010-01-05,16.1427519918,16.5343762517,15.7824576728,16.4952138257,6900,20.61,0.0,21.11,20.15,21.06,1.0,6900
ATLO,2010-01-06,15.2576811645,16.2915692106,15.2576811645,16.1975793882,13100,19.48,0.0,20.8,19.48,20.68,1.0,13100
ATLO,2010-01-07,15.0931989754,15.7785414302,15.0931989754,15.3125085609,6100,19.27,0.0,20.145,19.27,19.55,1.0,6100
ATLO,2010-01-08,15.3751684425,15.5396506316,15.0697015198,15.0697015198,6400,19.63,0.0,19.84,19.24,19.24,1.0,6400
ATLO,2010-01-11,15.4143308685,15.6649703948,15.2968435905,15.4691582649,7100,19.68,0.0,20.0,19.53,19.75,1.0,7100
ATLO,2010-01-12,15.0148741234,15.3986658981,14.9757116974,15.3438385017,5800,19.17,0.0,19.66,19.12,19.59,1.0,5800
ATLO,2010-01-13,15.5239856613,16.424721459,15.038371579,15.116696431,41800,19.82,0.0,20.97,19.2,19.3,1.0,41800
ATLO,2010-01-14,15.1401938866,15.5788130576,15.077534005,15.5004882057,6700,19.33,0.0,19.89,19.25,19.79,1.0,6700
ATLO,2010-01-15,15.0931989754,15.5318181464,14.960046727,15.2576811645,16100,19.27,0.0,19.83,19.1,19.48,1.0,16100
ATLO,2010-01-19,15.2106862534,15.3438385017,14.960046727,15.0853664902,9400,19.42,0.0,19.59,19.1,19.26,1.0,9400
ATLO,2010-01-20,14.960046727,15.1480263718,14.9130518159,15.1010314606,10300,19.1,0.0,19.34,19.04,19.28,1.0,10300
ATLO,2010-01-21,14.403940278,15.077534005,14.3882753076,14.9757116974,16400,18.39,0.0,19.25,18.37,19.12,1.0,16400
ATLO,2010-01-22,14.2081281481,14.7798995675,14.0984733553,14.4352702188,12500,18.14,0.0,18.87,18.0,18.43,1.0,12500
ATLO,2010-01-25,14.0984733553,14.6310823487,13.8321688586,14.3412803964,10000,18.0,0.0,18.68,17.66,18.31,1.0,10000
ATLO,2010-01-26,14.0984733553,14.3882753076,14.0984733553,14.0984733553,8600,18.0,0.0,18.37,18.0,18.0,1.0,8600
ATLO,2010-01-27,14.4196052484,14.560589982,13.965321107,13.965321107,6000,18.41,0.0,18.59,17.83,17.83,1.0,6000
ATLO,2010-01-28,14.2237931185,14.4994480239,14.1765379918,14.4915721694,8200,18.06,0.1,18.41,18.0,18.4,1.0,8200
ATLO,2010-01-29,14.5703307138,14.5703307138,14.1765379918,14.1844138463,21400,18.5,0.0,18.5,18.0,18.01,1.0,21400
ATLO,2010-02-01,14.2789240996,14.6884685304,13.9875174853,14.6175858405,11900,18.13,0.0,18.65,17.76,18.56,1.0,11900
ATLO,2010-02-02,14.0662760297,14.7120960938,14.0662760297,14.6727168216,8900,17.86,0.0,18.68,17.86,18.63,1.0,8900
ATLO,2010-02-03,13.9875174853,14.4443170428,13.9796416308,14.0662760297,11300,17.76,0.0,18.34,17.75,17.86,1.0,11300
ATLO,2010-02-04,13.5858489088,13.9875174853,13.5858489088,13.9875174853,10800,17.25,0.0,17.76,17.25,17.76,1.0,10800
ATLO,2010-02-05,13.766993561,14.0623381025,13.5858489088,13.7984969787,4200,17.48,0.0,17.855,17.25,17.52,1.0,4200
ATLO,2010-02-08,13.4283318201,13.7433659976,13.3889525479,13.7433659976,4500,17.05,0.0,17.45,17.0,17.45,1.0,4500
ATLO,2010-02-09,13.8142486876,13.8615038142,13.5070903645,13.7039867254,6600,17.54,0.0,17.6,17.15,17.4,1.0,6600
ATLO,2010-02-10,14.0426484664,14.0662760297,13.7906211243,13.7906211243,4600,17.83,0.0,17.86,17.51,17.51,1.0,4600
ATLO,2010-02-11,13.9481382131,14.0662760297,13.4598352378,13.696110871,5900,17.71,0.0,17.86,17.09,17.39,1.0,5900
ATLO,2010-02-12,14.2474206818,14.2474206818,13.7827452698,13.9323865042,9000,18.09,0.0,18.09,17.5,17.69,1.0,9000
ATLO,2010-02-16,14.5388272961,14.5703307138,14.2080414096,14.4443170428,5600,18.46,0.0,18.5,18.04,18.34,1.0,5600
ATLO,2010-02-17,14.6333375494,14.8522863028,14.4364411884,14.6490892582,4000,18.58,0.0,18.858,18.33,18.6,1.0,4000
ATLO,2010-02-18,14.8459856192,14.8459856192,14.6097887446,14.6333375494,2700,18.85,0.0,18.85,18.5501,18.58,1.0,2700
ATLO,2010-02-19,14.8538614737,14.9641234358,14.8046373834,14.8144822015,9600,18.86,0.0,19.0,18.7975,18.81,1.0,9600
ATLO,2010-02-22,14.9404958725,14.948371727,14.5151997328,14.6727168216,5100,18.97,0.0,18.98,18.43,18.63,1.0,5100
ATLO,2010-02-23,14.6884685304,14.9641234358,14.6333375494,14.9562475814,11500,18.65,0.0,19.0,18.58,18.99,1.0,11500
ATLO,2010-02-24,14.7987304926,14.8459856192,14.6175858405,14.7908546382,2400,18.79,0.0,18.85,18.56,18.78,1.0,2400
ATLO,2010-02-25,14.8302339104,14.8459856192,14.5467031505,14.5782065683,2500,18.83,0.0,18.85,18.47,18.51,1.0,2500
ATLO,2010-02-26,14.5782065683,14.8459856192,14.3340550806,14.8459856192,10200,18.51,0.0,18.85,18.2,18.85,1.0,10200
ATLO,2010-03-01,14.6175858405,14.6569651127,14.412813625,14.6490892582,4600,18.56,0.0,18.61,18.3,18.6,1.0,4600
ATLO,2010-03-02,14.8459856192,14.8459856192,14.5151997328,14.5939582772,3300,18.85,0.0,18.85,18.43,18.53,1.0,3300
ATLO,2010-03-03,14.8696131826,15.0822612524,14.4521928972,14.8459856192,6800,18.88,0.0,19.15,18.35,18.85,1.0,6800
ATLO,2010-03-04,14.8853648914,14.8853648914,14.3120026882,14.5782065683,2200,18.9,0.0,18.9,18.172,18.51,1.0,2200
ATLO,2010-03-05,15.5548125188,15.6729503354,14.6018341316,14.9089924548,8200,19.75,0.0,19.9,18.54,18.93,1.0,8200
ATLO,2010-03-08,15.5469366644,15.5469366644,15.271281759,15.271281759,1500,19.74,0.0,19.74,19.39,19.39,1.0,1500
ATLO,2010-03-09,15.7517088798,15.7517088798,15.3342885945,15.5233091011,4100,20.0,0.0,20.0,19.47,19.71,1.0,4100
ATLO,2010-03-10,15.7989640065,15.9486052408,15.3185368856,15.7044537532,5400,20.06,0.0,20.25,19.45,19.94,1.0,5400
ATLO,2010-03-11,15.9564810953,15.9564810953,15.6241200379,15.7202054621,6900,20.26,0.0,20.26,19.838,19.96,1.0,6900
ATLO,2010-03-12,15.7359571709,16.1455016018,15.7359571709,16.0746189119,3900,19.98,0.0,20.5,19.98,20.41,1.0,3900
ATLO,2010-03-15,15.861970842,15.9486052408,15.6926399715,15.7832122976,2900,20.14,0.0,20.25,19.925,20.04,1.0,2900
ATLO,2010-03-16,16.2321360007,16.2321360007,15.8540949875,15.8698466964,2600,20.61,0.0,20.61,20.13,20.15,1.0,2600
ATLO,2010-03-17,16.0903706207,16.1455016018,15.9328535319,16.1455016018,1700,20.43,0.0,20.5,20.23,20.5,1.0,1700
ATLO,2010-03-18,16.0037362219,16.1455016018,15.8147157153,16.1455016018,1800,20.32,0.0,20.5,20.08,20.5,1.0,1800
ATLO,2010-03-19,16.4684116339,16.4684116339,16.1061223296,16.1297498929,23300,20.91,0.0,20.91,20.45,20.48,1.0,23300
ATLO,2010-03-22,16.7361906848,16.7361906848,16.3502738173,16.3502738173,8200,21.25,0.0,21.25,20.76,20.76,1.0,8200
ATLO,2010-03-23,16.4211565072,16.5392943238,15.9644357082,16.5392943238,7900,20.85,0.0,21.0,20.2701,21.0,1.0,7900
ATLO,2010-03-24,16.0509913485,16.381777235,15.9407293864,16.381777235,5800,20.38,0.0,20.8,20.24,20.8,1.0,5800
ATLO,2010-03-25,16.5392943238,17.3190039134,15.987984513,16.0431154941,11000,21.0,0.0,21.99,20.3,20.37,1.0,11000
ATLO,2010-03-26,15.7517088798,16.4999150516,15.6099434999,16.2636394184,6000,20.0,0.0,20.95,19.82,20.65,1.0,6000
ATLO,2010-03-29,15.6808261899,15.9092259686,15.6808261899,15.7595847343,11700,19.91,0.0,20.2,19.91,20.01,1.0,11700
ATLO,2010-03-30,16.2163842918,16.6968114126,15.3579161578,15.5075573922,24900,20.59,0.0,21.2,19.5,19.69,1.0,24900
ATLO,2010-03-31,15.791088152,16.1060435711,15.5863159366,16.058867203,7700,20.05,0.0,20.4499,19.79,20.39,1.0,7700
ATLO,2010-04-01,15.4996815377,15.791088152,15.3342885945,15.791088152,4400,19.68,0.0,20.05,19.47,20.05,1.0,4400
ATLO,2010-04-05,15.665074481,15.7359571709,15.4996815377,15.7359571709,1600,19.89,0.0,19.98,19.68,19.98,1.0,1600
ATLO,2010-04-06,15.4524264111,15.5233091011,15.361854085,15.4996815377,3200,19.62,0.0,19.71,19.505,19.68,1.0,3200
ATLO,2010-04-07,15.0350061258,15.7044537532,15.0350061258,15.3815437211,3300,19.09,0.0,19.94,19.09,19.53,1.0,3300
ATLO,2010-04-08,14.9326200181,15.2082749235,14.6490892582,14.6490892582,3800,18.96,0.0,19.31,18.6,18.6,1.0,3800
ATLO,2010-04-09,14.5467031505,15.0586336891,14.412813625,14.8144822015,20900,18.47,0.0,19.12,18.3,18.81,1.0,20900
ATLO,2010-04-12,15.3815437211,15.7044537532,14.5309514416,14.5309514416,25400,19.53,0.0,19.94,18.45,18.45,1.0,25400
ATLO,2010-04-13,14.5782065683,15.4366747022,14.4285653339,15.2870334679,8700,18.51,0.0,19.6,18.32,19.41,1.0,8700
ATLO,2010-04-14,15.0822612524,15.0822612524,14.6333375494,14.6412134038,5200,19.15,0.0,19.15,18.58,18.59,1.0,5200
ATLO,2010-04-15,14.9719992903,14.9719992903,14.5782065683,14.8617373281,3800,19.01,0.0,19.01,18.51,18.87,1.0,3800
ATLO,2010-04-16,15.003502708,15.2870334679,14.8144822015,14.9562475814,7700,19.05,0.0,19.41,18.81,18.99,1.0,7700
ATLO,2010-04-19,14.5860824227,14.9798751447,14.5860824227,14.9641234358,2200,18.52,0.0,19.02,18.52,19.0,1.0,2200
ATLO,2010-04-20,14.9168683092,14.9168683092,14.5978962044,14.6215237677,2500,18.94,0.0,18.94,18.535,18.565,1.0,2500
ATLO,2010-04-21,14.948371727,15.003502708,14.6884685304,14.9326200181,5900,18.98,0.0,19.05,18.65,18.96,1.0,5900
ATLO,2010-04-22,15.7989640065,16.1061223296,14.609709986,14.7908546382,18000,20.06,0.0,20.45,18.55,18.78,1.0,18000
ATLO,2010-04-23,15.9801086586,16.4132806528,15.9013501142,16.0116120763,25600,20.29,0.0,20.84,20.19,20.33,1.0,25600
ATLO,2010-04-26,15.4996815377,15.7438330254,15.3579161578,15.7044537532,3200,19.68,0.0,19.99,19.5,19.94,1.0,3200
ATLO,2010-04-27,14.7120960938,15.4603022655,14.6490892582,15.4603022655,8700,18.68,0.0,19.63,18.6,19.63,1.0,8700
ATLO,2010-04-28,14.8853648914,14.9326200181,14.7751029293,14.7908546382,1600,18.9,0.0,18.96,18.76,18.78,1.0,1600
ATLO,2010-04-29,15.4760539744,15.5552558883,14.794917515,15.0721242136,4800,19.54,0.11,19.64,18.68,19.03,1.0,4800
ATLO,2010-04-30,15.1513261275,15.5314953142,14.9691617255,15.5235751228,6800,19.13,0.0,19.61,18.9,19.6,1.0,6800
ATLO,2010-05-03,15.4602135916,15.6344578022,14.9533213427,15.1988472758,6500,19.52,0.0,19.74,18.88,19.19,1.0,6500
ATLO,2010-05-04,14.8424386633,15.2542886155,14.6602742613,15.2542886155,6600,18.74,0.0,19.26,18.51,19.26,1.0,6600
ATLO,2010-05-05,14.7236357925,15.3334905294,14.65235407,14.6681944527,8700,18.59,0.0,19.36,18.5,18.52,1.0,8700
ATLO,2010-05-06,14.3355464144,15.4364530175,14.3355464144,14.7236357925,5800,18.1,0.0,19.49,18.1,18.59,1.0,5800
ATLO,2010-05-07,14.2484243091,14.65235407,14.1771425866,14.3117858402,9500,17.99,0.0,18.5,17.9,18.07,1.0,9500
ATLO,2010-05-10,14.9850021083,14.9850021083,14.3593069886,14.6840348355,8700,18.92,0.0,18.92,18.13,18.54,1.0,8700
ATLO,2010-05-11,15.7611808644,15.7611808644,14.8186780891,14.8186780891,6700,19.9,0.0,19.9,18.71,18.71,1.0,6700
ATLO,2010-05-12,16.1492702425,16.1571904339,15.6898991419,15.7770212472,10000,20.39,0.0,20.4,19.81,19.92,1.0,10000
ATLO,2010-05-13,16.2918336875,16.2918336875,15.9987866061,16.1492702425,15800,20.57,0.0,20.57,20.2,20.39,1.0,15800
ATLO,2010-05-14,15.1434059361,16.117589477,15.0879645964,16.117589477,8600,19.12,0.0,20.35,19.05,20.35,1.0,8600
ATLO,2010-05-17,15.3730914864,15.7691010558,15.1434059361,15.4126924433,6800,19.41,0.0,19.91,19.12,19.46,1.0,6800
ATLO,2010-05-18,15.0483636394,15.8324625869,15.0483636394,15.5790164625,5100,19.0,0.0,19.99,19.0,19.67,1.0,5100
