symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BLDP,2010-01-04,1.94,1.96,1.87,1.95,434342,1.94,0.0,1.96,1.87,1.95,1.0,434342
BLDP,2010-01-05,1.92,1.94,1.9,1.94,252900,1.92,0.0,1.94,1.9,1.94,1.0,252900
BLDP,2010-01-06,1.94,1.96,1.88,1.88,267952,1.94,0.0,1.96,1.88,1.88,1.0,267952
BLDP,2010-01-07,1.98,1.99,1.94,1.99,351833,1.98,0.0,1.99,1.94,1.99,1.0,351833
BLDP,2010-01-08,2.32,2.44,2.05,2.11,2113258,2.32,0.0,2.44,2.05,2.11,1.0,2113258
BLDP,2010-01-11,2.2,2.45,2.2,2.44,797339,2.2,0.0,2.45,2.2,2.44,1.0,797339
BLDP,2010-01-12,2.27,2.4,2.21,2.28,761624,2.27,0.0,2.4,2.21,2.28,1.0,761624
BLDP,2010-01-13,2.29,2.33,2.24,2.27,307278,2.29,0.0,2.33,2.24,2.27,1.0,307278
BLDP,2010-01-14,2.34,2.38,2.3,2.32,270273,2.34,0.0,2.38,2.3,2.32,1.0,270273
BLDP,2010-01-15,2.32,2.37,2.31,2.35,212242,2.32,0.0,2.37,2.31,2.35,1.0,212242
BLDP,2010-01-19,2.53,2.61,2.45,2.55,547259,2.53,0.0,2.61,2.45,2.55,1.0,547259
BLDP,2010-01-20,2.51,2.58,2.48,2.53,450046,2.51,0.0,2.58,2.48,2.53,1.0,450046
BLDP,2010-01-21,2.33,2.57,2.26,2.51,557498,2.33,0.0,2.57,2.26,2.51,1.0,557498
BLDP,2010-01-22,2.37,2.44,2.22,2.38,304209,2.37,0.0,2.44,2.22,2.38,1.0,304209
BLDP,2010-01-25,2.26,2.45,2.26,2.45,285331,2.26,0.0,2.45,2.26,2.45,1.0,285331
BLDP,2010-01-26,2.3,2.3,2.21,2.21,215447,2.3,0.0,2.3,2.21,2.21,1.0,215447
BLDP,2010-01-27,2.26,2.34,2.21,2.33,122703,2.26,0.0,2.34,2.21,2.33,1.0,122703
BLDP,2010-01-28,2.24,2.274,2.18,2.25,215665,2.24,0.0,2.274,2.18,2.25,1.0,215665
BLDP,2010-01-29,2.24,2.27,2.19,2.22,208464,2.24,0.0,2.27,2.19,2.22,1.0,208464
BLDP,2010-02-01,2.25,2.26,2.2,2.25,164107,2.25,0.0,2.26,2.2,2.25,1.0,164107
BLDP,2010-02-02,2.23,2.32,2.2,2.26,150737,2.23,0.0,2.32,2.2,2.26,1.0,150737
BLDP,2010-02-03,2.21,2.25,2.21,2.21,86128,2.21,0.0,2.25,2.21,2.21,1.0,86128
BLDP,2010-02-04,2.17,2.29,2.16,2.28,206078,2.17,0.0,2.29,2.16,2.28,1.0,206078
BLDP,2010-02-05,2.07,2.17,2.04,2.15,277249,2.07,0.0,2.17,2.04,2.15,1.0,277249
BLDP,2010-02-08,2.13,2.16,2.1,2.12,159135,2.13,0.0,2.16,2.1,2.12,1.0,159135
BLDP,2010-02-09,2.16,2.16,2.1,2.14,85489,2.16,0.0,2.16,2.1,2.14,1.0,85489
BLDP,2010-02-10,2.15,2.18,2.07,2.07,74751,2.15,0.0,2.18,2.07,2.07,1.0,74751
BLDP,2010-02-11,2.19,2.23,2.12,2.18,123384,2.19,0.0,2.23,2.12,2.18,1.0,123384
BLDP,2010-02-12,2.2,2.2,2.12,2.17,78343,2.2,0.0,2.2,2.12,2.17,1.0,78343
BLDP,2010-02-16,2.27,2.28,2.17,2.2,168599,2.27,0.0,2.28,2.17,2.2,1.0,168599
BLDP,2010-02-17,2.4,2.43,2.19,2.27,850430,2.4,0.0,2.43,2.19,2.27,1.0,850430
BLDP,2010-02-18,2.3,2.3899,2.26,2.38,204768,2.3,0.0,2.3899,2.26,2.38,1.0,204768
BLDP,2010-02-19,2.25,2.34,2.25,2.3,78090,2.25,0.0,2.34,2.25,2.3,1.0,78090
BLDP,2010-02-22,2.35,2.4,2.26,2.26,263116,2.35,0.0,2.4,2.26,2.26,1.0,263116
BLDP,2010-02-23,2.27,2.31,2.22,2.31,167966,2.27,0.0,2.31,2.22,2.31,1.0,167966
BLDP,2010-02-24,2.22,2.26,2.21,2.25,97391,2.22,0.0,2.26,2.21,2.25,1.0,97391
BLDP,2010-02-25,2.23,2.26,2.18,2.2,123856,2.23,0.0,2.26,2.18,2.2,1.0,123856
BLDP,2010-02-26,2.24,2.25,2.2,2.22,71677,2.24,0.0,2.25,2.2,2.22,1.0,71677
BLDP,2010-03-01,2.24,2.25,2.21,2.22,89214,2.24,0.0,2.25,2.21,2.22,1.0,89214
BLDP,2010-03-02,2.29,2.39,2.22,2.26,501435,2.29,0.0,2.39,2.22,2.26,1.0,501435
BLDP,2010-03-03,2.28,2.36,2.28,2.32,98682,2.28,0.0,2.36,2.28,2.32,1.0,98682
BLDP,2010-03-04,2.33,2.34,2.28,2.31,88666,2.33,0.0,2.34,2.28,2.31,1.0,88666
BLDP,2010-03-05,2.29,2.34,2.29,2.33,127888,2.29,0.0,2.34,2.29,2.33,1.0,127888
BLDP,2010-03-08,2.4,2.64,2.28,2.32,2019221,2.4,0.0,2.64,2.28,2.32,1.0,2019221
BLDP,2010-03-09,2.36,2.42,2.27,2.34,437809,2.36,0.0,2.42,2.27,2.34,1.0,437809
BLDP,2010-03-10,2.33,2.4399,2.33,2.39,184892,2.33,0.0,2.4399,2.33,2.39,1.0,184892
BLDP,2010-03-11,2.38,2.43,2.33,2.34,308857,2.38,0.0,2.43,2.33,2.34,1.0,308857
BLDP,2010-03-12,2.5,2.54,2.36,2.39,513701,2.5,0.0,2.54,2.36,2.39,1.0,513701
BLDP,2010-03-15,2.54,2.54,2.44,2.53,377702,2.54,0.0,2.54,2.44,2.53,1.0,377702
BLDP,2010-03-16,2.52,2.62,2.45,2.55,329033,2.52,0.0,2.62,2.45,2.55,1.0,329033
BLDP,2010-03-17,2.53,2.58,2.45,2.52,341702,2.53,0.0,2.58,2.45,2.52,1.0,341702
BLDP,2010-03-18,2.45,2.52,2.42,2.49,294382,2.45,0.0,2.52,2.42,2.49,1.0,294382
BLDP,2010-03-19,2.41,2.43,2.35,2.4,407778,2.41,0.0,2.43,2.35,2.4,1.0,407778
BLDP,2010-03-22,2.54,2.54,2.34,2.37,634118,2.54,0.0,2.54,2.34,2.37,1.0,634118
BLDP,2010-03-23,2.76,2.76,2.49,2.52,1159569,2.76,0.0,2.76,2.49,2.52,1.0,1159569
BLDP,2010-03-24,2.91,2.91,2.64,2.74,985968,2.91,0.0,2.91,2.64,2.74,1.0,985968
