symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BLDR,2010-01-04,3.77,3.93,3.75,3.93,494400,3.77,0.0,3.93,3.75,3.93,1.0,494400
BLDR,2010-01-05,3.59,3.79,3.566,3.77,284700,3.59,0.0,3.79,3.566,3.77,1.0,284700
BLDR,2010-01-06,3.6,3.61,3.57,3.57,271000,3.6,0.0,3.61,3.57,3.57,1.0,271000
BLDR,2010-01-07,3.57,3.62,3.56,3.61,351400,3.57,0.0,3.62,3.56,3.61,1.0,351400
BLDR,2010-01-08,3.54,3.63,3.5,3.56,391400,3.54,0.0,3.63,3.5,3.56,1.0,391400
BLDR,2010-01-11,3.59,3.6,3.54,3.58,686800,3.59,0.0,3.6,3.54,3.58,1.0,686800
BLDR,2010-01-12,3.75,4.07,3.58,3.58,567300,3.75,0.0,4.07,3.58,3.58,1.0,567300
BLDR,2010-01-13,3.73,3.95,3.7,3.78,396300,3.73,0.0,3.95,3.7,3.78,1.0,396300
BLDR,2010-01-14,3.68,3.83,3.64,3.75,385900,3.68,0.0,3.83,3.64,3.75,1.0,385900
BLDR,2010-01-15,3.6,3.8,3.53,3.68,349700,3.6,0.0,3.8,3.53,3.68,1.0,349700
BLDR,2010-01-19,3.89,3.89,3.64,3.79,392900,3.89,0.0,3.89,3.64,3.79,1.0,392900
BLDR,2010-01-20,3.64,3.87,3.62,3.85,72000,3.64,0.0,3.87,3.62,3.85,1.0,72000
BLDR,2010-01-21,3.5,3.72,3.5,3.66,201300,3.5,0.0,3.72,3.5,3.66,1.0,201300
BLDR,2010-01-22,3.36,3.5,3.32,3.5,527400,3.36,0.0,3.5,3.32,3.5,1.0,527400
BLDR,2010-01-25,3.38,3.42,3.32,3.41,222400,3.38,0.0,3.42,3.32,3.41,1.0,222400
BLDR,2010-01-26,3.39,3.45,3.34,3.38,243800,3.39,0.0,3.45,3.34,3.38,1.0,243800
BLDR,2010-01-27,3.39,3.43,3.32,3.42,150500,3.39,0.0,3.43,3.32,3.42,1.0,150500
BLDR,2010-01-28,3.35,3.47,3.34,3.41,280500,3.35,0.0,3.47,3.34,3.41,1.0,280500
BLDR,2010-01-29,3.35,3.41,3.31,3.38,1074100,3.35,0.0,3.41,3.31,3.38,1.0,1074100
BLDR,2010-02-01,3.34,3.4,3.29,3.37,313600,3.34,0.0,3.4,3.29,3.37,1.0,313600
BLDR,2010-02-02,3.33,3.42,3.31,3.35,434700,3.33,0.0,3.42,3.31,3.35,1.0,434700
BLDR,2010-02-03,3.19,3.38,3.18,3.35,386300,3.19,0.0,3.38,3.18,3.35,1.0,386300
BLDR,2010-02-04,3.0,3.19,2.97,3.17,499800,3.0,0.0,3.19,2.97,3.17,1.0,499800
BLDR,2010-02-05,3.03,3.04,2.86,3.0,398700,3.03,0.0,3.04,2.86,3.0,1.0,398700
BLDR,2010-02-08,2.96,3.02,2.95,3.02,353700,2.96,0.0,3.02,2.95,3.02,1.0,353700
BLDR,2010-02-09,2.9,3.05,2.88,3.01,152800,2.9,0.0,3.05,2.88,3.01,1.0,152800
BLDR,2010-02-10,2.97,2.99,2.81,2.87,174000,2.97,0.0,2.99,2.81,2.87,1.0,174000
BLDR,2010-02-11,3.0,3.0,2.9,2.95,120100,3.0,0.0,3.0,2.9,2.95,1.0,120100
BLDR,2010-02-12,2.99,3.02,2.92,2.96,81700,2.99,0.0,3.02,2.92,2.96,1.0,81700
BLDR,2010-02-16,3.0,3.01,2.9,3.01,373800,3.0,0.0,3.01,2.9,3.01,1.0,373800
BLDR,2010-02-17,3.02,3.05,2.98,3.01,289900,3.02,0.0,3.05,2.98,3.01,1.0,289900
BLDR,2010-02-18,3.0,3.01,2.94,3.01,281600,3.0,0.0,3.01,2.94,3.01,1.0,281600
BLDR,2010-02-19,3.01,3.05,2.97,3.0,610100,3.01,0.0,3.05,2.97,3.0,1.0,610100
BLDR,2010-02-22,3.11,3.14,2.96,3.01,640200,3.11,0.0,3.14,2.96,3.01,1.0,640200
BLDR,2010-02-23,2.97,3.16,2.95,3.11,555500,2.97,0.0,3.16,2.95,3.11,1.0,555500
BLDR,2010-02-24,2.97,2.98,2.91,2.98,136300,2.97,0.0,2.98,2.91,2.98,1.0,136300
BLDR,2010-02-25,3.0,3.03,2.92,2.92,409500,3.0,0.0,3.03,2.92,2.92,1.0,409500
BLDR,2010-02-26,3.0,3.0125,2.96,2.99,411600,3.0,0.0,3.0125,2.96,2.99,1.0,411600
BLDR,2010-03-01,3.03,3.08,3.0,3.01,245700,3.03,0.0,3.08,3.0,3.01,1.0,245700
BLDR,2010-03-02,3.04,3.06,3.02,3.04,148100,3.04,0.0,3.06,3.02,3.04,1.0,148100
BLDR,2010-03-03,3.04,3.09,3.02,3.05,204800,3.04,0.0,3.09,3.02,3.05,1.0,204800
BLDR,2010-03-04,3.04,3.08,3.0,3.05,90500,3.04,0.0,3.08,3.0,3.05,1.0,90500
BLDR,2010-03-05,3.11,3.11,3.01,3.06,200700,3.11,0.0,3.11,3.01,3.06,1.0,200700
BLDR,2010-03-08,3.11,3.15,3.06,3.11,78000,3.11,0.0,3.15,3.06,3.11,1.0,78000
BLDR,2010-03-09,3.12,3.16,3.07,3.1,51700,3.12,0.0,3.16,3.07,3.1,1.0,51700
BLDR,2010-03-10,3.18,3.25,3.08,3.13,117200,3.18,0.0,3.25,3.08,3.13,1.0,117200
BLDR,2010-03-11,3.19,3.19,3.1,3.15,88200,3.19,0.0,3.19,3.1,3.15,1.0,88200
BLDR,2010-03-12,3.14,3.17,3.09,3.16,155700,3.14,0.0,3.17,3.09,3.16,1.0,155700
BLDR,2010-03-15,3.1,3.15,3.03,3.14,120700,3.1,0.0,3.15,3.03,3.14,1.0,120700
BLDR,2010-03-16,3.11,3.14,3.03,3.11,743500,3.11,0.0,3.14,3.03,3.11,1.0,743500
BLDR,2010-03-17,3.1,3.17,3.08,3.11,246000,3.1,0.0,3.17,3.08,3.11,1.0,246000
BLDR,2010-03-18,3.27,3.29,3.05,3.09,524400,3.27,0.0,3.29,3.05,3.09,1.0,524400
BLDR,2010-03-19,3.16,3.3,3.05,3.29,639800,3.16,0.0,3.3,3.05,3.29,1.0,639800
BLDR,2010-03-22,3.28,3.32,3.07,3.13,134600,3.28,0.0,3.32,3.07,3.13,1.0,134600
BLDR,2010-03-23,3.29,3.31,3.16,3.29,105900,3.29,0.0,3.31,3.16,3.29,1.0,105900
BLDR,2010-03-24,3.14,3.29,3.1,3.28,109200,3.14,0.0,3.29,3.1,3.28,1.0,109200
BLDR,2010-03-25,3.05,3.26,3.05,3.19,130600,3.05,0.0,3.26,3.05,3.19,1.0,130600
BLDR,2010-03-26,3.07,3.11,3.03,3.07,222200,3.07,0.0,3.11,3.03,3.07,1.0,222200
BLDR,2010-03-29,3.11,3.15,3.07,3.07,107000,3.11,0.0,3.15,3.07,3.07,1.0,107000
BLDR,2010-03-30,3.14,3.2,3.12,3.12,157100,3.14,0.0,3.2,3.12,3.12,1.0,157100
BLDR,2010-03-31,3.15,3.1501,3.11,3.11,270200,3.15,0.0,3.1501,3.11,3.11,1.0,270200
BLDR,2010-04-01,3.16,3.18,3.12,3.18,164500,3.16,0.0,3.18,3.12,3.18,1.0,164500
BLDR,2010-04-05,3.39,3.4,3.15,3.17,278500,3.39,0.0,3.4,3.15,3.17,1.0,278500
BLDR,2010-04-06,3.41,3.42,3.32,3.39,246100,3.41,0.0,3.42,3.32,3.39,1.0,246100
BLDR,2010-04-07,3.48,3.49,3.37,3.39,339200,3.48,0.0,3.49,3.37,3.39,1.0,339200
BLDR,2010-04-08,3.5,3.55,3.45,3.49,239100,3.5,0.0,3.55,3.45,3.49,1.0,239100
BLDR,2010-04-09,3.49,3.55,3.42,3.49,173800,3.49,0.0,3.55,3.42,3.49,1.0,173800
BLDR,2010-04-12,3.42,3.5,3.37,3.5,194800,3.42,0.0,3.5,3.37,3.5,1.0,194800
BLDR,2010-04-13,3.56,3.61,3.42,3.42,297200,3.56,0.0,3.61,3.42,3.42,1.0,297200
BLDR,2010-04-14,3.65,3.69,3.52,3.6,371100,3.65,0.0,3.69,3.52,3.6,1.0,371100
BLDR,2010-04-15,3.71,3.7575,3.62,3.63,238300,3.71,0.0,3.7575,3.62,3.63,1.0,238300
BLDR,2010-04-16,3.64,3.7705,3.54,3.71,741300,3.64,0.0,3.7705,3.54,3.71,1.0,741300
BLDR,2010-04-19,3.63,3.7,3.59,3.59,322300,3.63,0.0,3.7,3.59,3.59,1.0,322300
BLDR,2010-04-20,3.72,3.75,3.55,3.65,139700,3.72,0.0,3.75,3.55,3.65,1.0,139700
BLDR,2010-04-21,3.94,3.94,3.74,3.74,311800,3.94,0.0,3.94,3.74,3.74,1.0,311800
BLDR,2010-04-22,4.08,4.19,3.83,3.86,782900,4.08,0.0,4.19,3.83,3.86,1.0,782900
BLDR,2010-04-23,4.0,4.065,3.72,4.04,720500,4.0,0.0,4.065,3.72,4.04,1.0,720500
