symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BONA,2010-12-08,6.6,8.5,6.45,8.5,10547535,6.6,0.0,8.5,6.45,8.5,1.0,10547535
BONA,2010-12-09,6.6,8.5,6.45,8.5,10547535,6.6,0.0,8.5,6.45,8.5,1.0,10547535
BONA,2010-12-10,6.96,7.66,6.02,6.4,2977351,6.96,0.0,7.66,6.02,6.4,1.0,2977351
BONA,2010-12-13,7.15,7.25,6.95,7.21,854346,7.15,0.0,7.25,6.95,7.21,1.0,854346
BONA,2010-12-14,7.0,7.1693,6.82,7.16,378475,7.0,0.0,7.1693,6.82,7.16,1.0,378475
BONA,2010-12-15,6.47,7.1,6.26,6.91,616874,6.47,0.0,7.1,6.26,6.91,1.0,616874
BONA,2010-12-16,6.5,6.63,6.25,6.515,250498,6.5,0.0,6.63,6.25,6.515,1.0,250498
BONA,2010-12-17,6.27,6.82,6.25,6.81,290708,6.27,0.0,6.82,6.25,6.81,1.0,290708
BONA,2010-12-20,6.05,6.33,5.98,6.05,270325,6.05,0.0,6.33,5.98,6.05,1.0,270325
BONA,2010-12-21,6.03,6.17,6.0,6.08,160983,6.03,0.0,6.17,6.0,6.08,1.0,160983
BONA,2010-12-22,5.92,6.12,5.8,6.0,624644,5.92,0.0,6.12,5.8,6.0,1.0,624644
BONA,2010-12-23,5.86,6.1,5.85,5.92,199238,5.86,0.0,6.1,5.85,5.92,1.0,199238
BONA,2010-12-27,5.81,5.999,5.77,5.81,72736,5.81,0.0,5.999,5.77,5.81,1.0,72736
BONA,2010-12-28,5.715,5.85,5.7,5.83,126818,5.715,0.0,5.85,5.7,5.83,1.0,126818
BONA,2010-12-29,5.72,6.0,5.55,6.0,164597,5.72,0.0,6.0,5.55,6.0,1.0,164597
BONA,2010-12-30,5.6699,5.8999,5.62,5.66,54644,5.6699,0.0,5.8999,5.62,5.66,1.0,54644
BONA,2010-12-31,5.46,5.6601,5.18,5.66,186319,5.46,0.0,5.6601,5.18,5.66,1.0,186319
BONA,2011-01-03,5.78,5.8392,5.559,5.59,160287,5.78,0.0,5.8392,5.559,5.59,1.0,160287
BONA,2011-01-04,6.02,6.05,5.51,5.61,296717,6.02,0.0,6.05,5.51,5.61,1.0,296717
BONA,2011-01-05,6.38,6.4,6.01,6.1,333944,6.38,0.0,6.4,6.01,6.1,1.0,333944
BONA,2011-01-06,6.33,6.46,6.15,6.45,160332,6.33,0.0,6.46,6.15,6.45,1.0,160332
BONA,2011-01-07,6.34,6.45,6.34,6.38,135826,6.34,0.0,6.45,6.34,6.38,1.0,135826
BONA,2011-01-10,6.11,6.4,6.01,6.38,113834,6.11,0.0,6.4,6.01,6.38,1.0,113834
BONA,2011-01-11,5.9,6.17,5.9,6.04,67175,5.9,0.0,6.17,5.9,6.04,1.0,67175
BONA,2011-01-12,6.0,6.15,5.96,5.96,14468,6.0,0.0,6.15,5.96,5.96,1.0,14468
BONA,2011-01-13,6.02,6.179,5.96,5.97,53448,6.02,0.0,6.179,5.96,5.97,1.0,53448
BONA,2011-01-14,6.14,6.19,6.05,6.05,25052,6.14,0.0,6.19,6.05,6.05,1.0,25052
BONA,2011-01-18,6.8,6.9,6.24,6.76,394494,6.8,0.0,6.9,6.24,6.76,1.0,394494
BONA,2011-01-19,6.91,6.95,6.58,6.8,802896,6.91,0.0,6.95,6.58,6.8,1.0,802896
BONA,2011-01-20,7.32,7.38,6.7,6.78,340103,7.32,0.0,7.38,6.7,6.78,1.0,340103
BONA,2011-01-21,7.19,7.3,6.99,7.24,280227,7.19,0.0,7.3,6.99,7.24,1.0,280227
BONA,2011-01-24,7.22,7.23,6.98,7.09,291553,7.22,0.0,7.23,6.98,7.09,1.0,291553
BONA,2011-01-25,7.17,7.18,6.96,7.08,223720,7.17,0.0,7.18,6.96,7.08,1.0,223720
BONA,2011-01-26,7.35,7.4,6.99,7.11,332960,7.35,0.0,7.4,6.99,7.11,1.0,332960
BONA,2011-01-27,7.3,7.54,7.2,7.54,71960,7.3,0.0,7.54,7.2,7.54,1.0,71960
BONA,2011-01-28,7.31,7.89,7.15,7.89,142938,7.31,0.0,7.89,7.15,7.89,1.0,142938
BONA,2011-01-31,7.44,7.59,7.26,7.59,57450,7.44,0.0,7.59,7.26,7.59,1.0,57450
BONA,2011-02-01,7.35,7.45,7.2,7.35,174191,7.35,0.0,7.45,7.2,7.35,1.0,174191
BONA,2011-02-02,7.25,7.3892,7.15,7.35,38452,7.25,0.0,7.3892,7.15,7.35,1.0,38452
BONA,2011-02-03,7.21,7.3,7.01,7.3,14314,7.21,0.0,7.3,7.01,7.3,1.0,14314
BONA,2011-02-04,7.49,7.49,7.046,7.07,29858,7.49,0.0,7.49,7.046,7.07,1.0,29858
BONA,2011-02-07,7.35,7.49,7.26,7.49,19487,7.35,0.0,7.49,7.26,7.49,1.0,19487
BONA,2011-02-08,7.335,7.46,7.25,7.35,34058,7.335,0.0,7.46,7.25,7.35,1.0,34058
