symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BPOP,2010-01-04,22.3984672515,22.3984672515,21.0864231447,21.4612928895,833000,2.39,0.0,2.39,2.25,2.29,1.0,8330000
BPOP,2010-01-05,21.3675754533,22.3984672515,20.7115533999,21.9298800705,613200,2.28,0.0,2.39,2.21,2.34,1.0,6132000
BPOP,2010-01-06,21.4612928895,21.7424451981,20.7115533999,21.0864231447,538000,2.29,0.0,2.32,2.21,2.25,1.0,5380000
BPOP,2010-01-07,22.4921846877,22.5859021239,20.9927057085,21.3675754533,748500,2.4,0.0,2.41,2.24,2.28,1.0,7485000
BPOP,2010-01-08,20.9927057085,22.4921846877,20.9927057085,21.8361626343,538500,2.24,0.0,2.4,2.24,2.33,1.0,5385000
BPOP,2010-01-11,21.1801405809,21.7424451981,20.9927057085,21.2738580171,483100,2.26,0.0,2.32,2.24,2.27,1.0,4831000
BPOP,2010-01-12,20.6178359637,21.3675754533,20.6178359637,21.1801405809,481400,2.2,0.0,2.28,2.2,2.26,1.0,4814000
BPOP,2010-01-13,20.2429662189,20.8989882723,20.1492487827,20.8989882723,548300,2.16,0.0,2.23,2.15,2.23,1.0,5483000
BPOP,2010-01-14,20.9927057085,21.4612928895,20.2420290445,20.2429662189,1415300,2.24,0.0,2.29,2.1599,2.16,1.0,14153000
BPOP,2010-01-15,20.2429662189,21.2738580171,20.2429662189,20.9927057085,596300,2.16,0.0,2.27,2.16,2.24,1.0,5963000
BPOP,2010-01-19,20.4304010913,20.5241185275,20.1492487827,20.5241185275,623500,2.18,0.0,2.19,2.15,2.19,1.0,6235000
BPOP,2010-01-20,19.7743790379,20.7115533999,19.7743790379,20.1492487827,1007300,2.11,0.0,2.21,2.11,2.15,1.0,10073000
BPOP,2010-01-21,20.3366836551,21.5550103257,19.5869441655,20.6178359637,2105800,2.17,0.0,2.3,2.09,2.2,1.0,21058000
BPOP,2010-01-22,19.8680964741,20.6178359637,19.6806616017,20.4304010913,675800,2.12,0.0,2.2,2.1,2.18,1.0,6758000
BPOP,2010-01-25,20.7115533999,20.8052708361,19.8680964741,20.5241185275,779300,2.21,0.0,2.22,2.12,2.19,1.0,7793000
BPOP,2010-01-26,19.7743790379,20.9927057085,19.7743790379,20.7115533999,893300,2.11,0.0,2.24,2.11,2.21,1.0,8933000
BPOP,2010-01-27,20.2429662189,20.3366836551,19.8680964741,19.8680964741,382600,2.16,0.0,2.17,2.12,2.12,1.0,3826000
BPOP,2010-01-28,19.8680964741,20.3366836551,19.6806616017,20.2429662189,372500,2.12,0.0,2.17,2.1,2.16,1.0,3725000
BPOP,2010-01-29,20.1492487827,20.1492487827,19.7743790379,20.1492487827,537500,2.15,0.0,2.15,2.11,2.15,1.0,5375000
BPOP,2010-02-01,19.8680964741,20.4304010913,19.6806616017,20.0555313465,647400,2.12,0.0,2.18,2.1,2.14,1.0,6474000
BPOP,2010-02-02,19.7743790379,20.0555313465,19.6806616017,19.7743790379,729200,2.11,0.0,2.14,2.1,2.11,1.0,7292000
BPOP,2010-02-03,18.4623349311,19.7743790379,18.3686174949,19.6806616017,799100,1.97,0.0,2.11,1.96,2.1,1.0,7991000
BPOP,2010-02-04,16.8691385158,19.0246395483,16.8691385158,18.2749000587,982700,1.8,0.0,2.03,1.8,1.95,1.0,9827000
BPOP,2010-02-05,17.4314431329,17.8063128777,16.962855952,16.962855952,754100,1.86,0.0,1.9,1.81,1.81,1.0,7541000
BPOP,2010-02-08,16.4005513348,17.6188780053,16.1193990262,17.1502908244,792700,1.75,0.0,1.88,1.72,1.83,1.0,7927000
BPOP,2010-02-09,16.8691385158,16.8691385158,16.2131164624,16.2131164624,560700,1.8,0.0,1.8,1.73,1.73,1.0,5607000
BPOP,2010-02-10,17.9000303139,17.9000303139,15.9319641538,16.494268771,895100,1.91,0.0,1.91,1.7,1.76,1.0,8951000
BPOP,2010-02-11,17.4314431329,17.9000303139,16.6817036434,17.6188780053,520500,1.86,0.0,1.91,1.78,1.88,1.0,5205000
BPOP,2010-02-12,18.1811826225,18.1811826225,16.962855952,17.2440082606,596600,1.94,0.0,1.94,1.81,1.84,1.0,5966000
BPOP,2010-02-16,18.7434872397,19.1183569845,17.9937477501,18.2749000587,766600,2.0,0.0,2.04,1.92,1.95,1.0,7666000
BPOP,2010-02-17,18.5560523673,19.1652157026,18.0874651863,18.7434872397,489300,1.98,0.0,2.045,1.93,2.0,1.0,4893000
BPOP,2010-02-18,18.4623349311,18.8372046759,18.1811826225,18.2749000587,409400,1.97,0.0,2.01,1.94,1.95,1.0,4094000
BPOP,2010-02-19,18.7434872397,18.8372046759,18.3686174949,18.4623349311,673200,2.0,0.0,2.01,1.96,1.97,1.0,6732000
BPOP,2010-02-22,18.1811826225,18.8372046759,17.9937477501,18.7434872397,544800,1.94,0.0,2.01,1.92,2.0,1.0,5448000
