symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
BTAI,2018-03-08,11.03,11.94,10.67,11.02,1910550,11.03,0.0,11.94,10.67,11.02,1.0,1910550
BTAI,2018-03-09,11.0,11.43,11.0,11.1,275778,11.0,0.0,11.43,11.0,11.1,1.0,275778
BTAI,2018-03-12,10.43,11.03,10.31,11.03,259535,10.43,0.0,11.03,10.31,11.03,1.0,259535
BTAI,2018-03-13,10.31,10.6,10.14,10.25,133705,10.31,0.0,10.6,10.14,10.25,1.0,133705
BTAI,2018-03-14,10.47,10.47,10.33,10.33,44826,10.47,0.0,10.47,10.33,10.33,1.0,44826
BTAI,2018-03-15,10.85,10.87,10.47,10.47,64335,10.85,0.0,10.87,10.47,10.47,1.0,64335
BTAI,2018-03-16,10.87,11.1232,10.5,10.84,102282,10.87,0.0,11.1232,10.5,10.84,1.0,102282
BTAI,2018-03-19,10.25,10.9,10.25,10.9,88018,10.25,0.0,10.9,10.25,10.9,1.0,88018
BTAI,2018-03-20,10.25,10.4517,10.25,10.2501,26997,10.25,0.0,10.4517,10.25,10.2501,1.0,26997
BTAI,2018-03-21,10.41,10.83,10.27,10.27,28333,10.41,0.0,10.83,10.27,10.27,1.0,28333
BTAI,2018-03-22,10.25,10.35,10.25,10.33,20415,10.25,0.0,10.35,10.25,10.33,1.0,20415
BTAI,2018-03-23,10.31,10.39,10.25,10.26,22953,10.31,0.0,10.39,10.25,10.26,1.0,22953
BTAI,2018-03-26,10.46,10.5,10.26,10.4,8010,10.46,0.0,10.5,10.26,10.4,1.0,8010
BTAI,2018-03-27,9.99,10.45,8.66,10.45,65928,9.99,0.0,10.45,8.66,10.45,1.0,65928
BTAI,2018-03-28,9.83,10.25,9.75,9.82,16071,9.83,0.0,10.25,9.75,9.82,1.0,16071
BTAI,2018-03-29,10.24,10.25,10.0,10.0,24681,10.24,0.0,10.25,10.0,10.0,1.0,24681
BTAI,2018-04-02,10.84,11.06,10.5,10.5,103452,10.84,0.0,11.06,10.5,10.5,1.0,103452
BTAI,2018-04-03,10.59,11.2,10.5,11.2,104979,10.59,0.0,11.2,10.5,11.2,1.0,104979
BTAI,2018-04-04,10.5,10.89,10.5,10.5,83553,10.5,0.0,10.89,10.5,10.5,1.0,83553
BTAI,2018-04-05,11.06,11.105,10.5,10.59,131546,11.06,0.0,11.105,10.5,10.59,1.0,131546
BTAI,2018-04-06,11.05,11.149,10.5,10.96,45917,11.05,0.0,11.149,10.5,10.96,1.0,45917
BTAI,2018-04-09,10.17,11.0001,10.011,10.9146,75625,10.17,0.0,11.0001,10.011,10.9146,1.0,75625
BTAI,2018-04-10,9.79,10.8,9.29,10.31,88930,9.79,0.0,10.8,9.29,10.31,1.0,88930
BTAI,2018-04-11,8.94,9.86,8.92,9.36,43568,8.94,0.0,9.86,8.92,9.36,1.0,43568
BTAI,2018-04-12,8.94,9.515,8.72,8.9,33754,8.94,0.0,9.515,8.72,8.9,1.0,33754
BTAI,2018-04-13,9.23,9.465,8.95,8.95,12450,9.23,0.0,9.465,8.95,8.95,1.0,12450
BTAI,2018-04-16,9.26,9.475,8.92,9.28,21694,9.26,0.0,9.475,8.92,9.28,1.0,21694
BTAI,2018-04-17,8.95,9.41,8.95,8.99,82552,8.95,0.0,9.41,8.95,8.99,1.0,82552
BTAI,2018-04-18,8.82,9.025,8.7,8.95,15519,8.82,0.0,9.025,8.7,8.95,1.0,15519
BTAI,2018-04-19,8.86,8.93,8.77,8.92,23398,8.86,0.0,8.93,8.77,8.92,1.0,23398
BTAI,2018-04-20,9.28,10.224,9.0381,9.16,10890,9.28,0.0,10.224,9.0381,9.16,1.0,10890
BTAI,2018-04-23,9.04,9.1492,8.9501,9.06,10041,9.04,0.0,9.1492,8.9501,9.06,1.0,10041
BTAI,2018-04-24,7.54,8.86,6.76,8.86,74776,7.54,0.0,8.86,6.76,8.86,1.0,74776
BTAI,2018-04-25,7.63,8.0485,7.45,7.61,19321,7.63,0.0,8.0485,7.45,7.61,1.0,19321
BTAI,2018-04-26,7.75,8.0,7.5,8.0,27615,7.75,0.0,8.0,7.5,8.0,1.0,27615
BTAI,2018-04-27,7.5,7.875,7.5,7.7501,13987,7.5,0.0,7.875,7.5,7.7501,1.0,13987
BTAI,2018-04-30,7.6,7.61,7.43,7.51,22108,7.6,0.0,7.61,7.43,7.51,1.0,22108
BTAI,2018-05-01,7.47,7.561,7.45,7.5,18686,7.47,0.0,7.561,7.45,7.5,1.0,18686
BTAI,2018-05-02,7.02,7.82,7.02,7.52,16678,7.02,0.0,7.82,7.02,7.52,1.0,16678
BTAI,2018-05-03,8.4,8.98,7.48,7.5,64754,8.4,0.0,8.98,7.48,7.5,1.0,64754
BTAI,2018-05-04,7.7,9.45,7.56,8.48,39801,7.7,0.0,9.45,7.56,8.48,1.0,39801
BTAI,2018-05-07,8.105,8.305,7.57,7.77,39043,8.105,0.0,8.305,7.57,7.77,1.0,39043
BTAI,2018-05-08,8.15,8.59,7.713,8.15,25612,8.15,0.0,8.59,7.713,8.15,1.0,25612
BTAI,2018-05-09,8.8,9.06,8.25,8.25,46760,8.8,0.0,9.06,8.25,8.25,1.0,46760
BTAI,2018-05-10,9.93,9.98,8.9,8.9,25328,9.93,0.0,9.98,8.9,8.9,1.0,25328
BTAI,2018-05-11,9.99,10.17,8.9,9.96,19482,9.99,0.0,10.17,8.9,9.96,1.0,19482
BTAI,2018-05-14,9.5,10.21,9.17,9.99,25001,9.5,0.0,10.21,9.17,9.99,1.0,25001
BTAI,2018-05-15,9.8,9.931,9.51,9.51,19589,9.8,0.0,9.931,9.51,9.51,1.0,19589
BTAI,2018-05-16,9.99,10.305,9.8,9.8,38200,9.99,0.0,10.305,9.8,9.8,1.0,38200
BTAI,2018-05-17,10.54,10.69,8.92,9.89,17841,10.54,0.0,10.69,8.92,9.89,1.0,17841
BTAI,2018-05-18,10.35,10.61,10.255,10.61,4720,10.35,0.0,10.61,10.255,10.61,1.0,4720
BTAI,2018-05-21,10.79,11.0,10.0,10.5,22945,10.79,0.0,11.0,10.0,10.5,1.0,22945
BTAI,2018-05-22,11.18,11.19,10.28,10.79,18526,11.18,0.0,11.19,10.28,10.79,1.0,18526
BTAI,2018-05-23,10.54,11.15,10.1,11.11,11155,10.54,0.0,11.15,10.1,11.11,1.0,11155
BTAI,2018-05-24,10.9,11.66,10.38,10.61,130821,10.9,0.0,11.66,10.38,10.61,1.0,130821
BTAI,2018-05-25,10.81,11.44,10.63,11.0,29197,10.81,0.0,11.44,10.63,11.0,1.0,29197
BTAI,2018-05-29,11.26,11.61,11.025,11.11,11403,11.26,0.0,11.61,11.025,11.11,1.0,11403
BTAI,2018-05-30,11.23,11.59,11.2,11.56,13997,11.23,0.0,11.59,11.2,11.56,1.0,13997
BTAI,2018-05-31,10.99,11.4,10.99,11.315,32369,10.99,0.0,11.4,10.99,11.315,1.0,32369
BTAI,2018-06-01,11.13,11.199,11.01,11.125,22825,11.13,0.0,11.199,11.01,11.125,1.0,22825
BTAI,2018-06-04,10.98,11.61,10.5,11.61,82482,10.98,0.0,11.61,10.5,11.61,1.0,82482
BTAI,2018-06-05,10.76,11.84,10.76,11.84,39109,10.76,0.0,11.84,10.76,11.84,1.0,39109
BTAI,2018-06-06,10.81,11.45,10.79,11.15,21857,10.81,0.0,11.45,10.79,11.15,1.0,21857
BTAI,2018-06-07,10.86,11.66,10.81,11.66,16596,10.86,0.0,11.66,10.81,11.66,1.0,16596
BTAI,2018-06-08,10.35,11.48,10.3,10.8,43283,10.35,0.0,11.48,10.3,10.8,1.0,43283
BTAI,2018-06-11,10.72,11.1,10.3,10.52,52944,10.72,0.0,11.1,10.3,10.52,1.0,52944
BTAI,2018-06-12,9.87,11.1,9.81,10.8,54299,9.87,0.0,11.1,9.81,10.8,1.0,54299
BTAI,2018-06-13,9.8,10.59,9.8,10.05,47457,9.8,0.0,10.59,9.8,10.05,1.0,47457
BTAI,2018-06-14,9.89,11.1371,9.8,9.91,48301,9.89,0.0,11.1371,9.8,9.91,1.0,48301
