symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CAC,2010-01-04,17.3471486225,17.3988385767,17.0651282325,17.130050815,12299,33.56,0.0,33.66,33.0144,33.14,1.0,8200
CAC,2010-01-05,16.6441652457,17.3781625951,16.6390479402,17.0318399021,16499,32.2,0.0,33.62,32.1901,32.95,1.0,11000
CAC,2010-01-06,16.6441652457,16.7733901312,16.2048006352,16.6648412274,36149,32.2,0.0,32.45,31.35,32.24,1.0,24100
CAC,2010-01-07,17.352317618,17.5228944668,16.7268691724,16.7268691724,77849,33.57,0.0,33.9,32.36,32.36,1.0,51900
CAC,2010-01-08,17.2024167508,17.4815425034,17.1042058379,17.3988385767,36599,33.28,0.0,33.82,33.09,33.66,1.0,24400
CAC,2010-01-11,16.845756067,17.3264726409,16.8250800853,17.2851206775,17699,32.59,0.0,33.52,32.55,33.44,1.0,11800
CAC,2010-01-12,16.659672232,17.19207876,16.659672232,16.8405870716,21599,32.23,0.0,33.26,32.23,32.58,1.0,14400
CAC,2010-01-13,16.9387979845,17.1419385508,16.7981622079,16.8762931949,21299,32.52,0.25,32.91,32.25,32.4,1.0,14200
CAC,2010-01-14,16.8502495326,16.9283805196,16.5585605144,16.9283805196,8699,32.35,0.0,32.5,31.79,32.5,1.0,5800
CAC,2010-01-15,16.5168906547,17.1158948884,16.386672343,16.9492154495,35399,31.71,0.0,32.86,31.46,32.54,1.0,23600
CAC,2010-01-19,16.8762931949,17.1471472832,16.46480333,16.46480333,40499,32.4,0.0,32.92,31.61,31.61,1.0,27000
CAC,2010-01-20,16.4283422027,16.8762931949,16.1887405092,16.6939875586,23549,31.54,0.0,32.4,31.08,32.05,1.0,15700
CAC,2010-01-21,16.2772889611,16.6262740365,16.1574881144,16.5064731897,23249,31.25,0.0,31.92,31.02,31.69,1.0,15500
CAC,2010-01-22,15.7199545871,16.06373093,15.62624949,15.8762165611,26399,30.18,0.0,30.84,30.0001,30.48,1.0,17600
CAC,2010-01-25,16.1158182547,16.3345850183,15.6470323326,15.6470323326,12149,30.94,0.0,31.36,30.04,30.04,1.0,8100
CAC,2010-01-26,15.9283038858,16.1470706495,15.9283038858,16.1158182547,48599,30.58,0.0,31.0,30.58,30.94,1.0,32400
CAC,2010-01-27,15.6574497975,15.8085030391,15.6261974027,15.8085030391,14099,30.06,0.0,30.35,30.0,30.35,1.0,9400
CAC,2010-01-28,14.9907320417,15.7199545871,14.9907320417,15.7199545871,17549,28.78,0.0,30.18,28.78,30.18,1.0,11700
CAC,2010-01-29,15.1157416209,15.5286899309,15.0063582391,15.1365765508,34649,29.02,0.0,29.8128,28.81,29.06,1.0,23100
CAC,2010-02-01,15.6418236001,15.8866340261,15.4334743014,15.5168140209,29399,30.03,0.0,30.5,29.63,29.79,1.0,19600
CAC,2010-02-02,15.6261974027,15.7876681092,15.2980472572,15.6157799378,45149,30.0,0.0,30.31,29.37,29.98,1.0,30100
CAC,2010-02-03,15.4907703585,15.7381851508,15.417848104,15.4907703585,20699,29.74,0.0,30.215,29.6,29.74,1.0,13800
CAC,2010-02-04,15.1053241559,15.2355424676,14.9751058443,15.2199162702,24899,29.0,0.0,29.25,28.75,29.22,1.0,16600
CAC,2010-02-05,15.2303337352,15.2720035949,15.0271931689,15.1053241559,19649,29.24,0.0,29.32,28.85,29.0,1.0,13100
CAC,2010-02-08,15.1157416209,15.1678289456,15.0011495066,15.1678289456,14849,29.02,0.0,29.12,28.8,29.12,1.0,9900
CAC,2010-02-09,15.2876297923,15.4126393715,15.183455143,15.4126393715,13499,29.35,0.0,29.59,29.15,29.59,1.0,9000
