symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CATY,2010-01-04,7.4187395962,7.4187395962,6.884952235,6.9211412087,1323400,8.2,0.0,8.2,7.61,7.65,1.0,1323400
CATY,2010-01-05,7.4730230567,7.5273065171,7.3011254319,7.391597866,1236400,8.26,0.0,8.32,8.07,8.17,1.0,1236400
CATY,2010-01-06,7.6177789512,7.635873438,7.3373144055,7.4458813264,800600,8.42,0.0,8.44,8.11,8.23,1.0,800600
CATY,2010-01-07,8.0338616757,8.1334718256,7.5725427342,7.6177789512,1331900,8.8799,0.0,8.99,8.37,8.42,1.0,1331900
CATY,2010-01-08,8.3234639372,8.3234639372,7.9525269574,7.988715931,1069600,9.2,0.0,9.2,8.79,8.83,1.0,1069600
CATY,2010-01-11,8.1968025295,8.3234639372,8.0610938783,8.3144166938,934000,9.06,0.0,9.2,8.91,9.19,1.0,934000
CATY,2010-01-12,8.1606135558,8.2148970163,8.0520466349,8.0882356086,581300,9.02,0.0,9.08,8.9,8.94,1.0,581300
CATY,2010-01-13,8.2420387465,8.2782277202,7.9253852272,8.1606135558,688200,9.11,0.0,9.15,8.76,9.02,1.0,688200
CATY,2010-01-14,8.6220229697,8.6763064302,8.142519069,8.2329915031,956800,9.53,0.0,9.59,9.0,9.1,1.0,956800
CATY,2010-01-15,8.5677395093,8.6401174566,8.2510859899,8.6310702132,1166000,9.47,0.0,9.55,9.12,9.54,1.0,1166000
CATY,2010-01-19,8.6853536736,8.6853536736,8.495361562,8.5948812395,958500,9.6,0.0,9.6,9.39,9.5,1.0,958500
CATY,2010-01-20,8.7758261077,8.9567709759,8.4320308581,8.5767867527,1391300,9.7,0.0,9.9,9.32,9.48,1.0,1391300
CATY,2010-01-21,9.3910386596,9.4905583371,8.694400917,8.694400917,2411900,10.38,0.0,10.49,9.61,9.61,1.0,2411900
CATY,2010-01-22,8.9205820023,9.4996055805,8.8572512984,9.3819914162,1410400,9.86,0.0,10.5,9.79,10.37,1.0,1410400
CATY,2010-01-25,8.9477237325,9.1558103309,8.7486843775,9.0291489232,598100,9.89,0.0,10.12,9.67,9.98,1.0,598100
CATY,2010-01-26,8.9024875155,9.3005662255,8.8165387031,8.893440272,1006500,9.84,0.0,10.28,9.745,9.83,1.0,1006500
CATY,2010-01-27,9.2191410348,9.2734244953,8.8843930286,8.8843930286,977800,10.19,0.0,10.25,9.82,9.82,1.0,977800
CATY,2010-01-28,9.1739048178,9.4724638503,9.0381961666,9.2734244953,851100,10.14,0.0,10.47,9.99,10.25,1.0,851100
CATY,2010-01-29,8.6672591868,9.0381961666,8.5225032922,8.9658182193,2146300,9.58,0.0,9.99,9.42,9.91,1.0,2146300
CATY,2010-02-01,8.450125345,8.6853536736,8.3392966132,8.6763064302,864800,9.34,0.0,9.6,9.2175,9.59,1.0,864800
