symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CBAK,2010-01-04,13.5,14.5,13.35,14.5,456635,2.7,0.0,2.9,2.67,2.9,1.0,2283176
CBAK,2010-01-05,14.25,15.5,13.451,13.6,1177494,2.85,0.0,3.1,2.6902,2.72,1.0,5887471
CBAK,2010-01-06,14.4,15.25,14.25,14.9,633538,2.88,0.0,3.05,2.85,2.98,1.0,3167694
CBAK,2010-01-07,14.5,15.45,13.9,14.5,784595,2.9,0.0,3.09,2.78,2.9,1.0,3922976
CBAK,2010-01-08,15.2,15.7,14.35,14.5,797864,3.04,0.0,3.14,2.87,2.9,1.0,3989320
CBAK,2010-01-11,15.3,15.85,15.15,15.55,510136,3.06,0.0,3.17,3.03,3.11,1.0,2550680
CBAK,2010-01-12,14.6,15.4,14.5,15.4,382954,2.92,0.0,3.08,2.9,3.08,1.0,1914770
CBAK,2010-01-13,14.7,15.1,14.55,14.6,276043,2.94,0.0,3.02,2.91,2.92,1.0,1380215
CBAK,2010-01-14,14.6,15.2,14.5,15.2,186817,2.92,0.0,3.04,2.9,3.04,1.0,934089
CBAK,2010-01-15,14.25,14.75,14.05,14.65,226172,2.85,0.0,2.95,2.81,2.93,1.0,1130861
CBAK,2010-01-19,14.35,14.45,14.05,14.25,177724,2.87,0.0,2.89,2.81,2.85,1.0,888620
CBAK,2010-01-20,13.9,14.25,13.65,14.25,244964,2.78,0.0,2.85,2.73,2.85,1.0,1224823
CBAK,2010-01-21,14.0,15.4,13.6,13.65,975383,2.8,0.0,3.08,2.72,2.73,1.0,4876919
CBAK,2010-01-22,13.5,14.25,13.45,14.25,285759,2.7,0.0,2.85,2.69,2.85,1.0,1428799
CBAK,2010-01-25,13.05,14.0,13.0,13.75,204722,2.61,0.0,2.8,2.6,2.75,1.0,1023612
CBAK,2010-01-26,12.5,13.05,12.45,12.95,251341,2.5,0.0,2.61,2.49,2.59,1.0,1256705
CBAK,2010-01-27,12.5,12.7,11.9,12.5,232318,2.5,0.0,2.54,2.38,2.5,1.0,1161593
CBAK,2010-01-28,12.25,13.0,11.8,12.15,313868,2.45,0.0,2.6,2.36,2.43,1.0,1569340
