symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CFBK,2010-01-04,7.0005,7.6,7.0,7.6,620,1.4001,0.0,1.52,1.4,1.52,1.0,3100
CFBK,2010-01-05,7.995,7.995,7.3005,7.3005,600,1.599,0.0,1.599,1.4601,1.4601,1.0,3000
CFBK,2010-01-06,8.0,8.05,8.0,8.05,530,1.6,0.0,1.61,1.6,1.61,1.0,2650
CFBK,2010-01-07,7.85,7.85,7.85,7.85,140,1.57,0.0,1.57,1.57,1.57,1.0,700
CFBK,2010-01-08,8.0,8.25,8.0,8.0,6201,1.6,0.0,1.65,1.6,1.6,1.0,31007
CFBK,2010-01-11,8.25,8.25,8.2,8.2,300,1.65,0.0,1.65,1.64,1.64,1.0,1500
CFBK,2010-01-12,8.0,9.325,8.0,9.3,566,1.6,0.0,1.865,1.6,1.86,1.0,2831
CFBK,2010-01-13,8.6,8.85,8.15,8.85,60,1.72,0.0,1.77,1.63,1.77,1.0,300
CFBK,2010-01-14,8.6,8.6,8.6,8.6,0,1.72,0.0,1.72,1.72,1.72,1.0,0
CFBK,2010-01-15,8.6,9.0,8.6,9.0,200,1.72,0.0,1.8,1.72,1.8,1.0,1000
CFBK,2010-01-19,8.6,8.65,8.6,8.65,259,1.72,0.0,1.73,1.72,1.73,1.0,1295
CFBK,2010-01-20,7.55,8.1,7.05,8.1,634,1.51,0.0,1.62,1.41,1.62,1.0,3170
CFBK,2010-01-21,7.5,8.3,7.25,8.3,870,1.5,0.0,1.66,1.45,1.66,1.0,4351
CFBK,2010-01-22,6.95,7.0,6.75,7.0,1361,1.39,0.0,1.4,1.35,1.4,1.0,6805
CFBK,2010-01-25,6.4,6.55,6.35,6.55,2314,1.28,0.0,1.31,1.27,1.31,1.0,11570
CFBK,2010-01-26,6.7505,7.05,6.75,7.05,443,1.3501,0.0,1.41,1.35,1.41,1.0,2216
CFBK,2010-01-27,6.75,6.75,6.75,6.75,39,1.35,0.0,1.35,1.35,1.35,1.0,199
CFBK,2010-01-28,7.25,7.25,7.2,7.25,200,1.45,0.0,1.45,1.44,1.45,1.0,1000
CFBK,2010-01-29,7.25,7.25,7.25,7.25,0,1.45,0.0,1.45,1.45,1.45,1.0,0
CFBK,2010-02-01,7.4,7.4,6.8,6.8,284,1.48,0.0,1.48,1.36,1.36,1.0,1420
CFBK,2010-02-02,6.9,6.9,6.9,6.9,72,1.38,0.0,1.38,1.38,1.38,1.0,363
CFBK,2010-02-03,6.9,6.9,6.9,6.9,0,1.38,0.0,1.38,1.38,1.38,1.0,0
CFBK,2010-02-04,6.75,6.9,6.75,6.75,417,1.35,0.0,1.38,1.35,1.35,1.0,2085
CFBK,2010-02-05,6.95,7.0,6.75,6.75,257,1.39,0.0,1.4,1.35,1.35,1.0,1288
CFBK,2010-02-08,6.75,6.75,6.75,6.75,39,1.35,0.0,1.35,1.35,1.35,1.0,199
CFBK,2010-02-09,6.4,6.75,6.4,6.7,642,1.28,0.0,1.35,1.28,1.34,1.0,3213
CFBK,2010-02-10,6.4,6.75,6.4,6.75,540,1.28,0.0,1.35,1.28,1.35,1.0,2700
CFBK,2010-02-11,6.4,6.4,6.4,6.4,0,1.28,0.0,1.28,1.28,1.28,1.0,0
CFBK,2010-02-12,6.4,6.45,6.4,6.45,180,1.28,0.0,1.29,1.28,1.29,1.0,900
CFBK,2010-02-16,6.0,6.4,6.0,6.4,1603,1.2,0.0,1.28,1.2,1.28,1.0,8016
CFBK,2010-02-17,6.2,6.2,5.55,5.6,509,1.24,0.0,1.24,1.11,1.12,1.0,2548
CFBK,2010-02-18,5.85,6.2,5.8,5.8,909,1.17,0.0,1.24,1.16,1.16,1.0,4548
CFBK,2010-02-19,5.75,5.7505,5.75,5.7505,80,1.15,0.0,1.1501,1.15,1.1501,1.0,400
CFBK,2010-02-22,5.8,5.8,5.5,5.55,310,1.16,0.0,1.16,1.1,1.11,1.0,1550
CFBK,2010-02-23,5.8,5.8,5.8,5.8,150,1.16,0.0,1.16,1.16,1.16,1.0,750
CFBK,2010-02-24,5.8,5.8,5.8,5.8,0,1.16,0.0,1.16,1.16,1.16,1.0,0
CFBK,2010-02-25,5.55,5.55,5.55,5.55,60,1.11,0.0,1.11,1.11,1.11,1.0,300
CFBK,2010-02-26,5.55,5.55,5.55,5.55,0,1.11,0.0,1.11,1.11,1.11,1.0,0
CFBK,2010-03-01,5.2,5.644,5.2,5.5,355,1.04,0.0,1.1288,1.04,1.1,1.0,1779
CFBK,2010-03-02,5.49,5.49,5.49,5.49,100,1.098,0.0,1.098,1.098,1.098,1.0,500
CFBK,2010-03-03,5.3495,5.595,5.3,5.55,1609,1.0699,0.0,1.119,1.06,1.11,1.0,8048
CFBK,2010-03-04,5.3495,5.3495,5.3495,5.3495,0,1.0699,0.0,1.0699,1.0699,1.0699,1.0,0
CFBK,2010-03-05,4.7995,5.095,4.15,5.0,1608,0.9599,0.0,1.019,0.83,1.0,1.0,8041
CFBK,2010-03-08,4.84,4.84,4.75,4.8,1251,0.968,0.0,0.968,0.95,0.96,1.0,6256
CFBK,2010-03-09,5.0,5.0005,5.0,5.0,780,1.0,0.0,1.0001,1.0,1.0,1.0,3900
CFBK,2010-03-10,5.15,5.15,5.05,5.0995,599,1.03,0.0,1.03,1.01,1.0199,1.0,2995
CFBK,2010-03-11,5.2,5.2,5.2,5.2,20,1.04,0.0,1.04,1.04,1.04,1.0,100
CFBK,2010-03-12,4.85,5.616,4.75,5.05,2104,0.97,0.0,1.1232,0.95,1.01,1.0,10523
CFBK,2010-03-15,5.0,5.0,5.0,5.0,1680,1.0,0.0,1.0,1.0,1.0,1.0,8400
CFBK,2010-03-16,5.75,5.9995,4.8,4.8,588,1.15,0.0,1.1999,0.96,0.96,1.0,2941
CFBK,2010-03-17,6.0,6.0,5.5,5.5,741,1.2,0.0,1.2,1.1,1.1,1.0,3708
CFBK,2010-03-18,5.925,6.0,5.925,6.0,320,1.185,0.0,1.2,1.185,1.2,1.0,1600
CFBK,2010-03-19,5.925,5.925,5.925,5.925,0,1.185,0.0,1.185,1.185,1.185,1.0,0
CFBK,2010-03-22,5.15,5.55,5.15,5.15,599,1.03,0.0,1.11,1.03,1.03,1.0,2999
CFBK,2010-03-23,5.5505,5.9,5.55,5.9,300,1.1101,0.0,1.18,1.11,1.18,1.0,1500
CFBK,2010-03-24,5.5,5.55,5.3,5.55,652,1.1,0.0,1.11,1.06,1.11,1.0,3263
CFBK,2010-03-25,5.5,5.5,5.5,5.5,0,1.1,0.0,1.1,1.1,1.1,1.0,0
CFBK,2010-03-26,6.05,6.05,5.5,5.5,371,1.21,0.0,1.21,1.1,1.1,1.0,1857
CFBK,2010-03-29,5.825,6.5,5.825,6.5,266,1.165,0.0,1.3,1.165,1.3,1.0,1330
CFBK,2010-03-30,5.97,6.0,5.97,6.0,535,1.194,0.0,1.2,1.194,1.2,1.0,2677
CFBK,2010-03-31,5.97,5.97,5.97,5.97,0,1.194,0.0,1.194,1.194,1.194,1.0,0
CFBK,2010-04-01,5.97,5.97,5.97,5.97,0,1.194,0.0,1.194,1.194,1.194,1.0,0
CFBK,2010-04-05,5.97,5.97,5.97,5.97,0,1.194,0.0,1.194,1.194,1.194,1.0,0
CFBK,2010-04-06,5.97,5.97,5.97,5.97,0,1.194,0.0,1.194,1.194,1.194,1.0,0
CFBK,2010-04-07,6.25,6.25,6.25,6.25,140,1.25,0.0,1.25,1.25,1.25,1.0,700
CFBK,2010-04-08,6.25,6.25,6.25,6.25,0,1.25,0.0,1.25,1.25,1.25,1.0,0
CFBK,2010-04-09,7.1,7.35,6.25,6.25,1262,1.42,0.0,1.47,1.25,1.25,1.0,6310
CFBK,2010-04-12,8.1,8.15,8.1,8.15,430,1.62,0.0,1.63,1.62,1.63,1.0,2150
CFBK,2010-04-13,6.4,7.54,6.25,6.5,1060,1.28,0.0,1.508,1.25,1.3,1.0,5300
CFBK,2010-04-14,6.4,6.4,6.4,6.4,0,1.28,0.0,1.28,1.28,1.28,1.0,0
CFBK,2010-04-15,6.4,6.4,6.4,6.4,0,1.28,0.0,1.28,1.28,1.28,1.0,0
CFBK,2010-04-16,7.4495,7.45,7.05,7.4,447,1.4899,0.0,1.49,1.41,1.48,1.0,2237
CFBK,2010-04-19,7.25,7.45,7.25,7.45,370,1.45,0.0,1.49,1.45,1.49,1.0,1850
CFBK,2010-04-20,6.69,7.45,6.69,7.25,205,1.338,0.0,1.49,1.338,1.45,1.0,1025
CFBK,2010-04-21,7.2495,7.2575,7.0,7.0,399,1.4499,0.0,1.4515,1.4,1.4,1.0,1999
CFBK,2010-04-22,6.5,7.25,6.5,7.25,735,1.3,0.0,1.45,1.3,1.45,1.0,3675
CFBK,2010-04-23,7.45,8.15,7.4495,7.4495,1782,1.49,0.0,1.63,1.4899,1.4899,1.0,8913
CFBK,2010-04-26,9.35,10.0,7.7,7.7,4200,1.87,0.0,2.0,1.54,1.54,1.0,21000
CFBK,2010-04-27,8.75,9.8,8.0,8.9,614,1.75,0.0,1.96,1.6,1.78,1.0,3071
CFBK,2010-04-28,8.72,8.795,7.9,7.9,1235,1.744,0.0,1.759,1.58,1.58,1.0,6176
CFBK,2010-04-29,8.0,8.75,7.75,8.7,2184,1.6,0.0,1.75,1.55,1.74,1.0,10920
CFBK,2010-04-30,7.9995,8.0,7.9995,8.0,792,1.5999,0.0,1.6,1.5999,1.6,1.0,3960
CFBK,2010-05-03,8.25,8.7,8.25,8.25,404,1.65,0.0,1.74,1.65,1.65,1.0,2020
CFBK,2010-05-04,8.1,8.6,8.1,8.4,2251,1.62,0.0,1.72,1.62,1.68,1.0,11257
CFBK,2010-05-05,8.5,8.5,8.5,8.5,60,1.7,0.0,1.7,1.7,1.7,1.0,300
CFBK,2010-05-06,8.5,8.5,8.5,8.5,0,1.7,0.0,1.7,1.7,1.7,1.0,0
CFBK,2010-05-07,7.5,7.8,7.5,7.8,218,1.5,0.0,1.56,1.5,1.56,1.0,1091
CFBK,2010-05-10,7.8995,7.9,7.8995,7.9,293,1.5799,0.0,1.58,1.5799,1.58,1.0,1465
CFBK,2010-05-11,8.15,8.5,8.15,8.15,600,1.63,0.0,1.7,1.63,1.63,1.0,3000
CFBK,2010-05-12,7.9995,8.5,7.995,8.0,722,1.5999,0.0,1.7,1.599,1.6,1.0,3613
CFBK,2010-05-13,8.0,8.0,8.0,8.0,620,1.6,0.0,1.6,1.6,1.6,1.0,3100
CFBK,2010-05-14,8.0,8.25,8.0,8.25,500,1.6,0.0,1.65,1.6,1.65,1.0,2500
