symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CHMA,2015-07-16,20.0,22.6,19.63,20.5,5424052,20.0,0.0,22.6,19.63,20.5,1.0,5424052
CHMA,2015-07-17,20.0,21.782,19.0,20.32,826423,20.0,0.0,21.782,19.0,20.32,1.0,826423
CHMA,2015-07-20,21.03,21.58,20.0,20.0,352889,21.03,0.0,21.58,20.0,20.0,1.0,352889
CHMA,2015-07-21,22.66,23.89,22.0,22.0,272984,22.66,0.0,23.89,22.0,22.0,1.0,272984
CHMA,2015-07-22,23.2,23.95,22.68,23.02,260265,23.2,0.0,23.95,22.68,23.02,1.0,260265
CHMA,2015-07-23,23.21,24.86,22.94,24.68,644636,23.21,0.0,24.86,22.94,24.68,1.0,644636
CHMA,2015-07-24,23.35,23.62,22.12,23.05,478677,23.35,0.0,23.62,22.12,23.05,1.0,478677
CHMA,2015-07-27,23.31,24.67,23.15,23.61,111159,23.31,0.0,24.67,23.15,23.61,1.0,111159
CHMA,2015-07-28,23.79,23.96,22.63,23.5,175384,23.79,0.0,23.96,22.63,23.5,1.0,175384
CHMA,2015-07-29,24.05,24.2,23.5,24.2,71632,24.05,0.0,24.2,23.5,24.2,1.0,71632
CHMA,2015-07-30,23.17,24.44,22.9,24.25,116625,23.17,0.0,24.44,22.9,24.25,1.0,116625
CHMA,2015-07-31,23.57,24.09,22.99,22.99,226491,23.57,0.0,24.09,22.99,22.99,1.0,226491
CHMA,2015-08-03,24.12,24.86,23.0,24.0,235830,24.12,0.0,24.86,23.0,24.0,1.0,235830
CHMA,2015-08-04,23.82,24.445,23.33,23.82,158582,23.82,0.0,24.445,23.33,23.82,1.0,158582
CHMA,2015-08-05,24.32,24.68,23.9,24.0,186473,24.32,0.0,24.68,23.9,24.0,1.0,186473
CHMA,2015-08-06,24.6,24.78,23.81,24.52,155585,24.6,0.0,24.78,23.81,24.52,1.0,155585
CHMA,2015-08-07,23.83,24.63,23.67,24.6,95019,23.83,0.0,24.63,23.67,24.6,1.0,95019
CHMA,2015-08-10,24.12,24.68,23.51,24.04,140892,24.12,0.0,24.68,23.51,24.04,1.0,140892
CHMA,2015-08-11,24.35,24.59,23.56,24.13,140070,24.35,0.0,24.59,23.56,24.13,1.0,140070
CHMA,2015-08-12,26.65,27.41,24.36,24.54,331442,26.65,0.0,27.41,24.36,24.54,1.0,331442
CHMA,2015-08-13,24.71,30.52,24.29,27.05,725107,24.71,0.0,30.52,24.29,27.05,1.0,725107
