symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CHTR,2010-01-05,35.0,35.0,35.0,35.0,10000,35.0,0.0,35.0,35.0,35.0,1.0,10000
CHTR,2010-01-06,35.0,35.0,35.0,35.0,0,35.0,0.0,35.0,35.0,35.0,1.0,0
CHTR,2010-01-07,35.0,35.5,35.0,35.25,9800,35.0,0.0,35.5,35.0,35.25,1.0,9800
CHTR,2010-01-08,33.5,34.55,33.5,34.55,32200,33.5,0.0,34.55,33.5,34.55,1.0,32200
CHTR,2010-01-11,33.5,33.5,33.5,33.5,3700,33.5,0.0,33.5,33.5,33.5,1.0,3700
CHTR,2010-01-12,33.5,33.55,33.5,33.5,5100,33.5,0.0,33.55,33.5,33.5,1.0,5100
CHTR,2010-01-13,32.75,33.01,32.5,33.01,226300,32.75,0.0,33.01,32.5,33.01,1.0,226300
CHTR,2010-01-14,32.75,32.75,32.75,32.75,150500,32.75,0.0,32.75,32.75,32.75,1.0,150500
CHTR,2010-01-15,32.25,32.5,32.25,32.5,45500,32.25,0.0,32.5,32.25,32.5,1.0,45500
CHTR,2010-01-19,32.0,32.25,31.75,32.25,19400,32.0,0.0,32.25,31.75,32.25,1.0,19400
CHTR,2010-01-20,31.75,31.75,31.5,31.5,600,31.75,0.0,31.75,31.5,31.5,1.0,600
CHTR,2010-01-21,31.6,31.6,31.5,31.5,600,31.6,0.0,31.6,31.5,31.5,1.0,600
CHTR,2010-01-22,31.5,31.5,31.5,31.5,200,31.5,0.0,31.5,31.5,31.5,1.0,200
CHTR,2010-01-25,31.25,31.25,31.0,31.1,1300,31.25,0.0,31.25,31.0,31.1,1.0,1300
CHTR,2010-01-26,30.75,31.0,30.75,31.0,300,30.75,0.0,31.0,30.75,31.0,1.0,300
CHTR,2010-01-27,30.75,31.0,30.55,30.55,77000,30.75,0.0,31.0,30.55,30.55,1.0,77000
CHTR,2010-01-28,30.75,31.0,30.75,31.0,10400,30.75,0.0,31.0,30.75,31.0,1.0,10400
