symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CLUB,2010-01-04,1.7881313578,1.8026101542,1.7157373757,1.7157373757,31100,2.47,0.0,2.49,2.37,2.37,1.0,31100
CLUB,2010-01-05,1.7302161721,1.7808919596,1.7229767739,1.7808919596,19100,2.39,0.0,2.46,2.38,2.46,1.0,19100
CLUB,2010-01-06,1.7157373757,1.7808919596,1.7012585793,1.7229767739,45800,2.37,0.0,2.46,2.35,2.38,1.0,45800
CLUB,2010-01-07,1.8170889506,1.8315677471,1.7229767739,1.7519343668,51200,2.51,0.0,2.53,2.38,2.42,1.0,51200
CLUB,2010-01-08,1.8098495524,1.8243283489,1.795370756,1.8098495524,20900,2.5,0.0,2.52,2.48,2.5,1.0,20900
CLUB,2010-01-11,1.7881313578,1.8315677471,1.7157373757,1.8315677471,31500,2.47,0.0,2.53,2.37,2.53,1.0,31500
CLUB,2010-01-12,1.7302161721,1.795370756,1.7157373757,1.7664131632,37900,2.39,0.0,2.48,2.37,2.44,1.0,37900
CLUB,2010-01-13,1.7157373757,1.7664131632,1.7157373757,1.7374555703,148700,2.37,0.0,2.44,2.37,2.4,1.0,148700
CLUB,2010-01-14,1.6867797829,1.7229767739,1.6795403847,1.7012585793,53700,2.33,0.0,2.38,2.32,2.35,1.0,53700
CLUB,2010-01-15,1.6288645972,1.7302161721,1.5926676061,1.6940191811,164400,2.25,0.0,2.39,2.2,2.34,1.0,164400
CLUB,2010-01-19,1.6505827918,1.7012585793,1.6071464026,1.6361039954,140800,2.28,0.0,2.35,2.22,2.26,1.0,140800
CLUB,2010-01-20,1.621625199,1.7446949685,1.5999070044,1.6361039954,78300,2.24,0.0,2.41,2.21,2.26,1.0,78300
CLUB,2010-01-21,1.621625199,1.6795403847,1.6143858008,1.6361039954,337800,2.24,0.0,2.32,2.23,2.26,1.0,337800
CLUB,2010-01-22,1.6433433936,1.6939467871,1.5854282079,1.5999070044,635800,2.27,0.0,2.3399,2.19,2.21,1.0,635800
CLUB,2010-01-25,1.6723009865,1.7446949685,1.65782219,1.7012585793,146800,2.31,0.0,2.41,2.29,2.35,1.0,146800
CLUB,2010-01-26,1.6288645972,1.6940191811,1.6288645972,1.6723009865,133800,2.25,0.0,2.34,2.25,2.31,1.0,133800
CLUB,2010-01-27,1.6795403847,1.7084979775,1.621625199,1.621625199,157300,2.32,0.0,2.36,2.24,2.24,1.0,157300
CLUB,2010-01-28,1.65782219,1.6867797829,1.6288645972,1.6867797829,104000,2.29,0.0,2.33,2.25,2.33,1.0,104000
CLUB,2010-01-29,1.7084979775,1.7084979775,1.6361039954,1.6650615882,104200,2.36,0.0,2.36,2.26,2.3,1.0,104200
CLUB,2010-02-01,1.7664131632,1.7881313578,1.6940191811,1.7157373757,103500,2.44,0.0,2.47,2.34,2.37,1.0,103500
CLUB,2010-02-02,1.8822435345,1.8894829327,1.7374555703,1.7664131632,127600,2.6,0.0,2.61,2.4,2.44,1.0,127600
CLUB,2010-02-03,1.9039617292,1.9112011274,1.8460465435,1.8894829327,107300,2.63,0.0,2.64,2.55,2.61,1.0,107300
CLUB,2010-02-04,1.9112011274,1.9256799238,1.8460465435,1.8822435345,130700,2.64,0.0,2.66,2.55,2.6,1.0,130700
CLUB,2010-02-05,1.9112011274,1.9112011274,1.8460465435,1.8605253399,31400,2.64,0.0,2.64,2.55,2.57,1.0,31400
CLUB,2010-02-08,1.795370756,1.9039617292,1.7881313578,1.9039617292,60700,2.48,0.0,2.63,2.47,2.63,1.0,60700
CLUB,2010-02-09,1.7881313578,1.8315677471,1.6940191811,1.8315677471,161200,2.47,0.0,2.53,2.34,2.53,1.0,161200
CLUB,2010-02-10,1.969116313,1.969116313,1.7736525614,1.7736525614,83200,2.72,0.0,2.72,2.45,2.45,1.0,83200
CLUB,2010-02-11,2.0197921005,2.0270314987,1.8532859417,1.9546375166,91200,2.79,0.0,2.8,2.56,2.7,1.0,91200
