symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CNV,2014-11-20,7.15,7.88,7.05,7.63,14051746,7.15,0.0,7.88,7.05,7.63,1.0,14051746
CNV,2014-11-21,7.61,7.89,7.25,7.26,2532489,7.61,0.0,7.89,7.25,7.26,1.0,2532489
CNV,2014-11-24,7.6,8.06,7.6,7.8,912882,7.6,0.0,8.06,7.6,7.8,1.0,912882
CNV,2014-11-25,7.38,7.63,7.25,7.54,1111469,7.38,0.0,7.63,7.25,7.54,1.0,1111469
CNV,2014-11-26,7.22,7.6,7.15,7.6,585813,7.22,0.0,7.6,7.15,7.6,1.0,585813
CNV,2014-11-28,7.34,7.5199,7.25,7.49,96560,7.34,0.0,7.5199,7.25,7.49,1.0,96560
CNV,2014-12-01,7.21,7.48,7.1,7.48,665497,7.21,0.0,7.48,7.1,7.48,1.0,665497
CNV,2014-12-02,7.21,7.3,7.1,7.1,630015,7.21,0.0,7.3,7.1,7.1,1.0,630015
CNV,2014-12-03,7.04,7.31,6.9,7.0,307189,7.04,0.0,7.31,6.9,7.0,1.0,307189
CNV,2014-12-04,7.01,7.2,6.98,7.1,975903,7.01,0.0,7.2,6.98,7.1,1.0,975903
CNV,2014-12-05,7.0,7.08,6.76,6.98,262351,7.0,0.0,7.08,6.76,6.98,1.0,262351
CNV,2014-12-08,7.06,7.41,6.82,6.85,361052,7.06,0.0,7.41,6.82,6.85,1.0,361052
CNV,2014-12-09,7.07,7.18,6.98,7.0,297097,7.07,0.0,7.18,6.98,7.0,1.0,297097
CNV,2014-12-10,7.03,7.26,7.0,7.25,155994,7.03,0.0,7.26,7.0,7.25,1.0,155994
CNV,2014-12-11,7.15,7.17,7.02,7.06,164365,7.15,0.0,7.17,7.02,7.06,1.0,164365
CNV,2014-12-12,6.97,7.17,6.91,7.07,356063,6.97,0.0,7.17,6.91,7.07,1.0,356063
CNV,2014-12-15,6.86,7.13,6.71,6.91,217670,6.86,0.0,7.13,6.71,6.91,1.0,217670
CNV,2014-12-16,6.96,7.04,6.75,7.04,807545,6.96,0.0,7.04,6.75,7.04,1.0,807545
CNV,2014-12-17,7.1,7.25,7.0,7.01,200543,7.1,0.0,7.25,7.0,7.01,1.0,200543
CNV,2014-12-18,7.14,7.28,7.09,7.2,348108,7.14,0.0,7.28,7.09,7.2,1.0,348108
CNV,2014-12-19,6.94,7.335,6.92,7.2,242742,6.94,0.0,7.335,6.92,7.2,1.0,242742
CNV,2014-12-22,7.11,7.3,7.01,7.17,101622,7.11,0.0,7.3,7.01,7.17,1.0,101622
CNV,2014-12-23,7.18,7.19,7.15,7.15,20122,7.18,0.0,7.19,7.15,7.15,1.0,20122
CNV,2014-12-24,7.14,7.21,7.05,7.21,16112,7.14,0.0,7.21,7.05,7.21,1.0,16112
CNV,2014-12-26,7.11,7.2893,7.06,7.13,42765,7.11,0.0,7.2893,7.06,7.13,1.0,42765
CNV,2014-12-29,7.28,7.3,7.05,7.08,220404,7.28,0.0,7.3,7.05,7.08,1.0,220404
CNV,2014-12-30,8.19,8.22,7.29,7.3,827089,8.19,0.0,8.22,7.29,7.3,1.0,827089
CNV,2014-12-31,7.91,8.2699,7.77,8.24,182264,7.91,0.0,8.2699,7.77,8.24,1.0,182264
CNV,2015-01-02,8.34,8.48,8.08,8.08,393687,8.34,0.0,8.48,8.08,8.08,1.0,393687
CNV,2015-01-05,7.98,8.6,7.9,8.6,362074,7.98,0.0,8.6,7.9,8.6,1.0,362074
CNV,2015-01-06,8.09,8.4,8.01,8.15,323396,8.09,0.0,8.4,8.01,8.15,1.0,323396
CNV,2015-01-07,8.18,8.4,8.09,8.33,236084,8.18,0.0,8.4,8.09,8.33,1.0,236084
CNV,2015-01-08,8.49,8.5,8.11,8.24,243256,8.49,0.0,8.5,8.11,8.24,1.0,243256
CNV,2015-01-09,8.44,8.49,8.26,8.47,199724,8.44,0.0,8.49,8.26,8.47,1.0,199724
CNV,2015-01-12,8.3,8.5,8.22,8.41,172849,8.3,0.0,8.5,8.22,8.41,1.0,172849
CNV,2015-01-13,8.49,8.55,8.24,8.49,431689,8.49,0.0,8.55,8.24,8.49,1.0,431689
CNV,2015-01-14,8.23,8.45,8.14,8.42,273620,8.23,0.0,8.45,8.14,8.42,1.0,273620
CNV,2015-01-15,7.89,8.36,7.88,8.26,139835,7.89,0.0,8.36,7.88,8.26,1.0,139835
CNV,2015-01-16,7.53,8.0,7.4,7.92,175268,7.53,0.0,8.0,7.4,7.92,1.0,175268
CNV,2015-01-20,7.64,8.0,7.45,7.59,186766,7.64,0.0,8.0,7.45,7.59,1.0,186766
CNV,2015-01-21,7.55,7.76,7.43,7.61,114895,7.55,0.0,7.76,7.43,7.61,1.0,114895
CNV,2015-01-22,7.65,7.89,7.54,7.54,117917,7.65,0.0,7.89,7.54,7.54,1.0,117917
CNV,2015-01-23,7.61,7.65,7.55,7.65,148385,7.61,0.0,7.65,7.55,7.65,1.0,148385
CNV,2015-01-26,7.72,7.79,7.31,7.6,257189,7.72,0.0,7.79,7.31,7.6,1.0,257189
CNV,2015-01-27,7.51,7.729,7.5,7.69,131964,7.51,0.0,7.729,7.5,7.69,1.0,131964
CNV,2015-01-28,7.37,7.7,7.32,7.62,372484,7.37,0.0,7.7,7.32,7.62,1.0,372484
CNV,2015-01-29,6.28,7.37,6.28,7.37,506203,6.28,0.0,7.37,6.28,7.37,1.0,506203
CNV,2015-01-30,5.5,6.53,4.53,6.34,2971581,5.5,0.0,6.53,4.53,6.34,1.0,2971581
CNV,2015-02-02,5.46,5.77,5.2701,5.5,549814,5.46,0.0,5.77,5.2701,5.5,1.0,549814
CNV,2015-02-03,5.49,5.5,5.37,5.5,129142,5.49,0.0,5.5,5.37,5.5,1.0,129142
CNV,2015-02-04,5.63,5.66,5.5,5.5,99793,5.63,0.0,5.66,5.5,5.5,1.0,99793
CNV,2015-02-05,5.94,6.03,5.502,5.62,135569,5.94,0.0,6.03,5.502,5.62,1.0,135569
CNV,2015-02-06,6.15,6.19,5.72,5.95,173996,6.15,0.0,6.19,5.72,5.95,1.0,173996
CNV,2015-02-09,6.1,6.23,6.01,6.16,237418,6.1,0.0,6.23,6.01,6.16,1.0,237418
CNV,2015-02-10,5.67,6.36,5.61,6.1,201337,5.67,0.0,6.36,5.61,6.1,1.0,201337
CNV,2015-02-11,5.85,6.33,5.64,5.64,183857,5.85,0.0,6.33,5.64,5.64,1.0,183857
CNV,2015-02-12,5.97,6.08,5.79,5.85,395777,5.97,0.0,6.08,5.79,5.85,1.0,395777
CNV,2015-02-13,5.9,6.08,5.86,6.01,92946,5.9,0.0,6.08,5.86,6.01,1.0,92946
