symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CRAY,2010-01-04,6.76,6.82,6.53,6.53,175900,6.76,0.0,6.82,6.53,6.53,1.0,175900
CRAY,2010-01-05,6.68,6.85,6.64,6.78,158800,6.68,0.0,6.85,6.64,6.78,1.0,158800
CRAY,2010-01-06,6.6,6.79,6.495,6.65,210600,6.6,0.0,6.79,6.495,6.65,1.0,210600
CRAY,2010-01-07,6.48,6.68,6.37,6.51,191600,6.48,0.0,6.68,6.37,6.51,1.0,191600
CRAY,2010-01-08,6.46,6.64,6.4,6.43,129200,6.46,0.0,6.64,6.4,6.43,1.0,129200
CRAY,2010-01-11,6.47,6.53,6.33,6.52,59400,6.47,0.0,6.53,6.33,6.52,1.0,59400
CRAY,2010-01-12,5.71,6.38,5.68,6.38,425800,5.71,0.0,6.38,5.68,6.38,1.0,425800
CRAY,2010-01-13,5.67,5.844,5.55,5.7,533800,5.67,0.0,5.844,5.55,5.7,1.0,533800
CRAY,2010-01-14,5.65,5.83,5.52,5.69,518900,5.65,0.0,5.83,5.52,5.69,1.0,518900
CRAY,2010-01-15,5.38,5.68,5.28,5.67,384200,5.38,0.0,5.68,5.28,5.67,1.0,384200
CRAY,2010-01-19,5.55,5.55,5.34,5.4,304200,5.55,0.0,5.55,5.34,5.4,1.0,304200
CRAY,2010-01-20,5.38,5.6,5.31,5.51,183800,5.38,0.0,5.6,5.31,5.51,1.0,183800
CRAY,2010-01-21,5.15,5.5,5.11,5.38,185500,5.15,0.0,5.5,5.11,5.38,1.0,185500
CRAY,2010-01-22,4.98,5.34,4.95,5.15,236900,4.98,0.0,5.34,4.95,5.15,1.0,236900
CRAY,2010-01-25,5.01,5.15,4.95,5.03,129200,5.01,0.0,5.15,4.95,5.03,1.0,129200
CRAY,2010-01-26,4.92,5.11,4.91,5.0,110200,4.92,0.0,5.11,4.91,5.0,1.0,110200
CRAY,2010-01-27,5.03,5.13,4.91,4.93,102400,5.03,0.0,5.13,4.91,4.93,1.0,102400
CRAY,2010-01-28,4.75,5.07,4.73,5.04,191700,4.75,0.0,5.07,4.73,5.04,1.0,191700
CRAY,2010-01-29,4.72,4.89,4.71,4.79,215500,4.72,0.0,4.89,4.71,4.79,1.0,215500
CRAY,2010-02-01,4.71,4.78,4.56,4.76,455700,4.71,0.0,4.78,4.56,4.76,1.0,455700
CRAY,2010-02-02,4.99,5.08,4.55,4.7,546600,4.99,0.0,5.08,4.55,4.7,1.0,546600
CRAY,2010-02-03,5.02,5.1,4.84,4.97,290800,5.02,0.0,5.1,4.84,4.97,1.0,290800
CRAY,2010-02-04,4.62,5.16,4.52,4.99,382200,4.62,0.0,5.16,4.52,4.99,1.0,382200
CRAY,2010-02-05,4.87,4.93,4.62,4.62,203600,4.87,0.0,4.93,4.62,4.62,1.0,203600
CRAY,2010-02-08,4.61,4.88,4.61,4.88,188900,4.61,0.0,4.88,4.61,4.88,1.0,188900
CRAY,2010-02-09,4.83,4.87,4.65,4.69,183500,4.83,0.0,4.87,4.65,4.69,1.0,183500
CRAY,2010-02-10,5.0,5.0,4.7,4.79,300100,5.0,0.0,5.0,4.7,4.79,1.0,300100
CRAY,2010-02-11,5.23,5.24,4.91,5.0,189200,5.23,0.0,5.24,4.91,5.0,1.0,189200
CRAY,2010-02-12,5.18,5.28,4.99,5.18,279200,5.18,0.0,5.28,4.99,5.18,1.0,279200
CRAY,2010-02-16,5.35,5.35,4.98,5.21,458000,5.35,0.0,5.35,4.98,5.21,1.0,458000
CRAY,2010-02-17,5.32,5.38,5.17,5.38,350400,5.32,0.0,5.38,5.17,5.38,1.0,350400
CRAY,2010-02-18,5.43,5.44,5.23,5.28,224500,5.43,0.0,5.44,5.23,5.28,1.0,224500
CRAY,2010-02-19,5.25,5.45,5.15,5.42,323800,5.25,0.0,5.45,5.15,5.42,1.0,323800
CRAY,2010-02-22,5.28,5.33,5.2,5.26,207800,5.28,0.0,5.33,5.2,5.26,1.0,207800
CRAY,2010-02-23,5.17,5.28,5.11,5.28,245100,5.17,0.0,5.28,5.11,5.28,1.0,245100
CRAY,2010-02-24,5.32,5.33,5.17,5.17,256400,5.32,0.0,5.33,5.17,5.17,1.0,256400
CRAY,2010-02-25,5.25,5.29,5.09,5.21,280400,5.25,0.0,5.29,5.09,5.21,1.0,280400
CRAY,2010-02-26,5.24,5.33,5.21,5.23,247300,5.24,0.0,5.33,5.21,5.23,1.0,247300
CRAY,2010-03-01,5.36,5.6,5.26,5.27,478000,5.36,0.0,5.6,5.26,5.27,1.0,478000
CRAY,2010-03-02,5.74,5.75,5.35,5.38,323300,5.74,0.0,5.75,5.35,5.38,1.0,323300
CRAY,2010-03-03,5.79,5.85,5.6101,5.72,245600,5.79,0.0,5.85,5.6101,5.72,1.0,245600
CRAY,2010-03-04,5.76,5.832,5.57,5.74,204100,5.76,0.0,5.832,5.57,5.74,1.0,204100
CRAY,2010-03-05,5.94,5.95,5.77,5.77,172100,5.94,0.0,5.95,5.77,5.77,1.0,172100
CRAY,2010-03-08,5.79,6.02,5.77,5.96,265300,5.79,0.0,6.02,5.77,5.96,1.0,265300
CRAY,2010-03-09,5.9,6.026,5.68,5.75,262500,5.9,0.0,6.026,5.68,5.75,1.0,262500
CRAY,2010-03-10,5.88,6.06,5.83,5.94,202500,5.88,0.0,6.06,5.83,5.94,1.0,202500
CRAY,2010-03-11,5.84,5.932,5.82,5.88,157100,5.84,0.0,5.932,5.82,5.88,1.0,157100
CRAY,2010-03-12,5.79,5.92,5.73,5.9,128000,5.79,0.0,5.92,5.73,5.9,1.0,128000
CRAY,2010-03-15,5.75,5.8625,5.71,5.79,210300,5.75,0.0,5.8625,5.71,5.79,1.0,210300
