symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CRUS,2010-01-04,6.91,6.99,6.83,6.89,359100,6.91,0.0,6.99,6.83,6.89,1.0,359100
CRUS,2010-01-05,6.87,6.94,6.8,6.92,665000,6.87,0.0,6.94,6.8,6.92,1.0,665000
CRUS,2010-01-06,6.85,6.9301,6.83,6.88,407400,6.85,0.0,6.9301,6.83,6.88,1.0,407400
CRUS,2010-01-07,6.82,6.91,6.75,6.85,440400,6.82,0.0,6.91,6.75,6.85,1.0,440400
CRUS,2010-01-08,6.68,6.82,6.62,6.77,391300,6.68,0.0,6.82,6.62,6.77,1.0,391300
CRUS,2010-01-11,6.62,6.78,6.6,6.74,312900,6.62,0.0,6.78,6.6,6.74,1.0,312900
CRUS,2010-01-12,7.96,8.13,7.35,7.42,3948900,7.96,0.0,8.13,7.35,7.42,1.0,3948900
CRUS,2010-01-13,7.82,8.05,7.75,8.03,1100200,7.82,0.0,8.05,7.75,8.03,1.0,1100200
CRUS,2010-01-14,7.78,7.9,7.65,7.8,822400,7.78,0.0,7.9,7.65,7.8,1.0,822400
CRUS,2010-01-15,7.79,7.87,7.65,7.81,814900,7.79,0.0,7.87,7.65,7.81,1.0,814900
CRUS,2010-01-19,7.45,8.01,7.41,7.83,1369500,7.45,0.0,8.01,7.41,7.83,1.0,1369500
CRUS,2010-01-20,7.5,7.53,7.18,7.42,814500,7.5,0.0,7.53,7.18,7.42,1.0,814500
CRUS,2010-01-21,7.48,7.71,7.28,7.55,591300,7.48,0.0,7.71,7.28,7.55,1.0,591300
CRUS,2010-01-22,7.26,7.63,7.24,7.45,1320200,7.26,0.0,7.63,7.24,7.45,1.0,1320200
CRUS,2010-01-25,7.41,7.5,7.13,7.31,817800,7.41,0.0,7.5,7.13,7.31,1.0,817800
CRUS,2010-01-26,7.23,7.47,7.2,7.36,493400,7.23,0.0,7.47,7.2,7.36,1.0,493400
CRUS,2010-01-27,7.22,7.34,7.03,7.22,860300,7.22,0.0,7.34,7.03,7.22,1.0,860300
CRUS,2010-01-28,7.1,7.225,6.66,7.1,2239600,7.1,0.0,7.225,6.66,7.1,1.0,2239600
CRUS,2010-01-29,6.82,7.31,6.72,7.15,1011400,6.82,0.0,7.31,6.72,7.15,1.0,1011400
CRUS,2010-02-01,7.06,7.08,6.71,6.8,585600,7.06,0.0,7.08,6.71,6.8,1.0,585600
CRUS,2010-02-02,6.96,7.08,6.9,7.08,624100,6.96,0.0,7.08,6.9,7.08,1.0,624100
CRUS,2010-02-03,6.92,7.06,6.85,6.91,308000,6.92,0.0,7.06,6.85,6.91,1.0,308000
CRUS,2010-02-04,6.54,6.9,6.53,6.88,711400,6.54,0.0,6.9,6.53,6.88,1.0,711400
CRUS,2010-02-05,6.41,6.72,6.23,6.54,1220800,6.41,0.0,6.72,6.23,6.54,1.0,1220800
CRUS,2010-02-08,6.58,6.71,6.42,6.52,760500,6.58,0.0,6.71,6.42,6.52,1.0,760500
CRUS,2010-02-09,6.64,6.82,6.47,6.65,751400,6.64,0.0,6.82,6.47,6.65,1.0,751400
CRUS,2010-02-10,6.6,6.68,6.49,6.59,712200,6.6,0.0,6.68,6.49,6.59,1.0,712200
CRUS,2010-02-11,6.67,6.72,6.51,6.6,801300,6.67,0.0,6.72,6.51,6.6,1.0,801300
