symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CTWS,2010-01-04,19.3951344521,19.4882310974,19.2166992151,19.4882310974,25000,25.0,0.0,25.12,24.77,25.12,1.0,25000
CTWS,2010-01-05,18.7900062572,19.3951344521,18.7822482034,19.2942797529,19500,24.22,0.0,25.0,24.21,24.87,1.0,19500
CTWS,2010-01-06,18.2702166538,19.0537800857,18.0840233631,18.8210384723,26700,23.55,0.0,24.56,23.31,24.26,1.0,26700
CTWS,2010-01-07,18.2391844387,18.6736354504,18.2003941698,18.3090069227,17400,23.51,0.0,24.07,23.46,23.6,1.0,17400
CTWS,2010-01-08,18.6736354504,18.6736354504,18.0762653093,18.2547005463,10900,24.07,0.0,24.07,23.3,23.53,1.0,10900
CTWS,2010-01-11,18.3943455143,18.7201837731,18.2779747076,18.689151558,11000,23.71,0.0,24.13,23.56,24.09,1.0,11000
CTWS,2010-01-12,18.440893837,18.5029582673,18.2469424925,18.2779747076,18400,23.77,0.0,23.85,23.52,23.56,1.0,18400
CTWS,2010-01-13,18.54950659,18.6503612891,18.3943455143,18.5960549126,14600,23.91,0.0,24.04,23.71,23.97,1.0,14600
CTWS,2010-01-14,18.6581193429,18.7046676656,18.3943455143,18.4874421597,10000,24.05,0.0,24.11,23.71,23.83,1.0,10000
CTWS,2010-01-15,18.4486518908,18.7356998807,18.2624586001,18.7356998807,26700,23.78,0.0,24.15,23.54,24.15,1.0,26700
CTWS,2010-01-19,18.54950659,18.54950659,18.3167649765,18.4719260521,16300,23.91,0.0,23.91,23.61,23.81,1.0,16300
CTWS,2010-01-20,18.4098616219,18.4641679984,18.301248869,18.4021035681,11200,23.73,0.0,23.8,23.59,23.72,1.0,11200
CTWS,2010-01-21,17.9055881261,18.3865874606,17.8978300724,18.3865874606,24700,23.08,0.0,23.7,23.07,23.7,1.0,24700
CTWS,2010-01-22,17.7892173194,18.0141232985,17.6883626203,17.8978300724,18500,22.93,0.0,23.2199,22.8,23.07,1.0,18500
CTWS,2010-01-25,17.804733427,17.9443008145,17.6418142976,17.8512817497,11300,22.95,0.0,23.1299,22.74,23.01,1.0,11300
CTWS,2010-01-26,17.4788951682,17.8124914808,17.4788951682,17.6883626203,12900,22.53,0.0,22.96,22.53,22.8,1.0,12900
CTWS,2010-01-27,17.7659431581,17.8124914808,17.4323468455,17.4323468455,12100,22.9,0.0,22.96,22.47,22.47,1.0,12100
CTWS,2010-01-28,17.416830738,17.7504270505,17.378040469,17.7504270505,23300,22.45,0.0,22.88,22.4,22.88,1.0,23300
CTWS,2010-01-29,17.2539116086,17.6340562438,17.1452988556,17.5254434909,27200,22.24,0.0,22.73,22.1,22.59,1.0,27200
CTWS,2010-02-01,17.2073632859,17.5409595984,17.2073632859,17.3857985228,14000,22.18,0.0,22.61,22.18,22.41,1.0,14000
CTWS,2010-02-02,17.2539116086,17.5642337598,17.1918471783,17.5642337598,32600,22.24,0.0,22.64,22.16,22.64,1.0,32600
CTWS,2010-02-03,17.1065085867,17.2927018775,17.1065085867,17.2306374472,15400,22.05,0.0,22.29,22.05,22.21,1.0,15400
CTWS,2010-02-04,16.8737669733,17.2539116086,16.8737669733,17.0909924792,35000,21.75,0.0,22.24,21.75,22.03,1.0,35000
CTWS,2010-02-05,16.9125572422,17.012636136,16.7341220052,16.8660089195,19700,21.8,0.0,21.929,21.57,21.74,1.0,19700
CTWS,2010-02-08,16.7651542204,17.1375408018,16.7341220052,16.8194605968,18800,21.61,0.0,22.09,21.57,21.68,1.0,18800
CTWS,2010-02-09,16.9513475111,16.9746216724,16.7341220052,16.9746216724,16300,21.85,0.0,21.88,21.57,21.88,1.0,16300
CTWS,2010-02-10,17.2306374472,17.4323468455,16.741880059,16.8272186506,18200,22.21,0.0,22.47,21.58,21.69,1.0,18200
CTWS,2010-02-11,17.3392502001,17.3935565766,17.0444441565,17.1220246943,13100,22.35,0.0,22.42,21.97,22.07,1.0,13100
CTWS,2010-02-12,17.4788951682,17.4944112758,17.0677183178,17.1452988556,17300,22.53,0.0,22.55,22.0,22.1,1.0,17300
CTWS,2010-02-16,17.3392502001,17.378040469,17.1608149632,17.2849438237,19400,22.35,0.0,22.4,22.12,22.28,1.0,19400
CTWS,2010-02-17,17.6030240287,17.6418142976,17.3314921464,17.378040469,15000,22.69,0.0,22.74,22.34,22.4,1.0,15000
CTWS,2010-02-18,17.8280075883,17.8280075883,17.308217985,17.5099273833,11500,22.98,0.0,22.98,22.31,22.57,1.0,11500
CTWS,2010-02-19,17.8124914808,18.0064428253,17.6961206741,17.8280075883,15000,22.96,0.0,23.21,22.81,22.98,1.0,15000
CTWS,2010-02-22,18.0762653093,18.0840233631,17.7504270505,17.7814592657,14200,23.3,0.0,23.31,22.88,22.92,1.0,14200
CTWS,2010-02-23,18.1771200085,18.3477971917,18.0995394707,18.0995394707,21500,23.43,0.0,23.65,23.33,23.33,1.0,21500
CTWS,2010-02-24,18.301248869,18.3865874606,18.1383297396,18.2702166538,10500,23.59,0.0,23.7,23.38,23.55,1.0,10500
CTWS,2010-02-25,18.175180495,18.175180495,18.0341661636,18.175180495,14000,23.2,0.2275,23.2,23.02,23.2,1.0,14000
CTWS,2010-02-26,17.6346255579,18.2535217903,17.4701088379,18.1360098474,19600,22.51,0.0,23.3,22.3,23.15,1.0,19600
CTWS,2010-03-01,17.6189572988,17.9871613865,17.5327818741,17.7051327236,18600,22.49,0.0,22.96,22.38,22.6,1.0,18600
CTWS,2010-03-02,18.6922330436,18.7235695617,17.6424596874,18.1125074588,35400,23.86,0.0,23.9,22.52,23.12,1.0,35400
CTWS,2010-03-03,18.1986828836,18.6765647845,18.0647192687,18.6765647845,15600,23.23,0.0,23.84,23.059,23.84,1.0,15600
CTWS,2010-03-04,18.817579116,18.9585934474,17.830478796,18.2613559198,36300,24.02,0.0,24.2,22.76,23.31,1.0,36300
CTWS,2010-03-05,18.9429251884,19.2641244988,18.5277163236,18.8645838931,39800,24.18,0.0,24.59,23.65,24.08,1.0,39800
CTWS,2010-03-08,18.8489156341,18.997764095,18.6373941369,18.8802521522,9800,24.06,0.0,24.25,23.79,24.1,1.0,9800
CTWS,2010-03-09,18.9742617064,18.9742617064,18.668730655,18.7157354322,19700,24.22,0.0,24.22,23.83,23.89,1.0,19700
CTWS,2010-03-10,18.8959204112,18.9194227998,18.7079013026,18.9194227998,8700,24.12,0.0,24.15,23.88,24.15,1.0,8700
CTWS,2010-03-11,18.8489156341,18.8959204112,18.6217258779,18.7470719503,12100,24.06,0.0,24.12,23.77,23.93,1.0,12100
CTWS,2010-03-12,18.7940767274,18.8410815045,18.3945361217,18.833247375,10100,23.99,0.0,24.05,23.48,24.04,1.0,10100
CTWS,2010-03-15,18.7549060798,18.8254132455,18.653062396,18.817579116,3753,23.94,0.0,24.03,23.81,24.02,1.0,3753
CTWS,2010-03-16,18.8410815045,18.8410815045,18.5590528417,18.8410815045,2166,24.05,0.0,24.05,23.69,24.05,1.0,2166
CTWS,2010-03-17,18.6138917484,19.0212664836,18.5747211007,18.8254132455,13900,23.76,0.0,24.28,23.71,24.03,1.0,13900
