symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
CZNC,2010-01-04,6.6021226376,6.6705384162,6.5063405475,6.5952810598,42300,9.65,0.0,9.75,9.51,9.64,1.0,42300
CZNC,2010-01-05,6.533706859,6.7594789285,6.5131821254,6.6089642155,15900,9.55,0.0,9.88,9.52,9.66,1.0,15900
CZNC,2010-01-06,6.3421426788,6.6158057933,6.3421426788,6.5405484369,19200,9.27,0.0,9.67,9.27,9.56,1.0,19200
CZNC,2010-01-07,6.1779448101,6.4789742361,6.1574200765,6.3558258346,20700,9.03,0.0,9.47,9.0,9.29,1.0,20700
CZNC,2010-01-08,6.3147763674,6.5200237033,6.1779448101,6.1779448101,12500,9.23,0.0,9.53,9.03,9.03,1.0,12500
CZNC,2010-01-11,6.1368953429,6.3763505681,6.1026874536,6.3763505681,10100,8.97,0.0,9.32,8.92,9.32,1.0,10100
CZNC,2010-01-12,6.1232121872,6.5200237033,5.9932222078,6.1026874536,27100,8.95,0.0,9.53,8.76,8.92,1.0,27100
CZNC,2010-01-13,6.5679147483,6.6226473712,6.1711032323,6.1711032323,35400,9.6,0.0,9.68,9.02,9.02,1.0,35400
CZNC,2010-01-14,6.6021226376,6.7047463056,6.4789742361,6.5610731704,12300,9.65,0.0,9.8,9.47,9.59,1.0,12300
CZNC,2010-01-15,6.581597904,6.7663205063,6.581597904,6.6910631498,26700,9.62,0.0,9.89,9.62,9.78,1.0,26700
CZNC,2010-01-19,6.8278947071,6.9099936414,6.6021226376,6.6158057933,22400,9.98,0.0,10.1,9.65,9.67,1.0,22400
CZNC,2010-01-20,6.4994989697,6.9168352193,6.4994989697,6.7457957727,16700,9.5,0.0,10.11,9.5,9.86,1.0,16700
CZNC,2010-01-21,6.1232121872,6.5679147483,6.1232121872,6.533706859,29500,8.95,0.0,9.6,8.95,9.55,1.0,29500
CZNC,2010-01-22,6.1163706094,6.2258358552,6.0890042979,6.1368953429,33000,8.94,0.0,9.1,8.9,8.97,1.0,33000
CZNC,2010-01-25,6.3010932117,6.4447663468,6.1368953429,6.1984695437,13600,9.21,0.0,9.42,8.97,9.06,1.0,13600
CZNC,2010-01-26,6.6021226376,7.0980002011,6.2942516338,6.2942516338,28000,9.65,0.0,10.3748,9.2,9.2,1.0,28000
CZNC,2010-01-27,6.88262733,7.0468251987,6.581597904,6.581597904,17400,10.06,0.0,10.3,9.62,9.62,1.0,17400
CZNC,2010-01-28,6.6294889491,7.0778935086,6.608793354,6.9882125967,16100,9.61,0.08,10.26,9.58,10.13,1.0,16100
CZNC,2010-01-29,6.8364448996,7.0089081917,6.6777786709,6.6777786709,17100,9.91,0.0,10.16,9.68,9.68,1.0,17100
CZNC,2010-02-01,6.8985316848,6.9675170016,6.7260683927,6.8778360897,16300,10.0,0.0,10.1,9.75,9.97,1.0,16300
CZNC,2010-02-02,6.6018948223,6.8985316848,6.6018948223,6.8985316848,13800,9.57,0.0,10.0,9.57,10.0,1.0,13800
CZNC,2010-02-03,6.4501271253,6.8640390264,6.3949388718,6.5674021639,18100,9.35,0.0,9.95,9.27,9.52,1.0,18100
CZNC,2010-02-04,6.4501271253,6.6570830758,6.4501271253,6.4501271253,43000,9.35,0.0,9.65,9.35,9.35,1.0,43000
CZNC,2010-02-05,6.6363874808,6.6501155588,6.4606128934,6.4846197837,9100,9.62,0.0,9.6399,9.3652,9.4,1.0,9100
CZNC,2010-02-08,6.2776638331,6.719169861,6.2500697064,6.6501845441,25200,9.1,0.0,9.74,9.06,9.64,1.0,25200
CZNC,2010-02-09,6.6432860124,6.6570830758,6.3328520866,6.3949388718,10500,9.63,0.0,9.65,9.18,9.27,1.0,10500
CZNC,2010-02-10,6.8157493046,6.870937558,6.5122139104,6.6294889491,14800,9.88,0.0,9.96,9.44,9.61,1.0,14800
CZNC,2010-02-11,7.1744729522,7.1744729522,6.6915757342,6.7743581144,20400,10.4,0.0,10.4,9.7,9.82,1.0,20400
CZNC,2010-02-12,7.5193995364,7.5814863216,6.9675170016,7.0985891036,30200,10.9,0.0,10.99,10.1,10.29,1.0,30200
CZNC,2010-02-16,7.7332540186,7.7953408038,7.4918054097,7.5883848533,19600,11.21,0.0,11.3,10.86,11.0,1.0,19600
CZNC,2010-02-17,7.6573701701,7.8367319939,7.6021819166,7.8022393355,21800,11.1,0.0,11.36,11.02,11.31,1.0,21800
CZNC,2010-02-18,7.3814289027,7.9264129058,7.1951685472,7.9264129058,12700,10.7,0.0,11.49,10.43,11.49,1.0,12700
CZNC,2010-02-19,7.6849642968,7.747051082,7.3676318393,7.3814289027,18900,11.14,0.0,11.23,10.68,10.7,1.0,18900
CZNC,2010-02-22,7.7608481454,7.7608481454,7.6297760434,7.7263554869,7200,11.25,0.0,11.25,11.06,11.2,1.0,7200
CZNC,2010-02-23,7.3883274344,7.7608481454,7.2986465225,7.7608481454,17300,10.71,0.0,11.25,10.58,11.25,1.0,17300
CZNC,2010-02-24,7.747051082,7.7573988795,7.353834776,7.4366171562,7300,11.23,0.0,11.245,10.66,10.78,1.0,7300
CZNC,2010-02-25,7.6573701701,7.7263554869,7.4297186245,7.6090804483,14700,11.1,0.0,11.2,10.77,11.03,1.0,14700
CZNC,2010-02-26,7.6918628285,7.7263554869,7.5193995364,7.6987613602,24500,11.15,0.0,11.2,10.9,11.16,1.0,24500
CZNC,2010-03-01,7.9333114375,7.9333114375,7.5676892582,7.7677466771,13500,11.5,0.0,11.5,10.97,11.26,1.0,13500
CZNC,2010-03-02,7.8850217157,7.9678040959,7.7953408038,7.9333114375,32400,11.43,0.0,11.55,11.3,11.5,1.0,32400
CZNC,2010-03-03,7.7884422721,7.8850217157,7.6504716384,7.8850217157,12200,11.29,0.0,11.43,11.09,11.43,1.0,12200
CZNC,2010-03-04,8.0367894128,8.0367894128,7.7815437404,7.7884422721,12300,11.65,0.0,11.65,11.28,11.29,1.0,12300
CZNC,2010-03-05,8.1057747296,8.1678615148,8.0367204274,8.0988761979,28100,11.75,0.0,11.84,11.6499,11.74,1.0,28100
CZNC,2010-03-08,8.1540644514,8.1678615148,7.9816011593,8.1057747296,6700,11.82,0.0,11.84,11.57,11.75,1.0,6700
CZNC,2010-03-09,8.1954556415,8.1954556415,7.9678730812,8.1126732613,11800,11.88,0.0,11.88,11.5501,11.76,1.0,11800
CZNC,2010-03-10,8.3886145287,8.4024115921,8.1126732613,8.1678615148,13800,12.16,0.0,12.18,11.76,11.84,1.0,13800
CZNC,2010-03-11,8.3610204019,8.4300057188,8.1816585781,8.3058321485,16900,12.12,0.0,12.22,11.86,12.04,1.0,16900
CZNC,2010-03-12,8.0712820712,8.426556453,8.0574850078,8.3679189336,11300,11.7,0.0,12.215,11.68,12.13,1.0,11300
CZNC,2010-03-15,8.2920350851,8.4437337968,8.0022967543,8.3679189336,9600,12.02,0.0,12.2399,11.6,12.13,1.0,9600
CZNC,2010-03-16,8.3748174653,8.3748174653,8.1954556415,8.3265277435,7900,12.14,0.0,12.14,11.88,12.07,1.0,7900
CZNC,2010-03-17,8.3610204019,8.4162086554,8.2990026021,8.3748174653,12200,12.12,0.0,12.2,12.0301,12.14,1.0,12200
CZNC,2010-03-18,8.5610778208,8.6093675426,8.3610204019,8.3679189336,24000,12.41,0.0,12.48,12.12,12.13,1.0,24000
CZNC,2010-03-19,8.7059469862,8.7266425812,8.4231071871,8.6162660743,42800,12.62,0.0,12.65,12.21,12.49,1.0,42800
CZNC,2010-03-22,8.8301205565,8.9129029367,8.5645270866,8.6024690109,27100,12.8,0.0,12.92,12.415,12.47,1.0,27100
