symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
DEST,2010-01-04,7.7005106661,7.7285562304,7.4160485135,7.7285562304,26200,19.22,0.0,19.29,18.51,19.29,1.0,13100
DEST,2010-01-05,7.5442568076,7.656439065,7.3443319989,7.656439065,13600,18.83,0.0,19.11,18.331,19.11,1.0,6800
DEST,2010-01-06,7.2517816366,7.656439065,7.2517816366,7.5041917157,65800,18.1,0.0,19.11,18.1,18.73,1.0,32900
DEST,2010-01-07,7.1195668333,7.4809539624,7.0362314421,7.3399248388,36800,17.77,0.0,18.672,17.562,18.32,1.0,18400
DEST,2010-01-08,7.1476123976,7.2197295631,7.0394366495,7.2117165447,23400,17.84,0.0,18.02,17.57,18.0,1.0,11700
DEST,2010-01-11,7.3880029491,7.6884911385,7.2117165447,7.2117165447,29600,18.44,0.0,19.19,18.0,18.0,1.0,14800
DEST,2010-01-12,7.3719769124,7.6003479363,7.3399248388,7.3399248388,6400,18.4,0.0,18.97,18.32,18.32,1.0,3200
DEST,2010-01-13,7.4921721881,7.5642893535,7.3679704032,7.4040289859,11000,18.7,0.0,18.88,18.39,18.48,1.0,5500
DEST,2010-01-14,7.6043544455,7.616373973,7.4521070962,7.4521070962,20200,18.98,0.0,19.01,18.6,18.6,1.0,10100
DEST,2010-01-15,7.8006733958,7.804679905,7.5482633168,7.6404130282,30600,19.47,0.0,19.48,18.84,19.07,1.0,15300
DEST,2010-01-19,7.9809663095,8.013018383,7.5482633168,7.92888169,89600,19.92,0.0,20.0,18.84,19.79,1.0,44800
DEST,2010-01-20,8.0050053646,8.013018383,7.740575758,8.013018383,78400,19.98,0.0,20.0,19.32,20.0,1.0,39200
DEST,2010-01-21,8.013018383,8.0530834749,7.9368947084,8.0530834749,24800,20.0,0.0,20.1,19.81,20.1,1.0,12400
DEST,2010-01-22,8.1292071495,8.1492396955,8.0170649573,8.0450704565,15800,20.29,0.0,20.34,20.0101,20.08,1.0,7900
DEST,2010-01-25,8.1011615852,8.1732787507,7.9409012175,8.0490769657,23800,20.22,0.0,20.4,19.82,20.09,1.0,11900
DEST,2010-01-26,8.2133438426,8.2293698793,7.9008361256,8.0651030025,253800,20.5,0.0,20.54,19.72,20.13,1.0,126900
DEST,2010-01-27,8.557903633,8.6139947617,8.1091746036,8.1532462047,31600,21.36,0.0,21.5,20.24,20.35,1.0,15800
DEST,2010-01-28,9.5274788574,9.6957522434,8.8143202213,8.8223332397,78200,23.78,0.0,24.2,22.0,22.02,1.0,39100
DEST,2010-01-29,9.7478368629,9.9681948684,9.4152966,9.539498385,61800,24.33,0.0,24.88,23.5,23.81,1.0,30900
DEST,2010-02-01,9.5955895136,9.7197912986,9.0787498279,9.7197912986,101400,23.95,0.0,24.26,22.66,24.26,1.0,50700
DEST,2010-02-02,9.603602532,9.7354166844,9.3151338702,9.3151338702,51800,23.97,0.0,24.299,23.25,23.25,1.0,25900
DEST,2010-02-03,9.6677066791,9.6797262067,9.4553616919,9.5955895136,66800,24.13,0.0,24.16,23.6,23.95,1.0,33400
DEST,2010-02-04,9.5515179125,9.7358173353,9.4593682011,9.5875764953,36600,23.84,0.0,24.3,23.61,23.93,1.0,18300
DEST,2010-02-05,9.4954267838,9.6637001699,9.4954267838,9.5675439493,19600,23.7,0.0,24.12,23.7,23.88,1.0,9800
DEST,2010-02-08,9.5635374401,9.6717131883,9.4794007471,9.5675439493,18800,23.87,0.0,24.14,23.66,23.88,1.0,9400
DEST,2010-02-09,9.6316480964,9.6797262067,9.5334886212,9.6677066791,23200,24.04,0.0,24.16,23.795,24.13,1.0,11600
DEST,2010-02-10,9.3912575449,9.6797262067,9.3672184897,9.5595309309,42800,23.44,0.0,24.16,23.38,23.86,1.0,21400
DEST,2010-02-11,9.5154593298,9.6116155504,9.3912575449,9.3992705633,95200,23.75,0.0,23.99,23.44,23.46,1.0,47600
DEST,2010-02-12,9.3752315081,9.4313226368,9.2670557599,9.4233096184,30600,23.4,0.0,23.54,23.13,23.52,1.0,15300
