symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
DRRX,2010-01-04,2.56,2.56,2.44,2.51,133100,2.56,0.0,2.56,2.44,2.51,1.0,133100
DRRX,2010-01-05,2.42,2.55,2.4,2.55,117800,2.42,0.0,2.55,2.4,2.55,1.0,117800
DRRX,2010-01-06,2.36,2.42,2.29,2.41,195600,2.36,0.0,2.42,2.29,2.41,1.0,195600
DRRX,2010-01-07,2.47,2.49,2.35,2.36,126500,2.47,0.0,2.49,2.35,2.36,1.0,126500
DRRX,2010-01-08,2.41,2.4699,2.35,2.4,237600,2.41,0.0,2.4699,2.35,2.4,1.0,237600
DRRX,2010-01-11,2.44,2.48,2.3599,2.43,87800,2.44,0.0,2.48,2.3599,2.43,1.0,87800
DRRX,2010-01-12,2.33,2.4499,2.31,2.41,105700,2.33,0.0,2.4499,2.31,2.41,1.0,105700
DRRX,2010-01-13,2.44,2.46,2.33,2.35,108200,2.44,0.0,2.46,2.33,2.35,1.0,108200
DRRX,2010-01-14,2.35,2.45,2.34,2.43,75100,2.35,0.0,2.45,2.34,2.43,1.0,75100
DRRX,2010-01-15,2.31,2.4,2.3,2.38,217100,2.31,0.0,2.4,2.3,2.38,1.0,217100
DRRX,2010-01-19,2.48,2.49,2.31,2.31,204200,2.48,0.0,2.49,2.31,2.31,1.0,204200
DRRX,2010-01-20,2.35,2.479,2.3,2.44,191600,2.35,0.0,2.479,2.3,2.44,1.0,191600
DRRX,2010-01-21,2.21,2.36,2.2,2.36,255300,2.21,0.0,2.36,2.2,2.36,1.0,255300
DRRX,2010-01-22,2.18,2.29,2.15,2.21,132600,2.18,0.0,2.29,2.15,2.21,1.0,132600
DRRX,2010-01-25,2.21,2.28,2.15,2.22,124500,2.21,0.0,2.28,2.15,2.22,1.0,124500
DRRX,2010-01-26,2.11,2.2,2.09,2.19,355600,2.11,0.0,2.2,2.09,2.19,1.0,355600
DRRX,2010-01-27,2.25,2.25,2.09,2.09,138500,2.25,0.0,2.25,2.09,2.09,1.0,138500
DRRX,2010-01-28,2.13,2.3,2.1,2.26,145700,2.13,0.0,2.3,2.1,2.26,1.0,145700
DRRX,2010-01-29,2.17,2.24,2.15,2.15,199400,2.17,0.0,2.24,2.15,2.15,1.0,199400
DRRX,2010-02-01,2.22,2.25,2.14,2.18,95400,2.22,0.0,2.25,2.14,2.18,1.0,95400
DRRX,2010-02-02,2.2,2.22,2.13,2.22,187100,2.2,0.0,2.22,2.13,2.22,1.0,187100
DRRX,2010-02-03,2.15,2.21,2.12,2.18,144300,2.15,0.0,2.21,2.12,2.18,1.0,144300
DRRX,2010-02-04,1.95,2.15,1.95,2.13,223000,1.95,0.0,2.15,1.95,2.13,1.0,223000
DRRX,2010-02-05,2.01,2.05,1.93,1.95,188100,2.01,0.0,2.05,1.93,1.95,1.0,188100
DRRX,2010-02-08,1.95,2.01,1.92,2.01,95400,1.95,0.0,2.01,1.92,2.01,1.0,95400
DRRX,2010-02-09,2.01,2.01,1.91,2.0,135300,2.01,0.0,2.01,1.91,2.0,1.0,135300
DRRX,2010-02-10,2.03,2.05,1.95,1.99,151200,2.03,0.0,2.05,1.95,1.99,1.0,151200
DRRX,2010-02-11,2.16,2.17,1.98,2.01,195500,2.16,0.0,2.17,1.98,2.01,1.0,195500
DRRX,2010-02-12,2.16,2.18,2.12,2.12,69400,2.16,0.0,2.18,2.12,2.12,1.0,69400
DRRX,2010-02-16,2.13,2.19,2.09,2.19,81800,2.13,0.0,2.19,2.09,2.19,1.0,81800
DRRX,2010-02-17,2.15,2.19,2.12,2.15,148500,2.15,0.0,2.19,2.12,2.15,1.0,148500
DRRX,2010-02-18,2.22,2.23,2.12,2.15,89300,2.22,0.0,2.23,2.12,2.15,1.0,89300
DRRX,2010-02-19,2.24,2.28,2.14,2.22,168900,2.24,0.0,2.28,2.14,2.22,1.0,168900
DRRX,2010-02-22,2.26,2.27,2.18,2.25,79100,2.26,0.0,2.27,2.18,2.25,1.0,79100
DRRX,2010-02-23,2.4,2.4,2.2,2.25,313000,2.4,0.0,2.4,2.2,2.25,1.0,313000
DRRX,2010-02-24,2.38,2.45,2.27,2.4,227000,2.38,0.0,2.45,2.27,2.4,1.0,227000
DRRX,2010-02-25,2.35,2.36,2.23,2.3,254200,2.35,0.0,2.36,2.23,2.3,1.0,254200
DRRX,2010-02-26,2.39,2.418,2.3,2.3,358200,2.39,0.0,2.418,2.3,2.3,1.0,358200
DRRX,2010-03-01,2.41,2.45,2.37,2.41,370800,2.41,0.0,2.45,2.37,2.41,1.0,370800
DRRX,2010-03-02,2.55,2.55,2.4,2.42,789000,2.55,0.0,2.55,2.4,2.42,1.0,789000
DRRX,2010-03-03,2.66,2.69,2.51,2.57,299000,2.66,0.0,2.69,2.51,2.57,1.0,299000
DRRX,2010-03-04,2.62,2.66,2.58,2.66,113200,2.62,0.0,2.66,2.58,2.66,1.0,113200
DRRX,2010-03-05,2.65,2.66,2.59,2.65,451000,2.65,0.0,2.66,2.59,2.65,1.0,451000
DRRX,2010-03-08,2.7,2.7,2.56,2.63,260500,2.7,0.0,2.7,2.56,2.63,1.0,260500
DRRX,2010-03-09,2.72,2.75,2.62,2.67,570900,2.72,0.0,2.75,2.62,2.67,1.0,570900
DRRX,2010-03-10,2.8,2.84,2.69,2.73,195300,2.8,0.0,2.84,2.69,2.73,1.0,195300
DRRX,2010-03-11,2.77,2.78,2.66,2.76,154000,2.77,0.0,2.78,2.66,2.76,1.0,154000
