symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
EACQ,2015-10-02,10.0,10.0,10.0,10.0,1000,10.0,0.0,10.0,10.0,10.0,1.0,1000
EACQ,2015-10-05,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-06,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-07,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-08,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-09,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-12,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-13,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-14,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-15,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-16,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-19,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-20,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-21,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-22,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-23,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-26,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-27,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-28,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-29,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-10-30,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
EACQ,2015-11-02,10.0,10.0,10.0,10.0,0,10.0,0.0,10.0,10.0,10.0,1.0,0
