symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
EGAN,2010-01-04,1.04,1.04,1.04,1.04,3000,1.04,0.0,1.04,1.04,1.04,1.0,3000
EGAN,2010-01-05,1.05,1.05,0.8,0.8,1500,1.05,0.0,1.05,0.8,0.8,1.0,1500
EGAN,2010-01-06,1.04,1.05,1.04,1.05,1300,1.04,0.0,1.05,1.04,1.05,1.0,1300
EGAN,2010-01-07,1.05,1.05,0.87,0.87,6600,1.05,0.0,1.05,0.87,0.87,1.0,6600
EGAN,2010-01-08,1.05,1.05,1.05,1.05,0,1.05,0.0,1.05,1.05,1.05,1.0,0
EGAN,2010-01-11,1.05,1.05,0.87,0.87,6300,1.05,0.0,1.05,0.87,0.87,1.0,6300
EGAN,2010-01-12,1.0,1.0,1.0,1.0,3000,1.0,0.0,1.0,1.0,1.0,1.0,3000
EGAN,2010-01-13,1.05,1.05,1.05,1.05,1800,1.05,0.0,1.05,1.05,1.05,1.0,1800
EGAN,2010-01-14,1.05,1.05,1.05,1.05,0,1.05,0.0,1.05,1.05,1.05,1.0,0
EGAN,2010-01-15,1.05,1.17,0.95,0.95,11000,1.05,0.0,1.17,0.95,0.95,1.0,11000
EGAN,2010-01-19,1.01,1.01,0.98,0.98,700,1.01,0.0,1.01,0.98,0.98,1.0,700
EGAN,2010-01-20,1.15,1.15,0.98,0.98,1000,1.15,0.0,1.15,0.98,0.98,1.0,1000
EGAN,2010-01-21,0.99,0.99,0.99,0.99,200,0.99,0.0,0.99,0.99,0.99,1.0,200
EGAN,2010-01-22,1.05,1.05,1.01,1.01,800,1.05,0.0,1.05,1.01,1.01,1.0,800
EGAN,2010-01-25,1.05,1.05,1.05,1.05,0,1.05,0.0,1.05,1.05,1.05,1.0,0
EGAN,2010-01-26,1.02,1.13,0.98,0.98,1300,1.02,0.0,1.13,0.98,0.98,1.0,1300
EGAN,2010-01-27,1.02,1.02,1.02,1.02,0,1.02,0.0,1.02,1.02,1.02,1.0,0
EGAN,2010-01-28,1.02,1.02,1.02,1.02,0,1.02,0.0,1.02,1.02,1.02,1.0,0
EGAN,2010-01-29,1.02,1.1,0.98,1.1,16600,1.02,0.0,1.1,0.98,1.1,1.0,16600
EGAN,2010-02-01,1.02,1.02,0.81,0.81,6100,1.02,0.0,1.02,0.81,0.81,1.0,6100
EGAN,2010-02-02,0.95,1.1,0.95,1.1,5300,0.95,0.0,1.1,0.95,1.1,1.0,5300
EGAN,2010-02-03,1.0,1.0,1.0,1.0,500,1.0,0.0,1.0,1.0,1.0,1.0,500
EGAN,2010-02-04,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0
EGAN,2010-02-05,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0
EGAN,2010-02-08,1.0,1.01,1.0,1.0,15000,1.0,0.0,1.01,1.0,1.0,1.0,15000
EGAN,2010-02-09,1.05,1.15,1.04,1.04,5700,1.05,0.0,1.15,1.04,1.04,1.0,5700
EGAN,2010-02-10,1.15,1.15,1.05,1.05,4300,1.15,0.0,1.15,1.05,1.05,1.0,4300
EGAN,2010-02-11,1.29,1.4,1.05,1.15,42300,1.29,0.0,1.4,1.05,1.15,1.0,42300
EGAN,2010-02-12,0.92,1.31,0.91,1.05,51200,0.92,0.0,1.31,0.91,1.05,1.0,51200
EGAN,2010-02-16,0.95,1.09,0.95,1.09,6400,0.95,0.0,1.09,0.95,1.09,1.0,6400
EGAN,2010-02-17,1.0,1.08,0.86,1.08,24400,1.0,0.0,1.08,0.86,1.08,1.0,24400
EGAN,2010-02-18,0.92,1.01,0.75,0.75,15900,0.92,0.0,1.01,0.75,0.75,1.0,15900
EGAN,2010-02-19,0.92,0.95,0.92,0.95,27200,0.92,0.0,0.95,0.92,0.95,1.0,27200
EGAN,2010-02-22,0.98,0.98,0.9,0.92,27400,0.98,0.0,0.98,0.9,0.92,1.0,27400
EGAN,2010-02-23,0.98,0.98,0.98,0.98,0,0.98,0.0,0.98,0.98,0.98,1.0,0
EGAN,2010-02-24,0.91,0.98,0.91,0.91,30300,0.91,0.0,0.98,0.91,0.91,1.0,30300
EGAN,2010-02-25,0.91,0.91,0.91,0.91,0,0.91,0.0,0.91,0.91,0.91,1.0,0
EGAN,2010-02-26,0.91,0.91,0.91,0.91,0,0.91,0.0,0.91,0.91,0.91,1.0,0
EGAN,2010-03-01,0.91,0.91,0.91,0.91,0,0.91,0.0,0.91,0.91,0.91,1.0,0
EGAN,2010-03-02,0.91,0.91,0.91,0.91,200,0.91,0.0,0.91,0.91,0.91,1.0,200
EGAN,2010-03-03,1.1,1.1,0.92,0.92,3400,1.1,0.0,1.1,0.92,0.92,1.0,3400
EGAN,2010-03-04,0.93,0.93,0.93,0.93,1000,0.93,0.0,0.93,0.93,0.93,1.0,1000
EGAN,2010-03-05,1.06,1.06,0.95,1.06,6500,1.06,0.0,1.06,0.95,1.06,1.0,6500
EGAN,2010-03-08,1.0,1.15,0.95,0.95,4500,1.0,0.0,1.15,0.95,0.95,1.0,4500
EGAN,2010-03-09,1.01,1.13,0.96,0.96,5300,1.01,0.0,1.13,0.96,0.96,1.0,5300
EGAN,2010-03-10,1.01,1.01,1.01,1.01,0,1.01,0.0,1.01,1.01,1.01,1.0,0
EGAN,2010-03-11,1.01,1.01,1.01,1.01,0,1.01,0.0,1.01,1.01,1.01,1.0,0
EGAN,2010-03-12,1.0,1.0,0.96,0.96,4300,1.0,0.0,1.0,0.96,0.96,1.0,4300
EGAN,2010-03-15,1.01,1.01,1.01,1.01,6900,1.01,0.0,1.01,1.01,1.01,1.0,6900
EGAN,2010-03-16,1.01,1.01,0.98,0.98,4800,1.01,0.0,1.01,0.98,0.98,1.0,4800
EGAN,2010-03-17,1.05,1.05,1.05,1.05,3500,1.05,0.0,1.05,1.05,1.05,1.0,3500
EGAN,2010-03-18,1.02,1.02,1.02,1.02,1000,1.02,0.0,1.02,1.02,1.02,1.0,1000
EGAN,2010-03-19,1.02,1.02,1.02,1.02,0,1.02,0.0,1.02,1.02,1.02,1.0,0
EGAN,2010-03-22,1.02,1.02,1.02,1.02,0,1.02,0.0,1.02,1.02,1.02,1.0,0
EGAN,2010-03-23,0.95,0.96,0.95,0.96,7200,0.95,0.0,0.96,0.95,0.96,1.0,7200
EGAN,2010-03-24,0.91,0.91,0.91,0.91,1300,0.91,0.0,0.91,0.91,0.91,1.0,1300
EGAN,2010-03-25,0.91,0.91,0.91,0.91,0,0.91,0.0,0.91,0.91,0.91,1.0,0
EGAN,2010-03-26,0.91,0.91,0.91,0.91,2000,0.91,0.0,0.91,0.91,0.91,1.0,2000
EGAN,2010-03-29,0.91,0.91,0.91,0.91,2500,0.91,0.0,0.91,0.91,0.91,1.0,2500
EGAN,2010-03-30,0.92,0.95,0.85,0.85,14600,0.92,0.0,0.95,0.85,0.85,1.0,14600
EGAN,2010-03-31,0.92,0.92,0.82,0.82,2500,0.92,0.0,0.92,0.82,0.82,1.0,2500
EGAN,2010-04-01,0.92,0.92,0.92,0.92,0,0.92,0.0,0.92,0.92,0.92,1.0,0
EGAN,2010-04-05,0.92,0.92,0.92,0.92,0,0.92,0.0,0.92,0.92,0.92,1.0,0
EGAN,2010-04-06,0.93,1.05,0.75,1.05,16500,0.93,0.0,1.05,0.75,1.05,1.0,16500
EGAN,2010-04-07,0.93,0.93,0.93,0.93,0,0.93,0.0,0.93,0.93,0.93,1.0,0
EGAN,2010-04-08,0.93,0.93,0.93,0.93,0,0.93,0.0,0.93,0.93,0.93,1.0,0
EGAN,2010-04-09,0.93,0.93,0.93,0.93,0,0.93,0.0,0.93,0.93,0.93,1.0,0
EGAN,2010-04-12,0.92,0.93,0.76,0.76,2800,0.92,0.0,0.93,0.76,0.76,1.0,2800
