symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
EKSO,2014-01-16,16.45,17.5,15.75,17.5,5034,2.35,0.0,2.5,2.25,2.5,1.0,35240
EKSO,2014-01-17,17.15,17.85,16.45,16.8,22234,2.45,0.0,2.55,2.35,2.4,1.0,155641
EKSO,2014-01-21,18.55,19.11,17.78,17.78,25469,2.65,0.0,2.73,2.54,2.54,1.0,178283
EKSO,2014-01-22,18.55,19.25,17.5,19.25,11424,2.65,0.0,2.75,2.5,2.75,1.0,79969
EKSO,2014-01-23,16.59,18.55,16.59,17.85,8830,2.37,0.0,2.65,2.37,2.55,1.0,61810
EKSO,2014-01-24,17.78,18.55,16.625,16.695,3239,2.54,0.0,2.65,2.375,2.385,1.0,22673
EKSO,2014-01-27,18.2,18.9,17.85,18.2,3713,2.6,0.0,2.7,2.55,2.6,1.0,25996
EKSO,2014-01-28,17.5,18.2,17.15,18.2,2859,2.5,0.0,2.6,2.45,2.6,1.0,20015
EKSO,2014-01-29,18.2,18.48,17.29,18.48,419,2.6,0.0,2.64,2.47,2.64,1.0,2935
EKSO,2014-01-30,17.08,18.41,17.08,18.2,8423,2.44,0.0,2.63,2.44,2.6,1.0,58965
EKSO,2014-01-31,17.15,19.25,16.8,17.15,2799,2.45,0.0,2.75,2.4,2.45,1.0,19596
EKSO,2014-02-03,16.45,17.85,15.82,17.85,6301,2.35,0.0,2.55,2.26,2.55,1.0,44111
EKSO,2014-02-04,16.8,16.8,16.1,16.1,1659,2.4,0.0,2.4,2.3,2.3,1.0,11615
EKSO,2014-02-05,17.5,17.5,16.03,16.8,1733,2.5,0.0,2.5,2.29,2.4,1.0,12135
EKSO,2014-02-06,20.58,21.35,16.1,17.5,23552,2.94,0.0,3.05,2.3,2.5,1.0,164867
EKSO,2014-02-07,22.26,23.8,21.0,21.0,7433,3.18,0.0,3.4,3.0,3.0,1.0,52032
EKSO,2014-02-10,21.0,22.75,18.2,22.75,9083,3.0,0.0,3.25,2.6,3.25,1.0,63584
EKSO,2014-02-11,20.86,22.4,20.65,22.4,4788,2.98,0.0,3.2,2.95,3.2,1.0,33518
EKSO,2014-02-12,21.0,22.4,19.32,22.4,13665,3.0,0.0,3.2,2.76,3.2,1.0,95658
EKSO,2014-02-13,21.0,21.35,19.95,21.0,3790,3.0,0.0,3.05,2.85,3.0,1.0,26530
EKSO,2014-02-14,19.95,24.43,19.6,21.0,9749,2.85,0.0,3.49,2.8,3.0,1.0,68249
EKSO,2014-02-18,21.0,22.75,19.95,22.75,19952,3.0,0.0,3.25,2.85,3.25,1.0,139664
EKSO,2014-02-19,23.1,23.8,21.07,21.07,21244,3.3,0.0,3.4,3.01,3.01,1.0,148708
EKSO,2014-02-20,26.67,29.05,23.45,23.73,59253,3.81,0.0,4.15,3.35,3.39,1.0,414771
EKSO,2014-02-21,36.33,37.73,26.95,27.3,103111,5.19,0.0,5.39,3.85,3.9,1.0,721783
EKSO,2014-02-24,53.55,57.54,39.9,43.365,216819,7.65,0.0,8.22,5.7,6.195,1.0,1517734
EKSO,2014-02-25,41.72,51.45,41.09,51.45,138809,5.96,0.0,7.35,5.87,7.35,1.0,971663
EKSO,2014-02-26,44.8,47.11,41.86,45.08,38190,6.4,0.0,6.73,5.98,6.44,1.0,267331
EKSO,2014-02-27,45.5,48.65,45.5,46.55,28097,6.5,0.0,6.95,6.5,6.65,1.0,196684
EKSO,2014-02-28,42.0,45.64,40.95,45.64,43146,6.0,0.0,6.52,5.85,6.52,1.0,302022
EKSO,2014-03-03,37.17,41.16,24.5,41.02,35459,5.31,0.0,5.88,3.5,5.86,1.0,248214
EKSO,2014-03-04,36.05,38.85,36.05,38.85,14035,5.15,0.0,5.55,5.15,5.55,1.0,98251
