symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ELON,2010-01-04,117.6,119.4,116.9,117.7,17349,11.76,0.0,11.94,11.69,11.77,1.0,173492
ELON,2010-01-05,116.1,119.5,115.7,118.6,19128,11.61,0.0,11.95,11.57,11.86,1.0,191289
ELON,2010-01-06,119.7,120.9,115.4,115.9,28800,11.97,0.0,12.09,11.54,11.59,1.0,288000
ELON,2010-01-07,117.8,120.8,117.5,119.8,9943,11.78,0.0,12.08,11.75,11.98,1.0,99436
ELON,2010-01-08,118.1,120.0,115.1,117.4,20320,11.81,0.0,12.0,11.51,11.74,1.0,203208
ELON,2010-01-11,117.6,119.2,115.4,119.2,6940,11.76,0.0,11.92,11.54,11.92,1.0,69402
ELON,2010-01-12,114.6,117.9,114.1,117.2,15610,11.46,0.0,11.79,11.41,11.72,1.0,156103
ELON,2010-01-13,117.7,119.0,113.2,114.9,16605,11.77,0.0,11.9,11.32,11.49,1.0,166059
ELON,2010-01-14,116.7,119.1,116.2,117.4,6521,11.67,0.0,11.91,11.62,11.74,1.0,65219
ELON,2010-01-15,108.5,116.1,108.4,116.1,35623,10.85,0.0,11.61,10.84,11.61,1.0,356238
ELON,2010-01-19,109.0,110.1,108.0,108.3,17630,10.9,0.0,11.01,10.8,10.83,1.0,176300
ELON,2010-01-20,106.9,109.4,103.1,108.0,23087,10.69,0.0,10.94,10.31,10.8,1.0,230878
ELON,2010-01-21,99.9,107.3,99.5,106.6,38058,9.99,0.0,10.73,9.95,10.66,1.0,380584
ELON,2010-01-22,96.4,98.5,93.3,98.2,53895,9.64,0.0,9.85,9.33,9.82,1.0,538955
ELON,2010-01-25,95.8,98.15,95.3,97.6,17185,9.58,0.0,9.815,9.53,9.76,1.0,171850
ELON,2010-01-26,93.9,95.7,92.0,95.7,26568,9.39,0.0,9.57,9.2,9.57,1.0,265689
ELON,2010-01-27,97.3,98.0,92.933,94.0,20984,9.73,0.0,9.8,9.2933,9.4,1.0,209843
ELON,2010-01-28,89.1,97.9,88.803,97.5,43887,8.91,0.0,9.79,8.8803,9.75,1.0,438878
ELON,2010-01-29,84.9,91.1,84.8,89.7,45145,8.49,0.0,9.11,8.48,8.97,1.0,451450
ELON,2010-02-01,84.7,87.0,84.2,85.1,49934,8.47,0.0,8.7,8.42,8.51,1.0,499342
