symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ESGR,2010-01-04,73.94,74.42,73.44,73.92,11300,73.94,0.0,74.42,73.44,73.92,1.0,11300
ESGR,2010-01-05,72.63,74.87,72.63,73.62,16700,72.63,0.0,74.87,72.63,73.62,1.0,16700
ESGR,2010-01-06,71.45,73.9899,71.45,72.76,15200,71.45,0.0,73.9899,71.45,72.76,1.0,15200
ESGR,2010-01-07,69.48,72.46,69.18,71.6,25100,69.48,0.0,72.46,69.18,71.6,1.0,25100
ESGR,2010-01-08,70.37,71.58,69.48,69.48,32000,70.37,0.0,71.58,69.48,69.48,1.0,32000
ESGR,2010-01-11,68.25,70.5,68.25,70.5,11900,68.25,0.0,70.5,68.25,70.5,1.0,11900
ESGR,2010-01-12,66.36,68.2,66.09,67.73,22900,66.36,0.0,68.2,66.09,67.73,1.0,22900
ESGR,2010-01-13,66.74,67.38,66.3,66.5,20400,66.74,0.0,67.38,66.3,66.5,1.0,20400
ESGR,2010-01-14,67.5,67.99,66.85,66.85,19700,67.5,0.0,67.99,66.85,66.85,1.0,19700
ESGR,2010-01-15,65.86,67.83,65.82,67.83,21100,65.86,0.0,67.83,65.82,67.83,1.0,21100
ESGR,2010-01-19,67.33,67.57,66.31,66.31,16200,67.33,0.0,67.57,66.31,66.31,1.0,16200
ESGR,2010-01-20,66.51,67.75,66.0115,66.99,17800,66.51,0.0,67.75,66.0115,66.99,1.0,17800
ESGR,2010-01-21,65.16,66.61,65.16,66.55,24000,65.16,0.0,66.61,65.16,66.55,1.0,24000
ESGR,2010-01-22,64.84,66.41,64.06,65.0,18000,64.84,0.0,66.41,64.06,65.0,1.0,18000
ESGR,2010-01-25,64.91,65.88,64.5,65.06,12800,64.91,0.0,65.88,64.5,65.06,1.0,12800
ESGR,2010-01-26,63.88,65.01,63.78,64.64,10700,63.88,0.0,65.01,63.78,64.64,1.0,10700
ESGR,2010-01-27,65.0,65.0,63.4,63.4,12500,65.0,0.0,65.0,63.4,63.4,1.0,12500
ESGR,2010-01-28,64.58,66.07,63.17,65.32,17800,64.58,0.0,66.07,63.17,65.32,1.0,17800
ESGR,2010-01-29,64.89,65.77,64.35,64.64,21800,64.89,0.0,65.77,64.35,64.64,1.0,21800
ESGR,2010-02-01,64.1,66.867,64.07,65.0,16500,64.1,0.0,66.867,64.07,65.0,1.0,16500
ESGR,2010-02-02,63.72,64.77,63.42,64.0,15300,63.72,0.0,64.77,63.42,64.0,1.0,15300
ESGR,2010-02-03,63.65,64.23,62.82,63.7,14600,63.65,0.0,64.23,62.82,63.7,1.0,14600
ESGR,2010-02-04,61.9,63.37,61.68,63.37,19500,61.9,0.0,63.37,61.68,63.37,1.0,19500
ESGR,2010-02-05,62.57,62.57,61.03,61.85,19800,62.57,0.0,62.57,61.03,61.85,1.0,19800
ESGR,2010-02-08,61.65,63.05,61.505,62.64,11600,61.65,0.0,63.05,61.505,62.64,1.0,11600
ESGR,2010-02-09,62.51,63.05,61.63,62.56,7500,62.51,0.0,63.05,61.63,62.56,1.0,7500
ESGR,2010-02-10,62.02,62.88,62.02,62.23,10900,62.02,0.0,62.88,62.02,62.23,1.0,10900
ESGR,2010-02-11,64.55,64.71,61.99,62.01,16900,64.55,0.0,64.71,61.99,62.01,1.0,16900
ESGR,2010-02-12,63.5,63.89,62.952,63.84,22300,63.5,0.0,63.89,62.952,63.84,1.0,22300
ESGR,2010-02-16,63.02,64.0,62.215,64.0,16800,63.02,0.0,64.0,62.215,64.0,1.0,16800
