symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ESLT,2010-01-04,53.6915392057,54.0530430657,52.9931794762,52.9931794762,19505,65.35,0.0,65.79,64.5,64.5,1.0,19505
ESLT,2010-01-05,53.0589074507,53.4039793171,52.8452915335,52.8452915335,14847,64.58,0.0,65.0,64.32,64.32,1.0,14847
ESLT,2010-01-06,54.176283018,54.8171307698,53.814779158,54.7103228112,15627,65.94,0.0,66.72,65.5,66.59,1.0,15627
ESLT,2010-01-07,54.7596187921,54.7596187921,53.9790990943,54.2584429862,10541,66.65,0.0,66.65,65.7,66.04,1.0,10541
ESLT,2010-01-08,54.7431867984,54.7431867984,54.1517171875,54.357034948,7895,66.63,0.0,66.63,65.9101,66.16,1.0,7895
ESLT,2010-01-11,54.1598510243,54.7843489425,53.6175952344,54.7842667825,16366,65.92,0.0,66.6801,65.26,66.68,1.0,16366
ESLT,2010-01-12,52.1715797944,52.4016277053,51.3828440999,52.2044437817,48440,63.5,0.0,63.78,62.54,63.54,1.0,48440
ESLT,2010-01-13,52.5823796353,52.8945875144,52.0154758548,52.3769797148,10601,64.0,0.0,64.38,63.31,63.75,1.0,10601
ESLT,2010-01-14,51.7196999694,51.8429399217,51.0952842112,51.0952842112,29100,62.95,0.0,63.1,62.19,62.19,1.0,29100
ESLT,2010-01-15,51.5964600171,51.8018599376,51.3171161253,51.6375400012,18401,62.8,0.0,63.05,62.46,62.85,1.0,18401
ESLT,2010-01-19,53.6093792375,53.8969391262,53.0342594603,53.4450593012,25528,65.25,0.0,65.6,64.55,65.05,1.0,25528
ESLT,2010-01-20,53.5847312471,54.1844990148,53.1903633998,54.1844990148,17468,65.22,0.0,65.95,64.74,65.95,1.0,17468
ESLT,2010-01-21,53.1903633998,54.1352030339,53.0753394444,54.1352030339,23439,64.74,0.0,65.89,64.6,65.89,1.0,23439
ESLT,2010-01-22,53.0835554412,53.6175952344,52.9438834953,53.1164194285,16505,64.61,0.0,65.26,64.44,64.65,1.0,16505
ESLT,2010-01-25,52.5988116289,53.2396593807,51.9250998898,53.2396593807,19882,64.02,0.0,64.8,63.2,64.8,1.0,19882
ESLT,2010-01-26,51.6704039885,52.4509236862,51.6704039885,52.1058518198,9119,62.89,0.0,63.84,62.89,63.42,1.0,9119
ESLT,2010-01-27,51.5964600171,51.5964600171,50.3229805103,51.3499801126,17937,62.8,0.0,62.8,61.25,62.5,1.0,17937
ESLT,2010-01-28,52.007259858,52.7631315653,51.7525639567,51.7607799535,52123,63.3,0.0,64.22,62.99,63.0,1.0,52123
ESLT,2010-01-29,51.284252138,52.0154758548,50.7091323608,52.007259858,95675,62.42,0.0,63.31,61.72,63.3,1.0,95675
ESLT,2010-02-01,51.2513881508,51.2513881508,50.1997405581,50.6680523767,28342,62.38,0.0,62.38,61.1,61.67,1.0,28342
ESLT,2010-02-02,52.8781555207,53.1082034316,52.1797957912,52.2537397626,25606,64.36,0.0,64.64,63.51,63.6,1.0,25606
ESLT,2010-02-03,51.1281481985,51.9086678962,51.062420224,51.3992760935,29831,62.23,0.0,63.18,62.15,62.56,1.0,29831
ESLT,2010-02-04,50.4626524562,50.7502123449,50.3640604944,50.7502123449,22904,61.42,0.0,61.77,61.3,61.77,1.0,22904
ESLT,2010-02-05,50.0929325994,50.610540399,50.0929325994,50.4215724721,52634,60.97,0.0,61.6,60.97,61.37,1.0,52634
ESLT,2010-02-08,49.9910542389,50.5119484371,49.9910542389,50.5119484371,11058,60.846,0.0,61.48,60.846,61.48,1.0,11058
ESLT,2010-02-09,50.5365964276,50.7715739366,49.8793166822,50.3311965072,15327,61.51,0.0,61.796,60.71,61.26,1.0,15327
ESLT,2010-02-10,51.2267401603,51.3499801126,50.8570203035,51.152796189,10509,62.35,0.0,62.5,61.9,62.26,1.0,10509
ESLT,2010-02-11,53.0589074507,53.1903633998,51.9990438612,52.2455237657,17027,64.58,0.0,64.74,63.29,63.59,1.0,17027
ESLT,2010-02-12,52.5823796353,52.9685314857,52.4324376934,52.9685314857,8989,64.0,0.0,64.47,63.8175,64.47,1.0,8989
ESLT,2010-02-16,52.4016277053,52.7466995716,52.1797957912,52.7466995716,11592,63.78,0.0,64.2,63.51,64.2,1.0,11592
ESLT,2010-02-17,52.9685314857,53.272523368,52.3046789428,53.2478753775,14911,64.47,0.0,64.84,63.662,64.81,1.0,14911
ESLT,2010-02-18,52.8452915335,53.1164194285,52.5823796353,52.5823796353,11137,64.32,0.0,64.65,64.0,64.0,1.0,11137
ESLT,2010-02-19,52.5002196671,52.8042115494,52.4099258621,52.6234596194,9323,63.9,0.0,64.27,63.7901,64.05,1.0,9323
ESLT,2010-02-22,51.645755998,51.8429399217,51.3499801126,51.4074920903,32145,62.86,0.0,63.1,62.5,62.57,1.0,32145
ESLT,2010-02-23,51.1362820353,51.6539719949,51.062420224,51.2185241635,24359,62.2399,0.0,62.87,62.15,62.34,1.0,24359
ESLT,2010-02-24,51.8347239248,52.1222838135,51.5307320426,51.8758039089,7909,63.09,0.0,63.44,62.72,63.14,1.0,7909
ESLT,2010-02-25,50.9145322812,50.9966922494,50.3229805103,50.5283804308,21397,61.97,0.0,62.07,61.25,61.5,1.0,21397
ESLT,2010-02-26,50.9556122653,51.1856601762,50.5365964276,51.0213402399,24085,62.02,0.0,62.3,61.51,62.1,1.0,24085
ESLT,2010-03-01,51.8018599376,51.8018599376,51.0295562367,51.0295562367,7607,63.05,0.0,63.05,62.11,62.11,1.0,7607
ESLT,2010-03-02,50.7995083258,51.2020921699,50.7995083258,51.1117162049,19141,61.83,0.0,62.32,61.83,62.21,1.0,19141
ESLT,2010-03-03,50.4626524562,50.7255643544,50.1997405581,50.3311965072,11785,61.42,0.0,61.74,61.1,61.26,1.0,11785
ESLT,2010-03-04,49.6984825922,49.706780749,48.8523170799,49.2877649113,48339,60.4899,0.0,60.5,59.46,59.99,1.0,48339
ESLT,2010-03-05,49.7725087235,49.8628846885,49.5506768094,49.7314287394,15541,60.58,0.0,60.69,60.31,60.53,1.0,15541
ESLT,2010-03-08,48.6962131404,49.2631169208,48.6387011626,49.1234449749,44086,59.27,0.0,59.96,59.2,59.79,1.0,44086
ESLT,2010-03-09,48.8851810672,49.1234449749,48.7044291372,49.1234449749,22137,59.5,0.0,59.79,59.28,59.79,1.0,22137
ESLT,2010-03-10,50.2736845294,50.4626524562,49.7232127426,50.1175805899,34035,61.19,0.0,61.42,60.52,61.0,1.0,34035
ESLT,2010-03-11,51.5225160458,51.5225160458,50.6927003671,50.7419963481,14425,62.71,0.0,62.71,61.7,61.76,1.0,14425
ESLT,2010-03-12,51.3951680951,51.8593719153,51.1856601762,51.5964600171,15571,62.555,0.0,63.12,62.3,62.8,1.0,15571
ESLT,2010-03-15,52.1715797944,52.3523317244,51.8347239248,52.2701717562,23218,63.5,0.0,63.72,63.09,63.62,1.0,23218
ESLT,2010-03-16,52.6316756162,52.7466995716,52.0812038294,52.5741636385,26313,64.06,0.0,64.2,63.39,63.99,1.0,26313
ESLT,2010-03-17,53.3136033521,53.814779158,52.549515648,52.8288595398,50042,64.89,0.0,65.5,63.96,64.3,1.0,50042
ESLT,2010-03-18,53.1780394046,53.3875473235,51.7854279439,52.2126597785,65044,64.725,0.0,64.98,63.03,63.55,1.0,65044
ESLT,2010-03-19,52.459139683,53.0753394444,52.2537397626,53.0753394444,30237,63.85,0.0,64.6,63.6,64.6,1.0,30237
ESLT,2010-03-22,52.7384835748,52.8945875144,52.1797957912,52.3523317244,15524,64.19,0.0,64.38,63.51,63.72,1.0,15524
ESLT,2010-03-23,51.8018599376,51.9826118676,51.2768577409,51.6211080076,43712,63.05,0.0,63.27,62.411,62.83,1.0,43712
ESLT,2010-03-24,52.8617235271,53.2199409884,52.459139683,52.459139683,43038,64.34,0.0,64.776,63.85,63.85,1.0,43038
ESLT,2010-03-25,53.362899333,53.814779158,53.001395473,53.6709992137,13460,64.95,0.0,65.5,64.51,65.325,1.0,13460
ESLT,2010-03-26,53.4039793171,53.6997552025,53.2067953935,53.4039793171,22421,65.0,0.0,65.36,64.76,65.0,1.0,22421
ESLT,2010-03-29,53.5518672598,54.0215407639,53.5353440055,53.8327625833,10056,64.82,0.36,65.3885,64.8,65.16,1.0,10056
ESLT,2010-03-30,53.7418846845,53.9401637364,53.6179602771,53.8410242105,7718,65.05,0.0,65.29,64.9,65.17,1.0,7718
