symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FANH,2010-01-04,19.7003281029,19.8053201616,19.1944572747,19.6335149747,151627,20.64,0.0,20.75,20.11,20.57,1.0,151627
FANH,2010-01-05,20.1966541986,20.4066383159,20.0439384768,20.0439384768,109321,21.16,0.0,21.38,21.0,21.0,1.0,109321
FANH,2010-01-06,20.7884276203,20.9602328072,20.015304279,20.4161830485,255891,21.78,0.0,21.96,20.97,21.39,1.0,255891
FANH,2010-01-07,21.0175012028,21.0938590637,20.4257277811,20.9125091442,231392,22.02,0.0,22.1,21.4,21.91,1.0,231392
FANH,2010-01-08,21.3324773789,21.4088352398,20.8743302137,21.1034037963,198980,22.35,0.0,22.43,21.87,22.11,1.0,198980
FANH,2010-01-11,20.1584752681,21.7810798115,20.1393858029,21.6665430202,220152,21.12,0.0,22.82,21.1,22.7,1.0,220152
FANH,2010-01-12,19.9007674877,20.349274473,19.4139861247,20.2634673268,167054,20.85,0.0,21.3199,20.34,21.23,1.0,167054
FANH,2010-01-13,19.6239702421,19.9389464181,19.1849125421,19.9389464181,149405,20.56,0.0,20.89,20.1,20.89,1.0,149405
FANH,2010-01-14,19.8148648942,20.4639067116,19.5667018464,19.6239702421,149809,20.76,0.0,21.44,20.5,20.56,1.0,149809
FANH,2010-01-15,19.3853519269,19.6812386377,19.1849125421,19.5953360443,136939,20.31,0.0,20.62,20.1,20.53,1.0,136939
FANH,2010-01-19,19.8625885573,19.9198569529,19.2326362051,19.261270403,131591,20.81,0.0,20.87,20.15,20.18,1.0,131591
FANH,2010-01-20,19.1849125421,19.9103122203,19.0131073552,19.9103122203,111238,20.1,0.0,20.86,19.92,20.86,1.0,111238
FANH,2010-01-21,17.8581947096,19.089465216,17.6577553248,19.0512862856,328165,18.71,0.0,20.0,18.5,19.96,1.0,328165
FANH,2010-01-22,17.7436579183,18.33543134,17.6577553248,17.9822762335,220634,18.59,0.0,19.21,18.5,18.84,1.0,220634
FANH,2010-01-25,17.9536420357,18.230343834,17.7532026509,17.89637364,148317,18.81,0.0,19.0999,18.6,18.75,1.0,148317
FANH,2010-01-26,17.4859501379,18.0204551639,17.4573159401,17.9059183726,157881,18.32,0.0,18.88,18.29,18.76,1.0,157881
FANH,2010-01-27,17.4764054053,17.6482105922,16.6078347379,17.6482105922,255463,18.31,0.0,18.49,17.4,18.49,1.0,255463
FANH,2010-01-28,17.7532026509,17.9727315009,17.4764054053,17.6004869292,118744,18.6,0.0,18.83,18.31,18.44,1.0,118744
FANH,2010-01-29,17.7627473835,18.163626153,17.3905028118,17.8868289074,111534,18.61,0.0,19.03,18.22,18.74,1.0,111534
FANH,2010-02-01,17.361868614,17.67684479,16.9419003792,17.67684479,146360,18.19,0.0,18.52,17.75,18.52,1.0,146360
FANH,2010-02-02,17.9631867683,18.0109104313,17.2568765553,17.2568765553,90415,18.82,0.0,18.87,18.08,18.08,1.0,90415
FANH,2010-02-03,17.7627473835,18.2304392813,17.5909421966,18.0395446291,62635,18.61,0.0,19.1,18.43,18.9,1.0,62635
FANH,2010-02-04,16.4646637488,17.7532026509,16.4646637488,17.7341131857,167505,17.25,0.0,18.6,17.25,18.58,1.0,167505
FANH,2010-02-05,16.1878665032,16.6173794706,15.9206139902,16.4646637488,217530,16.96,0.0,17.41,16.68,17.25,1.0,217530
FANH,2010-02-08,16.0256060489,16.1305981075,15.7392640706,16.1305981075,141296,16.79,0.0,16.9,16.49,16.9,1.0,141296
FANH,2010-02-09,16.8082741227,16.9037214488,16.1496875728,16.1496875728,64476,17.61,0.0,17.71,16.92,16.92,1.0,64476
