symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FFKT,2010-01-04,9.801780355,10.2397943729,9.6849766169,10.1521915693,12800,10.07,0.0,10.52,9.95,10.43,1.0,12800
FFKT,2010-01-05,9.18856073,9.8115139999,9.18856073,9.8115139999,23000,9.44,0.0,10.08,9.44,10.08,1.0,23000
FFKT,2010-01-06,8.5850747499,9.3248317578,8.5850747499,9.1690934404,34800,8.82,0.0,9.58,8.82,9.42,1.0,34800
FFKT,2010-01-07,8.273598115,8.7116121328,8.0789252181,8.6045420396,23400,8.5,0.0,8.95,8.3,8.84,1.0,23400
FFKT,2010-01-08,8.3125326943,8.7700140019,8.2443971804,8.6337429741,16900,8.54,0.0,9.01,8.47,8.87,1.0,16900
FFKT,2010-01-11,8.4877383015,8.6045420396,8.273598115,8.3806682082,15600,8.72,0.0,8.84,8.5,8.61,1.0,15600
FFKT,2010-01-12,8.4196027876,8.4877383015,8.3417336289,8.3806682082,7800,8.65,0.0,8.72,8.57,8.61,1.0,7800
FFKT,2010-01-13,8.4780046566,8.6814378338,8.2833317598,8.3933219465,13300,8.71,0.0,8.919,8.51,8.623,1.0,13300
FFKT,2010-01-14,8.5656074602,8.8770840951,8.4488037221,8.4488037221,21700,8.8,0.0,9.12,8.68,8.68,1.0,21700
FFKT,2010-01-15,8.5461401705,8.7408130673,8.5266728808,8.6824111983,18600,8.78,0.0,8.98,8.76,8.92,1.0,18600
FFKT,2010-01-19,9.2372289542,9.4416354959,8.5461401705,8.5461401705,12700,9.49,0.0,9.7,8.78,8.78,1.0,12700
FFKT,2010-01-20,8.9549532538,9.18856073,8.7797476467,9.18856073,8300,9.2,0.0,9.44,9.02,9.44,1.0,8300
FFKT,2010-01-21,8.4488037221,9.285799842,8.4293364324,8.8089485812,17300,8.68,0.0,9.5399,8.66,9.05,1.0,17300
FFKT,2010-01-22,8.1275934423,8.7894812915,7.9231869007,8.4682710118,23200,8.35,0.0,9.03,8.14,8.7,1.0,23200
FFKT,2010-01-25,8.3514672737,8.4877383015,8.0107897043,8.4877383015,14000,8.58,0.0,8.72,8.23,8.72,1.0,14000
FFKT,2010-01-26,8.2443971804,8.760280357,8.2054626011,8.3417336289,18000,8.47,0.0,9.0,8.43,8.57,1.0,18000
FFKT,2010-01-27,8.4196027876,8.4653509183,8.1665280217,8.1665280217,6900,8.65,0.0,8.697,8.39,8.39,1.0,6900
