symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FINX,2016-09-13,14.9232156278,14.9232156278,14.9232156278,14.9232156278,204,14.94,0.0,14.94,14.94,14.94,1.0,204
FINX,2016-09-14,14.9232156278,14.9232156278,14.9232156278,14.9232156278,18,14.94,0.0,14.94,14.94,14.94,1.0,18
FINX,2016-09-15,15.2120907255,15.2120907255,15.209893197,15.209893197,200,15.2292,0.0,15.2292,15.227,15.227,1.0,200
FINX,2016-09-16,15.2120907255,15.2120907255,15.2120907255,15.2120907255,44,15.2292,0.0,15.2292,15.2292,15.2292,1.0,44
FINX,2016-09-19,15.1829235302,15.1929122957,15.167940382,15.1829235302,4401,15.2,0.0,15.21,15.185,15.2,1.0,4401
FINX,2016-09-20,15.0630583445,15.0630583445,15.0630583445,15.0630583445,541,15.08,0.0,15.08,15.08,15.08,1.0,541
FINX,2016-09-21,15.0231032826,15.0326924974,15.0231032826,15.0326924974,365,15.04,0.0,15.0496,15.04,15.0496,1.0,365
FINX,2016-09-22,15.302788716,15.302788716,15.302788716,15.302788716,1006,15.32,0.0,15.32,15.32,15.32,1.0,1006
FINX,2016-09-23,15.2728224196,15.4026763708,15.2445542133,15.4026763708,4470,15.29,0.0,15.42,15.2617,15.42,1.0,4470
FINX,2016-09-26,15.2728224196,15.2728224196,15.2728224196,15.2728224196,7,15.29,0.0,15.29,15.29,15.29,1.0,7
FINX,2016-09-27,15.2728224196,15.2728224196,15.2728224196,15.2728224196,75,15.29,0.0,15.29,15.29,15.29,1.0,75
FINX,2016-09-28,15.2728224196,15.2728224196,15.2728224196,15.2728224196,71,15.29,0.0,15.29,15.29,15.29,1.0,71
FINX,2016-09-29,15.322766247,15.4430309834,15.3226663593,15.4226539018,4807,15.34,0.0,15.4604,15.3399,15.44,1.0,4807
FINX,2016-09-30,15.4114664844,15.4114664844,15.3727100744,15.3727100744,500,15.4288,0.0,15.4288,15.39,15.39,1.0,500
FINX,2016-10-03,15.5025640256,15.5225415566,15.4595124464,15.5225415566,1553,15.52,0.0,15.54,15.4769,15.54,1.0,1553
FINX,2016-10-04,15.4166606425,15.4166606425,15.4166606425,15.4166606425,354,15.434,0.0,15.434,15.434,15.434,1.0,354
FINX,2016-10-05,15.4466269389,15.5025640256,15.4466269389,15.5025640256,872,15.464,0.0,15.52,15.464,15.52,1.0,872
FINX,2016-10-06,15.4326426673,15.5025640256,15.3527325434,15.5025640256,1662,15.45,0.0,15.52,15.37,15.52,1.0,1662
FINX,2016-10-07,15.2328673577,15.2927999505,15.2328673577,15.2927999505,306,15.25,0.0,15.31,15.25,15.31,1.0,306
FINX,2016-10-10,15.305985121,15.3228661346,15.305985121,15.3228661346,497,15.3232,0.0,15.3401,15.3232,15.3401,1.0,497
FINX,2016-10-11,15.033092048,15.2977943333,15.033092048,15.2977943333,1778,15.05,0.0,15.315,15.05,15.315,1.0,1778
