symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FMI,2013-09-25,35.35,36.05,30.07,31.5,7701400,35.35,0.0,36.05,30.07,31.5,1.0,7701400
FMI,2013-09-26,36.63,37.98,33.35,34.61,1000400,36.63,0.0,37.98,33.35,34.61,1.0,1000400
FMI,2013-09-27,35.65,37.75,34.4,36.77,442000,35.65,0.0,37.75,34.4,36.77,1.0,442000
FMI,2013-09-30,39.64,45.0,35.36,35.42,555200,39.64,0.0,45.0,35.36,35.42,1.0,555200
FMI,2013-10-01,36.79,40.84,36.16,40.8,592600,36.79,0.0,40.84,36.16,40.8,1.0,592600
FMI,2013-10-02,36.85,37.81,36.11,37.81,453500,36.85,0.0,37.81,36.11,37.81,1.0,453500
FMI,2013-10-03,34.84,37.25,34.12,37.25,499500,34.84,0.0,37.25,34.12,37.25,1.0,499500
FMI,2013-10-04,33.43,37.8,33.37,35.0,542600,33.43,0.0,37.8,33.37,35.0,1.0,542600
FMI,2013-10-07,32.54,34.8,31.25,33.4,470100,32.54,0.0,34.8,31.25,33.4,1.0,470100
FMI,2013-10-08,31.76,33.02,31.1599,32.07,394700,31.76,0.0,33.02,31.1599,32.07,1.0,394700
FMI,2013-10-09,30.68,32.8,30.59,31.46,321800,30.68,0.0,32.8,30.59,31.46,1.0,321800
FMI,2013-10-10,30.42,31.44,29.8068,31.25,506000,30.42,0.0,31.44,29.8068,31.25,1.0,506000
FMI,2013-10-11,33.7,34.25,29.92,30.34,405500,33.7,0.0,34.25,29.92,30.34,1.0,405500
FMI,2013-10-14,34.92,35.47,33.1,33.7,143700,34.92,0.0,35.47,33.1,33.7,1.0,143700
FMI,2013-10-15,34.77,35.93,34.0101,35.17,378800,34.77,0.0,35.93,34.0101,35.17,1.0,378800
FMI,2013-10-16,34.0,35.3,33.28,35.15,126000,34.0,0.0,35.3,33.28,35.15,1.0,126000
FMI,2013-10-17,34.88,35.3,34.14,34.14,111700,34.88,0.0,35.3,34.14,34.14,1.0,111700
FMI,2013-10-18,33.99,35.07,33.27,35.07,290500,33.99,0.0,35.07,33.27,35.07,1.0,290500
FMI,2013-10-21,32.84,34.0,32.01,34.0,247800,32.84,0.0,34.0,32.01,34.0,1.0,247800
FMI,2013-10-22,31.45,34.32,31.32,33.6,164300,31.45,0.0,34.32,31.32,33.6,1.0,164300
