symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FNCX,2010-01-04,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-05,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-06,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-07,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-08,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-11,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-12,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-13,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-14,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-15,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-19,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-20,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-21,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-22,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-25,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-26,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-01-27,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-28,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-01-29,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-02-01,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-02-02,960.0,960.0,960.0,960.0,0,0.03,0.0,0.03,0.03,0.03,1.0,0
FNCX,2010-02-03,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-02-04,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-02-05,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
FNCX,2010-02-08,640.0,640.0,640.0,640.0,0,0.02,0.0,0.02,0.02,0.02,1.0,0
