symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FNJN,2010-01-04,40800.0,42600.0,40800.0,42600.0,1,0.68,0.0,0.71,0.68,0.71,1.0,83229
FNJN,2010-01-05,51000.0,55800.0,41406.0,42600.0,47,0.85,0.0,0.93,0.6901,0.71,1.0,2863451
FNJN,2010-01-06,47106.0,51000.0,46800.0,51000.0,6,0.7851,0.0,0.85,0.78,0.85,1.0,377208
FNJN,2010-01-07,47940.0,49182.0,46878.0,47820.0,3,0.799,0.0,0.8197,0.7813,0.797,1.0,236378
FNJN,2010-01-08,48000.0,48882.0,47400.0,48000.0,2,0.8,0.0,0.8147,0.79,0.8,1.0,121215
FNJN,2010-01-11,53526.0,57000.0,48000.0,49200.0,17,0.8921,0.0,0.95,0.8,0.82,1.0,1074379
FNJN,2010-01-12,54600.0,58194.0,52866.0,54000.0,12,0.91,0.0,0.9699,0.8811,0.9,1.0,769702
FNJN,2010-01-13,67800.0,76200.0,55200.0,55200.0,75,1.13,0.0,1.27,0.92,0.92,1.0,4529969
FNJN,2010-01-14,62400.0,68400.0,61200.0,68400.0,14,1.04,0.0,1.14,1.02,1.14,1.0,851512
FNJN,2010-01-15,65400.0,69600.0,58200.0,63000.0,13,1.09,0.0,1.16,0.97,1.05,1.0,837366
FNJN,2010-01-19,68400.0,75600.0,65400.0,65400.0,35,1.14,0.0,1.26,1.09,1.09,1.0,2134043
FNJN,2010-01-20,66000.0,70800.0,64800.0,70200.0,8,1.1,0.0,1.18,1.08,1.17,1.0,502892
FNJN,2010-01-21,64800.0,69000.0,61800.0,67200.0,9,1.08,0.0,1.15,1.03,1.12,1.0,573899
FNJN,2010-01-22,61200.0,64200.0,59400.0,63600.0,6,1.02,0.0,1.07,0.99,1.06,1.0,367527
FNJN,2010-01-25,61800.0,64800.0,58260.0,64800.0,4,1.03,0.0,1.08,0.971,1.08,1.0,263652
FNJN,2010-01-26,60000.0,61200.0,56400.0,60000.0,7,1.0,0.0,1.02,0.94,1.0,1.0,451958
FNJN,2010-01-27,60600.0,61800.0,58206.0,61200.0,3,1.01,0.0,1.03,0.9701,1.02,1.0,239132
FNJN,2010-01-28,55800.0,60600.0,55800.0,60600.0,4,0.93,0.0,1.01,0.93,1.01,1.0,242835
FNJN,2010-01-29,52200.0,57048.0,51066.0,57048.0,3,0.87,0.0,0.9508,0.8511,0.9508,1.0,230636
FNJN,2010-02-01,54600.0,55800.0,51900.0,51900.0,5,0.91,0.0,0.93,0.865,0.865,1.0,309198
FNJN,2010-02-02,55134.0,56394.0,52200.0,54000.0,2,0.9189,0.0,0.9399,0.87,0.9,1.0,150393
FNJN,2010-02-03,53376.0,55800.0,52800.0,55800.0,2,0.8896,0.0,0.93,0.88,0.93,1.0,143678
FNJN,2010-02-04,49806.0,53400.0,49806.0,52800.0,2,0.8301,0.0,0.89,0.8301,0.88,1.0,174642
FNJN,2010-02-05,50976.0,50976.0,47406.0,50400.0,2,0.8496,0.0,0.8496,0.7901,0.84,1.0,136356
FNJN,2010-02-08,46800.0,51600.0,46800.0,51600.0,3,0.78,0.0,0.86,0.78,0.86,1.0,209187
FNJN,2010-02-09,52800.0,57708.0,49200.0,49200.0,13,0.88,0.0,0.9618,0.82,0.82,1.0,835267
FNJN,2010-02-10,52200.0,55740.0,49800.0,54000.0,3,0.87,0.0,0.929,0.83,0.9,1.0,198086
FNJN,2010-02-11,51000.0,52068.0,49806.0,51606.0,2,0.85,0.0,0.8678,0.8301,0.8601,1.0,168917
FNJN,2010-02-12,51120.0,51900.0,49404.0,51150.0,1,0.852,0.0,0.865,0.8234,0.8525,1.0,83158
FNJN,2010-02-16,54012.0,55800.0,50994.0,52818.0,2,0.9002,0.0,0.93,0.8499,0.8803,1.0,160118
FNJN,2010-02-17,56994.0,57000.0,54006.0,54600.0,2,0.9499,0.0,0.95,0.9001,0.91,1.0,175303
FNJN,2010-02-18,58716.0,62400.0,55806.0,57000.0,8,0.9786,0.0,1.04,0.9301,0.95,1.0,534294
FNJN,2010-02-19,57318.0,59976.0,57000.0,58200.0,2,0.9553,0.0,0.9996,0.95,0.97,1.0,156039
FNJN,2010-02-22,57600.0,59400.0,56394.0,58740.0,1,0.96,0.0,0.99,0.9399,0.979,1.0,61275
FNJN,2010-02-23,62400.0,65400.0,59400.0,60000.0,14,1.04,0.0,1.09,0.99,1.0,1.0,877185
FNJN,2010-02-24,58200.0,61800.0,57606.0,61800.0,7,0.97,0.0,1.03,0.9601,1.03,1.0,430103
FNJN,2010-02-25,57042.0,58200.0,55866.0,58200.0,2,0.9507,0.0,0.97,0.9311,0.97,1.0,151856
FNJN,2010-02-26,59100.0,60000.0,57600.0,58266.0,0,0.985,0.0,1.0,0.96,0.9711,1.0,46484
FNJN,2010-03-01,58086.0,60600.0,57600.0,60000.0,1,0.9681,0.0,1.01,0.96,1.0,1.0,97563
FNJN,2010-03-02,58866.0,61200.0,58230.0,58800.0,2,0.9811,0.0,1.02,0.9705,0.98,1.0,146418
FNJN,2010-03-03,62400.0,63000.0,59856.0,59856.0,7,1.04,0.0,1.05,0.9976,0.9976,1.0,459149
FNJN,2010-03-04,61200.0,63000.0,60000.0,62400.0,2,1.02,0.0,1.05,1.0,1.04,1.0,147930
FNJN,2010-03-05,58800.0,62400.0,58422.0,62400.0,2,0.98,0.0,1.04,0.9737,1.04,1.0,138513
FNJN,2010-03-08,57000.0,59832.0,57000.0,59832.0,2,0.95,0.0,0.9972,0.95,0.9972,1.0,147930
FNJN,2010-03-09,57180.0,59400.0,57000.0,57000.0,1,0.953,0.0,0.99,0.95,0.95,1.0,101390
FNJN,2010-03-10,57018.0,58686.0,57012.0,57600.0,0,0.9503,0.0,0.9781,0.9502,0.96,1.0,52406
FNJN,2010-03-11,57630.0,59340.0,57120.0,57600.0,0,0.9605,0.0,0.989,0.952,0.96,1.0,35416
FNJN,2010-03-12,61800.0,63600.0,59400.0,59400.0,6,1.03,0.0,1.06,0.99,0.99,1.0,362522
FNJN,2010-03-15,60000.0,63600.0,57834.0,63600.0,4,1.0,0.0,1.06,0.9639,1.06,1.0,246848
FNJN,2010-03-16,59100.0,59400.0,58428.0,58800.0,1,0.985,0.0,0.99,0.9738,0.98,1.0,74738
FNJN,2010-03-17,58170.0,60000.0,57000.0,58500.0,3,0.9695,0.0,1.0,0.95,0.975,1.0,203489
FNJN,2010-03-18,57606.0,59400.0,57600.0,58800.0,1,0.9601,0.0,0.99,0.96,0.98,1.0,81241
FNJN,2010-03-19,58626.0,58626.0,55260.0,57000.0,4,0.9771,0.0,0.9771,0.921,0.95,1.0,277651
FNJN,2010-03-22,57600.0,58800.0,57000.0,58800.0,1,0.96,0.0,0.98,0.95,0.98,1.0,92765
FNJN,2010-03-23,57078.0,57600.0,56946.0,57000.0,0,0.9513,0.0,0.96,0.9491,0.95,1.0,35300
FNJN,2010-03-24,57066.0,59580.0,57000.0,57000.0,1,0.9511,0.0,0.993,0.95,0.95,1.0,119858
FNJN,2010-03-25,54876.0,57162.0,54312.0,57108.0,1,0.9146,0.0,0.9527,0.9052,0.9518,1.0,99764
FNJN,2010-03-26,53400.0,55800.0,53100.0,55800.0,1,0.89,0.0,0.93,0.885,0.93,1.0,82846
FNJN,2010-03-29,52800.0,55200.0,52800.0,52800.0,1,0.88,0.0,0.92,0.88,0.88,1.0,61290
FNJN,2010-03-30,49992.0,52800.0,49902.0,52200.0,1,0.8332,0.0,0.88,0.8317,0.87,1.0,92672
FNJN,2010-03-31,50994.0,50994.0,48006.0,49800.0,3,0.8499,0.0,0.8499,0.8001,0.83,1.0,189175
FNJN,2010-04-01,51600.0,53400.0,51000.0,51000.0,1,0.86,0.0,0.89,0.85,0.85,1.0,64202
FNJN,2010-04-05,50400.0,52200.0,48780.0,52200.0,1,0.84,0.0,0.87,0.813,0.87,1.0,81882
FNJN,2010-04-06,50724.0,51474.0,49872.0,51000.0,1,0.8454,0.0,0.8579,0.8312,0.85,1.0,84414
FNJN,2010-04-07,50040.0,51600.0,50040.0,51000.0,1,0.834,0.0,0.86,0.834,0.85,1.0,95828
FNJN,2010-04-08,51600.0,52200.0,50400.0,50400.0,1,0.86,0.0,0.87,0.84,0.84,1.0,98906
FNJN,2010-04-09,53700.0,54000.0,52200.0,54000.0,2,0.895,0.0,0.9,0.87,0.9,1.0,145348
FNJN,2010-04-12,52860.0,54600.0,52848.0,54594.0,2,0.881,0.0,0.91,0.8808,0.9099,1.0,127290
FNJN,2010-04-13,63600.0,67200.0,52800.0,52800.0,40,1.06,0.0,1.12,0.88,0.88,1.0,2425096
FNJN,2010-04-14,62400.0,63600.0,58200.0,63600.0,8,1.04,0.0,1.06,0.97,1.06,1.0,510585
FNJN,2010-04-15,62400.0,67200.0,60000.0,60600.0,14,1.04,0.0,1.12,1.0,1.01,1.0,859137
FNJN,2010-04-16,60600.0,63600.0,59400.0,63000.0,3,1.01,0.0,1.06,0.99,1.05,1.0,197370
FNJN,2010-04-19,63000.0,63600.0,59400.0,60000.0,2,1.05,0.0,1.06,0.99,1.0,1.0,171169
FNJN,2010-04-20,70200.0,71400.0,63600.0,63600.0,19,1.17,0.0,1.19,1.06,1.06,1.0,1161970
FNJN,2010-04-21,62400.0,68400.0,61800.0,66000.0,36,1.04,0.0,1.14,1.03,1.1,1.0,2174144
FNJN,2010-04-22,64800.0,65400.0,61200.0,62400.0,8,1.08,0.0,1.09,1.02,1.04,1.0,500935
FNJN,2010-04-23,63600.0,64800.0,63000.0,63600.0,2,1.06,0.0,1.08,1.05,1.06,1.0,144395
FNJN,2010-04-26,63600.0,64800.0,62400.0,62400.0,2,1.06,0.0,1.08,1.04,1.04,1.0,169059
FNJN,2010-04-27,65400.0,70200.0,61200.0,63000.0,15,1.09,0.0,1.17,1.02,1.05,1.0,933578
FNJN,2010-04-28,67200.0,69000.0,65400.0,67200.0,5,1.12,0.0,1.15,1.09,1.12,1.0,304648
FNJN,2010-04-29,71400.0,71400.0,67200.0,67800.0,7,1.19,0.0,1.19,1.12,1.13,1.0,420942
FNJN,2010-04-30,67200.0,72000.0,67200.0,71400.0,5,1.12,0.0,1.2,1.12,1.19,1.0,311967
FNJN,2010-05-03,67200.0,69000.0,64800.0,69000.0,1,1.12,0.0,1.15,1.08,1.15,1.0,111612
FNJN,2010-05-04,68400.0,76200.0,64200.0,64800.0,22,1.14,0.0,1.27,1.07,1.08,1.0,1344072
FNJN,2010-05-05,69000.0,70800.0,66600.0,69000.0,4,1.15,0.0,1.18,1.11,1.15,1.0,272106
FNJN,2010-05-06,70800.0,76200.0,63000.0,71400.0,13,1.18,0.0,1.27,1.05,1.19,1.0,811828
FNJN,2010-05-07,65400.0,69000.0,63600.0,69000.0,3,1.09,0.0,1.15,1.06,1.15,1.0,190525
FNJN,2010-05-10,67200.0,69000.0,66000.0,68400.0,3,1.12,0.0,1.15,1.1,1.14,1.0,195094
FNJN,2010-05-11,68400.0,69600.0,66000.0,67800.0,4,1.14,0.0,1.16,1.1,1.13,1.0,261211
FNJN,2010-05-12,66600.0,68400.0,66000.0,68400.0,2,1.11,0.0,1.14,1.1,1.14,1.0,125365
FNJN,2010-05-13,64800.0,67800.0,64800.0,66600.0,1,1.08,0.0,1.13,1.08,1.11,1.0,61098
FNJN,2010-05-14,61800.0,64800.0,61800.0,64800.0,2,1.03,0.0,1.08,1.03,1.08,1.0,149659
FNJN,2010-05-17,60000.0,61800.0,58206.0,61800.0,5,1.0,0.0,1.03,0.9701,1.03,1.0,332717
FNJN,2010-05-18,54666.0,60000.0,54666.0,59160.0,2,0.9111,0.0,1.0,0.9111,0.986,1.0,150831
FNJN,2010-05-19,51798.0,54600.0,51000.0,53400.0,6,0.8633,0.0,0.91,0.85,0.89,1.0,375079
FNJN,2010-05-20,49200.0,51600.0,48000.0,51600.0,4,0.82,0.0,0.86,0.8,0.86,1.0,279224
FNJN,2010-05-21,51000.0,51510.0,48000.0,48000.0,2,0.85,0.0,0.8585,0.8,0.8,1.0,163673
FNJN,2010-05-24,49800.0,54000.0,49800.0,51600.0,1,0.83,0.0,0.9,0.83,0.86,1.0,95830
FNJN,2010-05-25,49680.0,50400.0,48036.0,49800.0,1,0.828,0.0,0.84,0.8006,0.83,1.0,105651
FNJN,2010-05-26,52200.0,52752.0,50400.0,51000.0,1,0.87,0.0,0.8792,0.84,0.85,1.0,64629
FNJN,2010-05-27,51900.0,53400.0,51066.0,53400.0,0,0.865,0.0,0.89,0.8511,0.89,1.0,52570
FNJN,2010-05-28,51600.0,52800.0,51192.0,52800.0,0,0.86,0.0,0.88,0.8532,0.88,1.0,26243
FNJN,2010-06-01,50100.0,51594.0,49398.0,51000.0,0,0.835,0.0,0.8599,0.8233,0.85,1.0,20964
FNJN,2010-06-02,49800.0,52128.0,49200.0,49200.0,1,0.83,0.0,0.8688,0.82,0.82,1.0,62071
FNJN,2010-06-03,53106.0,53640.0,49920.0,49920.0,3,0.8851,0.0,0.894,0.832,0.832,1.0,216422
FNJN,2010-06-04,50436.0,51600.0,50400.0,51600.0,0,0.8406,0.0,0.86,0.84,0.86,1.0,39748
FNJN,2010-06-07,48588.0,51600.0,48030.0,51000.0,0,0.8098,0.0,0.86,0.8005,0.85,1.0,51942
FNJN,2010-06-08,47400.0,49200.0,46812.0,48960.0,2,0.79,0.0,0.82,0.7802,0.816,1.0,151042
FNJN,2010-06-09,47400.0,48600.0,47400.0,48000.0,0,0.79,0.0,0.81,0.79,0.8,1.0,42357
FNJN,2010-06-10,48000.0,48000.0,46800.0,47400.0,0,0.8,0.0,0.8,0.78,0.79,1.0,55025
FNJN,2010-06-11,50280.0,50280.0,48006.0,48600.0,1,0.838,0.0,0.838,0.8001,0.81,1.0,96727
FNJN,2010-06-14,48000.0,51450.0,48000.0,51000.0,1,0.8,0.0,0.8575,0.8,0.85,1.0,112249
FNJN,2010-06-15,50100.0,51000.0,48000.0,48000.0,1,0.835,0.0,0.85,0.8,0.8,1.0,81504
FNJN,2010-06-16,51600.0,51600.0,50100.0,50400.0,0,0.86,0.0,0.86,0.835,0.84,1.0,29172
FNJN,2010-06-17,51000.0,51126.0,48636.0,51000.0,0,0.85,0.0,0.8521,0.8106,0.85,1.0,28682
FNJN,2010-06-18,50400.0,51000.0,49200.0,49800.0,0,0.84,0.0,0.85,0.82,0.83,1.0,20737
FNJN,2010-06-21,49200.0,50442.0,48588.0,49200.0,1,0.82,0.0,0.8407,0.8098,0.82,1.0,85715
FNJN,2010-06-22,48000.0,49200.0,48000.0,49200.0,0,0.8,0.0,0.82,0.8,0.82,1.0,34350
FNJN,2010-06-23,47100.0,49200.0,46800.0,49200.0,1,0.785,0.0,0.82,0.78,0.82,1.0,67814
FNJN,2010-06-24,48000.0,49200.0,46800.0,46800.0,0,0.8,0.0,0.82,0.78,0.78,1.0,57144
FNJN,2010-06-25,48000.0,48300.0,46800.0,46920.0,0,0.8,0.0,0.805,0.78,0.782,1.0,34324
FNJN,2010-06-28,40500.0,46926.0,39720.0,46926.0,4,0.675,0.0,0.7821,0.662,0.7821,1.0,272607
FNJN,2010-06-29,36660.0,40428.0,36660.0,40200.0,2,0.611,0.0,0.6738,0.611,0.67,1.0,163580
FNJN,2010-06-30,37986.0,39540.0,36720.0,36780.0,2,0.6331,0.0,0.659,0.612,0.613,1.0,125831
FNJN,2010-07-01,37800.0,39006.0,36600.0,39000.0,0,0.63,0.0,0.6501,0.61,0.65,1.0,50307
FNJN,2010-07-02,36240.0,38400.0,34800.0,37200.0,1,0.604,0.0,0.64,0.58,0.62,1.0,71945
FNJN,2010-07-06,32340.0,37188.0,29988.0,36000.0,3,0.539,0.0,0.6198,0.4998,0.6,1.0,212407
FNJN,2010-07-07,30852.0,34206.0,30624.0,33000.0,3,0.5142,0.0,0.5701,0.5104,0.55,1.0,193908
FNJN,2010-07-08,35400.0,35400.0,31800.0,32400.0,2,0.59,0.0,0.59,0.53,0.54,1.0,147855
FNJN,2010-07-09,36960.0,37188.0,34878.0,36600.0,1,0.616,0.0,0.6198,0.5813,0.61,1.0,119951
FNJN,2010-07-12,39492.0,39528.0,37200.0,37200.0,1,0.6582,0.0,0.6588,0.62,0.62,1.0,101931
FNJN,2010-07-13,43200.0,43200.0,39000.0,39000.0,3,0.72,0.0,0.72,0.65,0.65,1.0,228562
FNJN,2010-07-14,41250.0,43206.0,41028.0,43200.0,2,0.6875,0.0,0.7201,0.6838,0.72,1.0,150223
FNJN,2010-07-15,41118.0,43200.0,40800.0,43200.0,0,0.6853,0.0,0.72,0.68,0.72,1.0,25680
FNJN,2010-07-16,39000.0,42600.0,39000.0,42600.0,0,0.65,0.0,0.71,0.65,0.71,1.0,47869
FNJN,2010-07-19,36630.0,39300.0,36000.0,39000.0,4,0.6105,0.0,0.655,0.6,0.65,1.0,291118
FNJN,2010-07-20,38706.0,39966.0,37584.0,37584.0,0,0.6451,0.0,0.6661,0.6264,0.6264,1.0,46120
FNJN,2010-07-21,37878.0,40680.0,37800.0,40680.0,0,0.6313,0.0,0.678,0.63,0.678,1.0,20797
FNJN,2010-07-22,39246.0,39246.0,37848.0,37848.0,0,0.6541,0.0,0.6541,0.6308,0.6308,1.0,54728
FNJN,2010-07-23,38586.0,40710.0,38478.0,40710.0,0,0.6431,0.0,0.6785,0.6413,0.6785,1.0,19562
FNJN,2010-07-26,37998.0,40200.0,37200.0,40200.0,0,0.6333,0.0,0.67,0.62,0.67,1.0,58913
FNJN,2010-07-27,36852.0,38406.0,36846.0,38400.0,0,0.6142,0.0,0.6401,0.6141,0.64,1.0,39163
FNJN,2010-07-28,37500.0,38532.0,37236.0,38400.0,1,0.625,0.0,0.6422,0.6206,0.64,1.0,78806
FNJN,2010-07-29,39000.0,40122.0,37200.0,37200.0,1,0.65,0.0,0.6687,0.62,0.62,1.0,99100
FNJN,2010-07-30,38880.0,39000.0,36300.0,39000.0,2,0.648,0.0,0.65,0.605,0.65,1.0,131138
FNJN,2010-08-02,35400.0,38760.0,34908.0,38400.0,1,0.59,0.0,0.646,0.5818,0.64,1.0,98766
FNJN,2010-08-03,36000.0,37200.0,35826.0,36000.0,0,0.6,0.0,0.62,0.5971,0.6,1.0,51395
FNJN,2010-08-04,35400.0,37200.0,35244.0,35244.0,1,0.59,0.0,0.62,0.5874,0.5874,1.0,87300
FNJN,2010-08-05,35400.0,38310.0,34500.0,36000.0,2,0.59,0.0,0.6385,0.575,0.6,1.0,158621
FNJN,2010-08-06,35994.0,36180.0,33600.0,33900.0,1,0.5999,0.0,0.603,0.56,0.565,1.0,86247
FNJN,2010-08-09,33600.0,37200.0,33600.0,37200.0,0,0.56,0.0,0.62,0.56,0.62,1.0,35867
FNJN,2010-08-10,34200.0,35400.0,32400.0,35400.0,2,0.57,0.0,0.59,0.54,0.59,1.0,135789
FNJN,2010-08-11,33000.0,33900.0,32418.0,33000.0,0,0.55,0.0,0.565,0.5403,0.55,1.0,49339
FNJN,2010-08-12,31716.0,31956.0,30660.0,31956.0,1,0.5286,0.0,0.5326,0.511,0.5326,1.0,71274
FNJN,2010-08-13,31200.0,32388.0,31170.0,31800.0,0,0.52,0.0,0.5398,0.5195,0.53,1.0,40074
FNJN,2010-08-16,25800.0,33480.0,24084.0,33480.0,13,0.43,0.0,0.558,0.4014,0.558,1.0,786664
FNJN,2010-08-17,26910.0,28110.0,25860.0,26400.0,3,0.4485,0.0,0.4685,0.431,0.44,1.0,222828
FNJN,2010-08-18,29970.0,29982.0,27000.0,27000.0,2,0.4995,0.0,0.4997,0.45,0.45,1.0,174966
FNJN,2010-08-19,29040.0,30000.0,28200.0,30000.0,0,0.484,0.0,0.5,0.47,0.5,1.0,37751
FNJN,2010-08-20,28200.0,28200.0,27180.0,28200.0,1,0.47,0.0,0.47,0.453,0.47,1.0,79238
FNJN,2010-08-23,27000.0,27600.0,26400.0,27600.0,1,0.45,0.0,0.46,0.44,0.46,1.0,68416
FNJN,2010-08-24,25662.0,25800.0,24300.0,25800.0,2,0.4277,0.0,0.43,0.405,0.43,1.0,140876
FNJN,2010-08-25,24966.0,26022.0,24600.0,24600.0,0,0.4161,0.0,0.4337,0.41,0.41,1.0,41004
FNJN,2010-08-26,25302.0,25962.0,25200.0,25200.0,0,0.4217,0.0,0.4327,0.42,0.42,1.0,22575
FNJN,2010-08-27,25476.0,25926.0,25200.0,25200.0,0,0.4246,0.0,0.4321,0.42,0.42,1.0,20000
FNJN,2010-08-30,26700.0,28200.0,26400.0,26400.0,1,0.445,0.0,0.47,0.44,0.44,1.0,64774
FNJN,2010-08-31,25644.0,27012.0,24666.0,27000.0,0,0.4274,0.0,0.4502,0.4111,0.45,1.0,57362
FNJN,2010-09-01,24600.0,28098.0,24600.0,28098.0,2,0.41,0.0,0.4683,0.41,0.4683,1.0,124168
