symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FOSL,2010-01-04,33.7,34.29,33.48,33.74,542800,33.7,0.0,34.29,33.48,33.74,1.0,542800
FOSL,2010-01-05,33.97,34.14,33.4125,33.7,549200,33.97,0.0,34.14,33.4125,33.7,1.0,549200
FOSL,2010-01-06,34.19,34.51,33.84,34.0,522700,34.19,0.0,34.51,33.84,34.0,1.0,522700
FOSL,2010-01-07,34.75,34.84,34.02,34.22,723700,34.75,0.0,34.84,34.02,34.22,1.0,723700
FOSL,2010-01-08,35.24,35.26,34.62,34.73,490900,35.24,0.0,35.26,34.62,34.73,1.0,490900
FOSL,2010-01-11,36.07,36.61,35.22,35.44,1019100,36.07,0.0,36.61,35.22,35.44,1.0,1019100
FOSL,2010-01-12,35.92,36.57,35.5,35.9,860700,35.92,0.0,36.57,35.5,35.9,1.0,860700
FOSL,2010-01-13,35.87,36.1199,35.38,35.94,410700,35.87,0.0,36.1199,35.38,35.94,1.0,410700
FOSL,2010-01-14,35.85,36.2,35.78,35.99,568500,35.85,0.0,36.2,35.78,35.99,1.0,568500
FOSL,2010-01-15,35.8,36.19,35.37,35.96,595200,35.8,0.0,36.19,35.37,35.96,1.0,595200
FOSL,2010-01-19,35.96,36.16,35.76,35.76,248800,35.96,0.0,36.16,35.76,35.76,1.0,248800
FOSL,2010-01-20,35.92,36.02,35.21,35.6,640300,35.92,0.0,36.02,35.21,35.6,1.0,640300
FOSL,2010-01-21,35.3,36.41,35.19,36.07,526100,35.3,0.0,36.41,35.19,36.07,1.0,526100
FOSL,2010-01-22,34.27,35.35,34.04,35.35,437200,34.27,0.0,35.35,34.04,35.35,1.0,437200
FOSL,2010-01-25,33.85,34.56,33.475,34.49,354900,33.85,0.0,34.56,33.475,34.49,1.0,354900
FOSL,2010-01-26,33.66,34.18,33.535,33.73,354400,33.66,0.0,34.18,33.535,33.73,1.0,354400
FOSL,2010-01-27,34.2,34.25,33.26,33.42,303900,34.2,0.0,34.25,33.26,33.42,1.0,303900
FOSL,2010-01-28,33.37,34.62,33.26,34.18,391100,33.37,0.0,34.62,33.26,34.18,1.0,391100
FOSL,2010-01-29,32.65,33.66,32.61,33.43,453800,32.65,0.0,33.66,32.61,33.43,1.0,453800
FOSL,2010-02-01,33.04,33.07,32.54,32.77,282500,33.04,0.0,33.07,32.54,32.77,1.0,282500
FOSL,2010-02-02,33.62,33.8,32.8,33.19,376200,33.62,0.0,33.8,32.8,33.19,1.0,376200
FOSL,2010-02-03,33.44,33.78,33.11,33.52,392700,33.44,0.0,33.78,33.11,33.52,1.0,392700
FOSL,2010-02-04,32.17,33.35,32.045,33.24,668000,32.17,0.0,33.35,32.045,33.24,1.0,668000
FOSL,2010-02-05,32.07,32.28,31.31,32.23,376300,32.07,0.0,32.28,31.31,32.23,1.0,376300
FOSL,2010-02-08,32.38,32.54,31.76,32.17,483300,32.38,0.0,32.54,31.76,32.17,1.0,483300
FOSL,2010-02-09,32.95,33.11,32.35,32.89,527900,32.95,0.0,33.11,32.35,32.89,1.0,527900
FOSL,2010-02-10,32.74,33.01,32.5,32.92,536800,32.74,0.0,33.01,32.5,32.92,1.0,536800
FOSL,2010-02-11,33.47,33.68,32.18,32.59,376200,33.47,0.0,33.68,32.18,32.59,1.0,376200
FOSL,2010-02-12,34.22,34.24,32.87,33.15,1110900,34.22,0.0,34.24,32.87,33.15,1.0,1110900
FOSL,2010-02-16,36.58,37.06,34.93,36.53,2273700,36.58,0.0,37.06,34.93,36.53,1.0,2273700
FOSL,2010-02-17,36.82,37.1,36.04,36.97,703200,36.82,0.0,37.1,36.04,36.97,1.0,703200
FOSL,2010-02-18,36.69,36.96,36.08,36.53,467300,36.69,0.0,36.96,36.08,36.53,1.0,467300
FOSL,2010-02-19,36.69,36.99,36.46,36.7,422400,36.69,0.0,36.99,36.46,36.7,1.0,422400
FOSL,2010-02-22,36.38,36.89,36.01,36.89,424400,36.38,0.0,36.89,36.01,36.89,1.0,424400
FOSL,2010-02-23,36.21,36.49,35.73,36.19,585200,36.21,0.0,36.49,35.73,36.19,1.0,585200
FOSL,2010-02-24,36.38,36.76,36.2,36.42,304900,36.38,0.0,36.76,36.2,36.42,1.0,304900
FOSL,2010-02-25,36.34,36.37,35.47,35.9,623200,36.34,0.0,36.37,35.47,35.9,1.0,623200
FOSL,2010-02-26,36.25,36.53,36.0,36.28,350400,36.25,0.0,36.53,36.0,36.28,1.0,350400
FOSL,2010-03-01,37.06,37.12,36.18,36.58,631600,37.06,0.0,37.12,36.18,36.58,1.0,631600
FOSL,2010-03-02,37.63,38.0,37.02,37.06,705500,37.63,0.0,38.0,37.02,37.06,1.0,705500
FOSL,2010-03-03,37.66,38.08,37.47,37.99,569900,37.66,0.0,38.08,37.47,37.99,1.0,569900
FOSL,2010-03-04,37.6,37.97,37.3,37.84,623200,37.6,0.0,37.97,37.3,37.84,1.0,623200
FOSL,2010-03-05,38.73,38.8,37.6412,37.99,978600,38.73,0.0,38.8,37.6412,37.99,1.0,978600
FOSL,2010-03-08,38.99,39.0,38.7319,38.94,370000,38.99,0.0,39.0,38.7319,38.94,1.0,370000
FOSL,2010-03-09,39.3,39.6,38.5,38.98,575000,39.3,0.0,39.6,38.5,38.98,1.0,575000
FOSL,2010-03-10,38.8,39.41,38.6,39.41,542100,38.8,0.0,39.41,38.6,39.41,1.0,542100
FOSL,2010-03-11,38.93,38.93,38.24,38.41,316400,38.93,0.0,38.93,38.24,38.41,1.0,316400
FOSL,2010-03-12,38.73,39.1299,38.49,38.88,246600,38.73,0.0,39.1299,38.49,38.88,1.0,246600
FOSL,2010-03-15,38.78,38.79,38.0,38.77,294600,38.78,0.0,38.79,38.0,38.77,1.0,294600
