symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FRBA,2010-01-04,3.2652856156,3.2652856156,3.2652856156,3.2652856156,0,3.3,0.0,3.3,3.3,3.3,1.0,0
FRBA,2010-01-05,2.275805126,2.8694934198,2.275805126,2.8694934198,6900,2.3,0.0,2.9,2.3,2.9,1.0,6900
FRBA,2010-01-06,2.9189674442,2.9189674442,2.8200193953,2.8200193953,4000,2.95,0.0,2.95,2.85,2.85,1.0,4000
FRBA,2010-01-07,2.9189674442,2.9684414687,2.9189674442,2.9684414687,4000,2.95,0.0,3.0,2.95,3.0,1.0,4000
FRBA,2010-01-08,2.9189674442,2.9189674442,2.7705453708,2.7705453708,1750,2.95,0.0,2.95,2.8,2.8,1.0,1750
FRBA,2010-01-11,2.7705453708,2.7705453708,2.7705453708,2.7705453708,500,2.8,0.0,2.8,2.8,2.8,1.0,500
FRBA,2010-01-12,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-01-13,2.7705453708,2.7705453708,2.7705453708,2.7705453708,3830,2.8,0.0,2.8,2.8,2.8,1.0,3830
FRBA,2010-01-14,3.0179154932,3.0179154932,2.7210713463,2.9684414687,2300,3.05,0.0,3.05,2.75,3.0,1.0,2300
FRBA,2010-01-15,2.8200193953,3.0179154932,2.8200193953,3.0179154932,1500,2.85,0.0,3.05,2.85,3.05,1.0,1500
FRBA,2010-01-19,2.7705453708,2.7705453708,2.7705453708,2.7705453708,1000,2.8,0.0,2.8,2.8,2.8,1.0,1000
FRBA,2010-01-20,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-01-21,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-01-22,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-01-25,2.9189674442,2.9189674442,2.9189674442,2.9189674442,1500,2.95,0.0,2.95,2.95,2.95,1.0,1500
FRBA,2010-01-26,2.9684414687,2.9684414687,2.9684414687,2.9684414687,100,3.0,0.0,3.0,3.0,3.0,1.0,100
FRBA,2010-01-27,2.7705453708,2.8694934198,2.7705453708,2.8694934198,4400,2.8,0.0,2.9,2.8,2.9,1.0,4400
FRBA,2010-01-28,2.7705453708,2.7705453708,2.7705453708,2.7705453708,800,2.8,0.0,2.8,2.8,2.8,1.0,800
FRBA,2010-01-29,2.9684414687,2.9684414687,2.6715973218,2.6715973218,3600,3.0,0.0,3.0,2.7,2.7,1.0,3600
FRBA,2010-02-01,2.9684414687,2.9684414687,2.9684414687,2.9684414687,0,3.0,0.0,3.0,3.0,3.0,1.0,0
FRBA,2010-02-02,3.0673895177,3.0673895177,3.0673895177,3.0673895177,100,3.1,0.0,3.1,3.1,3.1,1.0,100
FRBA,2010-02-03,2.7210713463,2.7210713463,2.7210713463,2.7210713463,1000,2.75,0.0,2.75,2.75,2.75,1.0,1000
FRBA,2010-02-04,2.6715973218,2.7210713463,2.6715973218,2.7210713463,2500,2.7,0.0,2.75,2.7,2.75,1.0,2500
FRBA,2010-02-05,2.6715973218,2.6715973218,2.6715973218,2.6715973218,0,2.7,0.0,2.7,2.7,2.7,1.0,0
FRBA,2010-02-08,2.6715973218,2.6715973218,2.6715973218,2.6715973218,0,2.7,0.0,2.7,2.7,2.7,1.0,0
FRBA,2010-02-09,2.6715973218,2.6715973218,2.6715973218,2.6715973218,0,2.7,0.0,2.7,2.7,2.7,1.0,0
FRBA,2010-02-10,2.8200193953,2.8200193953,2.8200193953,2.8200193953,1000,2.85,0.0,2.85,2.85,2.85,1.0,1000
FRBA,2010-02-11,2.8200193953,2.8200193953,2.8200193953,2.8200193953,0,2.85,0.0,2.85,2.85,2.85,1.0,0
FRBA,2010-02-12,2.8200193953,2.8200193953,2.8200193953,2.8200193953,0,2.85,0.0,2.85,2.85,2.85,1.0,0
FRBA,2010-02-16,2.8200193953,2.8200193953,2.8200193953,2.8200193953,0,2.85,0.0,2.85,2.85,2.85,1.0,0
FRBA,2010-02-17,2.6715973218,2.6814921267,2.6715973218,2.6814921267,3500,2.7,0.0,2.71,2.7,2.71,1.0,3500
FRBA,2010-02-18,3.3147596401,3.3147596401,2.5726492729,2.6221232974,4930,3.35,0.0,3.35,2.6,2.65,1.0,4930
FRBA,2010-02-19,3.3147596401,3.3147596401,3.3147596401,3.3147596401,0,3.35,0.0,3.35,3.35,3.35,1.0,0
FRBA,2010-02-22,3.3147596401,3.3147596401,3.3147596401,3.3147596401,0,3.35,0.0,3.35,3.35,3.35,1.0,0
FRBA,2010-02-23,2.7705453708,2.7705453708,2.7705453708,2.7705453708,500,2.8,0.0,2.8,2.8,2.8,1.0,500
FRBA,2010-02-24,2.9684414687,2.9684414687,2.9684414687,2.9684414687,330,3.0,0.0,3.0,3.0,3.0,1.0,330
FRBA,2010-02-25,2.9684414687,2.9684414687,2.9684414687,2.9684414687,0,3.0,0.0,3.0,3.0,3.0,1.0,0
FRBA,2010-02-26,3.3147596401,3.3642336645,3.3147596401,3.3642336645,1100,3.35,0.0,3.4,3.35,3.4,1.0,1100
FRBA,2010-03-01,3.3147596401,3.324654445,3.3147596401,3.324654445,2000,3.35,0.0,3.36,3.35,3.36,1.0,2000
FRBA,2010-03-02,3.3147596401,3.3147596401,2.5825440778,2.6715973218,3800,3.35,0.0,3.35,2.61,2.7,1.0,3800
FRBA,2010-03-03,3.3147596401,3.3147596401,3.3147596401,3.3147596401,0,3.35,0.0,3.35,3.35,3.35,1.0,0
FRBA,2010-03-04,3.3147596401,3.3147596401,3.3147596401,3.3147596401,0,3.35,0.0,3.35,3.35,3.35,1.0,0
FRBA,2010-03-05,3.3147596401,3.3147596401,3.3147596401,3.3147596401,0,3.35,0.0,3.35,3.35,3.35,1.0,0
FRBA,2010-03-08,2.5825440778,2.6715973218,2.5726492729,2.6715973218,2600,2.61,0.0,2.7,2.6,2.7,1.0,2600
FRBA,2010-03-09,2.5825440778,2.5825440778,2.5825440778,2.5825440778,0,2.61,0.0,2.61,2.61,2.61,1.0,0
FRBA,2010-03-10,2.6221232974,2.6221232974,2.5726492729,2.5726492729,2200,2.65,0.0,2.65,2.6,2.6,1.0,2200
FRBA,2010-03-11,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-12,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-15,2.6221232974,2.6221232974,2.6221232974,2.6221232974,200,2.65,0.0,2.65,2.65,2.65,1.0,200
FRBA,2010-03-16,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-17,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-18,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-19,2.6221232974,2.6221232974,2.6221232974,2.6221232974,0,2.65,0.0,2.65,2.65,2.65,1.0,0
FRBA,2010-03-22,2.5726492729,2.5726492729,2.5726492729,2.5726492729,800,2.6,0.0,2.6,2.6,2.6,1.0,800
FRBA,2010-03-23,2.5726492729,2.6221232974,2.5726492729,2.6221232974,3880,2.6,0.0,2.65,2.6,2.65,1.0,3880
FRBA,2010-03-24,2.5726492729,2.5726492729,2.5726492729,2.5726492729,500,2.6,0.0,2.6,2.6,2.6,1.0,500
FRBA,2010-03-25,2.9684414687,2.9684414687,2.562754468,2.562754468,2200,3.0,0.0,3.0,2.59,2.59,1.0,2200
FRBA,2010-03-26,2.9684414687,2.9684414687,2.9684414687,2.9684414687,0,3.0,0.0,3.0,3.0,3.0,1.0,0
FRBA,2010-03-29,2.9684414687,2.9684414687,2.9684414687,2.9684414687,0,3.0,0.0,3.0,3.0,3.0,1.0,0
FRBA,2010-03-30,2.9684414687,2.9684414687,2.9684414687,2.9684414687,0,3.0,0.0,3.0,3.0,3.0,1.0,0
FRBA,2010-03-31,3.4631817135,3.4631817135,2.7210713463,2.7210713463,1850,3.5,0.0,3.5,2.75,2.75,1.0,1850
FRBA,2010-04-01,3.4631817135,3.4631817135,3.4631817135,3.4631817135,0,3.5,0.0,3.5,3.5,3.5,1.0,0
FRBA,2010-04-05,3.4631817135,3.4631817135,3.4631817135,3.4631817135,0,3.5,0.0,3.5,3.5,3.5,1.0,0
FRBA,2010-04-06,3.4631817135,3.4631817135,3.4631817135,3.4631817135,0,3.5,0.0,3.5,3.5,3.5,1.0,0
FRBA,2010-04-07,3.4631817135,3.4631817135,2.9684414687,2.9684414687,1000,3.5,0.0,3.5,3.0,3.0,1.0,1000
FRBA,2010-04-08,2.8200193953,2.8200193953,2.7210713463,2.8200193953,2450,2.85,0.0,2.85,2.75,2.85,1.0,2450
FRBA,2010-04-09,2.7705453708,2.8200193953,2.7705453708,2.8200193953,1500,2.8,0.0,2.85,2.8,2.85,1.0,1500
FRBA,2010-04-12,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-13,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-14,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-15,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-16,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-19,2.9684414687,2.9684414687,2.9684414687,2.9684414687,2550,3.0,0.0,3.0,3.0,3.0,1.0,2550
FRBA,2010-04-20,3.0179154932,3.9579219583,2.9684414687,2.9684414687,9550,3.05,0.0,4.0,3.0,3.0,1.0,9550
FRBA,2010-04-21,3.0179154932,3.0179154932,3.0179154932,3.0179154932,0,3.05,0.0,3.05,3.05,3.05,1.0,0
FRBA,2010-04-22,3.0179154932,3.0179154932,3.0179154932,3.0179154932,0,3.05,0.0,3.05,3.05,3.05,1.0,0
FRBA,2010-04-23,2.9585466638,2.9684414687,2.9585466638,2.9684414687,1100,2.99,0.0,3.0,2.99,3.0,1.0,1100
FRBA,2010-04-26,2.8200193953,2.8200193953,2.8200193953,2.8200193953,500,2.85,0.0,2.85,2.85,2.85,1.0,500
FRBA,2010-04-27,2.8200193953,2.8200193953,2.8200193953,2.8200193953,0,2.85,0.0,2.85,2.85,2.85,1.0,0
FRBA,2010-04-28,2.7705453708,2.8694934198,2.7705453708,2.8694934198,1500,2.8,0.0,2.9,2.8,2.9,1.0,1500
FRBA,2010-04-29,2.7705453708,2.7705453708,2.7705453708,2.7705453708,0,2.8,0.0,2.8,2.8,2.8,1.0,0
FRBA,2010-04-30,3.7105518359,4.4526622031,2.9684414687,2.9684414687,9300,3.75,0.0,4.5,3.0,3.0,1.0,9300
FRBA,2010-05-03,3.4631817135,3.4631817135,3.4631817135,3.4631817135,500,3.5,0.0,3.5,3.5,3.5,1.0,500
FRBA,2010-05-04,3.0179154932,3.0179154932,3.0179154932,3.0179154932,500,3.05,0.0,3.05,3.05,3.05,1.0,500
FRBA,2010-05-05,2.9684414687,2.9684414687,2.8200193953,2.8200193953,1800,3.0,0.0,3.0,2.85,2.85,1.0,1800
FRBA,2010-05-06,2.7705453708,2.8200193953,2.7705453708,2.8200193953,2100,2.8,0.0,2.85,2.8,2.85,1.0,2100
