symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FRPH,2010-01-04,31.33,31.8666666667,31.0633666667,31.69,10200,93.99,0.0,95.6,93.1901,95.07,1.0,3400
FRPH,2010-01-05,30.47,31.3233333333,30.3333333333,31.3233333333,9000,91.41,0.0,93.97,91.0,93.97,1.0,3000
FRPH,2010-01-06,29.2,29.5933,27.7666666667,29.44,42300,87.6,0.0,88.7799,83.3,88.32,1.0,14100
FRPH,2010-01-07,29.2366666667,29.6733333333,28.1866666667,28.7366666667,17400,87.71,0.0,89.02,84.56,86.21,1.0,5800
FRPH,2010-01-08,29.4566666667,29.4566666667,29.1666666667,29.1666666667,1200,88.37,0.0,88.37,87.5,87.5,1.0,400
FRPH,2010-01-11,29.97,30.3333333333,28.7266666667,28.8866666667,24000,89.91,0.0,91.0,86.18,86.66,1.0,8000
FRPH,2010-01-12,29.7033333333,29.9566666667,29.667,29.8233333333,1800,89.11,0.0,89.87,89.001,89.47,1.0,600
FRPH,2010-01-13,30.24,30.26,29.67,29.7466666667,3600,90.72,0.0,90.78,89.01,89.24,1.0,1200
FRPH,2010-01-14,30.54,30.54,29.9,29.9,600,91.62,0.0,91.62,89.7,89.7,1.0,200
FRPH,2010-01-15,30.6433333333,30.8766333333,30.2233333333,30.61,8400,91.93,0.0,92.6299,90.67,91.83,1.0,2800
FRPH,2010-01-19,30.6133333333,30.6133333333,30.09,30.09,3000,91.84,0.0,91.84,90.27,90.27,1.0,1000
FRPH,2010-01-20,30.2333333333,30.88,30.0033333333,30.88,6000,90.7,0.0,92.64,90.01,92.64,1.0,2000
FRPH,2010-01-21,29.9866666667,30.8233333333,29.4166666667,30.8233333333,9600,89.96,0.0,92.47,88.25,92.47,1.0,3200
FRPH,2010-01-22,30.0533333333,30.0533333333,29.9333333333,29.995,3600,90.16,0.0,90.16,89.8,89.985,1.0,1200
FRPH,2010-01-25,29.9666666667,30.0333333333,29.6266666667,30.0333333333,14100,89.9,0.0,90.1,88.88,90.1,1.0,4700
