symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FSCFL,2013-04-05,18.6688812419,18.7820259767,18.5934514187,18.6311663303,37995,24.75,0.0,24.9,24.65,24.7,1.0,37995
FSCFL,2013-04-08,18.6688812419,18.6688812419,18.5783654541,18.5783654541,243160,24.75,0.0,24.75,24.63,24.63,1.0,243160
FSCFL,2013-04-09,18.7442356353,18.7820259767,18.5934514187,18.7820259767,86668,24.8499,0.0,24.9,24.65,24.9,1.0,86668
FSCFL,2013-04-10,18.7292251005,18.834826853,18.5557365071,18.6688812419,71847,24.83,0.0,24.97,24.6,24.75,1.0,71847
FSCFL,2013-04-11,18.779454031,18.8658276999,18.7294482226,18.8127912365,41021,24.786,0.11059028,24.9,24.72,24.83,1.0,41021
FSCFL,2013-04-12,18.7521781355,18.8524928177,18.7521781355,18.7521781355,14900,24.75,0.0,24.8824,24.75,24.75,1.0,14900
FSCFL,2013-04-15,18.7521781355,18.8582510623,18.7521781355,18.8279445118,37171,24.75,0.0,24.89,24.75,24.85,1.0,37171
FSCFL,2013-04-16,18.7991532888,18.8355211494,18.7976379613,18.8279445118,30582,24.812,0.0,24.86,24.81,24.85,1.0,30582
FSCFL,2013-04-17,18.8506744247,18.8658276999,18.7521781355,18.8582510623,33480,24.88,0.0,24.9,24.75,24.89,1.0,33480
FSCFL,2013-04-18,18.9340174386,18.9340174386,18.8279445118,18.8582510623,68038,24.99,0.0,24.99,24.85,24.89,1.0,68038
FSCFL,2013-04-19,19.0325137278,19.0325137278,18.8734043376,18.8734043376,94500,25.12,0.0,25.12,24.91,24.91,1.0,94500
FSCFL,2013-04-22,19.0173604525,19.0931268289,18.9415940762,18.9415940762,124823,25.1,0.0,25.2,25.0,25.0,1.0,124823
FSCFL,2013-04-23,19.0512280228,19.0847925275,18.9188641634,18.9946305397,53298,25.1447,0.0,25.189,24.97,25.07,1.0,53298
FSCFL,2013-04-24,19.0552436407,19.1688932052,18.9946305397,19.0628202783,43134,25.15,0.0,25.3,25.07,25.16,1.0,43134
FSCFL,2013-04-25,19.0553194071,19.1537399299,19.0552436407,19.1537399299,19998,25.1501,0.0,25.28,25.15,25.28,1.0,19998
FSCFL,2013-04-26,19.131010017,19.1688932052,19.0628202783,19.131010017,11547,25.25,0.0,25.3,25.16,25.25,1.0,11547
FSCFL,2013-04-29,19.0855501912,19.1234333794,18.9946305397,19.0931268289,34452,25.19,0.0,25.24,25.07,25.2,1.0,34452
FSCFL,2013-04-30,19.0855501912,19.1385108883,19.0552436407,19.1385108883,10864,25.19,0.0,25.2599,25.15,25.2599,1.0,10864
FSCFL,2013-05-01,19.1234333794,19.1688932052,19.0931268289,19.1688932052,13291,25.24,0.0,25.3,25.2,25.3,1.0,13291
FSCFL,2013-05-02,19.0552436407,19.1613165675,19.0552436407,19.1612408012,11653,25.15,0.0,25.29,25.15,25.2899,1.0,11653
FSCFL,2013-05-03,19.1461632923,19.1688932052,19.1367682616,19.1367682616,10941,25.27,0.0,25.3,25.2576,25.2576,1.0,10941
FSCFL,2013-05-06,19.131010017,19.1688932052,19.1007034665,19.1688932052,14895,25.25,0.0,25.3,25.21,25.3,1.0,14895
FSCFL,2013-05-07,19.1688932052,19.3110309271,19.1083558705,19.1083558705,10578,25.3,0.0,25.4876,25.2201,25.2201,1.0,10578
FSCFL,2013-05-08,19.2522362191,19.3128493201,19.2143530309,19.3128493201,6100,25.41,0.0,25.49,25.36,25.49,1.0,6100
FSCFL,2013-05-09,19.3961923341,19.3961923341,19.2446595815,19.3052726825,8075,25.6,0.0,25.6,25.4,25.48,1.0,8075
FSCFL,2013-05-10,19.3204259578,19.3280025954,19.229657839,19.3280025954,3250,25.5,0.0,25.51,25.3802,25.51,1.0,3250
FSCFL,2013-05-13,19.4264988846,19.4340755222,19.2446595815,19.4340755222,25747,25.64,0.0,25.65,25.4,25.65,1.0,25747
FSCFL,2013-05-14,19.2976960449,19.3431558707,19.2522362191,19.3431558707,9815,25.47,0.0,25.53,25.41,25.53,1.0,9815
FSCFL,2013-05-15,19.2617070161,19.4719587104,19.2617070161,19.4719587104,1600,25.4225,0.0,25.7,25.4225,25.7,1.0,1600
FSCFL,2013-05-16,19.4188464806,19.4188464806,19.2446595815,19.2446595815,11000,25.6299,0.0,25.6299,25.4,25.4,1.0,11000
FSCFL,2013-05-17,19.2446595815,19.3583091459,19.2446595815,19.2522362191,10300,25.4,0.0,25.55,25.4,25.41,1.0,10300
FSCFL,2013-05-20,19.2825427696,19.319668294,19.2598886231,19.319668294,2400,25.45,0.0,25.499,25.4201,25.499,1.0,2400
