symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FSLR,2010-01-04,135.46,136.83,133.57,136.0,1636000,135.46,0.0,136.83,133.57,136.0,1.0,1636000
FSLR,2010-01-05,137.4,140.6,135.1,135.43,2520900,137.4,0.0,140.6,135.1,135.43,1.0,2520900
FSLR,2010-01-06,140.02,140.25,137.65,138.43,2195800,140.02,0.0,140.25,137.65,138.43,1.0,2195800
FSLR,2010-01-07,140.48,142.46,138.91,141.0,2040000,140.48,0.0,142.46,138.91,141.0,1.0,2040000
FSLR,2010-01-08,139.68,141.5,137.01,139.7,1582700,139.68,0.0,141.5,137.01,139.7,1.0,1582700
FSLR,2010-01-11,138.24,141.24,137.77,141.0,1575400,138.24,0.0,141.24,137.77,141.0,1.0,1575400
FSLR,2010-01-12,132.98,137.0,132.66,137.0,2087900,132.98,0.0,137.0,132.66,137.0,1.0,2087900
FSLR,2010-01-13,132.12,134.0,129.42,133.52,1805600,132.12,0.0,134.0,129.42,133.52,1.0,1805600
FSLR,2010-01-14,124.84,136.23,124.72,131.52,8294100,124.84,0.0,136.23,124.72,131.52,1.0,8294100
FSLR,2010-01-15,124.07,126.5,122.5,125.89,3771900,124.07,0.0,126.5,122.5,125.89,1.0,3771900
FSLR,2010-01-19,123.94,124.68,120.0,123.13,3574400,123.94,0.0,124.68,120.0,123.13,1.0,3574400
FSLR,2010-01-20,119.505,122.0,118.25,120.61,3931300,119.505,0.0,122.0,118.25,120.61,1.0,3931300
FSLR,2010-01-21,119.12,121.45,118.19,119.08,2870600,119.12,0.0,121.45,118.19,119.08,1.0,2870600
FSLR,2010-01-22,112.39,119.54,109.77,119.54,4926800,112.39,0.0,119.54,109.77,119.54,1.0,4926800
FSLR,2010-01-25,111.72,115.75,111.1,114.68,2802300,111.72,0.0,115.75,111.1,114.68,1.0,2802300
FSLR,2010-01-26,115.13,117.88,111.35,112.02,4067700,115.13,0.0,117.88,111.35,112.02,1.0,4067700
FSLR,2010-01-27,114.14,115.98,111.02,115.06,2191000,114.14,0.0,115.98,111.02,115.06,1.0,2191000
FSLR,2010-01-28,114.35,115.78,112.07,115.3,2436800,114.35,0.0,115.78,112.07,115.3,1.0,2436800
FSLR,2010-01-29,113.3,120.03,113.0,114.64,2927700,113.3,0.0,120.03,113.0,114.64,1.0,2927700
FSLR,2010-02-01,117.49,119.84,114.25,114.89,1797000,117.49,0.0,119.84,114.25,114.89,1.0,1797000
FSLR,2010-02-02,117.37,118.68,115.29,117.49,2174800,117.37,0.0,118.68,115.29,117.49,1.0,2174800
FSLR,2010-02-03,119.07,120.3,117.74,117.86,1314900,119.07,0.0,120.3,117.74,117.86,1.0,1314900
FSLR,2010-02-04,113.46,117.86,113.25,116.56,1578800,113.46,0.0,117.86,113.25,116.56,1.0,1578800
FSLR,2010-02-05,114.19,114.4,110.84,113.92,1965700,114.19,0.0,114.4,110.84,113.92,1.0,1965700
FSLR,2010-02-08,111.21,113.32,110.57,112.0,1931600,111.21,0.0,113.32,110.57,112.0,1.0,1931600
FSLR,2010-02-09,113.29,114.9,111.25,112.94,2518500,113.29,0.0,114.9,111.25,112.94,1.0,2518500
FSLR,2010-02-10,109.33,113.04,107.25,112.65,2673700,109.33,0.0,113.04,107.25,112.65,1.0,2673700
FSLR,2010-02-11,113.81,114.45,110.21,110.65,2273800,113.81,0.0,114.45,110.21,110.65,1.0,2273800
FSLR,2010-02-12,115.1,115.9,110.44,113.21,1874900,115.1,0.0,115.9,110.44,113.21,1.0,1874900
FSLR,2010-02-16,121.36,122.79,116.04,116.84,2546600,121.36,0.0,122.79,116.04,116.84,1.0,2546600
FSLR,2010-02-17,124.22,124.75,121.7,123.47,2602900,124.22,0.0,124.75,121.7,123.47,1.0,2602900
FSLR,2010-02-18,126.29,126.995,124.0501,125.63,4205800,126.29,0.0,126.995,124.0501,125.63,1.0,4205800
FSLR,2010-02-19,116.0,118.49,115.12,116.68,5671700,116.0,0.0,118.49,115.12,116.68,1.0,5671700
FSLR,2010-02-22,113.09,115.12,110.32,114.76,5790400,113.09,0.0,115.12,110.32,114.76,1.0,5790400
FSLR,2010-02-23,105.78,109.64,105.08,109.0,5722200,105.78,0.0,109.64,105.08,109.0,1.0,5722200
FSLR,2010-02-24,105.13,107.6985,103.58,106.6,3706200,105.13,0.0,107.6985,103.58,106.6,1.0,3706200
FSLR,2010-02-25,102.97,103.46,98.71,100.55,5220500,102.97,0.0,103.46,98.71,100.55,1.0,5220500
FSLR,2010-02-26,105.75,105.98,102.53,105.26,2717900,105.75,0.0,105.98,102.53,105.26,1.0,2717900
FSLR,2010-03-01,105.62,107.9,104.36,107.59,1756700,105.62,0.0,107.9,104.36,107.59,1.0,1756700
FSLR,2010-03-02,107.26,109.339,104.7,106.28,2900100,107.26,0.0,109.339,104.7,106.28,1.0,2900100
FSLR,2010-03-03,107.64,110.15,107.46,108.5,1782400,107.64,0.0,110.15,107.46,108.5,1.0,1782400
FSLR,2010-03-04,108.05,109.7,107.95,108.8,1393700,108.05,0.0,109.7,107.95,108.8,1.0,1393700
FSLR,2010-03-05,108.6175,109.4999,108.11,108.73,1352000,108.6175,0.0,109.4999,108.11,108.73,1.0,1352000
FSLR,2010-03-08,108.64,109.49,106.52,109.2,1496400,108.64,0.0,109.49,106.52,109.2,1.0,1496400
FSLR,2010-03-09,106.22,107.28,104.83,105.9,2619300,106.22,0.0,107.28,104.83,105.9,1.0,2619300
FSLR,2010-03-10,110.95,112.25,106.11,106.12,3146300,110.95,0.0,112.25,106.11,106.12,1.0,3146300
FSLR,2010-03-11,113.69,115.7,109.95,110.7,3096400,113.69,0.0,115.7,109.95,110.7,1.0,3096400
FSLR,2010-03-12,115.53,117.4399,114.29,114.5,2104300,115.53,0.0,117.4399,114.29,114.5,1.0,2104300
FSLR,2010-03-15,114.92,118.64,114.21,115.53,2010200,114.92,0.0,118.64,114.21,115.53,1.0,2010200
FSLR,2010-03-16,115.24,116.7,114.4,115.81,948300,115.24,0.0,116.7,114.4,115.81,1.0,948300
FSLR,2010-03-17,114.525,116.49,114.39,116.25,1220300,114.525,0.0,116.49,114.39,116.25,1.0,1220300
FSLR,2010-03-18,115.13,115.82,113.4532,114.05,1500700,115.13,0.0,115.82,113.4532,114.05,1.0,1500700
FSLR,2010-03-19,113.3,114.9,112.55,114.5,2223000,113.3,0.0,114.9,112.55,114.5,1.0,2223000
FSLR,2010-03-22,109.36,110.93,108.97,110.22,2446200,109.36,0.0,110.93,108.97,110.22,1.0,2446200
FSLR,2010-03-23,112.02,112.68,109.52,109.93,1519400,112.02,0.0,112.68,109.52,109.93,1.0,1519400
FSLR,2010-03-24,109.45,111.97,109.36,111.15,1766900,109.45,0.0,111.97,109.36,111.15,1.0,1766900
FSLR,2010-03-25,112.05,113.7,111.77,112.97,2080100,112.05,0.0,113.7,111.77,112.97,1.0,2080100
FSLR,2010-03-26,116.5,118.581,113.055,113.59,3825100,116.5,0.0,118.581,113.055,113.59,1.0,3825100
FSLR,2010-03-29,119.37,120.5,117.3,118.22,2148800,119.37,0.0,120.5,117.3,118.22,1.0,2148800
FSLR,2010-03-30,122.18,122.89,119.41,120.0,2153500,122.18,0.0,122.89,119.41,120.0,1.0,2153500
FSLR,2010-03-31,122.65,123.4,121.31,121.68,1670400,122.65,0.0,123.4,121.31,121.68,1.0,1670400
FSLR,2010-04-01,121.3,123.35,118.88,122.33,1638400,121.3,0.0,123.35,118.88,122.33,1.0,1638400
FSLR,2010-04-05,122.28,124.0,120.83,122.48,1095600,122.28,0.0,124.0,120.83,122.48,1.0,1095600
FSLR,2010-04-06,120.53,122.26,120.11,122.26,1101600,120.53,0.0,122.26,120.11,122.26,1.0,1101600
FSLR,2010-04-07,126.6,126.73,122.51,122.54,2682400,126.6,0.0,126.73,122.51,122.54,1.0,2682400
FSLR,2010-04-08,126.25,127.56,124.15,125.4,1633200,126.25,0.0,127.56,124.15,125.4,1.0,1633200
FSLR,2010-04-09,124.09,127.0,123.78,126.45,1477300,124.09,0.0,127.0,123.78,126.45,1.0,1477300
FSLR,2010-04-12,127.86,129.95,123.76,123.94,1964800,127.86,0.0,129.95,123.76,123.94,1.0,1964800
FSLR,2010-04-13,126.75,128.5,126.31,128.0,1057100,126.75,0.0,128.5,126.31,128.0,1.0,1057100
FSLR,2010-04-14,132.6,132.64,128.0,128.25,2477400,132.6,0.0,132.64,128.0,128.25,1.0,2477400
FSLR,2010-04-15,137.9,139.46,132.49,133.33,2887300,137.9,0.0,139.46,132.49,133.33,1.0,2887300
FSLR,2010-04-16,134.32,138.09,132.17,138.02,1765100,134.32,0.0,138.09,132.17,138.02,1.0,1765100
FSLR,2010-04-19,132.8,134.9,130.15,132.1,1615200,132.8,0.0,134.9,130.15,132.1,1.0,1615200
FSLR,2010-04-20,134.12,135.72,131.9,134.88,1198400,134.12,0.0,135.72,131.9,134.88,1.0,1198400
FSLR,2010-04-21,130.49,132.08,128.0,132.0,2200500,130.49,0.0,132.08,128.0,132.0,1.0,2200500
FSLR,2010-04-22,133.94,134.29,129.36,129.5,1493200,133.94,0.0,134.29,129.36,129.5,1.0,1493200
FSLR,2010-04-23,133.87,133.88,130.2708,132.48,1419600,133.87,0.0,133.88,130.2708,132.48,1.0,1419600
FSLR,2010-04-26,131.95,135.42,130.88,132.96,1141000,131.95,0.0,135.42,130.88,132.96,1.0,1141000
FSLR,2010-04-27,128.36,133.7899,127.78,131.94,1927500,128.36,0.0,133.7899,127.78,131.94,1.0,1927500
FSLR,2010-04-28,128.13,131.56,128.05,128.39,3146100,128.13,0.0,131.56,128.05,128.39,1.0,3146100
FSLR,2010-04-29,150.87,152.53,141.69,141.83,9799000,150.87,0.0,152.53,141.69,141.83,1.0,9799000
FSLR,2010-04-30,143.98,150.79,143.49,148.65,3459300,143.98,0.0,150.79,143.49,148.65,1.0,3459300
FSLR,2010-05-03,146.91,148.11,144.0,145.75,1898000,146.91,0.0,148.11,144.0,145.75,1.0,1898000
FSLR,2010-05-04,139.73,143.72,137.91,143.55,2390900,139.73,0.0,143.72,137.91,143.55,1.0,2390900
FSLR,2010-05-05,133.95,137.5,132.0,135.19,2850800,133.95,0.0,137.5,132.0,135.19,1.0,2850800
FSLR,2010-05-06,122.24,136.24,118.01,132.5,4540700,122.24,0.0,136.24,118.01,132.5,1.0,4540700
FSLR,2010-05-07,122.55,127.2,117.27,123.34,3443300,122.55,0.0,127.2,117.27,123.34,1.0,3443300
FSLR,2010-05-10,130.18,134.24,128.29,129.2,2252700,130.18,0.0,134.24,128.29,129.2,1.0,2252700
FSLR,2010-05-11,127.45,129.8,126.6115,129.8,1557900,127.45,0.0,129.8,126.6115,129.8,1.0,1557900
FSLR,2010-05-12,128.62,129.06,125.25,128.91,1726300,128.62,0.0,129.06,125.25,128.91,1.0,1726300
FSLR,2010-05-13,126.0,129.45,125.93,126.86,1085700,126.0,0.0,129.45,125.93,126.86,1.0,1085700
FSLR,2010-05-14,120.31,124.5,118.75,123.4973,2088600,120.31,0.0,124.5,118.75,123.4973,1.0,2088600
FSLR,2010-05-17,113.17,120.31,110.12,119.71,4791700,113.17,0.0,120.31,110.12,119.71,1.0,4791700
FSLR,2010-05-18,110.06,115.89,108.24,115.89,3281000,110.06,0.0,115.89,108.24,115.89,1.0,3281000
FSLR,2010-05-19,110.0,110.93,105.35,108.15,4500500,110.0,0.0,110.93,105.35,108.15,1.0,4500500
FSLR,2010-05-20,109.62,114.0,105.5,107.99,4391100,109.62,0.0,114.0,105.5,107.99,1.0,4391100
FSLR,2010-05-21,113.95,115.88,106.36,107.42,3281400,113.95,0.0,115.88,106.36,107.42,1.0,3281400
FSLR,2010-05-24,109.21,115.41,108.72,115.41,2047400,109.21,0.0,115.41,108.72,115.41,1.0,2047400
FSLR,2010-05-25,112.62,112.9799,103.7,106.0,2685800,112.62,0.0,112.9799,103.7,106.0,1.0,2685800
FSLR,2010-05-26,110.35,117.0,109.61,115.18,2292200,110.35,0.0,117.0,109.61,115.18,1.0,2292200
FSLR,2010-05-27,115.8,115.9,112.2,114.71,2038600,115.8,0.0,115.9,112.2,114.71,1.0,2038600
FSLR,2010-05-28,112.36,115.9499,110.56,115.64,1649100,112.36,0.0,115.9499,110.56,115.64,1.0,1649100
FSLR,2010-06-01,107.11,112.51,107.05,112.22,2141100,107.11,0.0,112.51,107.05,112.22,1.0,2141100
FSLR,2010-06-02,110.98,110.99,106.67,108.38,1863500,110.98,0.0,110.99,106.67,108.38,1.0,1863500
FSLR,2010-06-03,112.96,114.5,110.57,112.67,1911400,112.96,0.0,114.5,110.57,112.67,1.0,1911400
FSLR,2010-06-04,109.84,115.34,108.59,109.97,2639100,109.84,0.0,115.34,108.59,109.97,1.0,2639100
FSLR,2010-06-07,104.9775,110.08,104.558,110.03,2195400,104.9775,0.0,110.08,104.558,110.03,1.0,2195400
FSLR,2010-06-08,104.38,106.85,100.19,105.31,3653500,104.38,0.0,106.85,100.19,105.31,1.0,3653500
FSLR,2010-06-09,103.07,108.97,102.5,105.96,2024800,103.07,0.0,108.97,102.5,105.96,1.0,2024800
FSLR,2010-06-10,109.36,109.62,104.5,106.3,2135700,109.36,0.0,109.62,104.5,106.3,1.0,2135700
FSLR,2010-06-11,107.27,108.96,105.31,105.75,2318100,107.27,0.0,108.96,105.31,105.75,1.0,2318100
FSLR,2010-06-14,107.53,110.0,107.2,109.03,1761200,107.53,0.0,110.0,107.2,109.03,1.0,1761200
FSLR,2010-06-15,117.27,117.55,109.26,109.29,3813600,117.27,0.0,117.55,109.26,109.29,1.0,3813600
FSLR,2010-06-16,118.77,120.44,114.61,115.8,3447300,118.77,0.0,120.44,114.61,115.8,1.0,3447300
FSLR,2010-06-17,123.45,125.88,122.52,124.93,3229000,123.45,0.0,125.88,122.52,124.93,1.0,3229000
FSLR,2010-06-18,123.68,125.3735,121.68,125.1,2388600,123.68,0.0,125.3735,121.68,125.1,1.0,2388600
FSLR,2010-06-21,122.45,126.49,121.52,125.5,2096700,122.45,0.0,126.49,121.52,125.5,1.0,2096700
FSLR,2010-06-22,119.84,124.5,119.7,122.67,1779200,119.84,0.0,124.5,119.7,122.67,1.0,1779200
FSLR,2010-06-23,120.75,121.9,116.75,120.08,1397100,120.75,0.0,121.9,116.75,120.08,1.0,1397100
FSLR,2010-06-24,116.88,120.36,116.26,120.0,1544800,116.88,0.0,120.36,116.26,120.0,1.0,1544800
FSLR,2010-06-25,119.26,119.46,115.16,116.8801,2264400,119.26,0.0,119.46,115.16,116.8801,1.0,2264400
FSLR,2010-06-28,119.23,123.91,119.22,121.85,1869600,119.23,0.0,123.91,119.22,121.85,1.0,1869600
FSLR,2010-06-29,114.42,117.41,113.55,116.22,2243400,114.42,0.0,117.41,113.55,116.22,1.0,2243400
FSLR,2010-06-30,113.83,118.0,113.67,114.48,1937300,113.83,0.0,118.0,113.67,114.48,1.0,1937300
FSLR,2010-07-01,117.45,117.96,112.06,113.61,2078200,117.45,0.0,117.96,112.06,113.61,1.0,2078200
FSLR,2010-07-02,120.52,121.68,118.33,118.46,2082800,120.52,0.0,121.68,118.33,118.46,1.0,2082800
FSLR,2010-07-06,121.88,126.6,121.12,123.51,2506700,121.88,0.0,126.6,121.12,123.51,1.0,2506700
FSLR,2010-07-07,128.48,128.73,122.56,122.56,2553400,128.48,0.0,128.73,122.56,122.56,1.0,2553400
FSLR,2010-07-08,130.65,131.81,127.5,129.96,2176900,130.65,0.0,131.81,127.5,129.96,1.0,2176900
FSLR,2010-07-09,132.13,132.26,129.23,130.0,1265400,132.13,0.0,132.26,129.23,130.0,1.0,1265400
FSLR,2010-07-12,129.71,132.51,128.35,131.6,1204400,129.71,0.0,132.51,128.35,131.6,1.0,1204400
FSLR,2010-07-13,130.64,131.86,129.5,131.34,1418200,130.64,0.0,131.86,129.5,131.34,1.0,1418200
FSLR,2010-07-14,133.21,135.4,129.58,129.77,2208800,133.21,0.0,135.4,129.58,129.77,1.0,2208800
FSLR,2010-07-15,131.46,133.46,129.42,133.01,1760400,131.46,0.0,133.46,129.42,133.01,1.0,1760400
FSLR,2010-07-16,128.92,131.46,128.18,131.46,1443400,128.92,0.0,131.46,128.18,131.46,1.0,1443400
FSLR,2010-07-19,131.55,131.6,128.751,129.14,1287100,131.55,0.0,131.6,128.751,129.14,1.0,1287100
FSLR,2010-07-20,136.22,137.21,128.31,128.62,2005500,136.22,0.0,137.21,128.31,128.62,1.0,2005500
FSLR,2010-07-21,135.1,136.92,133.86,136.37,1281600,135.1,0.0,136.92,133.86,136.37,1.0,1281600
FSLR,2010-07-22,137.68,139.07,136.49,136.49,1337000,137.68,0.0,139.07,136.49,136.49,1.0,1337000
FSLR,2010-07-23,139.99,140.0,135.6701,137.53,1550200,139.99,0.0,140.0,135.6701,137.53,1.0,1550200
FSLR,2010-07-26,139.4,139.9,137.48,137.48,1078500,139.4,0.0,139.9,137.48,137.48,1.0,1078500
FSLR,2010-07-27,136.74,139.86,135.45,139.48,1256200,136.74,0.0,139.86,135.45,139.48,1.0,1256200
FSLR,2010-07-28,137.04,138.92,135.7,137.08,1402600,137.04,0.0,138.92,135.7,137.08,1.0,1402600
FSLR,2010-07-29,135.5,139.1981,132.79,137.84,2841300,135.5,0.0,139.1981,132.79,137.84,1.0,2841300
FSLR,2010-07-30,125.45,130.0,124.33,129.05,5173800,125.45,0.0,130.0,124.33,129.05,1.0,5173800
FSLR,2010-08-02,126.14,127.8,125.1,126.34,1817200,126.14,0.0,127.8,125.1,126.34,1.0,1817200
FSLR,2010-08-03,126.7,127.78,124.91,127.02,1659000,126.7,0.0,127.78,124.91,127.02,1.0,1659000
FSLR,2010-08-04,131.45,132.0,126.81,127.33,2509900,131.45,0.0,132.0,126.81,127.33,1.0,2509900
FSLR,2010-08-05,129.73,131.74,128.77,130.8,960300,129.73,0.0,131.74,128.77,130.8,1.0,960300
FSLR,2010-08-06,129.34,129.97,126.29,128.08,915900,129.34,0.0,129.97,126.29,128.08,1.0,915900
FSLR,2010-08-09,129.95,130.949,128.28,130.0,727000,129.95,0.0,130.949,128.28,130.0,1.0,727000
FSLR,2010-08-10,129.22,129.95,127.09,128.38,807700,129.22,0.0,129.95,127.09,128.38,1.0,807700
FSLR,2010-08-11,125.44,127.97,123.87,126.95,1801800,125.44,0.0,127.97,123.87,126.95,1.0,1801800
FSLR,2010-08-12,124.65,125.75,123.01,123.01,1308700,124.65,0.0,125.75,123.01,123.01,1.0,1308700
FSLR,2010-08-13,124.52,126.85,124.07,124.07,704900,124.52,0.0,126.85,124.07,124.07,1.0,704900
FSLR,2010-08-16,125.05,126.4,122.48,123.91,661400,125.05,0.0,126.4,122.48,123.91,1.0,661400
FSLR,2010-08-17,125.86,127.41,124.89,127.41,1000800,125.86,0.0,127.41,124.89,127.41,1.0,1000800
FSLR,2010-08-18,125.08,126.8,124.31,126.46,763600,125.08,0.0,126.8,124.31,126.46,1.0,763600
FSLR,2010-08-19,123.21,124.74,122.13,124.21,1253400,123.21,0.0,124.74,122.13,124.21,1.0,1253400
FSLR,2010-08-20,125.03,125.04,121.72,122.82,1160800,125.03,0.0,125.04,121.72,122.82,1.0,1160800
FSLR,2010-08-23,126.29,130.4699,126.27,128.23,1718900,126.29,0.0,130.4699,126.27,128.23,1.0,1718900
FSLR,2010-08-24,125.16,127.92,122.1,124.11,1933800,125.16,0.0,127.92,122.1,124.11,1.0,1933800
FSLR,2010-08-25,124.98,125.25,122.0,123.68,1130000,124.98,0.0,125.25,122.0,123.68,1.0,1130000
FSLR,2010-08-26,126.68,130.138,126.31,126.96,1420600,126.68,0.0,130.138,126.31,126.96,1.0,1420600
FSLR,2010-08-27,128.88,129.55,124.84,127.98,1083400,128.88,0.0,129.55,124.84,127.98,1.0,1083400
FSLR,2010-08-30,126.28,129.49,126.28,128.14,778200,126.28,0.0,129.49,126.28,128.14,1.0,778200
FSLR,2010-08-31,127.85,128.53,124.71,125.0,835600,127.85,0.0,128.53,124.71,125.0,1.0,835600
FSLR,2010-09-01,130.17,130.57,127.71,129.3,1356500,130.17,0.0,130.57,127.71,129.3,1.0,1356500
FSLR,2010-09-02,134.89,135.53,129.89,130.0,2174000,134.89,0.0,135.53,129.89,130.0,1.0,2174000
FSLR,2010-09-03,136.45,137.8,135.25,136.9483,1380700,136.45,0.0,137.8,135.25,136.9483,1.0,1380700
FSLR,2010-09-07,134.79,136.22,134.0,134.67,1147800,134.79,0.0,136.22,134.0,134.67,1.0,1147800
FSLR,2010-09-08,137.25,139.15,135.21,135.55,1318200,137.25,0.0,139.15,135.21,135.55,1.0,1318200
FSLR,2010-09-09,138.34,139.64,137.8,139.22,1087700,138.34,0.0,139.64,137.8,139.22,1.0,1087700
FSLR,2010-09-10,138.41,140.0,136.94,137.49,873400,138.41,0.0,140.0,136.94,137.49,1.0,873400
FSLR,2010-09-13,138.85,140.94,137.51,140.0,1124400,138.85,0.0,140.94,137.51,140.0,1.0,1124400
FSLR,2010-09-14,141.27,142.75,137.5801,138.08,1801600,141.27,0.0,142.75,137.5801,138.08,1.0,1801600
FSLR,2010-09-15,140.26,141.34,138.7,141.27,1013600,140.26,0.0,141.34,138.7,141.27,1.0,1013600
FSLR,2010-09-16,144.74,145.75,140.93,141.7,2188000,144.74,0.0,145.75,140.93,141.7,1.0,2188000
FSLR,2010-09-17,144.88,145.28,142.88,144.81,2992700,144.88,0.0,145.28,142.88,144.81,1.0,2992700
FSLR,2010-09-20,145.82,146.7,144.0,146.13,1202200,145.82,0.0,146.7,144.0,146.13,1.0,1202200
FSLR,2010-09-21,146.0,148.16,145.19,145.19,989100,146.0,0.0,148.16,145.19,145.19,1.0,989100
FSLR,2010-09-22,143.55,146.9,142.92,146.1,805500,143.55,0.0,146.9,142.92,146.1,1.0,805500
FSLR,2010-09-23,143.23,145.4,142.0,143.0,976800,143.23,0.0,145.4,142.0,143.0,1.0,976800
FSLR,2010-09-24,147.09,147.5,144.5,145.27,1247800,147.09,0.0,147.5,144.5,145.27,1.0,1247800
FSLR,2010-09-27,147.91,149.3,145.85,147.24,1052800,147.91,0.0,149.3,145.85,147.24,1.0,1052800
FSLR,2010-09-28,148.52,151.0,146.31,149.8,1166800,148.52,0.0,151.0,146.31,149.8,1.0,1166800
FSLR,2010-09-29,149.27,151.39,145.95,147.99,1553300,149.27,0.0,151.39,145.95,147.99,1.0,1553300
FSLR,2010-09-30,147.35,151.17,146.07,150.9,1665800,147.35,0.0,151.17,146.07,150.9,1.0,1665800
