symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GALTU,2012-03-23,9.0,9.0,8.3,8.3,298660,9.0,0.0,9.0,8.3,8.3,1.0,298660
GALTU,2012-03-26,9.4,9.4,8.75,8.99,229460,9.4,0.0,9.4,8.75,8.99,1.0,229460
GALTU,2012-03-27,9.9,10.1,9.48,10.1,125200,9.9,0.0,10.1,9.48,10.1,1.0,125200
GALTU,2012-03-28,9.41,9.9,9.4,9.88,60003,9.41,0.0,9.9,9.4,9.88,1.0,60003
GALTU,2012-03-29,9.24,9.4,9.0,9.4,14050,9.24,0.0,9.4,9.0,9.4,1.0,14050
GALTU,2012-03-30,9.1,9.1,9.0,9.03,5700,9.1,0.0,9.1,9.0,9.03,1.0,5700
GALTU,2012-04-02,9.15,9.5,9.1,9.5,5000,9.15,0.0,9.5,9.1,9.5,1.0,5000
GALTU,2012-04-03,9.15,9.1501,9.13,9.1501,4600,9.15,0.0,9.1501,9.13,9.1501,1.0,4600
GALTU,2012-04-04,8.81,8.81,8.81,8.81,100,8.81,0.0,8.81,8.81,8.81,1.0,100
GALTU,2012-04-05,8.5,8.6,8.5,8.6,1550,8.5,0.0,8.6,8.5,8.6,1.0,1550
GALTU,2012-04-09,8.5,8.5,8.5,8.5,0,8.5,0.0,8.5,8.5,8.5,1.0,0
GALTU,2012-04-10,8.5,8.5,8.5,8.5,7405,8.5,0.0,8.5,8.5,8.5,1.0,7405
GALTU,2012-04-11,8.45,8.7501,8.45,8.7501,4850,8.45,0.0,8.7501,8.45,8.7501,1.0,4850
GALTU,2012-04-12,7.5,8.0,7.1,8.0,10350,7.5,0.0,8.0,7.1,8.0,1.0,10350
GALTU,2012-04-13,6.8699,7.1,6.51,7.0,6950,6.8699,0.0,7.1,6.51,7.0,1.0,6950
GALTU,2012-04-16,6.4201,6.51,6.4101,6.51,6000,6.4201,0.0,6.51,6.4101,6.51,1.0,6000
GALTU,2012-04-17,6.65,6.7,6.63,6.7,1100,6.65,0.0,6.7,6.63,6.7,1.0,1100
GALTU,2012-04-18,6.5,6.55,6.5,6.55,400,6.5,0.0,6.55,6.5,6.55,1.0,400
GALTU,2012-04-19,6.8,6.8,6.79,6.79,2901,6.8,0.0,6.8,6.79,6.79,1.0,2901
GALTU,2012-04-20,6.8,6.8,6.8,6.8,0,6.8,0.0,6.8,6.8,6.8,1.0,0
GALTU,2012-04-23,6.8,6.8,6.8,6.8,0,6.8,0.0,6.8,6.8,6.8,1.0,0
GALTU,2012-04-24,6.5101,6.5101,6.5101,6.5101,500,6.5101,0.0,6.5101,6.5101,6.5101,1.0,500
GALTU,2012-04-25,6.5101,6.5101,6.5101,6.5101,0,6.5101,0.0,6.5101,6.5101,6.5101,1.0,0
GALTU,2012-04-26,6.5101,6.5101,6.5101,6.5101,0,6.5101,0.0,6.5101,6.5101,6.5101,1.0,0
GALTU,2012-04-27,6.81,6.81,6.5701,6.5701,200,6.81,0.0,6.81,6.5701,6.5701,1.0,200
GALTU,2012-04-30,6.81,6.81,6.81,6.81,0,6.81,0.0,6.81,6.81,6.81,1.0,0
GALTU,2012-05-01,6.65,6.65,6.55,6.57,2300,6.65,0.0,6.65,6.55,6.57,1.0,2300
GALTU,2012-05-02,6.65,6.65,6.65,6.65,0,6.65,0.0,6.65,6.65,6.65,1.0,0
GALTU,2012-05-03,6.74,6.74,6.74,6.74,100,6.74,0.0,6.74,6.74,6.74,1.0,100
GALTU,2012-05-04,6.4,6.64,6.39,6.6399,4072,6.4,0.0,6.64,6.39,6.6399,1.0,4072
GALTU,2012-05-07,6.4,6.4,6.4,6.4,0,6.4,0.0,6.4,6.4,6.4,1.0,0
