symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GNTX,2010-01-04,7.6509631119,7.6509631119,7.5043929373,7.5211438144,1461600,18.27,0.0,18.27,17.92,17.96,1.0,730800
GNTX,2010-01-05,7.8896631104,7.9023000508,7.5695272875,7.6958966913,1936600,18.73,0.11,18.76,17.97,18.27,1.0,968300
GNTX,2010-01-06,7.8980877374,7.9991832604,7.8349030355,7.8643892297,2536000,18.75,0.0,18.99,18.6,18.67,1.0,1268000
GNTX,2010-01-07,7.8938754239,7.9191493047,7.8391153489,7.8686015431,1842600,18.74,0.0,18.8,18.61,18.68,1.0,921300
GNTX,2010-01-08,7.9065123643,7.9486354989,7.8601769162,7.8601769162,1113000,18.77,0.0,18.87,18.66,18.66,1.0,556500
GNTX,2010-01-11,7.830690722,7.9696549431,7.8222660951,7.9149369912,1277600,18.59,0.0,18.9199,18.57,18.79,1.0,638800
GNTX,2010-01-12,7.620075049,7.8222660951,7.4894933318,7.8096291547,2489600,18.09,0.0,18.57,17.78,18.54,1.0,1244800
GNTX,2010-01-13,7.7632937067,7.784355274,7.5948011683,7.6706228105,1349800,18.43,0.0,18.48,18.03,18.21,1.0,674900
GNTX,2010-01-14,7.7127459451,7.7632937067,7.6495612432,7.7632937067,973200,18.31,0.0,18.43,18.16,18.43,1.0,486600
GNTX,2010-01-15,7.7001090048,7.8812384835,7.6685166538,7.7717183336,1656200,18.28,0.0,18.71,18.205,18.45,1.0,828100
GNTX,2010-01-19,7.7717183336,7.7758464008,7.6706228105,7.7380198259,1493400,18.45,0.0,18.4598,18.21,18.37,1.0,746700
GNTX,2010-01-20,7.6537735567,7.7632937067,7.5863765413,7.7085336317,1538400,18.17,0.0,18.43,18.01,18.3,1.0,769200
GNTX,2010-01-21,7.5821642279,7.7380198259,7.5779519144,7.6832597509,2083000,18.0,0.0,18.37,17.99,18.24,1.0,1041500
GNTX,2010-01-22,7.4052470626,7.6074381086,7.3757608683,7.5990134817,1426600,17.58,0.0,18.06,17.51,18.04,1.0,713300
GNTX,2010-01-25,7.3589116145,7.565314974,7.3252131068,7.4852810183,1331400,17.47,0.0,17.96,17.39,17.77,1.0,665700
GNTX,2010-01-26,7.3420623607,7.4431578837,7.2873022857,7.3589116145,1461400,17.43,0.0,17.67,17.3,17.47,1.0,730700
GNTX,2010-01-27,7.3504869876,7.363123928,6.9671664627,7.0472004185,2642800,17.45,0.0,17.48,16.54,16.73,1.0,1321400
GNTX,2010-01-28,7.9107246777,8.4246269199,7.6116504221,8.3172129266,9619000,18.78,0.0,20.0,18.07,19.745,1.0,4809500
GNTX,2010-01-29,8.0750049027,8.2982575161,7.9991832604,8.0033955739,8051200,19.17,0.0,19.7,18.99,19.0,1.0,4025600
GNTX,2010-02-01,8.3445929641,8.3698668449,8.0497310219,8.0497310219,6689400,19.81,0.0,19.87,19.11,19.11,1.0,3344700
GNTX,2010-02-02,8.4288392333,8.4835993083,8.2477097545,8.3361683372,4080000,20.01,0.0,20.14,19.58,19.79,1.0,2040000
GNTX,2010-02-03,8.4330515468,8.4583254275,8.2603466949,8.3656545314,3566000,20.02,0.0,20.08,19.61,19.86,1.0,1783000
GNTX,2010-02-04,8.2013743065,8.3445929641,8.1087034104,8.3445929641,3514400,19.47,0.0,19.81,19.25,19.81,1.0,1757200
GNTX,2010-02-05,7.9739093796,8.1718881123,7.775930647,8.1676757988,3228600,18.93,0.0,19.4,18.46,19.39,1.0,1614300
GNTX,2010-02-08,7.8264784085,8.0033955739,7.784355274,8.0033955739,2126800,18.58,0.0,19.0,18.48,19.0,1.0,1063400
GNTX,2010-02-09,7.8601769162,7.9696970662,7.7717183336,7.8980877374,1938200,18.66,0.0,18.92,18.45,18.75,1.0,969100
GNTX,2010-02-10,7.8054168413,7.9149369912,7.7506567663,7.8222660951,1748400,18.53,0.0,18.79,18.4,18.57,1.0,874200
GNTX,2010-02-11,7.9149369912,7.9739093796,7.7001090048,7.784355274,2108000,18.79,0.0,18.93,18.28,18.48,1.0,1054000
GNTX,2010-02-12,7.931786245,7.9359985585,7.7043213182,7.8054168413,2743400,18.83,0.0,18.84,18.29,18.53,1.0,1371700
GNTX,2010-02-16,8.0918541565,8.142401918,7.9065123643,7.9991832604,3437200,19.21,0.0,19.33,18.77,18.99,1.0,1718600
GNTX,2010-02-17,8.2814082622,8.3193190834,8.0792172161,8.0792172161,4448400,19.66,0.0,19.75,19.18,19.18,1.0,2224200
GNTX,2010-02-18,8.1803127392,8.3319560237,8.1676757988,8.2982575161,2803800,19.42,0.0,19.78,19.39,19.7,1.0,1401900
GNTX,2010-02-19,8.2013743065,8.2350728142,8.0623679623,8.1634634853,1565400,19.47,0.0,19.55,19.14,19.38,1.0,782700
GNTX,2010-02-22,8.2182235603,8.2687713218,8.0665802758,8.2477097545,2317600,19.51,0.0,19.63,19.15,19.58,1.0,1158800
GNTX,2010-02-23,8.150826545,8.2561343815,8.1129157238,8.1761004257,2373600,19.35,0.0,19.6,19.26,19.41,1.0,1186800
