symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GOOG,2014-03-27,558.46,568.0,552.92,568.0,13100,558.46,0.0,568.0,552.92,568.0,1.0,13100
GOOG,2014-03-28,559.99,566.43,558.67,561.2,41100,559.99,0.0,566.43,558.67,561.2,1.0,41100
GOOG,2014-03-31,556.97,567.0,556.93,566.89,10800,556.97,0.0,567.0,556.93,566.89,1.0,10800
GOOG,2014-04-01,567.16,568.45,558.71,558.71,7900,567.16,0.0,568.45,558.71,558.71,1.0,7900
GOOG,2014-04-02,567.0,604.83,562.19,565.106,146700,567.0,0.0,604.83,562.19,565.106,1.0,146700
GOOG,2014-04-03,569.74,587.28,564.13,569.85,5085200,569.74,0.0,587.28,564.13,569.85,1.0,5085200
GOOG,2014-04-04,543.14,577.77,543.0,574.65,6351900,543.14,0.0,577.77,543.0,574.65,1.0,6351900
GOOG,2014-04-07,538.15,548.48,527.15,540.74,4389600,538.15,0.0,548.48,527.15,540.74,1.0,4389600
GOOG,2014-04-08,554.9,555.0,541.61,542.6,3142600,554.9,0.0,555.0,541.61,542.6,1.0,3142600
GOOG,2014-04-09,564.14,565.37,552.95,559.62,3321700,564.14,0.0,565.37,552.95,559.62,1.0,3321700
GOOG,2014-04-10,540.95,565.0,539.9,565.0,4025800,540.95,0.0,565.0,539.9,565.0,1.0,4025800
GOOG,2014-04-11,530.6,540.0,526.53,532.55,3914100,530.6,0.0,540.0,526.53,532.55,1.0,3914100
GOOG,2014-04-14,532.52,544.1,529.561,538.25,2568000,532.52,0.0,544.1,529.561,538.25,1.0,2568000
GOOG,2014-04-15,536.44,538.45,518.4601,536.82,3844500,536.44,0.0,538.45,518.4601,536.82,1.0,3844500
GOOG,2014-04-16,556.54,557.0,540.0,543.0,4879900,556.54,0.0,557.0,540.0,543.0,1.0,4879900
GOOG,2014-04-17,536.1,549.5,531.15,548.81,6790900,536.1,0.0,549.5,531.15,548.81,1.0,6790900
GOOG,2014-04-21,528.62,536.7,525.6,536.1,2559700,528.62,0.0,536.7,525.6,536.1,1.0,2559700
GOOG,2014-04-22,534.81,537.23,527.51,528.64,2358900,534.81,0.0,537.23,527.51,528.64,1.0,2358900
GOOG,2014-04-23,526.94,533.87,526.25,533.79,2046700,526.94,0.0,533.87,526.25,533.79,1.0,2046700
GOOG,2014-04-24,525.16,531.65,522.12,530.07,1878000,525.16,0.0,531.65,522.12,530.07,1.0,1878000
GOOG,2014-04-25,516.18,524.7,515.42,522.51,2094600,516.18,0.0,524.7,515.42,522.51,1.0,2094600
GOOG,2014-04-28,517.15,518.6,502.8,517.18,3326400,517.15,0.0,518.6,502.8,517.18,1.0,3326400
GOOG,2014-04-29,527.7,529.46,516.32,516.9,2691700,527.7,0.0,529.46,516.32,516.9,1.0,2691700
GOOG,2014-04-30,526.66,528.0,522.52,527.6,1746400,526.66,0.0,528.0,522.52,527.6,1.0,1746400
