symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
GS,2010-01-04,153.8098401851,154.8495762205,150.637312282,151.1171904522,9135000,173.08,0.0,174.25,169.51,170.05,1.0,9135000
GS,2010-01-05,156.5291498163,156.6357894097,153.3566219132,153.7387471228,11659400,176.14,0.0,176.26,172.57,173.0,1.0,11659400
GS,2010-01-06,154.8584628533,155.8537657249,154.4141312142,155.8537657249,7381100,174.26,0.0,175.38,173.76,175.38,1.0,7381100
GS,2010-01-07,157.8888046319,158.8485609723,154.5829772371,154.91178265,8727400,177.67,0.0,178.75,173.95,174.32,1.0,8727400
GS,2010-01-08,154.9028960172,157.6755254451,154.5829772371,156.6979958391,7268100,174.31,0.0,177.43,173.95,176.33,1.0,7268100
GS,2010-01-11,152.4590720023,155.5693934759,151.534862193,155.5693934759,7704900,171.56,0.0,175.06,170.52,175.06,1.0,7704900
GS,2010-01-12,149.1354713419,151.4993156619,148.4334273522,151.0816439211,10360100,167.82,0.0,170.48,167.03,170.01,1.0,10360100
GS,2010-01-13,150.2463004396,150.7794984065,147.6247437691,149.3043173648,11269500,169.07,0.0,169.67,166.12,168.01,1.0,11269500
GS,2010-01-14,149.7664222694,151.7125948486,148.5956084004,149.295430732,10521400,168.53,0.0,170.72,167.2125,168.0,1.0,10521400
GS,2010-01-15,146.8160601859,149.1176980764,146.2562023207,148.9399654207,10896300,165.21,0.0,167.8,164.58,167.6,1.0,10896300
GS,2010-01-19,148.2823545949,148.7600111069,145.6519112915,146.6383275303,7705300,166.86,0.0,167.3975,163.9,165.01,1.0,7705300
GS,2010-01-20,149.1088114436,149.4553901221,146.0251498684,147.34037152,8893900,167.79,0.0,168.18,164.32,165.8,1.0,8893900
GS,2010-01-21,142.9592615587,151.9614205665,139.3157421182,150.4418063608,51738300,160.87,0.0,171.0,156.77,169.29,1.0,51738300
GS,2010-01-22,136.9607844311,141.9639586871,135.2989841009,141.0219756123,30175600,154.12,0.0,159.75,152.25,158.69,1.0,30175600
