symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HELE,2010-01-04,24.1,25.01,23.935,24.84,174000,24.1,0.0,25.01,23.935,24.84,1.0,174000
HELE,2010-01-05,23.04,23.99,23.0,23.99,174500,23.04,0.0,23.99,23.0,23.99,1.0,174500
HELE,2010-01-06,23.18,23.33,22.65,22.94,228000,23.18,0.0,23.33,22.65,22.94,1.0,228000
HELE,2010-01-07,24.36,24.46,22.91,23.13,250500,24.36,0.0,24.46,22.91,23.13,1.0,250500
HELE,2010-01-08,24.71,24.83,24.06,24.2,299300,24.71,0.0,24.83,24.06,24.2,1.0,299300
HELE,2010-01-11,23.4,25.0,22.35,24.73,772300,23.4,0.0,25.0,22.35,24.73,1.0,772300
HELE,2010-01-12,24.75,24.84,23.07,23.39,654700,24.75,0.0,24.84,23.07,23.39,1.0,654700
HELE,2010-01-13,25.14,25.19,24.48,24.78,249100,25.14,0.0,25.19,24.48,24.78,1.0,249100
HELE,2010-01-14,25.15,25.88,24.83,25.1,247100,25.15,0.0,25.88,24.83,25.1,1.0,247100
HELE,2010-01-15,25.3,25.45,25.01,25.28,297400,25.3,0.0,25.45,25.01,25.28,1.0,297400
HELE,2010-01-19,25.74,25.75,25.44,25.44,189500,25.74,0.0,25.75,25.44,25.44,1.0,189500
HELE,2010-01-20,25.13,25.74,24.89,25.45,124200,25.13,0.0,25.74,24.89,25.45,1.0,124200
HELE,2010-01-21,24.57,25.17,24.46,25.1,248000,24.57,0.0,25.17,24.46,25.1,1.0,248000
HELE,2010-01-22,24.61,24.95,24.235,24.59,253200,24.61,0.0,24.95,24.235,24.59,1.0,253200
HELE,2010-01-25,24.23,24.79,23.88,24.79,225300,24.23,0.0,24.79,23.88,24.79,1.0,225300
HELE,2010-01-26,24.07,24.33,23.93,24.22,139600,24.07,0.0,24.33,23.93,24.22,1.0,139600
HELE,2010-01-27,24.73,24.87,23.86,23.9,191300,24.73,0.0,24.87,23.86,23.9,1.0,191300
HELE,2010-01-28,24.1,24.83,23.41,24.83,130500,24.1,0.0,24.83,23.41,24.83,1.0,130500
HELE,2010-01-29,23.57,24.4481,23.35,24.12,215200,23.57,0.0,24.4481,23.35,24.12,1.0,215200
HELE,2010-02-01,23.84,23.94,23.45,23.61,80000,23.84,0.0,23.94,23.45,23.61,1.0,80000
HELE,2010-02-02,24.27,24.4,23.58,23.8,189700,24.27,0.0,24.4,23.58,23.8,1.0,189700
HELE,2010-02-03,24.31,24.47,23.72,24.1,125000,24.31,0.0,24.47,23.72,24.1,1.0,125000
HELE,2010-02-04,23.45,24.21,23.43,24.05,132700,23.45,0.0,24.21,23.43,24.05,1.0,132700
HELE,2010-02-05,23.57,23.79,22.621,23.43,183400,23.57,0.0,23.79,22.621,23.43,1.0,183400
HELE,2010-02-08,22.61,23.49,22.55,23.49,148700,22.61,0.0,23.49,22.55,23.49,1.0,148700
HELE,2010-02-09,22.94,23.11,22.4,22.83,149200,22.94,0.0,23.11,22.4,22.83,1.0,149200
HELE,2010-02-10,22.82,22.95,22.3,22.83,114400,22.82,0.0,22.95,22.3,22.83,1.0,114400
HELE,2010-02-11,23.3,23.3,22.5,22.68,127500,23.3,0.0,23.3,22.5,22.68,1.0,127500
HELE,2010-02-12,23.48,23.499,22.77,23.04,161900,23.48,0.0,23.499,22.77,23.04,1.0,161900
HELE,2010-02-16,23.99,23.99,23.41,23.62,82900,23.99,0.0,23.99,23.41,23.62,1.0,82900
HELE,2010-02-17,23.93,24.0,23.08,23.99,122000,23.93,0.0,24.0,23.08,23.99,1.0,122000
HELE,2010-02-18,24.43,24.45,23.468,23.95,141800,24.43,0.0,24.45,23.468,23.95,1.0,141800
HELE,2010-02-19,24.36,24.8,23.91,24.43,122900,24.36,0.0,24.8,23.91,24.43,1.0,122900
HELE,2010-02-22,24.35,24.4,23.84,24.39,60400,24.35,0.0,24.4,23.84,24.39,1.0,60400
HELE,2010-02-23,23.94,24.39,23.66,24.35,98600,23.94,0.0,24.39,23.66,24.35,1.0,98600
HELE,2010-02-24,24.32,24.41,23.93,23.95,108900,24.32,0.0,24.41,23.93,23.95,1.0,108900
HELE,2010-02-25,24.23,24.39,23.83,23.95,57300,24.23,0.0,24.39,23.83,23.95,1.0,57300
HELE,2010-02-26,24.17,24.38,23.87,24.21,89400,24.17,0.0,24.38,23.87,24.21,1.0,89400
HELE,2010-03-01,25.54,25.68,24.38,24.41,238100,25.54,0.0,25.68,24.38,24.41,1.0,238100
HELE,2010-03-02,25.88,26.0,25.48,25.54,269200,25.88,0.0,26.0,25.48,25.54,1.0,269200
HELE,2010-03-03,23.47,24.75,23.3,24.75,512600,23.47,0.0,24.75,23.3,24.75,1.0,512600
