symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HIHO,2010-01-04,0.9485356772,1.0585867779,0.9485356772,1.0533462493,24798,1.81,0.0,2.02,1.81,2.01,1.0,24798
HIHO,2010-01-05,0.9957004347,0.9957004347,0.8908898626,0.9694977916,51008,1.9,0.0,1.9,1.7,1.85,1.0,51008
HIHO,2010-01-06,1.0009409633,1.0585867779,1.0009409633,1.0166625491,13140,1.91,0.0,2.02,1.91,1.94,1.0,13140
HIHO,2010-01-07,1.0114220205,1.0114220205,1.0009409633,1.0061814919,9506,1.93,0.0,1.93,1.91,1.92,1.0,9506
HIHO,2010-01-08,1.0114220205,1.0114220205,1.0061814919,1.0061814919,4006,1.93,0.0,1.93,1.92,1.92,1.0,4006
HIHO,2010-01-11,1.1686378786,1.2472458076,1.0480533154,1.0481057207,65149,2.23,0.0,2.38,1.9999,2.0,1.0,65149
HIHO,2010-01-12,1.17440246,1.2996510937,1.17440246,1.189599993,28021,2.241,0.0,2.48,2.241,2.27,1.0,28021
HIHO,2010-01-13,1.2053215788,1.2053739841,1.137194707,1.137194707,14587,2.3,0.0,2.3001,2.17,2.17,1.0,14587
HIHO,2010-01-14,1.1948929269,1.2053215788,1.1319541784,1.2053215788,6900,2.2801,0.0,2.3,2.16,2.3,1.0,6900
HIHO,2010-01-15,1.1791189358,1.2367647504,1.1319541784,1.1529162928,8578,2.25,0.0,2.36,2.16,2.2,1.0,8578
HIHO,2010-01-19,1.1057515353,1.1424352356,1.1057515353,1.137194707,26947,2.11,0.0,2.18,2.11,2.17,1.0,26947
HIHO,2010-01-20,1.0166625491,1.1738784072,1.0166625491,1.0533462493,10679,1.94,0.0,2.24,1.94,2.01,1.0,10679
HIHO,2010-01-21,0.9694977916,1.0522981436,0.9694977916,0.9799788488,15056,1.85,0.0,2.008,1.85,1.87,1.0,15056
HIHO,2010-01-22,0.9170925056,0.9694977916,0.8437251052,0.9537762058,45611,1.75,0.0,1.85,1.61,1.82,1.0,45611
HIHO,2010-01-25,1.0564905665,1.2577268648,0.9957004347,1.0219030777,46184,2.016,0.0,2.4,1.9,1.95,1.0,46184
HIHO,2010-01-26,0.9747383202,1.0375722582,0.9223330342,1.0219030777,5281,1.86,0.0,1.9799,1.76,1.95,1.0,5281
HIHO,2010-01-27,0.9852193775,1.0219030777,0.9537762058,0.9537762058,1675,1.88,0.0,1.95,1.82,1.82,1.0,1675
HIHO,2010-01-28,0.9432951486,0.9747383202,0.9432951486,0.9747383202,2800,1.8,0.0,1.86,1.8,1.86,1.0,2800
HIHO,2010-01-29,0.9338621971,0.9852193775,0.9170401003,0.9537762058,6957,1.782,0.0,1.88,1.7499,1.82,1.0,6957
HIHO,2010-02-01,1.0638797118,1.1476757642,0.9537762058,0.9537762058,59198,2.0301,0.0,2.19,1.82,1.82,1.0,59198
HIHO,2010-02-02,1.1057515353,1.2367647504,1.0743083637,1.2367647504,26300,2.11,0.0,2.36,2.05,2.36,1.0,26300
HIHO,2010-02-03,1.1058039406,1.1843594644,1.1058039406,1.1843594644,2900,2.1101,0.0,2.26,2.1101,2.26,1.0,2900
HIHO,2010-02-04,1.0952704781,1.1738784072,1.0952704781,1.1738784072,20925,2.09,0.0,2.24,2.09,2.24,1.0,20925
HIHO,2010-02-05,1.1162325925,1.1529162928,1.0952704781,1.0952704781,6195,2.13,0.0,2.2,2.09,2.09,1.0,6195
HIHO,2010-02-08,1.0124701262,1.0847894209,1.0061814919,1.0533986546,10458,1.932,0.0,2.07,1.92,2.0101,1.0,10458
HIHO,2010-02-09,0.964257263,1.0113696152,0.9537762058,0.9537762058,14678,1.84,0.0,1.9299,1.82,1.82,1.0,14678
