symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HIMX,2010-01-04,2.2698590963,2.2698590963,2.0112675537,2.0615492426,725236,3.16,0.0,3.16,2.8,2.87,1.0,725236
HIMX,2010-01-05,2.2770421947,2.2914083916,2.2267605059,2.2914083916,235885,3.17,0.0,3.19,3.1,3.19,1.0,235885
HIMX,2010-01-06,2.2698590963,2.2770421947,2.2483098011,2.2698590963,134406,3.16,0.0,3.17,3.13,3.16,1.0,134406
HIMX,2010-01-07,2.2195774075,2.2554928995,2.2123943091,2.2483098011,361202,3.09,0.0,3.14,3.08,3.13,1.0,361202
HIMX,2010-01-08,2.2123943091,2.2123943091,2.1692957187,2.1908450139,214532,3.08,0.0,3.08,3.02,3.05,1.0,214532
HIMX,2010-01-11,2.2123943091,2.2195774075,2.1908450139,2.1908450139,133736,3.08,0.0,3.09,3.05,3.05,1.0,133736
HIMX,2010-01-12,2.1908450139,2.2052112107,2.1692957187,2.1692957187,118438,3.05,0.0,3.07,3.02,3.02,1.0,118438
HIMX,2010-01-13,2.1908450139,2.2195774075,2.1692957187,2.1692957187,189259,3.05,0.0,3.09,3.02,3.02,1.0,189259
HIMX,2010-01-14,2.2267605059,2.2554928995,2.1908450139,2.1980281123,246662,3.1,0.0,3.14,3.05,3.06,1.0,246662
HIMX,2010-01-15,2.2698590963,2.29859149,2.2195774075,2.2554928995,362771,3.16,0.0,3.2,3.09,3.14,1.0,362771
HIMX,2010-01-19,2.2554928995,2.29859149,2.2411267027,2.2626759979,209452,3.14,0.0,3.2,3.12,3.15,1.0,209452
HIMX,2010-01-20,2.2339436043,2.2770421947,2.1908450139,2.2626759979,383962,3.11,0.0,3.17,3.05,3.15,1.0,383962
HIMX,2010-01-21,2.1836619155,2.2339436043,2.1836619155,2.2123943091,169031,3.04,0.0,3.11,3.04,3.08,1.0,169031
HIMX,2010-01-22,2.1549295218,2.1836619155,2.1477464234,2.1836619155,329855,3.0,0.0,3.04,2.99,3.04,1.0,329855
HIMX,2010-01-25,2.0974647346,2.2472323364,2.0830985378,2.2411267027,374104,2.92,0.0,3.1285,2.9,3.12,1.0,374104
HIMX,2010-01-26,2.0830985378,2.1621126203,2.0759154394,2.0830985378,392158,2.9,0.0,3.01,2.89,2.9,1.0,392158
HIMX,2010-01-27,2.1477464234,2.1477464234,2.0830985378,2.0830985378,88882,2.99,0.0,2.99,2.9,2.9,1.0,88882
HIMX,2010-01-28,2.1118309314,2.1549295218,2.1118309314,2.1549295218,142019,2.94,0.0,3.0,2.94,3.0,1.0,142019
