symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
HRTX,2010-01-04,28.0,28.0,25.2,26.6,14400,1.4,0.0,1.4,1.26,1.33,1.0,288000
HRTX,2010-01-05,26.6,27.0,26.2,26.8,10500,1.33,0.0,1.35,1.31,1.34,1.0,210000
HRTX,2010-01-06,27.0,27.6,26.6,26.6,4900,1.35,0.0,1.38,1.33,1.33,1.0,98000
HRTX,2010-01-07,28.2,28.2,26.6,27.6,8500,1.41,0.0,1.41,1.33,1.38,1.0,170000
HRTX,2010-01-08,30.4,33.0,28.6,30.0,26800,1.52,0.0,1.65,1.43,1.5,1.0,536000
HRTX,2010-01-11,31.8,37.0,30.4,37.0,13200,1.59,0.0,1.85,1.52,1.85,1.0,264000
HRTX,2010-01-12,30.4,33.8,29.8,33.8,8300,1.52,0.0,1.69,1.49,1.69,1.0,166000
HRTX,2010-01-13,29.6,31.0,26.6,31.0,8700,1.48,0.0,1.55,1.33,1.55,1.0,174000
HRTX,2010-01-14,26.8,29.0,26.8,29.0,8600,1.34,0.0,1.45,1.34,1.45,1.0,172000
HRTX,2010-01-15,26.8,29.0,26.0,27.0,10200,1.34,0.0,1.45,1.3,1.35,1.0,204000
HRTX,2010-01-19,27.8,28.8,26.2,26.4,7600,1.39,0.0,1.44,1.31,1.32,1.0,152000
HRTX,2010-01-20,28.2,28.8,27.0,28.0,7200,1.41,0.0,1.44,1.35,1.4,1.0,144000
HRTX,2010-01-21,26.8,28.4,26.8,28.4,2800,1.34,0.0,1.42,1.34,1.42,1.0,56000
HRTX,2010-01-22,26.56,27.186,26.0,27.0,5700,1.328,0.0,1.3593,1.3,1.35,1.0,114000
HRTX,2010-01-25,27.2,30.0,26.4,29.2,7300,1.36,0.0,1.5,1.32,1.46,1.0,146000
HRTX,2010-01-26,27.2,28.0,26.4,26.4,3900,1.36,0.0,1.4,1.32,1.32,1.0,78000
HRTX,2010-01-27,26.2,28.24,26.0,26.8,3700,1.31,0.0,1.412,1.3,1.34,1.0,74000
HRTX,2010-01-28,28.4,28.4,26.198,27.4,5600,1.42,0.0,1.42,1.3099,1.37,1.0,112000
HRTX,2010-01-29,27.4,27.6,26.418,27.4,2500,1.37,0.0,1.38,1.3209,1.37,1.0,50000
HRTX,2010-02-01,26.8,27.4,26.8,27.202,5300,1.34,0.0,1.37,1.34,1.3601,1.0,106000
HRTX,2010-02-02,26.8,27.8,26.2,26.8,6600,1.34,0.0,1.39,1.31,1.34,1.0,132000
HRTX,2010-02-03,28.8,31.6,26.8,27.0,51800,1.44,0.0,1.58,1.34,1.35,1.0,1036000
HRTX,2010-02-04,29.4,34.0,28.6,29.8,18500,1.47,0.0,1.7,1.43,1.49,1.0,370000
HRTX,2010-02-05,31.2,33.2,27.6,29.2,39300,1.56,0.0,1.66,1.38,1.46,1.0,786000
HRTX,2010-02-08,33.2,34.0,31.6,32.4,35200,1.66,0.0,1.7,1.58,1.62,1.0,704000
HRTX,2010-02-09,33.0,34.398,32.8,34.0,21400,1.65,0.0,1.7199,1.64,1.7,1.0,428000
HRTX,2010-02-10,38.8,41.0,33.0,33.8,68100,1.94,0.0,2.05,1.65,1.69,1.0,1362000
HRTX,2010-02-11,38.0,43.2,35.8,40.0,75700,1.9,0.0,2.16,1.79,2.0,1.0,1514000
HRTX,2010-02-12,41.0,41.0,35.8,37.6,32300,2.05,0.0,2.05,1.79,1.88,1.0,646000
HRTX,2010-02-16,40.0,42.4,39.0,41.0,39800,2.0,0.0,2.12,1.95,2.05,1.0,796000
HRTX,2010-02-17,38.6,40.398,38.0,39.4,19600,1.93,0.0,2.0199,1.9,1.97,1.0,392000
HRTX,2010-02-18,35.52,40.0,34.4,40.0,32700,1.776,0.0,2.0,1.72,2.0,1.0,654000
HRTX,2010-02-19,36.4,37.2,34.6,35.0,25000,1.82,0.0,1.86,1.73,1.75,1.0,500000
HRTX,2010-02-22,35.8,38.202,35.2,37.6,15300,1.79,0.0,1.9101,1.76,1.88,1.0,306000
HRTX,2010-02-23,38.0,39.4,35.2,36.6,42200,1.9,0.0,1.97,1.76,1.83,1.0,844000
HRTX,2010-02-24,38.4,41.0,37.2,39.0,44200,1.92,0.0,2.05,1.86,1.95,1.0,884000
HRTX,2010-02-25,38.0,39.298,37.6,38.8,20700,1.9,0.0,1.9649,1.88,1.94,1.0,414000
HRTX,2010-02-26,37.4,40.0,36.0,40.0,35800,1.87,0.0,2.0,1.8,2.0,1.0,716000
HRTX,2010-03-01,38.6,38.6,35.6,37.0,22000,1.93,0.0,1.93,1.78,1.85,1.0,440000
HRTX,2010-03-02,38.6,40.8,37.4,40.2,55400,1.93,0.0,2.04,1.87,2.01,1.0,1108000
HRTX,2010-03-03,37.4,40.2,37.2,39.0,51700,1.87,0.0,2.01,1.86,1.95,1.0,1034000
HRTX,2010-03-04,37.2,38.598,36.2,37.6,31000,1.86,0.0,1.9299,1.81,1.88,1.0,620000
HRTX,2010-03-05,38.0,38.0,35.0,37.0,45300,1.9,0.0,1.9,1.75,1.85,1.0,906000
HRTX,2010-03-08,37.8,37.8,36.0,37.4,23900,1.89,0.0,1.89,1.8,1.87,1.0,478000
HRTX,2010-03-09,37.4,37.4,36.0,37.0,20700,1.87,0.0,1.87,1.8,1.85,1.0,414000
