symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
IBM,2010-01-04,105.8187154882,106.2341608038,104.5404222093,104.8040701981,6155300,132.45,0.0,132.97,130.85,131.18,1.0,6155300
IBM,2010-01-05,104.5404222093,105.3393555086,103.9412222349,105.2035368477,6841400,130.85,0.0,131.85,130.1,131.68,1.0,6841400
IBM,2010-01-06,103.8613289049,105.0517395209,103.7095315781,104.4046035484,5605300,130.0,0.0,131.49,129.81,130.68,1.0,5605300
IBM,2010-01-07,103.5018089203,104.0610622298,102.9904916087,103.757467576,5840600,129.55,0.0,130.25,128.91,129.87,1.0,5840600
IBM,2010-01-08,104.5404222093,104.5962676469,103.1023422706,103.1183209366,4197200,130.85,0.0,130.9199,129.05,129.07,1.0,4197200
IBM,2010-01-11,103.4458835893,104.7081982022,102.7987476169,104.7081982022,5730400,129.48,0.0,131.06,128.67,131.06,1.0,5730400
IBM,2010-01-12,104.2687848876,104.923910193,103.0623956057,103.0863636047,8081500,130.51,0.0,131.33,129.0,129.03,1.0,8081500
IBM,2010-01-13,104.0450835638,104.7561342001,103.1902249336,104.1729128917,6455400,130.23,0.0,131.12,129.16,130.39,1.0,6455400
IBM,2010-01-14,105.7068648263,106.026438146,103.789424908,104.3007422195,7111800,132.31,0.0,132.71,129.91,130.55,1.0,7111800
IBM,2010-01-15,105.2834301776,106.1702461398,104.7313672679,105.4831635025,8494400,131.78,0.0,132.89,131.089,132.03,1.0,8494400
IBM,2010-01-19,107.1689127639,107.2567954268,105.1076648518,105.1635901828,13916200,134.14,0.0,134.25,131.56,131.63,1.0,13916200
IBM,2010-01-20,104.0610622298,104.7801021991,103.0224489407,104.2288382226,15197500,130.25,0.0,131.15,128.95,130.46,1.0,15197500
IBM,2010-01-21,103.0623956057,104.4125928814,102.3113983044,104.2368275556,9608600,129.0,0.0,130.69,128.06,130.47,1.0,9608600
IBM,2010-01-22,100.2661290582,102.9745129428,100.1622677293,102.7987476169,10088600,125.5,0.0,128.89,125.37,128.67,1.0,10088600
IBM,2010-01-25,100.7614677038,101.3806410107,100.4339050511,100.9292436966,5738500,126.12,0.0,126.895,125.71,126.33,1.0,5738500
IBM,2010-01-26,100.4658623831,102.0637289816,100.1942250613,100.6016810439,7135300,125.75,0.0,127.75,125.41,125.92,1.0,7135300
IBM,2010-01-27,100.9292436966,101.4325716752,99.8986197406,100.521787714,8719200,126.33,0.0,126.96,125.04,125.82,1.0,8719200
IBM,2010-01-28,98.8679957845,101.4964863391,98.308742475,101.4884970061,9622200,123.75,0.0,127.04,123.05,127.03,1.0,9622200
IBM,2010-01-29,97.7814464975,99.8666624086,97.3899691809,99.3233877651,11571200,122.39,0.0,125.0,121.9,124.32,1.0,11571200
IBM,2010-02-01,99.6030144198,99.8267157436,98.0930304842,98.4525504689,7242900,124.67,0.0,124.95,122.78,123.23,1.0,7242900
IBM,2010-02-02,100.2900970572,100.513798381,99.0277824444,99.6988864158,5899900,125.53,0.0,125.81,123.95,124.79,1.0,5899900
IBM,2010-02-03,100.3939583861,100.7215210388,99.9225877396,99.9944917365,4177100,125.66,0.0,126.07,125.07,125.16,1.0,4177100
IBM,2010-02-04,98.2687958101,100.2181930603,98.1889024801,100.0184597355,9126900,123.0,0.0,125.44,122.9,125.19,1.0,9126900
IBM,2010-02-05,98.2448278111,98.8440277855,97.3340438499,98.300753142,8617000,122.97,0.0,123.72,121.83,123.04,1.0,8617000
IBM,2010-02-08,97.8134038295,98.8888055454,97.7010484263,98.8326278438,5718500,121.88,0.55,123.22,121.74,123.15,1.0,5718500
IBM,2010-02-09,98.8807801594,99.6752933674,98.278876214,98.4313585468,6044500,123.21,0.0,124.2,122.46,122.65,1.0,6044500
IBM,2010-02-10,98.5597647218,99.2338971408,98.0782415655,98.6640947391,5219100,122.81,0.0,123.65,122.21,122.94,1.0,5219100
IBM,2010-02-11,99.2981002283,99.6752933674,97.9578607764,98.3751808452,5089000,123.73,0.0,124.2,122.06,122.58,1.0,5089000
IBM,2010-02-12,99.5147856486,99.5549125783,97.5967184091,98.7202724406,8017700,124.0,0.0,124.05,121.61,123.01,1.0,8017700
IBM,2010-02-16,100.5019081192,100.5019081192,99.603064894,100.2450957691,6777300,125.23,0.0,125.23,124.11,124.91,1.0,6777300
IBM,2010-02-17,101.3847005725,101.5452082913,100.4858573473,100.7185935395,5827400,126.33,0.0,126.53,125.21,125.5,1.0,5827400
IBM,2010-02-18,102.5724576915,102.7249400244,101.1198628365,101.2241928537,5525900,127.81,0.0,128.0,126.0,126.13,1.0,5525900
IBM,2010-02-19,102.0748837633,102.77309234,101.8199975059,102.2032899383,6303100,127.19,0.0,128.06,126.8724,127.35,1.0,6303100
IBM,2010-02-22,101.8020206414,102.2674930259,101.3686498006,102.1631630086,3808100,126.85,0.0,127.43,126.31,127.3,1.0,3808100
IBM,2010-02-23,101.4890305897,102.4520769025,101.1198628365,101.5050813616,4591900,126.46,0.0,127.66,126.0,126.48,1.0,4591900
IBM,2010-02-24,102.3958992009,102.9416254448,101.7699190976,101.9384522023,4782000,127.59,0.0,128.27,126.81,127.02,1.0,4782000
IBM,2010-02-25,101.978579132,102.115010693,100.7747712411,101.1599897662,5658700,127.07,0.0,127.24,125.57,126.05,1.0,5658700
IBM,2010-02-26,102.0508076055,102.7249400244,101.713741396,101.9304268164,4784200,127.16,0.0,128.0,126.74,127.01,1.0,4784200
IBM,2010-03-01,103.1823870229,103.3910470574,102.2995945696,102.3236707274,4577700,128.57,0.0,128.83,127.47,127.5,1.0,4577700
IBM,2010-03-02,102.2594676399,103.5997070918,102.0267314477,103.2867170402,6013300,127.42,0.0,129.09,127.13,128.7,1.0,6013300
IBM,2010-03-03,101.8260967992,102.7409907963,101.6655890804,102.508254604,6390000,126.88,0.0,128.02,126.68,127.73,1.0,6390000
IBM,2010-03-04,101.6976906242,101.978579132,100.6945173817,101.8260967992,6032300,126.72,0.0,127.07,125.47,126.88,1.0,6032300
IBM,2010-03-05,102.1230360789,102.3637976571,101.9545029742,102.0588329914,6140200,127.25,0.0,127.55,127.04,127.17,1.0,6140200
IBM,2010-03-08,101.44890366,102.3236707274,101.4087767303,101.9705537461,6199300,126.41,0.0,127.5,126.36,127.06,1.0,6199300
IBM,2010-03-09,100.7587204692,101.3525990288,100.4778319614,101.3365482569,7528800,125.55,0.0,126.29,125.2,126.27,1.0,7528800
IBM,2010-03-10,100.8148981708,101.4087767303,100.4858573473,101.1078247576,6916200,125.62,0.0,126.36,125.21,125.985,1.0,6916200
IBM,2010-03-11,102.4039245868,102.5724576915,100.8871266443,100.8871266443,7922200,127.6,0.0,127.81,125.71,125.71,1.0,7922200
IBM,2010-03-12,102.6767877088,103.0218793042,102.3316961134,102.6527115509,5169500,127.94,0.0,128.37,127.51,127.91,1.0,5169500
IBM,2010-03-15,102.5885084634,102.9978031463,102.1471122368,102.243416868,4497700,127.83,0.0,128.34,127.28,127.4,1.0,4497700
IBM,2010-03-16,103.2626408823,103.4311739871,102.2835437977,102.7249400244,6134900,128.67,0.0,128.88,127.45,128.0,1.0,6134900
IBM,2010-03-17,102.5323307619,103.4713009168,102.2113153243,103.4472247589,6348400,127.76,0.0,128.93,127.36,128.9,1.0,6348400
IBM,2010-03-18,103.0299046901,103.3268439699,102.2835437977,102.2915691837,4954400,128.38,0.0,128.75,127.45,127.46,1.0,4954400
IBM,2010-03-19,102.4922038322,103.4713009168,101.7458429398,103.3990724433,10744300,127.71,0.0,128.93,126.78,128.84,1.0,10744300
IBM,2010-03-22,102.7088892525,103.037930076,101.5773098351,102.0106806758,5651900,127.98,0.0,128.39,126.57,127.11,1.0,5651900
IBM,2010-03-23,103.8244178981,103.8725702137,102.4360261306,102.6767877088,5978500,129.37,0.0,129.43,127.64,127.94,1.0,5978500
IBM,2010-03-24,103.1502854792,104.2898902826,103.1021331635,103.2305393386,6669300,128.53,0.0,129.95,128.47,128.63,1.0,6669300
IBM,2010-03-25,103.7200878809,104.9158703859,103.6318086356,103.8163925122,7603200,129.24,0.0,130.73,129.13,129.36,1.0,7603200
IBM,2010-03-26,103.7361386528,104.1534587216,103.3031690813,103.4713009168,5550800,129.26,0.0,129.78,128.7205,128.93,1.0,5550800
IBM,2010-03-29,103.1984377948,104.2898902826,102.9336000588,103.7682401965,4643000,128.59,0.0,129.95,128.26,129.3,1.0,4643000
IBM,2010-03-30,103.3428947417,103.6318086356,102.9255746729,103.4472247589,3426600,128.77,0.0,129.13,128.25,128.9,1.0,3426600
IBM,2010-03-31,102.9255746729,103.3268439699,102.4440515165,102.909523901,4904800,128.25,0.0,128.75,127.65,128.23,1.0,4904800
IBM,2010-04-01,102.9255746729,103.7762655825,102.3637976571,103.4873516886,4980500,128.25,0.0,129.31,127.55,128.95,1.0,4980500
IBM,2010-04-05,103.8083671262,104.1695094935,102.8372954276,103.0299046901,4118700,129.35,0.0,129.8,128.14,128.38,1.0,4118700
IBM,2010-04-06,103.4713009168,103.7682401965,102.7650669541,103.2706662683,3926300,128.93,0.0,129.3,128.05,128.68,1.0,3926300
IBM,2010-04-07,103.1101585495,103.7441640387,102.7329654103,103.1502854792,5157000,128.48,0.0,129.27,128.01,128.53,1.0,5157000
IBM,2010-04-08,102.4119499728,102.909523901,102.0829091492,102.7570415682,6006900,127.61,0.0,128.23,127.2,128.04,1.0,6006900
IBM,2010-04-09,103.3348693558,103.4231486011,102.0187060617,102.6286353931,5185100,128.76,0.0,128.87,127.12,127.88,1.0,5185100
IBM,2010-04-12,103.0138539182,103.4921669202,102.9175492869,103.1823870229,3992300,128.36,0.0,128.956,128.24,128.57,1.0,3992300
IBM,2010-04-13,103.5515547762,103.8765829067,102.5965338494,102.9336000588,6819100,129.03,0.0,129.435,127.84,128.26,1.0,6819100
IBM,2010-04-14,105.3331904547,105.4696220157,103.8966463716,104.1133317919,8545800,131.25,0.0,131.42,129.46,129.73,1.0,8545800
IBM,2010-04-15,105.0442765609,105.2449112094,104.4826600528,104.7553626671,6425300,130.89,0.0,131.14,130.1902,130.53,1.0,6425300
IBM,2010-04-16,104.8356165265,106.0715259611,104.5306518608,104.8757434562,9546200,130.63,0.0,132.17,130.25,130.68,1.0,9546200
IBM,2010-04-19,106.1196782768,106.1598052065,104.634981878,104.634981878,11353700,132.23,0.0,132.28,130.38,130.38,1.0,11353700
IBM,2010-04-20,104.0812302482,104.5948549483,102.9336000588,103.6879863371,15216500,129.69,0.0,130.33,128.26,129.2,1.0,15216500
IBM,2010-04-21,103.5194532324,104.5467026326,103.1262093214,104.2256871951,7559200,128.99,0.0,130.27,128.5,129.87,1.0,7559200
IBM,2010-04-22,103.6318086356,103.8163925122,102.5403561478,103.2385647245,6018500,129.13,0.0,129.36,127.77,128.64,1.0,6018500
IBM,2010-04-23,104.3219918263,104.4102710717,103.2947424261,103.5916817059,6197300,129.99,0.0,130.1,128.71,129.08,1.0,6197300
IBM,2010-04-26,104.9158703859,105.16465735,103.9608494591,104.1374079497,5285400,130.73,0.0,131.04,129.54,129.76,1.0,5285400
IBM,2010-04-27,103.3830216714,105.9350944002,103.2947424261,104.2497633529,10916700,128.82,0.0,132.0,128.71,129.9,1.0,10916700
IBM,2010-04-28,104.4102710717,104.7072103514,103.5515547762,103.8484940559,7122300,130.1,0.0,130.47,129.03,129.4,1.0,7122300
IBM,2010-04-29,104.6991849655,105.3010889109,104.4503980014,104.7714134389,5786900,130.46,0.0,131.21,130.15,130.55,1.0,5786900
IBM,2010-04-30,103.5274786183,104.840431758,103.3990724433,104.6751088077,6266700,129.0,0.0,130.636,128.84,130.43,1.0,6266700
IBM,2010-05-03,104.0090017747,104.4423726154,103.3669708996,103.84046867,4992100,129.6,0.0,130.14,128.8,129.39,1.0,4992100
IBM,2010-05-04,102.8212446557,103.4713009168,101.5816435435,103.439199373,8285000,128.12,0.0,128.93,126.5754,128.89,1.0,8285000
IBM,2010-05-05,102.2915691837,102.909523901,101.8180714132,102.0187060617,6072800,127.46,0.0,128.23,126.87,127.12,1.0,6072800
IBM,2010-05-06,99.9722326472,103.2072927901,93.5827871778,101.884225799,13168800,123.92,0.65,127.93,116.0,126.29,1.0,13168800
IBM,2010-05-07,98.5039509863,100.3514042849,96.8097798391,99.5204536746,10584800,122.1,0.0,124.39,120.0,123.36,1.0,10584800
IBM,2010-05-10,101.8680908357,102.1907901018,100.8919255557,101.8680908357,8463900,126.27,0.0,126.67,125.06,126.27,1.0,8463900
IBM,2010-05-11,102.3682746982,103.6025993911,100.9645328905,101.0129377805,6498900,126.89,0.0,128.42,125.15,125.21,1.0,6498900
IBM,2010-05-12,107.0393465754,107.1764937635,102.465084478,102.5860967028,16626900,132.68,0.0,132.85,127.01,127.16,1.0,16626900
IBM,2010-05-13,106.071248777,107.3781808049,105.5629974329,105.6275372861,10497800,131.48,0.0,133.1,130.85,130.93,1.0,10497800
IBM,2010-05-14,105.8372918091,106.2245309285,104.4012800748,105.7324145476,9920100,131.19,0.0,131.67,129.41,131.06,1.0,9920100
IBM,2010-05-17,105.2322306851,106.2971382633,103.8284888774,105.4258502448,8923400,130.44,0.0,131.76,128.7,130.68,1.0,8923400
IBM,2010-05-18,104.8369240841,106.4826903414,104.7965866758,105.8937641807,9330000,129.95,0.0,131.99,129.9,131.26,1.0,9330000
IBM,2010-05-19,103.9575685839,105.280635575,103.118550492,104.3690101482,8669300,128.86,0.0,130.5,127.82,129.37,1.0,8669300
IBM,2010-05-20,99.8754228673,103.2314952351,99.7786130875,102.6345015928,13176500,123.8,0.0,127.96,123.68,127.22,1.0,13176500
IBM,2010-05-21,101.1823548952,101.3356370466,97.9392272706,98.5523558762,12639500,125.42,0.0,125.61,121.4,122.16,1.0,12639500
IBM,2010-05-24,100.3998091748,101.6664037944,100.069042427,101.0532751887,6868600,124.45,0.0,126.02,124.04,125.26,1.0,6868600
IBM,2010-05-25,100.4562815464,100.8031832575,97.9956996421,97.9956996421,9494800,124.52,0.0,124.95,121.47,121.47,1.0,9494800
IBM,2010-05-26,99.4155764131,101.6018639411,99.2300243351,100.7547783675,9083200,123.23,0.0,125.94,123.0,124.89,1.0,9083200
IBM,2010-05-27,101.9649006155,101.9649006155,100.6579685877,100.883858074,7725900,126.39,0.0,126.39,124.77,125.05,1.0,7725900
IBM,2010-05-28,101.0532751887,101.8756742685,100.2707294684,101.6179989044,7421900,125.26,0.0,126.2794,124.29,125.96,1.0,7421900
IBM,2010-06-01,100.3110668766,102.3602072165,100.1981221335,100.5934287345,7135400,124.34,0.0,126.88,124.2,124.69,1.0,7135400
