symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
INFN,2010-01-04,9.08,9.09,8.89,8.95,931700,9.08,0.0,9.09,8.89,8.95,1.0,931700
INFN,2010-01-05,9.21,9.23,8.98,9.11,1027600,9.21,0.0,9.23,8.98,9.11,1.0,1027600
INFN,2010-01-06,9.11,9.24,9.04,9.24,511500,9.11,0.0,9.24,9.04,9.24,1.0,511500
INFN,2010-01-07,9.16,9.2695,8.95,9.11,637300,9.16,0.0,9.2695,8.95,9.11,1.0,637300
INFN,2010-01-08,9.27,9.27,9.03,9.09,656400,9.27,0.0,9.27,9.03,9.09,1.0,656400
INFN,2010-01-11,8.55,9.15,8.45,8.86,2191000,8.55,0.0,9.15,8.45,8.86,1.0,2191000
INFN,2010-01-12,8.32,8.5,8.17,8.49,875000,8.32,0.0,8.5,8.17,8.49,1.0,875000
INFN,2010-01-13,8.24,8.35,8.05,8.31,652500,8.24,0.0,8.35,8.05,8.31,1.0,652500
INFN,2010-01-14,8.26,8.33,8.17,8.22,527500,8.26,0.0,8.33,8.17,8.22,1.0,527500
INFN,2010-01-15,8.17,8.33,8.07,8.3,562300,8.17,0.0,8.33,8.07,8.3,1.0,562300
INFN,2010-01-19,8.17,8.2781,8.11,8.17,562700,8.17,0.0,8.2781,8.11,8.17,1.0,562700
INFN,2010-01-20,8.21,8.24,7.99,8.14,536000,8.21,0.0,8.24,7.99,8.14,1.0,536000
INFN,2010-01-21,8.32,8.41,8.11,8.21,702500,8.32,0.0,8.41,8.11,8.21,1.0,702500
INFN,2010-01-22,7.92,8.27,7.9,8.27,759700,7.92,0.0,8.27,7.9,8.27,1.0,759700
INFN,2010-01-25,7.78,7.97,7.7,7.96,528100,7.78,0.0,7.97,7.7,7.96,1.0,528100
INFN,2010-01-26,7.8,7.87,7.51,7.73,776600,7.8,0.0,7.87,7.51,7.73,1.0,776600
INFN,2010-01-27,7.32,7.6001,7.22,7.51,1697000,7.32,0.0,7.6001,7.22,7.51,1.0,1697000
