symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
INOV,2015-02-12,27.0,33.75,26.98,33.16,19438933,27.0,0.0,33.75,26.98,33.16,1.0,19438933
INOV,2015-02-13,29.0,29.1,25.89,26.62,4854996,29.0,0.0,29.1,25.89,26.62,1.0,4854996
INOV,2015-02-17,30.07,30.63,28.66,28.66,1149445,30.07,0.0,30.63,28.66,28.66,1.0,1149445
INOV,2015-02-18,29.42,30.6192,29.23,30.0,704045,29.42,0.0,30.6192,29.23,30.0,1.0,704045
INOV,2015-02-19,30.1,30.28,29.66,30.0,559054,30.1,0.0,30.28,29.66,30.0,1.0,559054
INOV,2015-02-20,29.84,30.39,29.38,30.39,236792,29.84,0.0,30.39,29.38,30.39,1.0,236792
INOV,2015-02-23,30.53,30.62,29.48,29.55,311174,30.53,0.0,30.62,29.48,29.55,1.0,311174
INOV,2015-02-24,30.97,31.37,30.04,31.32,231321,30.97,0.0,31.37,30.04,31.32,1.0,231321
INOV,2015-02-25,31.75,31.93,30.51,30.51,393142,31.75,0.0,31.93,30.51,30.51,1.0,393142
INOV,2015-02-26,31.4,32.17,31.09,31.8,242860,31.4,0.0,32.17,31.09,31.8,1.0,242860
INOV,2015-02-27,31.06,31.57,30.9,31.0,170422,31.06,0.0,31.57,30.9,31.0,1.0,170422
INOV,2015-03-02,31.01,31.72,30.8,31.55,325235,31.01,0.0,31.72,30.8,31.55,1.0,325235
INOV,2015-03-03,30.57,31.41,29.78,31.05,424668,30.57,0.0,31.41,29.78,31.05,1.0,424668
INOV,2015-03-04,30.88,30.9599,30.0601,30.08,110946,30.88,0.0,30.9599,30.0601,30.08,1.0,110946
INOV,2015-03-05,30.64,31.49,30.15,31.49,153801,30.64,0.0,31.49,30.15,31.49,1.0,153801
INOV,2015-03-06,30.53,30.7,29.6,29.65,325266,30.53,0.0,30.7,29.6,29.65,1.0,325266
INOV,2015-03-09,29.76,30.28,27.13,30.0,1236051,29.76,0.0,30.28,27.13,30.0,1.0,1236051
INOV,2015-03-10,27.55,29.61,26.45,29.0,1342632,27.55,0.0,29.61,26.45,29.0,1.0,1342632
INOV,2015-03-11,27.51,27.6,26.74,27.5,861520,27.51,0.0,27.6,26.74,27.5,1.0,861520
INOV,2015-03-12,27.6,28.17,27.24,28.17,470658,27.6,0.0,28.17,27.24,28.17,1.0,470658
INOV,2015-03-13,27.88,28.25,27.45,27.49,237857,27.88,0.0,28.25,27.45,27.49,1.0,237857
INOV,2015-03-16,29.29,29.64,27.63,28.0,519314,29.29,0.0,29.64,27.63,28.0,1.0,519314
INOV,2015-03-17,29.06,29.53,28.95,29.25,128375,29.06,0.0,29.53,28.95,29.25,1.0,128375
INOV,2015-03-18,29.06,29.343,28.51,29.26,228784,29.06,0.0,29.343,28.51,29.26,1.0,228784
INOV,2015-03-19,30.0,30.03,28.83,29.11,205228,30.0,0.0,30.03,28.83,29.11,1.0,205228
INOV,2015-03-20,31.91,31.91,29.33,30.02,1548969,31.91,0.0,31.91,29.33,30.02,1.0,1548969
INOV,2015-03-23,30.8,32.42,30.66,31.47,498805,30.8,0.0,32.42,30.66,31.47,1.0,498805
INOV,2015-03-24,31.56,31.73,30.33,30.89,244729,31.56,0.0,31.73,30.33,30.89,1.0,244729
INOV,2015-03-25,30.34,32.29,30.03,31.53,432082,30.34,0.0,32.29,30.03,31.53,1.0,432082
INOV,2015-03-26,31.7,32.11,29.4,30.5,702530,31.7,0.0,32.11,29.4,30.5,1.0,702530
INOV,2015-03-27,30.94,31.89,30.395,31.83,376687,30.94,0.0,31.89,30.395,31.83,1.0,376687
INOV,2015-03-30,29.68,31.37,29.54,31.02,682192,29.68,0.0,31.37,29.54,31.02,1.0,682192
INOV,2015-03-31,30.21,30.835,28.59,29.48,1838450,30.21,0.0,30.835,28.59,29.48,1.0,1838450
INOV,2015-04-01,29.01,30.55,28.99,30.06,305065,29.01,0.0,30.55,28.99,30.06,1.0,305065
INOV,2015-04-02,28.96,29.55,28.26,29.16,594012,28.96,0.0,29.55,28.26,29.16,1.0,594012
INOV,2015-04-06,28.59,29.34,28.28,28.82,809493,28.59,0.0,29.34,28.28,28.82,1.0,809493
INOV,2015-04-07,26.99,28.76,26.75,28.7,748836,26.99,0.0,28.76,26.75,28.7,1.0,748836
INOV,2015-04-08,27.33,28.268,27.0001,27.04,425857,27.33,0.0,28.268,27.0001,27.04,1.0,425857
INOV,2015-04-09,27.66,27.8,27.25,27.29,244964,27.66,0.0,27.8,27.25,27.29,1.0,244964
INOV,2015-04-10,28.46,28.99,27.43,27.68,185276,28.46,0.0,28.99,27.43,27.68,1.0,185276
INOV,2015-04-13,28.89,29.33,28.21,28.36,247386,28.89,0.0,29.33,28.21,28.36,1.0,247386
INOV,2015-04-14,28.14,28.96,27.9,28.89,180945,28.14,0.0,28.96,27.9,28.89,1.0,180945
INOV,2015-04-15,27.67,28.692,27.36,28.15,180408,27.67,0.0,28.692,27.36,28.15,1.0,180408
INOV,2015-04-16,26.93,27.7,26.88,27.54,500078,26.93,0.0,27.7,26.88,27.54,1.0,500078
INOV,2015-04-17,26.39,26.9,25.25,26.79,575819,26.39,0.0,26.9,25.25,26.79,1.0,575819
INOV,2015-04-20,26.23,27.31,26.0,26.62,348228,26.23,0.0,27.31,26.0,26.62,1.0,348228
INOV,2015-04-21,25.66,26.49,25.29,26.48,207374,25.66,0.0,26.49,25.29,26.48,1.0,207374
INOV,2015-04-22,25.83,25.87,24.56,25.67,417685,25.83,0.0,25.87,24.56,25.67,1.0,417685
INOV,2015-04-23,26.99,27.45,25.732,25.85,485880,26.99,0.0,27.45,25.732,25.85,1.0,485880
INOV,2015-04-24,26.67,27.25,26.51,26.93,904265,26.67,0.0,27.25,26.51,26.93,1.0,904265
INOV,2015-04-27,26.43,26.77,26.33,26.7,284951,26.43,0.0,26.77,26.33,26.7,1.0,284951
INOV,2015-04-28,26.26,26.55,26.01,26.39,263084,26.26,0.0,26.55,26.01,26.39,1.0,263084
INOV,2015-04-29,25.69,26.46,25.64,26.15,988419,25.69,0.0,26.46,25.64,26.15,1.0,988419
INOV,2015-04-30,25.25,25.92,25.15,25.54,512107,25.25,0.0,25.92,25.15,25.54,1.0,512107
INOV,2015-05-01,25.14,25.4895,25.03,25.25,852382,25.14,0.0,25.4895,25.03,25.25,1.0,852382
INOV,2015-05-04,25.7,25.93,25.0,25.01,473516,25.7,0.0,25.93,25.0,25.01,1.0,473516
INOV,2015-05-05,25.28,25.58,24.85,25.52,466874,25.28,0.0,25.58,24.85,25.52,1.0,466874
INOV,2015-05-06,24.67,25.88,24.31,25.62,558910,24.67,0.0,25.88,24.31,25.62,1.0,558910
INOV,2015-05-07,23.44,24.79,22.06,24.64,4638520,23.44,0.0,24.79,22.06,24.64,1.0,4638520
INOV,2015-05-08,24.19,24.32,23.28,23.65,436339,24.19,0.0,24.32,23.28,23.65,1.0,436339
INOV,2015-05-11,24.0,24.24,23.53,24.2,734142,24.0,0.0,24.24,23.53,24.2,1.0,734142
INOV,2015-05-12,22.9,24.09,22.87,23.9,648172,22.9,0.0,24.09,22.87,23.9,1.0,648172
INOV,2015-05-13,22.85,22.997,22.3,22.89,441163,22.85,0.0,22.997,22.3,22.89,1.0,441163
INOV,2015-05-14,23.95,23.97,22.74,22.91,1369596,23.95,0.0,23.97,22.74,22.91,1.0,1369596
INOV,2015-05-15,25.7,25.79,24.7,24.75,875044,25.7,0.0,25.79,24.7,24.75,1.0,875044
INOV,2015-05-18,26.1,26.33,25.64,25.74,588878,26.1,0.0,26.33,25.64,25.74,1.0,588878
INOV,2015-05-19,26.1,26.58,25.7301,26.25,582014,26.1,0.0,26.58,25.7301,26.25,1.0,582014
INOV,2015-05-20,26.71,26.73,25.82,26.17,196433,26.71,0.0,26.73,25.82,26.17,1.0,196433
INOV,2015-05-21,26.89,27.12,26.592,26.72,516907,26.89,0.0,27.12,26.592,26.72,1.0,516907
INOV,2015-05-22,27.58,27.67,26.74,26.87,269316,27.58,0.0,27.67,26.74,26.87,1.0,269316
INOV,2015-05-26,28.01,28.18,27.3,27.59,317513,28.01,0.0,28.18,27.3,27.59,1.0,317513
INOV,2015-05-27,27.64,28.05,27.09,28.05,282505,27.64,0.0,28.05,27.09,28.05,1.0,282505
INOV,2015-05-28,27.8,28.02,27.52,27.56,440268,27.8,0.0,28.02,27.52,27.56,1.0,440268
INOV,2015-05-29,26.58,28.09,26.3,27.82,1020556,26.58,0.0,28.09,26.3,27.82,1.0,1020556
