symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ITCI,2014-01-07,15.0,17.0,15.0,16.0,59800,15.0,0.0,17.0,15.0,16.0,1.0,59800
ITCI,2014-01-08,17.0,18.0,16.0,17.5,51100,17.0,0.0,18.0,16.0,17.5,1.0,51100
ITCI,2014-01-09,17.5,17.75,17.1,17.5,159900,17.5,0.0,17.75,17.1,17.5,1.0,159900
ITCI,2014-01-10,18.0,20.0,17.5,17.5,157100,18.0,0.0,20.0,17.5,17.5,1.0,157100
ITCI,2014-01-13,18.2,18.5,18.2,18.4,5000,18.2,0.0,18.5,18.2,18.4,1.0,5000
ITCI,2014-01-14,18.1,19.25,18.0,19.25,14800,18.1,0.0,19.25,18.0,19.25,1.0,14800
ITCI,2014-01-15,18.2,19.0,18.0,18.8,105400,18.2,0.0,19.0,18.0,18.8,1.0,105400
ITCI,2014-01-16,18.31,18.65,18.21,18.21,8700,18.31,0.0,18.65,18.21,18.21,1.0,8700
ITCI,2014-01-17,19.0,19.0,18.35,18.35,5000,19.0,0.0,19.0,18.35,18.35,1.0,5000
ITCI,2014-01-21,20.0,20.0,19.16,19.5,7500,20.0,0.0,20.0,19.16,19.5,1.0,7500
ITCI,2014-01-22,20.0,20.0,20.0,20.0,7500,20.0,0.0,20.0,20.0,20.0,1.0,7500
ITCI,2014-01-23,20.0,20.0,20.0,20.0,2500,20.0,0.0,20.0,20.0,20.0,1.0,2500
ITCI,2014-01-24,19.8,19.8,19.8,19.8,2000,19.8,0.0,19.8,19.8,19.8,1.0,2000
ITCI,2014-01-27,19.0,20.0,19.0,20.0,7900,19.0,0.0,20.0,19.0,20.0,1.0,7900
ITCI,2014-01-28,19.0,19.5,18.75,18.75,81200,19.0,0.0,19.5,18.75,18.75,1.0,81200
ITCI,2014-01-29,19.0,20.0,19.0,19.0,7800,19.0,0.0,20.0,19.0,19.0,1.0,7800
ITCI,2014-01-30,19.0,19.0,18.9,18.9,1900,19.0,0.0,19.0,18.9,18.9,1.0,1900
ITCI,2014-01-31,19.4,19.93,18.0,18.5,679600,19.4,0.0,19.93,18.0,18.5,1.0,679600
ITCI,2014-02-03,20.0,20.0,18.8,19.5,126900,20.0,0.0,20.0,18.8,19.5,1.0,126900
ITCI,2014-02-04,19.0,19.5,18.7,19.5,162600,19.0,0.0,19.5,18.7,19.5,1.0,162600
ITCI,2014-02-05,18.46,19.75,17.9999,19.75,57900,18.46,0.0,19.75,17.9999,19.75,1.0,57900
ITCI,2014-02-06,16.89,18.98,16.75,18.81,219500,16.89,0.0,18.98,16.75,18.81,1.0,219500
ITCI,2014-02-07,16.795,17.83,15.8,17.83,60000,16.795,0.0,17.83,15.8,17.83,1.0,60000
ITCI,2014-02-10,16.98,17.45,16.6,16.925,79800,16.98,0.0,17.45,16.6,16.925,1.0,79800
ITCI,2014-02-11,16.77,17.0,16.512,16.6,110200,16.77,0.0,17.0,16.512,16.6,1.0,110200
ITCI,2014-02-12,16.99,17.015,16.65,16.94,48400,16.99,0.0,17.015,16.65,16.94,1.0,48400
ITCI,2014-02-13,16.99,17.0,16.79,16.87,41300,16.99,0.0,17.0,16.79,16.87,1.0,41300
ITCI,2014-02-14,16.8,17.0,16.51,16.86,40300,16.8,0.0,17.0,16.51,16.86,1.0,40300
ITCI,2014-02-18,16.88,17.0,16.5001,16.66,33700,16.88,0.0,17.0,16.5001,16.66,1.0,33700
ITCI,2014-02-19,16.78,17.0,16.631,16.95,39000,16.78,0.0,17.0,16.631,16.95,1.0,39000
ITCI,2014-02-20,16.3,16.85,16.25,16.85,42600,16.3,0.0,16.85,16.25,16.85,1.0,42600
ITCI,2014-02-21,16.24,16.48,16.14,16.48,17100,16.24,0.0,16.48,16.14,16.48,1.0,17100
