symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
JMU,2015-04-08,10.285,11.63,9.64,11.06,712105,10.285,0.0,11.63,9.64,11.06,1.0,712105
JMU,2015-04-09,10.5,10.6,10.15,10.37,252027,10.5,0.0,10.6,10.15,10.37,1.0,252027
JMU,2015-04-10,10.6,10.6,10.03,10.5,77576,10.6,0.0,10.6,10.03,10.5,1.0,77576
JMU,2015-04-13,10.56,10.85,10.22,10.85,65875,10.56,0.0,10.85,10.22,10.85,1.0,65875
JMU,2015-04-14,10.19,10.26,10.1001,10.26,43850,10.19,0.0,10.26,10.1001,10.26,1.0,43850
JMU,2015-04-15,10.15,10.4,10.02,10.2,51505,10.15,0.0,10.4,10.02,10.2,1.0,51505
JMU,2015-04-16,10.13,10.15,10.0,10.15,12732,10.13,0.0,10.15,10.0,10.15,1.0,12732
JMU,2015-04-17,9.16,10.0,9.15,10.0,61055,9.16,0.0,10.0,9.15,10.0,1.0,61055
JMU,2015-04-20,9.2,9.59,9.18,9.25,24300,9.2,0.0,9.59,9.18,9.25,1.0,24300
JMU,2015-04-21,9.29,9.8,9.08,9.44,26804,9.29,0.0,9.8,9.08,9.44,1.0,26804
JMU,2015-04-22,8.41,9.3399,8.09,9.33,73641,8.41,0.0,9.3399,8.09,9.33,1.0,73641
JMU,2015-04-23,8.84,9.23,8.0,9.23,51444,8.84,0.0,9.23,8.0,9.23,1.0,51444
JMU,2015-04-24,9.35,9.35,8.7,8.7,71003,9.35,0.0,9.35,8.7,8.7,1.0,71003
JMU,2015-04-27,9.4,9.4,9.06,9.36,18431,9.4,0.0,9.4,9.06,9.36,1.0,18431
JMU,2015-04-28,9.37,9.4,8.84,9.4,7268,9.37,0.0,9.4,8.84,9.4,1.0,7268
JMU,2015-04-29,8.98,9.4,8.6801,8.92,6839,8.98,0.0,9.4,8.6801,8.92,1.0,6839
JMU,2015-04-30,8.95,8.99,8.29,8.79,62484,8.95,0.0,8.99,8.29,8.79,1.0,62484
JMU,2015-05-01,8.9,9.24,8.12,9.04,144721,8.9,0.0,9.24,8.12,9.04,1.0,144721
JMU,2015-05-04,8.3,8.9326,8.2,8.5,22700,8.3,0.0,8.9326,8.2,8.5,1.0,22700
JMU,2015-05-05,8.4799,8.75,8.14,8.22,5979,8.4799,0.0,8.75,8.14,8.22,1.0,5979
JMU,2015-05-06,8.23,8.5,8.2,8.5,8156,8.23,0.0,8.5,8.2,8.5,1.0,8156
JMU,2015-05-07,8.5,8.5,8.21,8.5,11440,8.5,0.0,8.5,8.21,8.5,1.0,11440
JMU,2015-05-08,8.88,8.88,8.2,8.5,18446,8.88,0.0,8.88,8.2,8.5,1.0,18446
JMU,2015-05-11,8.8599,8.88,8.399,8.88,4363,8.8599,0.0,8.88,8.399,8.88,1.0,4363
JMU,2015-05-12,8.49,8.8,8.3,8.8,9570,8.49,0.0,8.8,8.3,8.8,1.0,9570
JMU,2015-05-13,8.3925,8.68,8.3,8.5,15224,8.3925,0.0,8.68,8.3,8.5,1.0,15224
JMU,2015-05-14,8.74,10.0,8.7,9.38,181559,8.74,0.0,10.0,8.7,9.38,1.0,181559
JMU,2015-05-15,8.45,8.96,8.31,8.74,46271,8.45,0.0,8.96,8.31,8.74,1.0,46271
JMU,2015-05-18,8.25,8.78,8.05,8.36,55550,8.25,0.0,8.78,8.05,8.36,1.0,55550
JMU,2015-05-19,8.28,8.45,8.13,8.3,23000,8.28,0.0,8.45,8.13,8.3,1.0,23000
JMU,2015-05-20,8.1,8.4,8.04,8.24,31181,8.1,0.0,8.4,8.04,8.24,1.0,31181
JMU,2015-05-21,8.19,8.35,8.0,8.08,31015,8.19,0.0,8.35,8.0,8.08,1.0,31015
JMU,2015-05-22,8.28,8.3,8.0701,8.09,20276,8.28,0.0,8.3,8.0701,8.09,1.0,20276
JMU,2015-05-26,8.13,8.29,8.1,8.12,34911,8.13,0.0,8.29,8.1,8.12,1.0,34911
JMU,2015-05-27,8.07,8.26,8.0,8.26,22084,8.07,0.0,8.26,8.0,8.26,1.0,22084
JMU,2015-05-28,8.22,8.268,8.01,8.11,23499,8.22,0.0,8.268,8.01,8.11,1.0,23499
JMU,2015-05-29,8.2,8.28,8.11,8.21,9226,8.2,0.0,8.28,8.11,8.21,1.0,9226
JMU,2015-06-01,8.58,8.58,8.29,8.3,73738,8.58,0.0,8.58,8.29,8.3,1.0,73738
JMU,2015-06-02,9.74,10.44,9.0,10.25,153295,9.74,0.0,10.44,9.0,10.25,1.0,153295
JMU,2015-06-03,10.4,10.4,9.91,10.0,155507,10.4,0.0,10.4,9.91,10.0,1.0,155507
JMU,2015-06-04,11.99,13.0,10.36,10.4,699977,11.99,0.0,13.0,10.36,10.4,1.0,699977
JMU,2015-06-05,10.99,12.9,10.4557,12.9,259568,10.99,0.0,12.9,10.4557,12.9,1.0,259568
JMU,2015-06-08,10.39,11.47,9.8,10.74,123763,10.39,0.0,11.47,9.8,10.74,1.0,123763
JMU,2015-06-09,9.46,10.23,9.31,10.23,93386,9.46,0.0,10.23,9.31,10.23,1.0,93386
JMU,2015-06-10,9.88,9.9129,9.359,9.61,33303,9.88,0.0,9.9129,9.359,9.61,1.0,33303
JMU,2015-06-11,9.82,9.99,9.6001,9.8,48200,9.82,0.0,9.99,9.6001,9.8,1.0,48200
JMU,2015-06-12,10.3,10.73,9.6,9.63,92294,10.3,0.0,10.73,9.6,9.63,1.0,92294
