symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
JRVR,2014-12-12,18.0716331066,18.2842405549,17.7824869769,18.1311631921,3419256,21.25,0.0,21.5,20.91,21.32,1.0,3419256
JRVR,2014-12-15,17.4508193575,18.1056502983,17.3997935699,17.9100514459,736032,20.52,0.0,21.29,20.46,21.06,1.0,736032
JRVR,2014-12-16,17.9865901273,18.4968480032,17.8335127645,17.8590256583,457178,21.15,0.0,21.75,20.97,21.0,1.0,457178
JRVR,2014-12-17,18.0035987232,18.1821889797,17.8675299562,17.9610772335,225730,21.17,0.0,21.38,21.01,21.12,1.0,225730
JRVR,2014-12-18,17.9525729356,18.2247104694,17.8675299562,18.2162061715,57999,21.11,0.0,21.43,21.01,21.42,1.0,57999
JRVR,2014-12-19,18.8710371123,19.2962520089,17.8590256583,17.8590256583,322317,22.19,0.0,22.69,21.0,21.0,1.0,322317
JRVR,2014-12-22,19.4833465634,19.8830485662,18.9475757937,19.4408250738,143684,22.91,0.0,23.38,22.28,22.86,1.0,143684
JRVR,2014-12-23,19.0921488585,19.5598852448,18.8285156226,19.4323207758,51081,22.45,0.0,23.0,22.14,22.85,1.0,51081
JRVR,2014-12-24,19.2367219234,19.3455769369,19.0666359647,19.0666359647,21252,22.62,0.0,22.748,22.42,22.42,1.0,21252
JRVR,2014-12-26,19.4408250738,19.5598852448,18.8242634736,19.160183242,120972,22.86,0.0,23.0,22.135,22.53,1.0,120972
JRVR,2014-12-29,19.3897992862,19.4961030103,18.9305671978,19.41531218,85588,22.8,0.0,22.925,22.26,22.83,1.0,85588
JRVR,2014-12-30,19.2282176254,19.5768938407,18.8795414102,19.2962520089,151037,22.61,0.0,23.02,22.2,22.69,1.0,151037
JRVR,2014-12-31,19.3557820944,19.4493293717,18.8370199205,19.2452262213,151666,22.76,0.0,22.87,22.15,22.63,1.0,151666
JRVR,2015-01-02,18.9475757937,19.4578336696,18.4373179177,19.4578336696,33951,22.28,0.0,22.88,21.68,22.88,1.0,33951
JRVR,2015-01-05,19.406807882,19.7597362462,18.5436216419,18.8370199205,241939,22.82,0.0,23.235,21.805,22.15,1.0,241939
JRVR,2015-01-06,19.1942004337,19.7469797993,18.9645843895,19.3897992862,301473,22.57,0.0,23.22,22.3,22.8,1.0,301473
JRVR,2015-01-07,19.3472777965,19.4748422655,18.7519769412,19.287747711,121792,22.75,0.0,22.9,22.05,22.68,1.0,121792
JRVR,2015-01-08,19.4578336696,19.4748422655,18.9730886875,19.2282176254,113850,22.88,0.0,22.9,22.31,22.61,1.0,113850
JRVR,2015-01-09,19.6789454159,20.1892032918,19.1856961358,19.4578336696,89382,23.14,0.0,23.74,22.56,22.88,1.0,89382
JRVR,2015-01-12,19.5258680531,19.8235184807,19.2197133275,19.66193682,138226,22.96,0.0,23.31,22.6,23.12,1.0,138226
JRVR,2015-01-13,19.032618773,19.5598852448,18.4883437053,19.2452262213,96538,22.38,0.0,23.0,21.74,22.63,1.0,96538
JRVR,2015-01-14,19.1261660503,19.3387734986,18.6839425578,18.7604812392,107584,22.49,0.0,22.74,21.97,22.06,1.0,107584
JRVR,2015-01-15,19.0411230709,19.534372351,18.5342669141,19.032618773,55414,22.39,0.0,22.97,21.794,22.38,1.0,55414
JRVR,2015-01-16,18.8370199205,19.8830485662,18.8370199205,19.8830485662,126281,22.15,0.0,23.38,22.15,23.38,1.0,126281
